time,Oklahoma City,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. R. Gobert (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. R. Gobert (S. Ibaka gains possession)
11:40.0,S. Adams makes 2-pt shot from 5 ft,2,2-0,,
11:20.0,Def 3 sec tech foul by S. Ibaka,,2-0,,
11:20.0,,,2-1,1,G. Hayward makes technical free throw
11:08.0,,,2-1,,R. Hood misses 3-pt shot from 25 ft
11:07.0,Defensive rebound by S. Ibaka,,2-1,,
10:53.0,S. Ibaka misses 3-pt shot from 23 ft,,2-1,,
10:52.0,,,2-1,,Defensive rebound by G. Hayward
10:37.0,,,2-1,,Turnover by R. Gobert (bad pass; steal by R. Westbrook)
10:34.0,Shooting foul by R. Neto (drawn by R. Westbrook),,2-1,,
10:34.0,R. Westbrook makes free throw 1 of 2,1,3-1,,
10:34.0,R. Westbrook makes free throw 2 of 2,1,4-1,,
10:18.0,,,4-1,,R. Neto misses 2-pt shot from 8 ft
10:17.0,Defensive rebound by K. Durant,,4-1,,
10:10.0,K. Durant makes 2-pt shot from 6 ft,2,6-1,,
9:55.0,,,6-1,,Turnover by R. Hood (bad pass; steal by K. Durant)
9:51.0,Shooting foul by R. Hood (drawn by S. Adams),,6-1,,
9:51.0,S. Adams makes free throw 1 of 2,1,7-1,,
9:51.0,S. Adams misses free throw 2 of 2,,7-1,,
9:51.0,,,7-1,,Defensive rebound by D. Favors
9:29.0,,,7-3,2,R. Hood makes 2-pt shot from 9 ft (assist by D. Favors)
9:09.0,R. Westbrook misses 3-pt shot from 24 ft,,7-3,,
9:09.0,,,7-3,,Defensive rebound by D. Favors
8:52.0,,,7-3,,R. Gobert misses 2-pt shot from 2 ft (block by S. Ibaka)
8:50.0,Defensive rebound by R. Westbrook,,7-3,,
8:48.0,K. Durant makes 2-pt shot at rim (assist by R. Westbrook),2,9-3,,
8:31.0,,,9-3,,D. Favors misses 2-pt shot from 1 ft (block by S. Ibaka)
8:30.0,,,9-3,,Offensive rebound by D. Favors
8:29.0,,,9-3,,D. Favors misses 2-pt shot from 2 ft (block by K. Durant)
8:26.0,Defensive rebound by K. Durant,,9-3,,
8:09.0,A. Roberson misses 3-pt shot from 23 ft,,9-3,,
8:09.0,,,9-3,,Defensive rebound by D. Favors
7:50.0,,,9-5,2,R. Gobert makes 2-pt shot from 2 ft (assist by G. Hayward)
7:36.0,Turnover by S. Ibaka (bad pass; steal by D. Favors),,9-5,,
7:30.0,,,9-5,,Turnover by D. Favors (bad pass; steal by K. Durant)
7:07.0,K. Durant misses 3-pt shot from 24 ft,,9-5,,
7:06.0,,,9-5,,Defensive rebound by R. Neto
7:01.0,,,9-7,2,R. Hood makes 2-pt shot from 1 ft (assist by R. Neto)
6:42.0,Turnover by K. Durant (lost ball; steal by G. Hayward),,9-7,,
6:38.0,,,9-9,2,G. Hayward makes 2-pt shot at rim
6:23.0,R. Westbrook misses 2-pt shot from 13 ft,,9-9,,
6:21.0,,,9-9,,Defensive rebound by R. Hood
6:11.0,,,9-9,,Turnover by R. Hood (lost ball)
6:00.0,R. Westbrook misses 2-pt shot from 10 ft (block by D. Favors),,9-9,,
5:59.0,,,9-9,,Defensive rebound by R. Neto
5:57.0,,,9-9,,Shooting foul by S. Ibaka (drawn by G. Hayward)
5:57.0,,,9-9,,Utah full timeout
5:57.0,,,9-9,,T. Booker enters the game for R. Gobert
5:57.0,,,9-10,1,G. Hayward makes free throw 1 of 2
5:57.0,,,9-11,1,G. Hayward makes free throw 2 of 2
5:47.0,Turnover by K. Durant (bad pass; steal by R. Hood),,9-11,,
5:40.0,,,9-13,2,R. Neto makes 2-pt shot from 1 ft (assist by G. Hayward)
5:15.0,S. Ibaka misses 3-pt shot from 23 ft,,9-13,,
5:14.0,Offensive rebound by R. Westbrook,,9-13,,
5:11.0,Turnover by R. Westbrook (bad pass; steal by R. Hood),,9-13,,
5:09.0,Clear path foul by A. Roberson,,9-13,,
5:09.0,N. Collison enters the game for S. Ibaka,,9-13,,
5:09.0,,,9-13,,T. Burke enters the game for R. Neto
5:09.0,,,9-14,1,R. Hood makes clear path free throw 1 of 2
5:09.0,,,9-14,,R. Hood misses clear path free throw 2 of 2
5:09.0,,,9-14,,Offensive rebound by Team
5:09.0,,,9-14,,A. Burks enters the game for R. Hood
4:53.0,,,9-14,,T. Burke misses 3-pt shot from 23 ft
4:52.0,Defensive rebound by R. Westbrook,,9-14,,
4:50.0,,,9-14,,Personal foul by A. Burks (drawn by R. Westbrook)
4:50.0,E. Kanter enters the game for S. Adams,,9-14,,
4:50.0,D. Waiters enters the game for A. Roberson,,9-14,,
4:44.0,K. Durant makes 2-pt shot at rim (assist by N. Collison),2,11-14,,
4:27.0,,,11-16,2,T. Booker makes 2-pt shot at rim (assist by D. Favors)
4:08.0,E. Kanter misses 2-pt shot from 2 ft,,11-16,,
4:07.0,Offensive rebound by N. Collison,,11-16,,
3:57.0,R. Westbrook makes 2-pt shot from 2 ft,2,13-16,,
3:42.0,,,13-16,,Turnover by A. Burks (bad pass; steal by D. Waiters)
3:32.0,Turnover by R. Westbrook (bad pass; steal by D. Favors),,13-16,,
3:24.0,,,13-16,,A. Burks misses 3-pt shot from 23 ft
3:24.0,Defensive rebound by Team,,13-16,,
3:04.0,K. Durant makes 2-pt shot from 19 ft,2,15-16,,
2:38.0,,,15-16,,A. Burks misses 2-pt shot from 21 ft
2:37.0,Defensive rebound by K. Durant,,15-16,,
2:21.0,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook),2,17-16,,
2:15.0,,,17-16,,Utah full timeout
2:15.0,Oklahoma City full timeout,,17-16,,
2:15.0,D. Augustin enters the game for R. Westbrook,,17-16,,
2:00.0,,,17-16,,G. Hayward misses 2-pt shot from 14 ft
1:59.0,Defensive rebound by D. Waiters,,17-16,,
1:38.0,E. Kanter misses 2-pt shot from 21 ft,,17-16,,
1:38.0,,,17-16,,Defensive rebound by G. Hayward
1:31.0,Personal foul by D. Augustin (drawn by G. Hayward),,17-16,,
1:31.0,,,17-16,,R. Gobert enters the game for D. Favors
1:18.0,,,17-16,,Turnover by A. Burks (bad pass; steal by K. Durant)
1:12.0,D. Augustin makes 3-pt shot from 24 ft (assist by K. Durant),3,20-16,,
0:51.0,,,20-16,,T. Booker misses 2-pt shot from 6 ft
0:49.0,Defensive rebound by E. Kanter,,20-16,,
0:43.0,D. Waiters misses 3-pt shot from 25 ft,,20-16,,
0:42.0,,,20-16,,Defensive rebound by T. Booker
0:37.0,Personal foul by D. Waiters (drawn by A. Burks),,20-16,,
0:37.0,,,20-17,1,A. Burks makes free throw 1 of 2
0:37.0,,,20-18,1,A. Burks makes free throw 2 of 2
0:30.0,Shooting foul by G. Hayward (drawn by K. Durant),,20-18,,
0:30.0,K. Durant makes free throw 1 of 3,1,21-18,,
0:30.0,K. Durant makes free throw 2 of 3,1,22-18,,
0:30.0,K. Durant makes free throw 3 of 3,1,23-18,,
0:08.0,,,23-18,,T. Booker misses 2-pt shot from 5 ft
0:08.0,,,23-18,,Offensive rebound by Team
0:00.0,,,23-20,2,A. Burks makes 2-pt shot at rim
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,23-23,3,T. Burke makes 3-pt shot from 24 ft (assist by A. Burks)
