time,New Orleans,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. Z. Pachulia (A. Ajinca gains possession),,,,Jump ball: A. Davis vs. Z. Pachulia (A. Ajinca gains possession)
11:35.0,Turnover by I. Smith (bad pass; steal by D. Williams),,0-0,,
11:18.0,,,0-0,,W. Matthews misses 2-pt shot from 10 ft
11:16.0,Defensive rebound by A. Ajinca,,0-0,,
11:01.0,I. Smith makes 3-pt shot from 22 ft (assist by L. Babbitt),3,3-0,,
10:45.0,,,3-0,,C. Parsons misses 2-pt shot from 6 ft
10:43.0,Defensive rebound by I. Smith,,3-0,,
10:34.0,E. Gordon makes 3-pt shot from 24 ft (assist by I. Smith),3,6-0,,
10:17.0,,,6-0,,Turnover by D. Nowitzki (bad pass; steal by I. Smith)
10:13.0,A. Davis makes 2-pt shot at rim (assist by I. Smith),2,8-0,,
9:49.0,,,8-3,3,D. Williams makes 3-pt shot from 23 ft (assist by D. Nowitzki)
9:31.0,A. Davis misses 2-pt shot from 16 ft,,8-3,,
9:30.0,Offensive rebound by A. Ajinca,,8-3,,
9:28.0,A. Ajinca makes 2-pt shot from 1 ft,2,10-3,,
9:16.0,,,10-5,2,D. Nowitzki makes 2-pt shot from 14 ft
9:04.0,,,10-5,,Personal block foul by W. Matthews (drawn by E. Gordon)
8:58.0,I. Smith misses 2-pt shot from 18 ft,,10-5,,
8:57.0,,,10-5,,Defensive rebound by Z. Pachulia
8:50.0,,,10-8,3,D. Nowitzki makes 3-pt shot from 23 ft (assist by D. Williams)
8:24.0,I. Smith misses 3-pt shot from 23 ft,,10-8,,
8:23.0,,,10-8,,Defensive rebound by D. Nowitzki
8:15.0,,,10-8,,D. Nowitzki misses 3-pt shot from 25 ft
8:15.0,Defensive rebound by A. Davis,,10-8,,
8:05.0,I. Smith misses 2-pt shot at rim,,10-8,,
8:04.0,,,10-8,,Defensive rebound by D. Nowitzki
7:58.0,,,10-8,,D. Williams misses 2-pt shot from 22 ft
7:57.0,,,10-8,,Offensive rebound by Z. Pachulia
7:57.0,Personal foul by I. Smith (drawn by Z. Pachulia),,10-8,,
7:41.0,,,10-8,,C. Parsons misses 2-pt shot from 7 ft
7:40.0,Defensive rebound by I. Smith,,10-8,,
7:33.0,A. Ajinca misses 2-pt shot from 20 ft,,10-8,,
7:32.0,,,10-8,,Defensive rebound by W. Matthews
7:16.0,,,10-8,,D. Nowitzki misses 2-pt shot from 17 ft
7:15.0,Defensive rebound by E. Gordon,,10-8,,
7:08.0,E. Gordon misses 2-pt shot from 22 ft,,10-8,,
7:07.0,,,10-8,,Defensive rebound by Z. Pachulia
6:58.0,,,10-8,,Z. Pachulia misses 2-pt shot from 17 ft
6:57.0,Defensive rebound by E. Gordon,,10-8,,
6:47.0,A. Davis makes 2-pt shot from 8 ft,2,12-8,,
6:22.0,,,12-8,,W. Matthews misses 3-pt shot from 22 ft (block by A. Davis)
6:22.0,,,12-8,,Offensive rebound by Team
6:22.0,,,12-8,,Turnover by Team (shot clock)
6:22.0,,,12-8,,D. Powell enters the game for D. Nowitzki
6:07.0,I. Smith misses 2-pt shot from 8 ft,,12-8,,
6:06.0,,,12-8,,Defensive rebound by Z. Pachulia
6:01.0,Violation by I. Smith (kicked ball),,12-8,,
6:01.0,R. Anderson enters the game for A. Ajinca,,12-8,,
6:01.0,,,12-8,,R. Felton enters the game for W. Matthews
5:51.0,,,12-8,,D. Powell misses 2-pt shot from 19 ft (block by A. Davis)
5:50.0,Defensive rebound by E. Gordon,,12-8,,
5:44.0,R. Anderson makes 3-pt shot from 24 ft (assist by E. Gordon),3,15-8,,
5:29.0,Personal take foul by I. Smith (drawn by D. Williams),,15-8,,
5:29.0,,,15-8,,Dallas full timeout
5:29.0,T. Douglas enters the game for I. Smith,,15-8,,
5:19.0,,,15-10,2,C. Parsons makes 2-pt shot from 15 ft
5:04.0,R. Anderson misses 3-pt shot from 27 ft,,15-10,,
5:03.0,,,15-10,,Defensive rebound by C. Parsons
4:55.0,,,15-10,,Z. Pachulia misses 2-pt shot from 2 ft
4:53.0,,,15-10,,Offensive rebound by Z. Pachulia
4:53.0,,,15-12,2,Z. Pachulia makes 2-pt shot at rim
4:31.0,R. Anderson misses 2-pt shot at rim,,15-12,,
4:30.0,,,15-12,,Defensive rebound by D. Powell
4:25.0,,,15-14,2,R. Felton makes 2-pt shot from 2 ft
4:25.0,Shooting block foul by T. Douglas (drawn by R. Felton),,15-14,,
4:25.0,,,15-15,1,R. Felton makes free throw 1 of 1
4:12.0,Turnover by E. Gordon (bad pass),,15-15,,
4:03.0,,,15-17,2,C. Parsons makes 2-pt shot at rim
3:50.0,Offensive foul by A. Davis,,15-17,,
3:50.0,Turnover by A. Davis (offensive foul),,15-17,,
3:50.0,D. Cunningham enters the game for L. Babbitt,,15-17,,
3:50.0,,,15-17,,D. Nowitzki enters the game for C. Parsons
3:50.0,,,15-17,,W. Matthews enters the game for Z. Pachulia
3:50.0,,,15-17,,D. Harris enters the game for D. Williams
3:36.0,,,15-17,,D. Nowitzki misses 2-pt shot from 18 ft
3:36.0,Defensive rebound by R. Anderson,,15-17,,
3:27.0,A. Davis misses 2-pt shot from 15 ft,,15-17,,
3:26.0,,,15-17,,Defensive rebound by R. Felton
3:13.0,Personal foul by E. Gordon (drawn by D. Nowitzki),,15-17,,
3:01.0,,,15-19,2,W. Matthews makes 2-pt shot from 3 ft
2:52.0,,,15-19,,Personal foul by D. Harris (drawn by E. Gordon)
2:52.0,New Orleans full timeout,,15-19,,
2:39.0,A. Davis makes 2-pt shot from 6 ft (assist by E. Gordon),2,17-19,,
2:14.0,,,17-19,,W. Matthews misses 2-pt shot from 17 ft
2:13.0,Defensive rebound by D. Cunningham,,17-19,,
1:55.0,D. Cunningham misses 3-pt shot from 22 ft,,17-19,,
1:54.0,,,17-19,,Defensive rebound by D. Nowitzki
1:44.0,,,17-19,,D. Powell misses 2-pt shot from 2 ft
