time,Philadelphia,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. J. Withey (I. Smith gains possession),,,,Jump ball: N. Noel vs. J. Withey (I. Smith gains possession)
11:46.0,Turnover by N. Noel (traveling),,0-0,,
11:32.0,,,0-2,2,J. Withey makes 2-pt shot at rim
11:17.0,N. Noel makes 2-pt shot from 16 ft (assist by I. Smith),2,2-2,,
11:07.0,,,2-2,,Offensive foul by R. Hood
11:07.0,,,2-2,,Turnover by R. Hood (offensive foul)
10:51.0,C. Landry misses 2-pt shot from 16 ft,,2-2,,
10:51.0,,,2-2,,Defensive rebound by G. Hayward
10:40.0,,,2-4,2,J. Withey makes 2-pt shot from 7 ft (assist by G. Hayward)
10:28.0,J. Sampson makes 2-pt shot from 5 ft,2,4-4,,
10:13.0,,,4-6,2,G. Hayward makes 2-pt shot from 6 ft
9:56.0,C. Landry misses 2-pt shot from 8 ft,,4-6,,
9:55.0,,,4-6,,Defensive rebound by T. Lyles
9:42.0,,,4-8,2,R. Hood makes 2-pt shot from 12 ft
9:29.0,N. Noel misses 2-pt shot from 2 ft,,4-8,,
9:28.0,,,4-8,,Defensive rebound by J. Withey
9:10.0,,,4-10,2,R. Hood makes 2-pt shot from 17 ft
9:09.0,Philadelphia full timeout,,4-10,,
8:45.0,I. Smith misses 2-pt shot from 10 ft (block by G. Hayward),,4-10,,
8:43.0,,,4-10,,Defensive rebound by R. Neto
8:41.0,,,4-10,,Turnover by R. Neto (bad pass; steal by N. Noel)
8:33.0,I. Smith makes 2-pt shot from 18 ft (assist by N. Noel),2,6-10,,
8:12.0,,,6-12,2,J. Withey makes 2-pt shot from 1 ft (assist by G. Hayward)
7:50.0,I. Canaan misses 3-pt shot from 24 ft,,6-12,,
7:48.0,Offensive rebound by Team,,6-12,,
7:43.0,N. Noel makes 2-pt shot from 18 ft (assist by I. Canaan),2,8-12,,
7:34.0,,,8-12,,Turnover by J. Withey (lost ball; steal by N. Noel)
7:30.0,Turnover by N. Noel (lost ball),,8-12,,
7:17.0,,,8-14,2,G. Hayward makes 2-pt shot from 7 ft
7:04.0,,,8-14,,Def 3 sec tech foul by J. Withey
7:04.0,I. Canaan makes technical free throw,1,9-14,,
7:04.0,R. Holmes enters the game for C. Landry,,9-14,,
7:04.0,J. Grant enters the game for J. Sampson,,9-14,,
6:53.0,N. Noel makes 2-pt shot at rim (assist by I. Smith),2,11-14,,
6:37.0,,,11-14,,G. Hayward misses 2-pt shot from 16 ft
6:36.0,,,11-14,,Offensive rebound by T. Lyles
6:27.0,,,11-16,2,R. Hood makes 2-pt shot from 7 ft
6:27.0,,,11-16,,Shooting foul by I. Canaan (drawn by R. Hood)
6:27.0,,,11-16,,T. Booker enters the game for T. Lyles
6:27.0,H. Thompson enters the game for I. Canaan,,11-16,,
6:27.0,,,11-17,1,R. Hood makes free throw 1 of 1
6:19.0,,,11-17,,Def 3 sec tech foul by R. Hood
6:19.0,J. Grant misses technical free throw,,11-17,,
6:19.0,Offensive rebound by Team,,11-17,,
6:19.0,,,11-17,,J. Ingles enters the game for R. Hood
6:10.0,I. Smith misses 2-pt shot from 6 ft,,11-17,,
6:09.0,,,11-17,,Defensive rebound by J. Ingles
