time,Milwaukee,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. R. Hibbert (G. Antetokounmpo gains possession),,,,Jump ball: J. Henson vs. R. Hibbert (G. Antetokounmpo gains possession)
11:42.0,J. Parker makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,2-0,,
11:19.0,,,2-0,,J. Clarkson misses 2-pt shot from 19 ft
11:18.0,,,2-0,,Offensive rebound by Team
11:15.0,,,2-0,,J. Clarkson misses 2-pt shot from 8 ft
11:12.0,Defensive rebound by J. Henson,,2-0,,
11:07.0,K. Middleton misses 2-pt shot from 21 ft,,2-0,,
11:07.0,,,2-0,,Defensive rebound by Team
10:55.0,,,2-0,,L. Williams misses 2-pt shot from 18 ft
10:54.0,Defensive rebound by J. Henson,,2-0,,
10:44.0,Turnover by J. Henson (lost ball; steal by J. Clarkson),,2-0,,
10:37.0,,,2-2,2,J. Clarkson makes 2-pt shot at rim
10:17.0,K. Middleton misses 2-pt shot from 7 ft,,2-2,,
10:15.0,,,2-2,,Defensive rebound by R. Hibbert
10:01.0,,,2-2,,K. Bryant misses 3-pt shot from 23 ft
9:59.0,,,2-2,,Offensive rebound by L. Nance
9:55.0,,,2-2,,J. Clarkson misses 2-pt shot from 1 ft (block by J. Henson)
9:53.0,Defensive rebound by G. Antetokounmpo,,2-2,,
9:42.0,G. Antetokounmpo makes 2-pt shot from 14 ft (assist by K. Middleton),2,4-2,,
9:18.0,,,4-2,,J. Clarkson misses 2-pt shot from 2 ft (block by J. Henson)
9:15.0,,,4-2,,Offensive rebound by R. Hibbert
9:12.0,,,4-4,2,R. Hibbert makes 2-pt shot at rim
8:59.0,G. Antetokounmpo misses 2-pt shot from 4 ft,,4-4,,
8:56.0,Offensive rebound by J. Parker,,4-4,,
8:54.0,J. Parker makes 2-pt shot at rim,2,6-4,,
8:36.0,,,6-4,,K. Bryant misses 2-pt shot from 20 ft
8:34.0,,,6-4,,Offensive rebound by R. Hibbert
8:25.0,,,6-6,2,J. Clarkson makes 2-pt shot from 17 ft
8:08.0,K. Middleton makes 2-pt shot at rim (assist by J. Parker),2,8-6,,
7:56.0,,,8-6,,L. Williams misses 3-pt shot from 25 ft
7:55.0,,,8-6,,Offensive rebound by L. Nance
7:47.0,,,8-9,3,L. Williams makes 3-pt shot from 25 ft (assist by K. Bryant)
7:31.0,O. Mayo misses 2-pt shot from 7 ft,,8-9,,
7:30.0,Offensive rebound by J. Henson,,8-9,,
7:25.0,O. Mayo makes 2-pt shot from 14 ft (assist by J. Henson),2,10-9,,
7:18.0,,,10-9,,Turnover by L. Williams (lost ball)
7:04.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,10-9,,
7:03.0,,,10-9,,Defensive rebound by L. Nance
6:44.0,,,10-11,2,L. Williams makes 2-pt shot from 16 ft
6:30.0,J. Henson makes 2-pt shot from 8 ft (assist by K. Middleton),2,12-11,,
6:14.0,,,12-11,,Turnover by L. Williams (dbl dribble)
6:04.0,Shooting foul by R. Hibbert (drawn by J. Parker),,12-11,,
6:04.0,J. Parker makes free throw 1 of 2,1,13-11,,
6:04.0,,,13-11,,D. Russell enters the game for J. Clarkson
6:04.0,J. O'Bryant enters the game for G. Antetokounmpo,,13-11,,
6:04.0,J. Parker makes free throw 2 of 2,1,14-11,,
5:44.0,,,14-11,,R. Hibbert misses 2-pt shot from 1 ft (block by J. Henson)
5:43.0,,,14-11,,Offensive rebound by R. Hibbert
5:43.0,,,14-11,,R. Hibbert misses 2-pt shot from 1 ft
5:43.0,,,14-11,,Offensive rebound by R. Hibbert
5:43.0,,,14-13,2,R. Hibbert makes 2-pt shot from 1 ft
5:43.0,,,14-13,,Shooting foul by J. Henson (drawn by R. Hibbert)
5:43.0,,,14-13,,LA Lakers full timeout
5:43.0,M. Carter-Williams enters the game for O. Mayo,,14-13,,
5:43.0,,,14-14,1,R. Hibbert makes free throw 1 of 1
5:30.0,J. Parker misses 2-pt shot from 2 ft,,14-14,,
5:30.0,,,14-14,,Defensive rebound by D. Russell
5:19.0,,,14-14,,Turnover by D. Russell (lost ball; steal by M. Carter-Williams)
5:06.0,K. Middleton makes 3-pt shot from 24 ft (assist by J. Parker),3,17-14,,
4:49.0,,,17-16,2,R. Hibbert makes 2-pt shot at rim (assist by K. Bryant)
4:30.0,K. Middleton makes 2-pt shot from 18 ft,2,19-16,,
4:16.0,,,19-18,2,K. Bryant makes 2-pt shot from 15 ft (assist by L. Williams)
3:57.0,J. Henson makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,21-18,,
3:45.0,,,21-21,3,K. Bryant makes 3-pt shot from 24 ft (assist by L. Williams)
3:22.0,K. Middleton misses 2-pt shot from 12 ft,,21-21,,
3:19.0,,,21-21,,Defensive rebound by D. Russell
3:15.0,,,21-21,,D. Russell misses 2-pt shot from 2 ft (block by J. Henson)
3:13.0,Defensive rebound by J. O'Bryant,,21-21,,
3:12.0,Turnover by J. O'Bryant (bad pass; steal by D. Russell),,21-21,,
3:12.0,,,21-23,2,D. Russell makes 2-pt shot at rim
3:05.0,,,21-23,,Violation by Team (delay of game)
2:54.0,J. Henson makes 2-pt shot from 9 ft (assist by K. Middleton),2,23-23,,
2:35.0,,,23-23,,R. Hibbert misses 2-pt shot from 4 ft
2:33.0,Defensive rebound by J. O'Bryant,,23-23,,
2:21.0,K. Middleton misses 2-pt shot from 14 ft,,23-23,,
