time,Boston,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. J. Valanciunas (A. Bradley gains possession),,,,Jump ball: A. Johnson vs. J. Valanciunas (A. Bradley gains possession)
11:45.0,A. Bradley makes 2-pt shot from 20 ft (assist by J. Sullinger),2,2-0,,
11:22.0,,,2-0,,Turnover by D. DeRozan (lost ball; steal by A. Bradley)
11:09.0,J. Sullinger misses 2-pt shot from 21 ft,,2-0,,
11:08.0,,,2-0,,Defensive rebound by J. Johnson
11:02.0,Personal foul by I. Thomas (drawn by K. Lowry),,2-0,,
10:51.0,,,2-0,,D. DeRozan misses 2-pt shot from 21 ft
10:50.0,,,2-0,,Offensive rebound by L. Scola
10:49.0,,,2-2,2,L. Scola makes 2-pt shot from 1 ft
10:33.0,J. Sullinger misses 2-pt shot at rim,,2-2,,
10:33.0,,,2-2,,Defensive rebound by J. Johnson
10:27.0,,,2-2,,L. Scola misses 2-pt shot from 3 ft
10:26.0,Defensive rebound by A. Bradley,,2-2,,
10:09.0,J. Crowder makes 3-pt shot from 24 ft (assist by I. Thomas),3,5-2,,
9:47.0,,,5-5,3,K. Lowry makes 3-pt shot from 24 ft (assist by D. DeRozan)
9:35.0,I. Thomas makes 3-pt shot from 26 ft (assist by A. Bradley),3,8-5,,
9:18.0,,,8-7,2,L. Scola makes 2-pt shot from 6 ft
8:59.0,J. Crowder misses 2-pt shot from 20 ft (block by J. Johnson),,8-7,,
8:58.0,Offensive rebound by A. Johnson,,8-7,,
8:53.0,J. Crowder misses 3-pt shot from 25 ft,,8-7,,
8:52.0,,,8-7,,Defensive rebound by J. Valanciunas
8:46.0,,,8-9,2,J. Johnson makes 2-pt shot from 14 ft
8:30.0,I. Thomas misses 2-pt shot from 12 ft,,8-9,,
8:29.0,Offensive rebound by Team,,8-9,,
8:25.0,A. Bradley makes 2-pt shot from 20 ft (assist by I. Thomas),2,10-9,,
8:04.0,,,10-12,3,J. Johnson makes 3-pt shot from 22 ft (assist by K. Lowry)
7:57.0,,,10-12,,Personal block foul by D. DeRozan (drawn by I. Thomas)
7:48.0,J. Crowder makes 2-pt shot from 1 ft (assist by I. Thomas),2,12-12,,
7:29.0,,,12-15,3,L. Scola makes 3-pt shot from 26 ft (assist by D. DeRozan)
