time,Golden State,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. M. Gortat (J. Dudley gains possession),,,,Jump ball: A. Bogut vs. M. Gortat (J. Dudley gains possession)
11:46.0,,,0-0,,J. Dudley misses 3-pt shot from 25 ft
11:45.0,Defensive rebound by H. Barnes,,0-0,,
11:29.0,K. Thompson misses 2-pt shot from 14 ft,,0-0,,
11:28.0,,,0-0,,Defensive rebound by J. Dudley
11:17.0,,,0-3,3,G. Temple makes 3-pt shot from 25 ft (assist by J. Dudley)
11:01.0,A. Bogut misses 2-pt shot from 11 ft,,0-3,,
11:00.0,,,0-3,,Defensive rebound by M. Gortat
10:57.0,,,0-3,,Turnover by M. Gortat (bad pass; steal by K. Thompson)
10:52.0,,,0-3,,Personal foul by J. Dudley (drawn by A. Bogut)
10:46.0,K. Thompson misses 2-pt shot from 12 ft,,0-3,,
10:44.0,Offensive rebound by A. Bogut,,0-3,,
10:43.0,A. Bogut makes 2-pt shot at rim,2,2-3,,
10:32.0,,,2-3,,Turnover by M. Gortat (lost ball; steal by H. Barnes)
10:16.0,K. Thompson misses 3-pt shot from 25 ft,,2-3,,
10:15.0,,,2-3,,Defensive rebound by M. Gortat
10:03.0,,,2-3,,J. Dudley misses 2-pt shot from 8 ft
10:02.0,Defensive rebound by A. Bogut,,2-3,,
9:51.0,H. Barnes makes 2-pt shot from 21 ft (assist by A. Bogut),2,4-3,,
9:34.0,,,4-5,2,O. Porter makes 2-pt shot from 15 ft
9:08.0,S. Curry makes 3-pt shot from 26 ft (assist by D. Green),3,7-5,,
9:01.0,,,7-5,,J. Wall misses 2-pt shot from 2 ft (block by D. Green)
9:00.0,,,7-5,,Offensive rebound by J. Wall
8:50.0,,,7-5,,G. Temple misses 3-pt shot from 26 ft
8:49.0,Defensive rebound by D. Green,,7-5,,
8:39.0,H. Barnes makes 2-pt shot from 17 ft (assist by D. Green),2,9-5,,
8:29.0,,,9-5,,M. Gortat misses 2-pt shot from 7 ft
8:28.0,,,9-5,,Offensive rebound by Team
8:12.0,,,9-8,3,J. Wall makes 3-pt shot from 24 ft (assist by J. Dudley)
7:59.0,S. Curry makes 3-pt shot from 25 ft,3,12-8,,
7:43.0,,,12-8,,G. Temple misses 3-pt shot from 26 ft
7:42.0,Defensive rebound by A. Bogut,,12-8,,
