time,Milwaukee,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: I. Mahinmi vs. G. Monroe (M. Carter-Williams gains possession),,,,Jump ball: I. Mahinmi vs. G. Monroe (M. Carter-Williams gains possession)
11:49.0,Turnover by M. Carter-Williams (bad pass; steal by I. Mahinmi),,0-0,,
11:46.0,,,0-0,,P. George misses 2-pt shot from 2 ft (block by G. Monroe)
11:46.0,,,0-0,,Offensive rebound by Team
11:35.0,,,0-3,3,C. Miles makes 3-pt shot from 27 ft (assist by C. Budinger)
11:17.0,Shooting foul by I. Mahinmi (drawn by G. Antetokounmpo),,0-3,,
11:17.0,G. Antetokounmpo makes free throw 1 of 2,1,1-3,,
11:17.0,G. Antetokounmpo misses free throw 2 of 2,,1-3,,
11:16.0,Offensive rebound by J. Parker,,1-3,,
11:13.0,J. Parker makes 2-pt shot from 5 ft,2,3-3,,
11:01.0,,,3-3,,Turnover by I. Mahinmi (lost ball; steal by J. Parker)
10:56.0,J. Parker makes 2-pt shot at rim,2,5-3,,
10:37.0,,,5-3,,C. Budinger misses 2-pt shot from 17 ft
10:36.0,Defensive rebound by K. Middleton,,5-3,,
10:28.0,G. Monroe makes 2-pt shot at rim (assist by M. Carter-Williams),2,7-3,,
10:16.0,,,7-3,,Turnover by M. Ellis (lost ball; steal by G. Monroe)
10:13.0,Shooting foul by C. Miles (drawn by J. Parker),,7-3,,
10:13.0,J. Parker makes free throw 1 of 2,1,8-3,,
10:13.0,J. Parker makes free throw 2 of 2,1,9-3,,
10:02.0,,,9-3,,C. Miles misses 3-pt shot from 25 ft
10:02.0,,,9-3,,Offensive rebound by I. Mahinmi
9:54.0,,,9-3,,I. Mahinmi misses 2-pt shot from 5 ft
9:53.0,Defensive rebound by G. Monroe,,9-3,,
9:44.0,J. Parker misses 2-pt shot from 3 ft,,9-3,,
9:44.0,,,9-3,,Defensive rebound by C. Miles
9:25.0,,,9-6,3,C. Budinger makes 3-pt shot from 23 ft (assist by M. Ellis)
9:09.0,G. Antetokounmpo makes 2-pt shot at rim,2,11-6,,
8:52.0,,,11-6,,C. Miles misses 3-pt shot from 22 ft
8:52.0,Defensive rebound by G. Monroe,,11-6,,
