time,Miami,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. A. Stoudemire (C. Bosh gains possession),,,,Jump ball: B. Lopez vs. A. Stoudemire (C. Bosh gains possession)
11:46.0,A. Stoudemire makes 2-pt shot at rim (assist by C. Bosh),2,2-0,,
11:26.0,,,2-2,2,B. Lopez makes 2-pt shot from 5 ft
11:06.0,C. Bosh makes 2-pt shot from 18 ft,2,4-2,,
10:43.0,,,4-2,,T. Young misses 2-pt shot from 15 ft
10:42.0,Defensive rebound by A. Stoudemire,,4-2,,
10:31.0,L. Deng misses 2-pt shot from 8 ft,,4-2,,
10:31.0,Offensive rebound by L. Deng,,4-2,,
10:22.0,B. Udrih makes 2-pt shot from 2 ft (assist by L. Deng),2,6-2,,
9:59.0,,,6-4,2,B. Lopez makes 2-pt shot from 9 ft
9:43.0,C. Bosh misses 3-pt shot from 23 ft,,6-4,,
9:42.0,,,6-4,,Defensive rebound by B. Lopez
9:28.0,,,6-6,2,T. Young makes 2-pt shot from 17 ft
9:14.0,D. Wade misses 2-pt shot from 5 ft,,6-6,,
9:13.0,,,6-6,,Defensive rebound by B. Lopez
9:07.0,,,6-8,2,T. Young makes 2-pt shot at rim (assist by D. Sloan)
8:54.0,A. Stoudemire misses 2-pt shot from 2 ft,,6-8,,
8:53.0,,,6-8,,Defensive rebound by B. Lopez
8:42.0,,,6-11,3,W. Ellington makes 3-pt shot from 24 ft (assist by D. Sloan)
8:21.0,D. Wade makes 2-pt shot from 11 ft (assist by A. Stoudemire),2,8-11,,
8:12.0,,,8-11,,D. Sloan misses 2-pt shot from 20 ft
8:11.0,Defensive rebound by A. Stoudemire,,8-11,,
7:57.0,Shooting foul by B. Lopez (drawn by D. Wade),,8-11,,
7:57.0,D. Wade makes free throw 1 of 2,1,9-11,,
7:57.0,D. Wade makes free throw 2 of 2,1,10-11,,
7:45.0,,,10-13,2,J. Johnson makes 2-pt shot from 18 ft
7:45.0,,,10-13,,Shooting foul by L. Deng (drawn by J. Johnson)
7:45.0,,,10-14,1,J. Johnson makes free throw 1 of 1
7:31.0,L. Deng misses 3-pt shot from 22 ft,,10-14,,
7:30.0,,,10-14,,Defensive rebound by B. Lopez
7:19.0,,,10-16,2,B. Lopez makes 2-pt shot from 8 ft
7:01.0,D. Wade misses 2-pt shot from 2 ft,,10-16,,
7:00.0,,,10-16,,Defensive rebound by D. Sloan
6:52.0,,,10-18,2,T. Young makes 2-pt shot from 2 ft (assist by J. Johnson)
6:46.0,Miami full timeout,,10-18,,
6:46.0,J. Winslow enters the game for C. Bosh,,10-18,,
6:37.0,Offensive foul by D. Wade,,10-18,,
6:37.0,Turnover by D. Wade (offensive foul),,10-18,,
6:27.0,,,10-18,,Turnover by B. Lopez (3 sec)
6:14.0,D. Wade misses 2-pt shot from 9 ft,,10-18,,
6:13.0,,,10-18,,Defensive rebound by B. Lopez
6:04.0,,,10-20,2,J. Johnson makes 2-pt shot from 8 ft
5:42.0,B. Udrih makes 2-pt shot from 14 ft (assist by D. Wade),2,12-20,,
5:28.0,,,12-20,,T. Young misses 2-pt shot from 17 ft
5:27.0,Defensive rebound by J. Winslow,,12-20,,
5:18.0,D. Wade makes 2-pt shot from 8 ft,2,14-20,,
4:53.0,,,14-20,,T. Young misses 2-pt shot from 7 ft
4:52.0,Defensive rebound by J. Winslow,,14-20,,
4:35.0,Turnover by L. Deng (step out of bounds),,14-20,,
4:20.0,,,14-20,,W. Ellington misses 2-pt shot from 18 ft (block by D. Wade)
4:19.0,Defensive rebound by B. Udrih,,14-20,,
4:15.0,D. Wade misses 2-pt shot from 1 ft,,14-20,,
4:14.0,,,14-20,,Defensive rebound by D. Sloan
4:05.0,,,14-20,,W. Ellington misses 3-pt shot from 23 ft
4:04.0,Defensive rebound by B. Udrih,,14-20,,
3:51.0,L. Deng makes 2-pt shot from 9 ft (assist by B. Udrih),2,16-20,,
3:28.0,,,16-20,,B. Lopez misses 2-pt shot from 4 ft
3:27.0,Defensive rebound by A. Stoudemire,,16-20,,
3:16.0,B. Udrih makes 2-pt shot from 13 ft,2,18-20,,
3:16.0,,,18-20,,Brooklyn full timeout
3:16.0,C. Bosh enters the game for L. Deng,,18-20,,
