time,LA Lakers,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Grant vs. R. Hibbert (J. Randle gains possession),,,,Jump ball: J. Grant vs. R. Hibbert (J. Randle gains possession)
11:49.0,K. Bryant makes 3-pt shot from 25 ft,3,3-0,,
11:34.0,,,3-3,3,R. Covington makes 3-pt shot from 26 ft (assist by I. Canaan)
11:21.0,K. Bryant makes 3-pt shot from 25 ft,3,6-3,,
11:02.0,,,6-6,3,I. Canaan makes 3-pt shot from 27 ft
10:48.0,K. Bryant misses 3-pt shot from 26 ft,,6-6,,
10:47.0,Offensive rebound by D. Russell,,6-6,,
10:44.0,K. Bryant makes 3-pt shot from 28 ft (assist by D. Russell),3,9-6,,
10:23.0,,,9-6,,J. Okafor misses 2-pt shot from 17 ft
10:20.0,Defensive rebound by J. Randle,,9-6,,
10:12.0,K. Bryant misses 3-pt shot from 25 ft,,9-6,,
10:11.0,,,9-6,,Defensive rebound by J. Sampson
10:05.0,,,9-6,,J. Sampson misses 2-pt shot from 2 ft
10:03.0,Defensive rebound by R. Hibbert,,9-6,,
9:54.0,D. Russell misses 3-pt shot from 25 ft,,9-6,,
9:53.0,,,9-6,,Defensive rebound by J. Grant
9:37.0,,,9-8,2,J. Okafor makes 2-pt shot from 1 ft
9:19.0,K. Bryant misses 2-pt shot from 14 ft,,9-8,,
9:16.0,,,9-8,,Defensive rebound by J. Grant
9:10.0,,,9-8,,J. Sampson misses 2-pt shot from 3 ft
9:08.0,Defensive rebound by J. Randle,,9-8,,
9:01.0,J. Clarkson misses 2-pt shot from 5 ft (block by J. Grant),,9-8,,
9:01.0,,,9-8,,Defensive rebound by Team
8:42.0,,,9-8,,Shooting foul by R. Hibbert (drawn by J. Grant)
8:42.0,,,9-9,1,J. Grant makes free throw 1 of 2
8:42.0,,,9-10,1,J. Grant makes free throw 2 of 2
8:25.0,J. Randle misses 2-pt shot from 8 ft,,9-10,,
8:24.0,,,9-10,,Defensive rebound by J. Sampson
8:17.0,,,9-10,,R. Covington misses 3-pt shot from 24 ft
8:15.0,Defensive rebound by J. Randle,,9-10,,
8:03.0,D. Russell misses 3-pt shot from 26 ft,,9-10,,
8:02.0,,,9-10,,Defensive rebound by J. Okafor
7:55.0,,,9-13,3,I. Canaan makes 3-pt shot from 26 ft
7:36.0,K. Bryant makes 2-pt shot from 20 ft,2,11-13,,
7:25.0,,,11-15,2,J. Grant makes 2-pt shot at rim (assist by I. Canaan)
7:12.0,K. Bryant misses 3-pt shot from 25 ft,,11-15,,
7:11.0,,,11-15,,Defensive rebound by J. Sampson
6:58.0,,,11-15,,J. Okafor misses 2-pt shot from 12 ft
6:57.0,Defensive rebound by J. Randle,,11-15,,
6:49.0,J. Randle makes 2-pt shot from 2 ft,2,13-15,,
6:42.0,,,13-15,,Turnover by R. Covington (traveling)
6:42.0,,,13-15,,T. McConnell enters the game for R. Covington
6:29.0,J. Randle makes 2-pt shot from 2 ft (assist by R. Hibbert),2,15-15,,
6:29.0,Shooting foul by J. Grant (drawn by J. Randle),,15-15,,
6:29.0,J. Randle misses free throw 1 of 1,,15-15,,
6:28.0,,,15-15,,Defensive rebound by Team
6:04.0,,,15-17,2,J. Grant makes 2-pt shot from 1 ft (assist by T. McConnell)
5:52.0,J. Randle makes 2-pt shot at rim (assist by D. Russell),2,17-17,,
5:51.0,,,17-17,,Philadelphia full timeout
5:51.0,L. Williams enters the game for D. Russell,,17-17,,
5:51.0,,,17-17,,H. Thompson enters the game for J. Sampson
5:38.0,,,17-17,,Turnover by J. Okafor (bad pass; steal by J. Randle)
5:20.0,J. Randle misses 2-pt shot from 4 ft,,17-17,,
5:16.0,,,17-17,,Defensive rebound by T. McConnell
5:02.0,,,17-20,3,T. McConnell makes 3-pt shot from 26 ft (assist by I. Canaan)
4:48.0,K. Bryant misses 3-pt shot from 29 ft,,17-20,,
4:47.0,Offensive rebound by J. Clarkson,,17-20,,
4:31.0,J. Clarkson misses 2-pt shot from 12 ft,,17-20,,
4:29.0,Offensive rebound by K. Bryant,,17-20,,
4:27.0,K. Bryant makes 2-pt shot from 6 ft,2,19-20,,
4:18.0,,,19-20,,H. Thompson misses 2-pt shot from 19 ft
4:18.0,,,19-20,,Offensive rebound by Team
4:18.0,,,19-20,,N. Stauskas enters the game for I. Canaan
4:18.0,,,19-20,,N. Noel enters the game for J. Okafor
4:18.0,,,19-20,,R. Covington enters the game for J. Grant
4:18.0,M. World Peace enters the game for K. Bryant,,19-20,,
4:00.0,,,19-22,2,N. Noel makes 2-pt shot from 1 ft (assist by R. Covington)
3:39.0,L. Williams makes 2-pt shot from 17 ft (assist by R. Hibbert),2,21-22,,
3:26.0,,,21-24,2,H. Thompson makes 2-pt shot from 2 ft (assist by N. Noel)
3:08.0,Shooting foul by N. Stauskas (drawn by L. Williams),,21-24,,
3:08.0,L. Williams makes free throw 1 of 2,1,22-24,,
3:08.0,N. Young enters the game for R. Hibbert,,22-24,,
3:08.0,B. Bass enters the game for J. Randle,,22-24,,
3:08.0,L. Williams makes free throw 2 of 2,1,23-24,,
2:55.0,,,23-26,2,N. Noel makes 2-pt shot at rim (assist by T. McConnell)
2:39.0,J. Clarkson makes 2-pt shot from 7 ft,2,25-26,,
2:28.0,,,25-26,,R. Covington misses 2-pt shot from 4 ft
2:27.0,,,25-26,,Offensive rebound by N. Noel
2:24.0,,,25-26,,Turnover by N. Noel (lost ball)
2:24.0,LA Lakers full timeout,,25-26,,
2:20.0,Shooting foul by N. Stauskas (drawn by N. Young),,25-26,,
2:20.0,N. Young misses free throw 1 of 2,,25-26,,
2:20.0,Offensive rebound by Team,,25-26,,
2:20.0,N. Young makes free throw 2 of 2,1,26-26,,
2:06.0,,,26-26,,N. Stauskas misses 2-pt shot from 17 ft
2:05.0,Defensive rebound by J. Clarkson,,26-26,,
1:56.0,Turnover by M. World Peace (bad pass; steal by N. Stauskas),,26-26,,
1:48.0,,,26-26,,H. Thompson misses 3-pt shot from 26 ft
1:46.0,Defensive rebound by M. World Peace,,26-26,,
1:32.0,L. Williams makes 3-pt shot from 26 ft (assist by J. Clarkson),3,29-26,,
1:18.0,,,29-26,,Turnover by N. Noel (offensive goaltending)
1:05.0,B. Bass makes 2-pt shot from 15 ft (assist by L. Williams),2,31-26,,
0:53.0,,,31-26,,T. McConnell misses 2-pt shot from 8 ft
0:51.0,Defensive rebound by J. Clarkson,,31-26,,
0:46.0,N. Young misses 3-pt shot from 26 ft,,31-26,,
0:44.0,,,31-26,,Defensive rebound by R. Covington
0:31.0,,,31-26,,Turnover by R. Covington (lost ball; steal by L. Williams)
0:13.0,Shooting foul by R. Covington (drawn by M. World Peace),,31-26,,
0:13.0,M. World Peace makes free throw 1 of 2,1,32-26,,
0:13.0,M. World Peace makes free throw 2 of 2,1,33-26,,
0:02.0,,,33-26,,R. Covington misses 3-pt shot from 26 ft
0:00.0,,,33-26,,Offensive rebound by H. Thompson
0:00.0,,,33-26,,H. Thompson misses 2-pt shot from 17 ft
