time,Minnesota,pts.away,score,pts.home,Utah
11:19.0,Defensive rebound by K. Towns,,24-25,,
11:08.0,K. Towns misses 2-pt shot from 23 ft,,24-25,,
11:07.0,Offensive rebound by K. Towns,,24-25,,
10:57.0,A. Wiggins misses 2-pt shot from 15 ft,,24-25,,
10:56.0,,,24-25,,Defensive rebound by T. Booker
10:40.0,,,24-25,,Turnover by R. Neto (lost ball; steal by A. Wiggins)
10:34.0,A. Wiggins makes 2-pt shot from 1 ft (assist by Z. LaVine),2,26-25,,
10:19.0,,,26-25,,R. Neto misses 2-pt shot from 13 ft
10:18.0,,,26-25,,Offensive rebound by R. Gobert
10:18.0,,,26-25,,Shooting foul by N. Bjelica (drawn by R. Gobert)
10:18.0,,,26-26,1,R. Gobert makes free throw 1 of 2
10:18.0,G. Smith enters the game for K. Towns,,26-26,,
10:18.0,T. Prince enters the game for Z. LaVine,,26-26,,
10:18.0,T. Jones enters the game for A. Wiggins,,26-26,,
10:18.0,,,26-26,,R. Gobert misses free throw 2 of 2
10:17.0,Defensive rebound by N. Bjelica,,26-26,,
9:57.0,S. Muhammad makes 2-pt shot from 2 ft,2,28-26,,
9:45.0,,,28-28,2,T. Booker makes 2-pt shot at rim (assist by J. Ingles)
9:21.0,T. Prince misses 2-pt shot from 21 ft,,28-28,,
9:20.0,Offensive rebound by T. Jones,,28-28,,
9:06.0,T. Prince misses 2-pt shot from 18 ft,,28-28,,
9:06.0,,,28-28,,Defensive rebound by T. Booker
8:49.0,,,28-28,,R. Neto misses 3-pt shot from 23 ft
8:49.0,Defensive rebound by T. Prince,,28-28,,
8:35.0,Turnover by T. Jones (lost ball; steal by R. Gobert),,28-28,,
8:28.0,,,28-28,,J. Ingles misses 3-pt shot from 24 ft
8:27.0,Defensive rebound by N. Bjelica,,28-28,,
8:19.0,T. Jones misses 3-pt shot from 24 ft,,28-28,,
8:17.0,,,28-28,,Defensive rebound by R. Gobert
8:13.0,,,28-28,,Utah full timeout
8:13.0,,,28-28,,C. Johnson enters the game for J. Ingles
8:13.0,,,28-28,,T. Lyles enters the game for T. Booker
8:06.0,,,28-30,2,R. Hood makes 2-pt shot from 2 ft
7:48.0,N. Bjelica makes 3-pt shot from 24 ft (assist by T. Jones),3,31-30,,
7:31.0,,,31-30,,R. Hood misses 3-pt shot from 24 ft
7:30.0,Defensive rebound by N. Bjelica,,31-30,,
7:06.0,S. Muhammad makes 3-pt shot from 24 ft (assist by N. Bjelica),3,34-30,,
6:41.0,,,34-30,,Turnover by R. Hood (lost ball; steal by T. Prince)
6:34.0,N. Bjelica makes 2-pt shot from 2 ft (assist by S. Muhammad),2,36-30,,
6:24.0,,,36-30,,Turnover by Team (turnover)
6:24.0,A. Wiggins enters the game for T. Prince,,36-30,,
6:06.0,S. Muhammad misses 3-pt shot from 24 ft,,36-30,,
6:05.0,,,36-30,,Defensive rebound by R. Neto
6:00.0,,,36-30,,G. Hayward enters the game for C. Johnson
6:00.0,,,36-30,,J. Withey enters the game for R. Gobert
6:00.0,Z. LaVine enters the game for T. Jones,,36-30,,
5:58.0,,,36-30,,Turnover by R. Neto (lost ball; steal by G. Smith)
5:58.0,Jump ball: S. Muhammad vs. R. Neto (Z. LaVine gains possession),,,,Jump ball: S. Muhammad vs. R. Neto (Z. LaVine gains possession)
5:47.0,Minnesota full timeout,,36-30,,
5:47.0,,,36-30,,S. Mack enters the game for R. Neto
5:37.0,A. Wiggins misses 2-pt shot from 3 ft,,36-30,,
5:37.0,,,36-30,,Defensive rebound by S. Mack
