time,Chicago,pts.away,score,pts.home,Toronto
11:47.0,,,26-26,,Defensive rebound by B. Biyombo
11:33.0,,,26-26,,T. Ross misses 3-pt shot from 22 ft
11:32.0,Defensive rebound by B. Portis,,26-26,,
11:21.0,T. Gibson makes 2-pt shot from 9 ft (assist by A. Brooks),2,28-26,,
11:10.0,Personal foul by T. Snell (drawn by K. Lowry),,28-26,,
10:55.0,,,28-26,,T. Ross misses 2-pt shot from 19 ft
10:55.0,Defensive rebound by T. Snell,,28-26,,
10:46.0,T. Snell misses 2-pt shot from 19 ft,,28-26,,
10:45.0,Offensive rebound by T. Gibson,,28-26,,
10:38.0,D. McDermott misses 3-pt shot from 24 ft,,28-26,,
10:38.0,,,28-26,,Defensive rebound by P. Patterson
10:27.0,,,28-28,2,C. Joseph makes 2-pt shot from 20 ft
10:22.0,Turnover by T. Gibson (bad pass),,28-28,,
10:16.0,,,28-28,,K. Lowry misses 3-pt shot from 25 ft
10:15.0,Defensive rebound by B. Portis,,28-28,,
10:01.0,A. Brooks misses 2-pt shot from 1 ft,,28-28,,
10:01.0,,,28-28,,Defensive rebound by P. Patterson
9:45.0,,,28-30,2,B. Biyombo makes 2-pt shot at rim (assist by C. Joseph)
9:29.0,A. Brooks makes 3-pt shot from 23 ft (assist by T. Gibson),3,31-30,,
9:13.0,,,31-30,,Shooting foul by A. Brooks (drawn by C. Joseph)
9:13.0,,,31-31,1,C. Joseph makes free throw 1 of 2
9:13.0,,,31-32,1,C. Joseph makes free throw 2 of 2
9:02.0,,,31-32,,Personal foul by C. Joseph (drawn by A. Brooks)
8:58.0,B. Portis misses 3-pt shot from 24 ft,,31-32,,
8:57.0,Offensive rebound by T. Gibson,,31-32,,
8:40.0,D. McDermott misses 2-pt shot from 16 ft,,31-32,,
8:39.0,,,31-32,,Defensive rebound by K. Lowry
8:28.0,,,31-35,3,K. Lowry makes 3-pt shot from 22 ft
8:12.0,Offensive foul by D. McDermott,,31-35,,
8:12.0,Turnover by D. McDermott (offensive foul),,31-35,,
8:12.0,Official timeout,,31-35,,
7:58.0,,,31-35,,Turnover by K. Lowry (step out of bounds)
7:51.0,A. Brooks makes 2-pt shot from 1 ft,2,33-35,,
7:35.0,,,33-35,,T. Ross misses 2-pt shot from 20 ft
7:35.0,,,33-35,,Offensive rebound by C. Joseph
7:31.0,,,33-38,3,K. Lowry makes 3-pt shot from 24 ft (assist by C. Joseph)
7:21.0,Turnover by A. Brooks (lost ball; steal by T. Ross),,33-38,,
7:12.0,,,33-40,2,P. Patterson makes 2-pt shot from 9 ft (assist by K. Lowry)
7:12.0,Chicago full timeout,,33-40,,
