time,Chicago,pts.away,score,pts.home,Toronto
0:58.0,E. Moore makes 2-pt shot from 2 ft,2,109-109,,
0:58.0,,,109-109,,Toronto full timeout
0:41.0,,,109-111,2,K. Lowry makes 2-pt shot from 16 ft
0:41.0,Chicago full timeout,,109-111,,
0:41.0,,,109-111,,B. Biyombo enters the game for J. Valanciunas
0:31.0,J. Butler makes 3-pt shot from 22 ft,3,112-111,,
0:31.0,,,112-111,,Toronto full timeout
0:31.0,,,112-111,,P. Patterson enters the game for B. Biyombo
0:31.0,T. Snell enters the game for N. Mirotic,,112-111,,
0:31.0,T. Gibson enters the game for A. Brooks,,112-111,,
0:25.0,,,112-111,,K. Lowry misses 2-pt shot from 1 ft
0:24.0,Defensive rebound by P. Gasol,,112-111,,
0:24.0,,,112-111,,Personal foul by D. Carroll (drawn by P. Gasol)
0:24.0,P. Gasol makes free throw 1 of 2,1,113-111,,
0:24.0,,,113-111,,J. Valanciunas enters the game for C. Joseph
0:24.0,P. Gasol misses free throw 2 of 2,,113-111,,
0:24.0,,,113-111,,Defensive rebound by D. Carroll
0:24.0,,,113-111,,Toronto full timeout
0:24.0,,,113-111,,T. Ross enters the game for P. Patterson
0:18.0,,,113-111,,D. DeRozan misses 2-pt shot from 3 ft (block by P. Gasol)
0:17.0,Defensive rebound by T. Snell,,113-111,,
0:16.0,,,113-111,,Personal foul by K. Lowry (drawn by T. Gibson)
0:16.0,T. Gibson misses free throw 1 of 2,,113-111,,
0:16.0,Offensive rebound by Team,,113-111,,
0:16.0,T. Gibson makes free throw 2 of 2,1,114-111,,
0:08.0,,,114-111,,D. Carroll misses 3-pt shot from 24 ft
0:07.0,,,114-111,,Offensive rebound by J. Valanciunas
0:06.0,,,114-113,2,J. Valanciunas makes 2-pt shot at rim
0:05.0,,,114-113,,Personal foul by K. Lowry (drawn by J. Butler)
0:05.0,J. Butler misses free throw 1 of 2,,114-113,,
0:05.0,Offensive rebound by Team,,114-113,,
0:05.0,J. Butler makes free throw 2 of 2,1,115-113,,
0:00.0,,,115-113,,D. DeRozan misses 3-pt shot from 24 ft
0:00.0,,,115-113,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
