time,Golden State,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. A. Stoudemire (J. Winslow gains possession),,,,Jump ball: A. Bogut vs. A. Stoudemire (J. Winslow gains possession)
11:33.0,,,0-0,,G. Dragic misses 2-pt shot from 17 ft
11:32.0,,,0-0,,Offensive rebound by D. Wade
11:30.0,,,0-2,2,D. Wade makes 2-pt shot from 1 ft
11:09.0,K. Thompson misses 3-pt shot from 26 ft,,0-2,,
11:08.0,,,0-2,,Defensive rebound by L. Deng
10:53.0,,,0-2,,J. Winslow misses 2-pt shot from 1 ft (block by D. Green)
10:52.0,,,0-2,,Offensive rebound by J. Winslow
10:46.0,,,0-2,,G. Dragic misses 3-pt shot from 23 ft
10:45.0,Defensive rebound by D. Green,,0-2,,
10:41.0,S. Curry makes 3-pt shot from 26 ft (assist by D. Green),3,3-2,,
10:27.0,,,3-2,,L. Deng misses 3-pt shot from 26 ft
10:26.0,Defensive rebound by A. Bogut,,3-2,,
10:20.0,H. Barnes misses 3-pt shot from 23 ft,,3-2,,
10:19.0,,,3-2,,Defensive rebound by A. Stoudemire
10:10.0,,,3-4,2,D. Wade makes 2-pt shot from 18 ft
9:59.0,H. Barnes misses 2-pt shot from 12 ft,,3-4,,
9:58.0,,,3-4,,Defensive rebound by A. Stoudemire
9:47.0,,,3-6,2,D. Wade makes 2-pt shot from 12 ft
9:39.0,S. Curry misses 3-pt shot from 24 ft,,3-6,,
9:38.0,,,3-6,,Defensive rebound by L. Deng
9:29.0,,,3-6,,Turnover by G. Dragic (lost ball)
9:26.0,Turnover by S. Curry (lost ball; steal by G. Dragic),,3-6,,
9:20.0,,,3-6,,A. Stoudemire misses 2-pt shot from 2 ft
9:19.0,Defensive rebound by A. Bogut,,3-6,,
9:03.0,K. Thompson misses 3-pt shot from 24 ft,,3-6,,
9:02.0,,,3-6,,Defensive rebound by L. Deng
8:48.0,,,3-6,,G. Dragic misses 2-pt shot from 2 ft
8:47.0,Defensive rebound by A. Bogut,,3-6,,
8:38.0,S. Curry makes 2-pt shot from 1 ft (assist by A. Bogut),2,5-6,,
8:25.0,,,5-6,,G. Dragic misses 2-pt shot from 13 ft
8:24.0,Defensive rebound by D. Green,,5-6,,
8:20.0,Turnover by D. Green (lost ball; steal by L. Deng),,5-6,,
8:18.0,Shooting block foul by D. Green (drawn by L. Deng),,5-6,,
8:18.0,,,5-7,1,L. Deng makes free throw 1 of 2
8:18.0,Golden State full timeout,,5-7,,
8:18.0,,,5-7,,L. Deng misses free throw 2 of 2
8:17.0,Defensive rebound by D. Green,,5-7,,
8:03.0,A. Bogut misses 2-pt shot from 9 ft,,5-7,,
8:02.0,,,5-7,,Defensive rebound by J. Winslow
7:52.0,,,5-9,2,D. Wade makes 2-pt shot from 6 ft
7:38.0,S. Curry makes 2-pt shot from 2 ft,2,7-9,,
7:11.0,,,7-11,2,D. Wade makes 2-pt shot from 2 ft
7:02.0,Turnover by S. Curry (bad pass),,7-11,,
6:44.0,,,7-11,,A. Stoudemire misses 2-pt shot from 5 ft
6:43.0,Defensive rebound by A. Bogut,,7-11,,
6:31.0,S. Curry misses 2-pt shot from 2 ft,,7-11,,
6:30.0,,,7-11,,Defensive rebound by G. Dragic
6:23.0,,,7-11,,Turnover by D. Wade (lost ball; steal by K. Thompson)
6:18.0,S. Curry misses 2-pt shot from 2 ft,,7-11,,
6:17.0,Offensive rebound by H. Barnes,,7-11,,
6:17.0,Shooting foul by A. Stoudemire (drawn by H. Barnes),,7-11,,
6:17.0,H. Barnes makes free throw 1 of 2,1,8-11,,
6:17.0,,,8-11,,H. Whiteside enters the game for A. Stoudemire
6:17.0,,,8-11,,G. Green enters the game for D. Wade
6:17.0,H. Barnes makes free throw 2 of 2,1,9-11,,
5:59.0,,,9-13,2,G. Dragic makes 2-pt shot from 1 ft (assist by L. Deng)
5:51.0,,,9-13,,Personal foul by G. Green
5:51.0,A. Iguodala enters the game for H. Barnes,,9-13,,
5:45.0,K. Thompson makes 2-pt shot from 1 ft (assist by S. Curry),2,11-13,,
5:28.0,,,11-13,,J. Winslow misses 2-pt shot from 2 ft
5:27.0,,,11-13,,Offensive rebound by L. Deng
5:24.0,,,11-15,2,L. Deng makes 2-pt shot from 2 ft
5:13.0,S. Curry misses 3-pt shot from 23 ft,,11-15,,
5:12.0,,,11-15,,Defensive rebound by H. Whiteside
5:04.0,,,11-15,,Shooting foul by D. Green (drawn by H. Whiteside)
