time,Indiana,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: I. Mahinmi vs. J. Valanciunas (M. Turner gains possession),,,,Jump ball: I. Mahinmi vs. J. Valanciunas (M. Turner gains possession)
11:44.0,P. George makes 2-pt shot from 9 ft,2,2-0,,
11:27.0,,,2-0,,Turnover by J. Valanciunas (lost ball; steal by M. Ellis)
11:17.0,Turnover by M. Turner (lost ball; steal by D. Carroll),,2-0,,
11:09.0,,,2-0,,Turnover by J. Valanciunas (lost ball; steal by G. Hill)
11:01.0,P. George misses 3-pt shot from 24 ft,,2-0,,
11:00.0,,,2-0,,Defensive rebound by P. Patterson
10:48.0,,,2-0,,Turnover by J. Valanciunas (lost ball; steal by M. Ellis)
10:42.0,M. Turner makes 2-pt shot from 3 ft (assist by M. Ellis),2,4-0,,
10:25.0,,,4-2,2,D. DeRozan makes 2-pt shot from 20 ft
10:07.0,M. Turner misses 2-pt shot from 17 ft,,4-2,,
10:06.0,,,4-2,,Defensive rebound by P. Patterson
9:56.0,,,4-2,,K. Lowry misses 2-pt shot from 5 ft (block by P. George)
9:55.0,Defensive rebound by I. Mahinmi,,4-2,,
9:50.0,,,4-2,,Shooting block foul by D. DeRozan (drawn by P. George)
9:50.0,P. George makes free throw 1 of 2,1,5-2,,
9:50.0,P. George makes free throw 2 of 2,1,6-2,,
9:40.0,,,6-2,,Shooting foul by I. Mahinmi (drawn by D. DeRozan)
9:40.0,,,6-3,1,D. DeRozan makes free throw 1 of 2
9:40.0,,,6-4,1,D. DeRozan makes free throw 2 of 2
9:20.0,G. Hill misses 2-pt shot from 19 ft,,6-4,,
9:20.0,,,6-4,,Defensive rebound by D. Carroll
9:09.0,,,6-4,,Turnover by J. Valanciunas (lost ball; steal by P. George)
9:04.0,M. Ellis makes 2-pt shot from 2 ft (assist by P. George),2,8-4,,
8:49.0,Personal foul by I. Mahinmi,,8-4,,
8:49.0,S. Hill enters the game for I. Mahinmi,,8-4,,
8:40.0,,,8-4,,D. DeRozan misses 2-pt shot from 15 ft
8:40.0,Defensive rebound by S. Hill,,8-4,,
8:20.0,M. Turner makes 2-pt shot from 18 ft (assist by P. George),2,10-4,,
8:07.0,,,10-4,,Shooting foul by M. Ellis (drawn by D. DeRozan)
8:07.0,,,10-5,1,D. DeRozan makes free throw 1 of 2
8:07.0,,,10-6,1,D. DeRozan makes free throw 2 of 2
7:44.0,M. Ellis misses 2-pt shot from 5 ft,,10-6,,
7:43.0,,,10-6,,Defensive rebound by K. Lowry
7:30.0,,,10-6,,P. Patterson misses 2-pt shot at rim (block by M. Turner)
7:29.0,Defensive rebound by M. Ellis,,10-6,,
7:24.0,P. George makes 3-pt shot from 23 ft (assist by G. Hill),3,13-6,,
7:17.0,,,13-6,,Toronto full timeout
7:04.0,,,13-9,3,P. Patterson makes 3-pt shot from 25 ft (assist by J. Valanciunas)
6:44.0,M. Turner misses 2-pt shot from 19 ft,,13-9,,
6:42.0,,,13-9,,Defensive rebound by Team
6:42.0,Loose ball foul by S. Hill,,13-9,,
6:32.0,,,13-11,2,D. Carroll makes 2-pt shot from 2 ft (assist by J. Valanciunas)
6:12.0,M. Turner makes 2-pt shot from 4 ft (assist by P. George),2,15-11,,
6:01.0,Personal foul by M. Ellis,,15-11,,
6:01.0,,,15-12,1,D. Carroll makes free throw 1 of 2
6:01.0,R. Stuckey enters the game for M. Ellis,,15-12,,
6:01.0,,,15-12,,D. Carroll misses free throw 2 of 2
6:00.0,Defensive rebound by S. Hill,,15-12,,
5:46.0,Shooting foul by D. Carroll (drawn by P. George),,15-12,,
5:46.0,P. George makes free throw 1 of 2,1,16-12,,
5:46.0,P. George makes free throw 2 of 2,1,17-12,,
5:32.0,,,17-12,,D. Carroll misses 2-pt shot from 4 ft
5:31.0,Defensive rebound by M. Turner,,17-12,,
5:10.0,S. Hill makes 3-pt shot from 26 ft (assist by R. Stuckey),3,20-12,,
4:59.0,,,20-12,,Toronto full timeout
4:48.0,,,20-12,,D. DeRozan misses 2-pt shot from 3 ft
4:47.0,,,20-12,,Offensive rebound by J. Valanciunas
4:46.0,,,20-14,2,J. Valanciunas makes 2-pt shot from 3 ft
4:20.0,R. Stuckey misses 3-pt shot from 23 ft,,20-14,,
4:20.0,Offensive rebound by M. Turner,,20-14,,
4:13.0,R. Stuckey misses 2-pt shot from 2 ft (block by J. Valanciunas),,20-14,,
4:12.0,,,20-14,,Defensive rebound by D. DeRozan
3:57.0,,,20-14,,Shooting foul by G. Hill (drawn by K. Lowry)
3:57.0,,,20-15,1,K. Lowry makes free throw 1 of 2
3:57.0,,,20-15,,B. Biyombo enters the game for J. Valanciunas
3:57.0,,,20-16,1,K. Lowry makes free throw 2 of 2
3:54.0,Indiana full timeout,,20-16,,
3:54.0,,,20-16,,T. Ross enters the game for D. DeRozan
3:44.0,Turnover by P. George (bad pass),,20-16,,
