time,Washington,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. N. Noel (H. Thompson gains possession),,,,Jump ball: M. Gortat vs. N. Noel (H. Thompson gains possession)
11:44.0,,,0-3,3,H. Thompson makes 3-pt shot from 23 ft
11:24.0,M. Morris misses 2-pt shot from 16 ft,,0-3,,
11:22.0,,,0-3,,Defensive rebound by H. Thompson
11:17.0,,,0-3,,Turnover by I. Smith (lost ball; steal by G. Temple)
11:11.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,2-3,,
11:00.0,,,2-3,,I. Smith misses 3-pt shot from 25 ft
10:58.0,Defensive rebound by M. Gortat,,2-3,,
10:49.0,J. Wall makes 2-pt shot from 17 ft,2,4-3,,
10:36.0,,,4-3,,H. Thompson misses 3-pt shot from 26 ft
10:35.0,Defensive rebound by J. Wall,,4-3,,
10:29.0,M. Morris makes 2-pt shot at rim (assist by J. Wall),2,6-3,,
10:13.0,,,6-3,,J. Grant misses 3-pt shot from 26 ft
10:12.0,Defensive rebound by J. Wall,,6-3,,
10:06.0,G. Temple misses 3-pt shot from 24 ft,,6-3,,
10:03.0,,,6-3,,Defensive rebound by N. Noel
9:54.0,,,6-3,,I. Smith misses 3-pt shot from 26 ft
9:52.0,Defensive rebound by J. Wall,,6-3,,
9:46.0,J. Wall misses 2-pt shot from 18 ft,,6-3,,
9:43.0,,,6-3,,Defensive rebound by J. Grant
9:31.0,,,6-3,,H. Thompson misses 2-pt shot from 3 ft
9:30.0,Defensive rebound by M. Gortat,,6-3,,
9:23.0,M. Morris misses 3-pt shot from 24 ft,,6-3,,
9:21.0,Offensive rebound by O. Porter,,6-3,,
9:13.0,J. Wall misses 2-pt shot from 15 ft,,6-3,,
9:12.0,,,6-3,,Defensive rebound by Team
9:12.0,Loose ball foul by M. Gortat,,6-3,,
9:00.0,,,6-3,,Turnover by N. Noel (lost ball; steal by O. Porter)
8:56.0,G. Temple misses 2-pt shot from 2 ft (block by J. Grant),,6-3,,
8:56.0,Offensive rebound by Team,,6-3,,
8:51.0,J. Wall misses 2-pt shot from 15 ft,,6-3,,
8:50.0,,,6-3,,Defensive rebound by N. Noel
8:38.0,,,6-3,,Turnover by J. Grant (lost ball; steal by O. Porter)
8:34.0,G. Temple makes 2-pt shot at rim (assist by O. Porter),2,8-3,,
8:23.0,,,8-5,2,N. Noel makes 2-pt shot from 6 ft
8:11.0,Turnover by J. Wall (lost ball; steal by J. Grant),,8-5,,
8:00.0,,,8-7,2,N. Noel makes 2-pt shot from 1 ft (assist by I. Canaan)
7:45.0,M. Gortat makes 2-pt shot from 11 ft,2,10-7,,
7:28.0,,,10-9,2,N. Noel makes 2-pt shot from 2 ft (assist by I. Smith)
7:12.0,M. Morris makes 2-pt shot from 16 ft (assist by G. Temple),2,12-9,,
6:55.0,,,12-11,2,N. Noel makes 2-pt shot from 16 ft (assist by I. Smith)
6:41.0,M. Gortat makes 2-pt shot from 7 ft (assist by J. Wall),2,14-11,,
6:19.0,,,14-11,,Shooting foul by G. Temple (drawn by J. Grant)
6:19.0,,,14-11,,J. Grant misses free throw 1 of 2
6:19.0,,,14-11,,Offensive rebound by Team
6:19.0,,,14-11,,N. Stauskas enters the game for H. Thompson
6:19.0,,,14-12,1,J. Grant makes free throw 2 of 2
6:05.0,M. Morris makes 2-pt shot from 16 ft (assist by J. Wall),2,16-12,,
5:57.0,,,16-14,2,J. Grant makes 2-pt shot from 1 ft (assist by I. Smith)
5:46.0,G. Temple misses 3-pt shot from 23 ft,,16-14,,
5:45.0,,,16-14,,Defensive rebound by N. Stauskas
5:26.0,,,16-16,2,I. Smith makes 2-pt shot from 17 ft (assist by I. Canaan)
5:06.0,,,16-16,,Philadelphia full timeout
5:06.0,,,16-16,,H. Thompson enters the game for I. Canaan
5:06.0,,,16-16,,S. Weems enters the game for J. Grant
5:00.0,M. Gortat misses 2-pt shot from 7 ft,,16-16,,
4:58.0,Offensive rebound by J. Wall,,16-16,,
4:56.0,O. Porter misses 2-pt shot from 14 ft,,16-16,,
4:55.0,,,16-16,,Defensive rebound by N. Noel
4:43.0,,,16-16,,I. Smith misses 3-pt shot from 25 ft
4:42.0,Defensive rebound by M. Gortat,,16-16,,
4:35.0,,,16-16,,Personal foul by H. Thompson
4:35.0,R. Sessions enters the game for G. Temple,,16-16,,
4:24.0,M. Morris makes 2-pt shot from 13 ft (assist by J. Wall),2,18-16,,
4:07.0,,,18-16,,H. Thompson misses 3-pt shot from 26 ft
