time,Cleveland,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. T. Mozgov (C. Paul gains possession),,,,Jump ball: D. Jordan vs. T. Mozgov (C. Paul gains possession)
11:43.0,,,0-2,2,J. Redick makes 2-pt shot from 19 ft (assist by C. Paul)
11:19.0,J. Smith misses 3-pt shot from 24 ft,,0-2,,
11:18.0,,,0-2,,Defensive rebound by Team
11:06.0,,,0-4,2,J. Redick makes 2-pt shot from 5 ft (assist by C. Paul)
10:52.0,K. Irving misses 2-pt shot from 12 ft,,0-4,,
10:49.0,,,0-4,,Defensive rebound by J. Green
10:46.0,,,0-4,,J. Green misses 2-pt shot from 1 ft
10:43.0,,,0-4,,Offensive rebound by J. Green
10:43.0,,,0-4,,J. Green misses 2-pt shot from 1 ft
10:42.0,Defensive rebound by T. Mozgov,,0-4,,
10:35.0,K. Love makes 2-pt shot from 18 ft (assist by T. Mozgov),2,2-4,,
10:12.0,,,2-6,2,D. Jordan makes 2-pt shot from 4 ft
9:59.0,J. Smith misses 3-pt shot from 25 ft,,2-6,,
9:58.0,,,2-6,,Defensive rebound by J. Green
9:52.0,,,2-9,3,C. Paul makes 3-pt shot from 25 ft
9:32.0,K. Love makes 2-pt shot from 5 ft (assist by K. Irving),2,4-9,,
9:11.0,,,4-9,,L. Mbah a Moute misses 2-pt shot from 2 ft
9:09.0,Defensive rebound by T. Mozgov,,4-9,,
8:55.0,K. Love misses 3-pt shot from 24 ft,,4-9,,
8:53.0,,,4-9,,Defensive rebound by D. Jordan
8:45.0,,,4-9,,Turnover by C. Paul (bad pass)
8:34.0,K. Love misses 3-pt shot from 26 ft,,4-9,,
8:33.0,,,4-9,,Defensive rebound by D. Jordan
8:24.0,,,4-9,,J. Green misses 3-pt shot from 28 ft
8:23.0,Defensive rebound by K. Love,,4-9,,
8:08.0,T. Mozgov misses 2-pt shot from 4 ft,,4-9,,
8:06.0,,,4-9,,Defensive rebound by L. Mbah a Moute
8:06.0,Personal foul by K. Irving,,4-9,,
7:55.0,,,4-9,,L. Mbah a Moute misses 2-pt shot from 18 ft
7:53.0,Defensive rebound by K. Love,,4-9,,
7:44.0,K. Irving misses 3-pt shot from 26 ft,,4-9,,
7:44.0,,,4-9,,Defensive rebound by Team
7:44.0,Loose ball foul by L. James,,4-9,,
7:29.0,,,4-11,2,J. Redick makes 2-pt shot from 13 ft (assist by C. Paul)
7:12.0,L. James misses 2-pt shot from 3 ft,,4-11,,
7:09.0,,,4-11,,Defensive rebound by D. Jordan
7:05.0,,,4-14,3,J. Redick makes 3-pt shot from 23 ft (assist by J. Green)
7:04.0,Cleveland full timeout,,4-14,,
6:39.0,T. Mozgov makes 2-pt shot at rim,2,6-14,,
6:21.0,,,6-14,,C. Paul misses 2-pt shot from 19 ft
6:19.0,Defensive rebound by K. Love,,6-14,,
6:14.0,Turnover by L. James (lost ball; steal by J. Redick),,6-14,,
6:09.0,,,6-14,,Shooting foul by J. Smith (drawn by J. Green)
6:09.0,,,6-14,,J. Green misses free throw 1 of 2
6:09.0,,,6-14,,Offensive rebound by Team
6:09.0,,,6-15,1,J. Green makes free throw 2 of 2
5:57.0,Shooting foul by L. Mbah a Moute (drawn by L. James),,6-15,,
5:57.0,L. James makes free throw 1 of 2,1,7-15,,
5:57.0,L. James misses free throw 2 of 2,,7-15,,
5:55.0,,,7-15,,Defensive rebound by D. Jordan
5:41.0,,,7-15,,J. Redick misses 3-pt shot from 25 ft
5:39.0,Defensive rebound by K. Love,,7-15,,
5:30.0,Turnover by T. Mozgov (lost ball; steal by L. Mbah a Moute),,7-15,,
5:25.0,,,7-17,2,J. Green makes 2-pt shot from 1 ft (assist by C. Paul)
5:18.0,T. Thompson enters the game for T. Mozgov,,7-17,,
5:13.0,K. Love makes 2-pt shot from 4 ft (assist by L. James),2,9-17,,
4:57.0,,,9-17,,J. Green misses 3-pt shot from 26 ft
4:56.0,,,9-17,,Offensive rebound by D. Jordan
4:51.0,,,9-17,,J. Redick misses 3-pt shot from 26 ft
4:49.0,Defensive rebound by J. Smith,,9-17,,
4:46.0,Shooting foul by J. Redick (drawn by T. Thompson),,9-17,,
4:46.0,,,9-17,,LA Clippers full timeout
4:46.0,I. Shumpert enters the game for J. Smith,,9-17,,
4:46.0,T. Thompson makes free throw 1 of 2,1,10-17,,
4:46.0,T. Thompson misses free throw 2 of 2,,10-17,,
4:44.0,,,10-17,,Defensive rebound by J. Redick
4:30.0,,,10-17,,J. Redick misses 2-pt shot from 20 ft
4:28.0,Defensive rebound by Team,,10-17,,
4:09.0,,,10-17,,Personal foul by J. Green
4:09.0,,,10-17,,J. Crawford enters the game for J. Redick
4:03.0,K. Irving misses 2-pt shot from 14 ft,,10-17,,
4:00.0,Offensive rebound by T. Thompson,,10-17,,
3:54.0,K. Irving misses 2-pt shot from 2 ft (block by D. Jordan),,10-17,,
3:54.0,Offensive rebound by Team,,10-17,,
3:54.0,Turnover by Team (shot clock),,10-17,,
3:34.0,,,10-17,,J. Green misses 3-pt shot from 23 ft
3:33.0,Defensive rebound by L. James,,10-17,,
3:23.0,K. Love misses 2-pt shot from 20 ft,,10-17,,
3:21.0,,,10-17,,Defensive rebound by C. Paul
3:18.0,,,10-17,,Turnover by C. Paul (bad pass)
3:18.0,,,10-17,,W. Johnson enters the game for J. Green
3:18.0,M. Dellavedova enters the game for K. Irving,,10-17,,
3:18.0,C. Frye enters the game for K. Love,,10-17,,
3:02.0,C. Frye makes 3-pt shot from 26 ft (assist by L. James),3,13-17,,
2:41.0,,,13-17,,L. Mbah a Moute misses 2-pt shot from 2 ft (block by T. Thompson)
2:37.0,Defensive rebound by C. Frye,,13-17,,
2:35.0,Turnover by C. Frye (lost ball; steal by C. Paul),,13-17,,
2:31.0,,,13-17,,C. Paul misses 3-pt shot from 27 ft
2:31.0,Defensive rebound by Team,,13-17,,
2:31.0,,,13-17,,A. Rivers enters the game for C. Paul
2:24.0,L. James misses 2-pt shot from 3 ft (block by L. Mbah a Moute),,13-17,,
2:22.0,Offensive rebound by L. James,,13-17,,
2:21.0,L. James makes 2-pt shot from 2 ft,2,15-17,,
2:21.0,Shooting foul by D. Jordan (drawn by L. James),,15-17,,
2:21.0,L. James makes free throw 1 of 1,1,16-17,,
2:03.0,,,16-19,2,J. Crawford makes 2-pt shot from 20 ft
1:53.0,L. James misses 2-pt shot from 1 ft,,16-19,,
1:52.0,,,16-19,,Defensive rebound by D. Jordan
1:42.0,,,16-19,,J. Crawford misses 2-pt shot from 12 ft
1:41.0,Defensive rebound by L. James,,16-19,,
1:34.0,L. James makes 3-pt shot from 26 ft,3,19-19,,
1:11.0,,,19-19,,W. Johnson misses 3-pt shot from 26 ft
1:08.0,Defensive rebound by I. Shumpert,,19-19,,
1:00.0,I. Shumpert misses 3-pt shot from 24 ft,,19-19,,
0:59.0,,,19-19,,Defensive rebound by D. Jordan
0:50.0,,,19-19,,J. Crawford misses 2-pt shot from 4 ft
0:48.0,Defensive rebound by I. Shumpert,,19-19,,
0:36.0,M. Dellavedova misses 2-pt shot from 13 ft,,19-19,,
0:36.0,Offensive rebound by Team,,19-19,,
0:18.0,C. Frye misses 2-pt shot from 19 ft,,19-19,,
0:17.0,Offensive rebound by T. Thompson,,19-19,,
0:15.0,T. Thompson makes 2-pt shot from 5 ft,2,21-19,,
0:02.0,Personal foul by I. Shumpert,,21-19,,
0:01.0,,,21-19,,Turnover by J. Crawford (traveling)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,C. Frye makes 3-pt shot from 27 ft (assist by K. Irving),3,24-19,,
11:19.0,,,24-21,2,W. Johnson makes 2-pt shot from 22 ft (assist by A. Rivers)
11:07.0,K. Irving makes 2-pt shot from 2 ft,2,26-21,,
10:58.0,Personal foul by R. Jefferson,,26-21,,
10:49.0,,,26-21,,W. Johnson misses 3-pt shot from 26 ft
10:47.0,Defensive rebound by K. Irving,,26-21,,
10:29.0,I. Shumpert makes 2-pt shot from 21 ft (assist by T. Thompson),2,28-21,,
10:07.0,,,28-21,,W. Johnson misses 2-pt shot from 19 ft
