time,Chicago,pts.away,score,pts.home,Washington
4:40.0,,,15-20,2,M. Morris makes 2-pt shot from 1 ft (assist by J. Wall)
4:36.0,Shooting foul by B. Beal (drawn by J. Butler),,15-20,,
4:36.0,J. Butler makes free throw 1 of 2,1,16-20,,
4:36.0,,,16-20,,J. Hickson enters the game for N. Hilario
4:36.0,,,16-20,,G. Temple enters the game for B. Beal
4:36.0,D. McDermott enters the game for M. Dunleavy,,16-20,,
4:36.0,E. Moore enters the game for D. Rose,,16-20,,
4:36.0,J. Butler misses free throw 2 of 2,,16-20,,
4:35.0,,,16-20,,Defensive rebound by M. Morris
4:16.0,,,16-23,3,G. Temple makes 3-pt shot from 25 ft (assist by J. Wall)
4:03.0,,,16-23,,Def 3 sec tech foul by J. Hickson
4:03.0,J. Butler misses technical free throw,,16-23,,
4:03.0,Offensive rebound by Team,,16-23,,
4:03.0,,,16-23,,J. Dudley enters the game for M. Morris
4:03.0,J. Holiday enters the game for J. Butler,,16-23,,
3:57.0,E. Moore misses 2-pt shot from 7 ft,,16-23,,
3:57.0,,,16-23,,Defensive rebound by J. Wall
3:51.0,,,16-25,2,J. Wall makes 2-pt shot from 16 ft
3:34.0,B. Portis misses 2-pt shot from 20 ft,,16-25,,
3:33.0,,,16-25,,Defensive rebound by G. Temple
3:24.0,,,16-27,2,J. Wall makes 2-pt shot from 14 ft (assist by G. Temple)
3:14.0,,,16-27,,Personal foul by J. Dudley
3:08.0,E. Moore misses 2-pt shot from 3 ft,,16-27,,
3:08.0,,,16-27,,Defensive rebound by Team
3:08.0,Loose ball foul by B. Portis,,16-27,,
3:08.0,,,16-27,,Washington full timeout
2:44.0,,,16-27,,J. Hickson misses 2-pt shot from 14 ft
2:43.0,Defensive rebound by J. Holiday,,16-27,,
2:40.0,Turnover by E. Moore (lost ball; steal by J. Wall),,16-27,,
2:34.0,,,16-30,3,G. Temple makes 3-pt shot from 22 ft (assist by J. Wall)
2:14.0,B. Portis misses 2-pt shot from 19 ft,,16-30,,
2:13.0,,,16-30,,Defensive rebound by G. Temple
1:52.0,,,16-30,,J. Hickson misses 2-pt shot from 7 ft
1:51.0,Defensive rebound by B. Portis,,16-30,,
1:36.0,J. Holiday makes 2-pt shot from 19 ft (assist by B. Portis),2,18-30,,
1:21.0,,,18-30,,J. Hickson misses 2-pt shot from 19 ft
1:21.0,Defensive rebound by J. Holiday,,18-30,,
1:01.0,B. Portis makes 2-pt shot from 17 ft (assist by E. Moore),2,20-30,,
0:48.0,,,20-30,,J. Dudley misses 3-pt shot from 25 ft
0:47.0,Defensive rebound by J. Holiday,,20-30,,
0:40.0,D. McDermott makes 2-pt shot from 1 ft (assist by J. Holiday),2,22-30,,
0:34.0,,,22-32,2,O. Porter makes 2-pt shot at rim (assist by G. Temple)
0:24.0,D. McDermott makes 3-pt shot from 24 ft (assist by B. Portis),3,25-32,,
0:01.0,,,25-32,,J. Wall misses 2-pt shot from 18 ft
0:00.0,,,25-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Shooting foul by B. Beal (drawn by D. McDermott),,25-32,,
11:48.0,D. McDermott makes free throw 1 of 3,1,26-32,,
11:48.0,D. McDermott makes free throw 2 of 3,1,27-32,,
11:48.0,D. McDermott makes free throw 3 of 3,1,28-32,,
11:31.0,,,28-32,,Turnover by B. Beal (bad pass)
11:18.0,J. Holiday makes 2-pt shot from 2 ft (assist by D. Rose),2,30-32,,
