time,Oklahoma City,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Horford (P. Millsap gains possession),,,,Jump ball: S. Adams vs. A. Horford (P. Millsap gains possession)
11:36.0,,,0-0,,Turnover by J. Teague (bad pass; steal by A. Roberson)
11:31.0,R. Westbrook makes 2-pt shot from 1 ft,2,2-0,,
11:13.0,,,2-0,,P. Millsap misses 3-pt shot from 23 ft
11:12.0,Defensive rebound by R. Westbrook,,2-0,,
10:59.0,K. Durant misses 3-pt shot from 24 ft,,2-0,,
10:58.0,,,2-0,,Defensive rebound by K. Korver
10:53.0,,,2-2,2,P. Millsap makes 2-pt shot at rim (assist by T. Sefolosha)
10:33.0,R. Westbrook misses 2-pt shot from 16 ft,,2-2,,
10:31.0,,,2-2,,Defensive rebound by A. Horford
10:20.0,,,2-4,2,J. Teague makes 2-pt shot from 8 ft
10:06.0,K. Durant misses 3-pt shot from 24 ft,,2-4,,
10:05.0,,,2-4,,Defensive rebound by A. Horford
9:56.0,,,2-4,,K. Korver misses 2-pt shot from 19 ft
9:55.0,,,2-4,,Offensive rebound by A. Horford
9:44.0,,,2-6,2,A. Horford makes 2-pt shot from 1 ft (assist by J. Teague)
9:30.0,R. Westbrook misses 3-pt shot from 23 ft,,2-6,,
9:29.0,,,2-6,,Defensive rebound by P. Millsap
9:14.0,Violation by S. Ibaka (def goaltending),,2-6,,
9:14.0,,,2-8,2,J. Teague makes 2-pt shot from 2 ft
9:04.0,K. Durant makes 2-pt shot from 16 ft (assist by R. Westbrook),2,4-8,,
8:59.0,,,4-8,,Turnover by J. Teague (bad pass)
8:45.0,R. Westbrook misses 2-pt shot from 12 ft,,4-8,,
8:44.0,,,4-8,,Defensive rebound by A. Horford
8:31.0,,,4-10,2,A. Horford makes 2-pt shot from 5 ft
8:31.0,,,4-10,,Shooting foul by S. Adams (drawn by A. Horford)
8:31.0,,,4-11,1,A. Horford makes free throw 1 of 1
8:14.0,K. Durant makes 2-pt shot from 11 ft,2,6-11,,
8:04.0,,,6-14,3,A. Horford makes 3-pt shot from 24 ft (assist by J. Teague)
7:48.0,Shooting foul by P. Millsap (drawn by S. Adams),,6-14,,
7:48.0,S. Adams misses free throw 1 of 2,,6-14,,
7:48.0,Offensive rebound by Team,,6-14,,
7:48.0,S. Adams misses free throw 2 of 2,,6-14,,
7:47.0,,,6-14,,Defensive rebound by K. Korver
7:37.0,,,6-14,,Shooting foul by S. Ibaka (drawn by P. Millsap)
7:37.0,,,6-15,1,P. Millsap makes free throw 1 of 2
7:37.0,,,6-16,1,P. Millsap makes free throw 2 of 2
7:30.0,S. Ibaka misses 2-pt shot from 21 ft,,6-16,,
7:28.0,Offensive rebound by R. Westbrook,,6-16,,
7:25.0,S. Ibaka misses 2-pt shot from 18 ft,,6-16,,
7:24.0,,,6-16,,Defensive rebound by T. Sefolosha
7:22.0,,,6-16,,Turnover by T. Sefolosha (bad pass)
7:10.0,S. Ibaka misses 2-pt shot from 19 ft,,6-16,,
7:09.0,,,6-16,,Defensive rebound by T. Sefolosha
6:57.0,,,6-16,,Turnover by P. Millsap (lost ball; steal by A. Roberson)
6:51.0,R. Westbrook misses 2-pt shot from 19 ft,,6-16,,
6:50.0,,,6-16,,Defensive rebound by K. Korver
6:30.0,,,6-16,,A. Horford misses 2-pt shot from 1 ft (block by K. Durant)
6:28.0,,,6-16,,Offensive rebound by P. Millsap
6:28.0,,,6-16,,P. Millsap misses 2-pt shot at rim (block by K. Durant)
6:28.0,Defensive rebound by Team,,6-16,,
6:28.0,Jump ball: K. Durant vs. A. Horford (S. Adams gains possession),,,,Jump ball: K. Durant vs. A. Horford (S. Adams gains possession)
6:17.0,K. Durant misses 2-pt shot from 17 ft,,6-16,,
6:16.0,,,6-16,,Defensive rebound by J. Teague
6:03.0,,,6-18,2,P. Millsap makes 2-pt shot from 15 ft (assist by J. Teague)
5:58.0,Oklahoma City full timeout,,6-18,,
5:58.0,,,6-18,,M. Muscala enters the game for A. Horford
5:42.0,A. Roberson makes 3-pt shot from 22 ft (assist by S. Ibaka),3,9-18,,
5:27.0,,,9-20,2,K. Korver makes 2-pt shot from 18 ft (assist by P. Millsap)
5:15.0,Turnover by R. Westbrook (bad pass; steal by T. Sefolosha),,9-20,,
5:05.0,,,9-20,,M. Muscala misses 2-pt shot from 18 ft
5:03.0,Defensive rebound by S. Adams,,9-20,,
4:55.0,S. Ibaka makes 2-pt shot from 19 ft (assist by K. Durant),2,11-20,,
4:34.0,,,11-20,,J. Teague misses 3-pt shot from 24 ft
4:32.0,,,11-20,,Offensive rebound by P. Millsap
4:28.0,,,11-22,2,M. Muscala makes 2-pt shot from 1 ft (assist by P. Millsap)
4:17.0,S. Adams misses 2-pt shot from 1 ft (block by P. Millsap),,11-22,,
4:14.0,,,11-22,,Defensive rebound by K. Korver
3:59.0,,,11-22,,T. Sefolosha misses 2-pt shot from 1 ft
3:57.0,Defensive rebound by A. Roberson,,11-22,,
3:49.0,Turnover by K. Durant (lost ball; steal by M. Muscala),,11-22,,
3:44.0,,,11-22,,T. Sefolosha misses 2-pt shot from 2 ft
3:42.0,Defensive rebound by R. Westbrook,,11-22,,
3:38.0,Turnover by R. Westbrook (lost ball; steal by M. Muscala),,11-22,,
3:38.0,,,11-22,,Turnover by J. Teague (bad pass)
3:38.0,D. Waiters enters the game for S. Adams,,11-22,,
3:38.0,E. Kanter enters the game for A. Roberson,,11-22,,
3:38.0,,,11-22,,K. Bazemore enters the game for K. Korver
3:22.0,E. Kanter misses 2-pt shot from 10 ft,,11-22,,
3:20.0,,,11-22,,Defensive rebound by P. Millsap
3:07.0,,,11-24,2,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague)
2:55.0,Shooting foul by M. Muscala (drawn by R. Westbrook),,11-24,,
2:55.0,,,11-24,,Atlanta full timeout
2:55.0,N. Collison enters the game for S. Ibaka,,11-24,,
2:55.0,R. Westbrook makes free throw 1 of 2,1,12-24,,
2:55.0,R. Westbrook makes free throw 2 of 2,1,13-24,,
2:44.0,,,13-26,2,P. Millsap makes 2-pt shot at rim (assist by K. Bazemore)
2:32.0,R. Westbrook makes 2-pt shot from 1 ft,2,15-26,,
2:23.0,,,15-26,,M. Muscala misses 3-pt shot from 24 ft
2:21.0,Defensive rebound by D. Waiters,,15-26,,
2:13.0,D. Augustin enters the game for R. Westbrook,,15-26,,
2:13.0,,,15-26,,D. Schroder enters the game for J. Teague
2:13.0,,,15-26,,A. Horford enters the game for P. Millsap
2:07.0,K. Durant makes 2-pt shot at rim (assist by N. Collison),2,17-26,,
1:44.0,,,17-26,,Turnover by D. Schroder (lost ball; steal by D. Waiters)
1:40.0,Shooting foul by K. Bazemore (drawn by D. Waiters),,17-26,,
1:40.0,D. Waiters makes free throw 1 of 2,1,18-26,,
1:40.0,A. Morrow enters the game for K. Durant,,18-26,,
1:40.0,,,18-26,,L. Patterson enters the game for T. Sefolosha
1:40.0,D. Waiters misses free throw 2 of 2,,18-26,,
1:38.0,,,18-26,,Defensive rebound by A. Horford
1:17.0,,,18-26,,K. Bazemore misses 2-pt shot from 1 ft
1:15.0,Defensive rebound by E. Kanter,,18-26,,
1:07.0,D. Waiters misses 2-pt shot from 17 ft,,18-26,,
1:05.0,Offensive rebound by N. Collison,,18-26,,
1:01.0,A. Morrow makes 3-pt shot from 24 ft (assist by D. Waiters),3,21-26,,
0:37.0,,,21-28,2,M. Muscala makes 2-pt shot from 5 ft (assist by L. Patterson)
0:15.0,A. Morrow misses 2-pt shot from 12 ft,,21-28,,
0:13.0,,,21-28,,Defensive rebound by Team
0:06.0,Personal take foul by D. Augustin (drawn by D. Schroder),,21-28,,
0:06.0,,,21-28,,K. Korver enters the game for M. Muscala
0:06.0,A. Roberson enters the game for A. Morrow,,21-28,,
0:00.0,,,21-31,3,K. Korver makes 3-pt shot from 23 ft (assist by D. Schroder)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,N. Collison misses 2-pt shot from 18 ft (block by A. Horford),,21-31,,
11:35.0,Offensive rebound by Team,,21-31,,
11:35.0,Turnover by Team (shot clock),,21-31,,
11:26.0,Personal foul by N. Collison (drawn by K. Bazemore),,21-31,,
11:20.0,,,21-31,,K. Korver misses 2-pt shot from 17 ft
11:18.0,Defensive rebound by D. Waiters,,21-31,,
11:12.0,D. Waiters misses 2-pt shot from 5 ft (block by K. Bazemore),,21-31,,
11:12.0,Offensive rebound by Team,,21-31,,
11:12.0,,,21-31,,M. Scott enters the game for M. Muscala
11:03.0,Turnover by N. Collison (bad pass; steal by D. Schroder),,21-31,,
10:56.0,,,21-33,2,M. Scott makes 2-pt shot at rim (assist by D. Schroder)
10:37.0,A. Morrow makes 3-pt shot from 23 ft (assist by D. Waiters),3,24-33,,
10:18.0,,,24-33,,M. Scott misses 3-pt shot from 24 ft
10:17.0,Defensive rebound by E. Kanter,,24-33,,
10:01.0,A. Morrow misses 2-pt shot from 14 ft,,24-33,,
9:59.0,,,24-33,,Defensive rebound by K. Bazemore
9:49.0,,,24-33,,K. Korver misses 3-pt shot from 24 ft
9:48.0,Defensive rebound by E. Kanter,,24-33,,
9:34.0,Turnover by N. Collison (traveling),,24-33,,
9:24.0,,,24-33,,A. Horford misses 2-pt shot from 16 ft
9:23.0,Defensive rebound by D. Waiters,,24-33,,
9:13.0,D. Augustin misses 3-pt shot from 24 ft,,24-33,,
9:12.0,,,24-33,,Defensive rebound by A. Horford
8:58.0,,,24-33,,D. Schroder misses 2-pt shot from 2 ft
8:56.0,,,24-33,,Offensive rebound by M. Scott
8:53.0,,,24-36,3,A. Horford makes 3-pt shot from 25 ft (assist by M. Scott)
8:30.0,E. Kanter makes 2-pt shot at rim (assist by D. Waiters),2,26-36,,
8:08.0,,,26-36,,D. Schroder misses 3-pt shot from 24 ft
8:07.0,Defensive rebound by D. Waiters,,26-36,,
7:56.0,D. Waiters misses 2-pt shot from 17 ft,,26-36,,
7:55.0,,,26-36,,Defensive rebound by A. Horford
7:49.0,,,26-36,,Shooting foul by N. Collison (drawn by M. Scott)
7:49.0,Official timeout,,26-36,,
7:49.0,R. Westbrook enters the game for E. Kanter,,26-36,,
7:49.0,S. Ibaka enters the game for N. Collison,,26-36,,
7:49.0,K. Durant enters the game for D. Augustin,,26-36,,
7:49.0,,,26-36,,T. Sefolosha enters the game for K. Bazemore
7:49.0,,,26-36,,M. Scott misses free throw 1 of 2
7:49.0,,,26-36,,Offensive rebound by Team
7:49.0,,,26-37,1,M. Scott makes free throw 2 of 2
7:29.0,S. Ibaka makes 2-pt shot from 20 ft,2,28-37,,
7:09.0,,,28-39,2,A. Horford makes 2-pt shot from 17 ft
6:49.0,S. Ibaka misses 2-pt shot from 1 ft,,28-39,,
6:48.0,,,28-39,,Defensive rebound by T. Sefolosha
6:41.0,,,28-39,,K. Korver misses 3-pt shot from 24 ft
6:39.0,,,28-39,,Offensive rebound by A. Horford
6:26.0,,,28-39,,T. Sefolosha misses 3-pt shot from 23 ft
6:25.0,Defensive rebound by K. Durant,,28-39,,
6:19.0,Shooting foul by A. Horford (drawn by R. Westbrook),,28-39,,
6:19.0,R. Westbrook makes free throw 1 of 2,1,29-39,,
6:19.0,,,29-39,,P. Millsap enters the game for A. Horford
6:19.0,A. Roberson enters the game for A. Morrow,,29-39,,
6:19.0,R. Westbrook makes free throw 2 of 2,1,30-39,,
6:05.0,,,30-42,3,K. Korver makes 3-pt shot from 24 ft (assist by P. Millsap)
5:52.0,S. Ibaka makes 2-pt shot from 18 ft (assist by R. Westbrook),2,32-42,,
5:38.0,Personal foul by A. Roberson (drawn by K. Korver),,32-42,,
5:38.0,,,32-42,,Atlanta full timeout
5:38.0,,,32-42,,J. Teague enters the game for D. Schroder
5:38.0,,,32-42,,M. Muscala enters the game for M. Scott
