time,Toronto,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:39.0,,,0-0,,M. Ellis misses 3-pt shot from 26 ft
12:00.0,Jump ball: B. Biyombo vs. I. Mahinmi (M. Ellis gains possession),,,,Jump ball: B. Biyombo vs. I. Mahinmi (M. Ellis gains possession)
11:39.0,Defensive rebound by T. Ross,,0-0,,
11:22.0,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan),3,3-0,,
11:09.0,,,3-0,,P. George misses 2-pt shot from 19 ft
11:09.0,Defensive rebound by B. Biyombo,,3-0,,
11:00.0,L. Scola misses 2-pt shot from 7 ft,,3-0,,
10:59.0,,,3-0,,Defensive rebound by M. Ellis
10:53.0,,,3-0,,Turnover by M. Ellis (lost ball; steal by K. Lowry)
10:42.0,,,3-0,,Personal foul by P. George (drawn by D. DeRozan)
10:32.0,K. Lowry makes 2-pt shot from 20 ft,2,5-0,,
10:19.0,,,5-0,,I. Mahinmi misses 2-pt shot from 9 ft
10:19.0,Defensive rebound by B. Biyombo,,5-0,,
10:06.0,D. DeRozan makes 2-pt shot from 12 ft,2,7-0,,
9:51.0,,,7-0,,M. Ellis misses 3-pt shot from 24 ft
9:50.0,Defensive rebound by L. Scola,,7-0,,
9:37.0,T. Ross misses 2-pt shot from 13 ft,,7-0,,
9:36.0,,,7-0,,Defensive rebound by I. Mahinmi
9:29.0,,,7-3,3,C. Miles makes 3-pt shot from 24 ft
9:07.0,L. Scola makes 2-pt shot from 5 ft,2,9-3,,
8:59.0,,,9-3,,Turnover by P. George (bad pass; steal by B. Biyombo)
8:53.0,K. Lowry makes 3-pt shot from 25 ft,3,12-3,,
8:41.0,,,12-3,,I. Mahinmi misses 2-pt shot at rim
8:40.0,Defensive rebound by L. Scola,,12-3,,
8:33.0,D. DeRozan makes 3-pt shot from 26 ft (assist by K. Lowry),3,15-3,,
8:32.0,,,15-3,,Indiana full timeout
8:32.0,,,15-3,,Violation by Team (delay of game)
8:20.0,,,15-5,2,I. Mahinmi makes 2-pt shot at rim (assist by P. George)
7:54.0,Shooting foul by I. Mahinmi (drawn by D. DeRozan),,15-5,,
7:54.0,D. DeRozan makes free throw 1 of 2,1,16-5,,
7:54.0,D. DeRozan makes free throw 2 of 2,1,17-5,,
7:43.0,,,17-5,,Turnover by G. Hill (bad pass; steal by D. DeRozan)
7:24.0,T. Ross makes 3-pt shot from 27 ft (assist by K. Lowry),3,20-5,,
7:15.0,,,20-5,,I. Mahinmi misses 2-pt shot from 1 ft (block by B. Biyombo)
7:14.0,,,20-5,,Offensive rebound by Team
7:11.0,,,20-5,,G. Hill misses 2-pt shot from 18 ft
7:11.0,Defensive rebound by B. Biyombo,,20-5,,
6:49.0,D. DeRozan makes 2-pt shot from 16 ft,2,22-5,,
6:40.0,,,22-5,,P. George misses 2-pt shot at rim
6:39.0,Defensive rebound by B. Biyombo,,22-5,,
6:32.0,L. Scola makes 2-pt shot from 1 ft (assist by K. Lowry),2,24-5,,
6:32.0,,,24-5,,Indiana full timeout
6:32.0,,,24-5,,L. Allen enters the game for C. Miles
6:32.0,,,24-5,,R. Stuckey enters the game for G. Hill
6:19.0,,,24-5,,Turnover by L. Allen (3 sec)
6:00.0,K. Lowry makes 2-pt shot from 17 ft,2,26-5,,
5:43.0,,,26-7,2,R. Stuckey makes 2-pt shot from 16 ft
5:20.0,D. DeRozan misses 2-pt shot from 19 ft,,26-7,,
5:20.0,,,26-7,,Defensive rebound by L. Allen
5:15.0,,,26-9,2,M. Ellis makes 2-pt shot at rim
