time,Oklahoma City,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. D. Howard (D. Motiejunas gains possession),,,,Jump ball: S. Adams vs. D. Howard (D. Motiejunas gains possession)
11:47.0,,,0-0,,Turnover by J. Harden (lost ball; steal by R. Westbrook)
11:42.0,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook),2,2-0,,
11:30.0,,,2-0,,P. Beverley misses 3-pt shot from 24 ft
11:29.0,Defensive rebound by K. Durant,,2-0,,
11:05.0,K. Durant misses 3-pt shot from 27 ft,,2-0,,
11:05.0,Offensive rebound by S. Adams,,2-0,,
10:59.0,,,2-0,,Personal foul by P. Beverley
10:57.0,Turnover by S. Adams (lost ball; steal by J. Harden),,2-0,,
10:51.0,,,2-0,,D. Motiejunas misses 2-pt shot from 1 ft (block by S. Adams)
10:50.0,Defensive rebound by K. Durant,,2-0,,
10:40.0,S. Ibaka misses 2-pt shot from 16 ft,,2-0,,
10:40.0,,,2-0,,Defensive rebound by D. Motiejunas
10:34.0,,,2-0,,T. Ariza misses 3-pt shot from 24 ft
10:34.0,Defensive rebound by Team,,2-0,,
10:34.0,,,2-0,,Loose ball foul by D. Howard
10:15.0,K. Durant makes 2-pt shot at rim (assist by S. Adams),2,4-0,,
10:04.0,,,4-0,,P. Beverley misses 2-pt shot from 9 ft
10:03.0,,,4-0,,Offensive rebound by P. Beverley
9:58.0,,,4-0,,P. Beverley misses 3-pt shot from 23 ft
9:57.0,Defensive rebound by S. Adams,,4-0,,
9:49.0,Turnover by K. Durant (lost ball; steal by J. Harden),,4-0,,
9:38.0,,,4-0,,J. Harden misses 2-pt shot from 11 ft
9:37.0,Defensive rebound by S. Ibaka,,4-0,,
9:25.0,R. Westbrook misses 2-pt shot from 10 ft,,4-0,,
9:24.0,,,4-0,,Defensive rebound by D. Howard
9:17.0,,,4-3,3,T. Ariza makes 3-pt shot from 22 ft (assist by P. Beverley)
9:00.0,K. Durant makes 2-pt shot from 19 ft,2,6-3,,
8:44.0,,,6-3,,D. Motiejunas misses 3-pt shot from 24 ft
8:43.0,,,6-3,,Offensive rebound by T. Ariza
8:41.0,,,6-3,,Shooting foul by S. Adams (drawn by T. Ariza)
8:41.0,,,6-4,1,T. Ariza makes free throw 1 of 2
8:41.0,,,6-5,1,T. Ariza makes free throw 2 of 2
8:34.0,Turnover by R. Westbrook (lost ball; steal by D. Motiejunas),,6-5,,
8:30.0,,,6-7,2,T. Ariza makes 2-pt shot at rim (assist by D. Motiejunas)
8:16.0,K. Durant misses 2-pt shot from 19 ft,,6-7,,
8:15.0,,,6-7,,Defensive rebound by J. Harden
8:07.0,,,6-9,2,T. Ariza makes 2-pt shot from 19 ft (assist by D. Motiejunas)
7:51.0,S. Ibaka misses 2-pt shot from 19 ft,,6-9,,
7:50.0,,,6-9,,Defensive rebound by T. Ariza
7:40.0,,,6-11,2,J. Harden makes 2-pt shot from 13 ft
7:25.0,,,6-11,,Shooting block foul by P. Beverley (drawn by R. Westbrook)
7:25.0,R. Westbrook makes free throw 1 of 2,1,7-11,,
7:25.0,,,7-11,,C. Brewer enters the game for P. Beverley
7:25.0,R. Westbrook makes free throw 2 of 2,1,8-11,,
6:59.0,,,8-14,3,J. Harden makes 3-pt shot from 28 ft (assist by D. Howard)
6:42.0,K. Durant misses 3-pt shot from 24 ft,,8-14,,
6:41.0,Offensive rebound by S. Ibaka,,8-14,,
6:31.0,S. Ibaka makes 2-pt shot from 13 ft,2,10-14,,
6:21.0,,,10-16,2,D. Motiejunas makes 2-pt shot from 6 ft (assist by J. Harden)
6:09.0,R. Westbrook misses 3-pt shot from 24 ft,,10-16,,
6:08.0,,,10-16,,Defensive rebound by D. Howard
6:04.0,,,10-16,,Shooting foul by K. Durant (drawn by J. Harden)
6:04.0,,,10-16,,J. Harden misses free throw 1 of 2
6:04.0,,,10-16,,Offensive rebound by Team
6:04.0,Oklahoma City full timeout,,10-16,,
6:04.0,,,10-17,1,J. Harden makes free throw 2 of 2
5:52.0,Shooting foul by D. Howard (drawn by K. Durant),,10-17,,
5:52.0,K. Durant makes free throw 1 of 2,1,11-17,,
5:52.0,,,11-17,,C. Capela enters the game for D. Howard
5:52.0,K. Durant makes free throw 2 of 2,1,12-17,,
5:32.0,,,12-17,,T. Ariza misses 2-pt shot from 16 ft
5:29.0,,,12-17,,Offensive rebound by D. Motiejunas
5:24.0,,,12-17,,T. Ariza misses 3-pt shot from 22 ft
5:22.0,,,12-17,,Offensive rebound by Team
5:22.0,D. Waiters enters the game for A. Roberson,,12-17,,
5:22.0,K. Singler enters the game for K. Durant,,12-17,,
5:11.0,,,12-17,,J. Harden misses 2-pt shot from 15 ft
5:10.0,Defensive rebound by R. Westbrook,,12-17,,
5:00.0,,,12-17,,Shooting block foul by C. Capela (drawn by R. Westbrook)
5:00.0,R. Westbrook makes free throw 1 of 2,1,13-17,,
5:00.0,,,13-17,,J. Terry enters the game for T. Ariza
5:00.0,,,13-17,,M. Beasley enters the game for D. Motiejunas
5:00.0,R. Westbrook misses free throw 2 of 2,,13-17,,
5:00.0,Offensive rebound by R. Westbrook,,13-17,,
4:53.0,R. Westbrook misses 2-pt shot from 5 ft,,13-17,,
