time,Golden State,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. M. Plumlee (A. Aminu gains possession),,,,Jump ball: A. Bogut vs. M. Plumlee (A. Aminu gains possession)
11:45.0,,,0-0,,C. McCollum misses 2-pt shot from 13 ft
11:43.0,Defensive rebound by S. Livingston,,0-0,,
11:29.0,Turnover by A. Bogut (lost ball; steal by M. Plumlee),,0-0,,
11:18.0,Shooting block foul by D. Green (drawn by A. Aminu),,0-0,,
11:18.0,,,0-1,1,A. Aminu makes free throw 1 of 2
11:18.0,,,0-2,1,A. Aminu makes free throw 2 of 2
11:09.0,Offensive foul by S. Livingston,,0-2,,
11:09.0,Turnover by S. Livingston (offensive foul),,0-2,,
10:54.0,,,0-2,,M. Harkless misses 2-pt shot from 1 ft
10:53.0,,,0-2,,Offensive rebound by M. Plumlee
10:39.0,,,0-2,,Turnover by A. Aminu (lost ball; steal by D. Green)
10:32.0,H. Barnes misses 3-pt shot from 24 ft,,0-2,,
10:31.0,,,0-2,,Defensive rebound by M. Plumlee
10:22.0,,,0-5,3,M. Harkless makes 3-pt shot from 24 ft (assist by D. Lillard)
9:52.0,K. Thompson misses 2-pt shot from 18 ft,,0-5,,
9:50.0,Offensive rebound by H. Barnes,,0-5,,
9:50.0,H. Barnes makes 2-pt shot from 1 ft,2,2-5,,
9:43.0,,,2-8,3,D. Lillard makes 3-pt shot from 26 ft
9:43.0,,,2-8,,Shooting foul by K. Thompson (drawn by D. Lillard)
9:43.0,,,2-9,1,D. Lillard makes free throw 1 of 1
9:25.0,K. Thompson misses 2-pt shot from 14 ft,,2-9,,
9:22.0,,,2-9,,Defensive rebound by A. Aminu
9:16.0,,,2-12,3,D. Lillard makes 3-pt shot from 27 ft (assist by A. Aminu)
9:15.0,Golden State full timeout,,2-12,,
9:01.0,K. Thompson misses 3-pt shot from 27 ft,,2-12,,
9:00.0,,,2-12,,Defensive rebound by D. Lillard
8:53.0,,,2-12,,D. Lillard misses 3-pt shot from 26 ft
8:52.0,,,2-12,,Offensive rebound by M. Harkless
8:43.0,,,2-12,,A. Aminu misses 2-pt shot from 2 ft (block by A. Bogut)
8:41.0,Defensive rebound by A. Bogut,,2-12,,
