time,Detroit,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. D. Howard (T. Ariza gains possession),,,,Jump ball: A. Drummond vs. D. Howard (T. Ariza gains possession)
11:33.0,,,0-0,,J. Harden misses 2-pt shot from 12 ft
11:32.0,,,0-0,,Offensive rebound by D. Howard
11:31.0,,,0-0,,D. Howard misses 2-pt shot from 1 ft
11:31.0,Defensive rebound by M. Morris,,0-0,,
11:31.0,R. Jackson misses 3-pt shot from 23 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by D. Howard
11:21.0,,,0-0,,T. Ariza misses 2-pt shot from 18 ft
11:20.0,Defensive rebound by E. Ilyasova,,0-0,,
11:10.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,0-0,,
11:09.0,,,0-0,,Defensive rebound by C. Capela
11:05.0,Personal foul by A. Drummond (drawn by T. Lawson),,0-0,,
11:05.0,,,0-0,,Houston full timeout
11:05.0,,,0-0,,T. Jones enters the game for D. Howard
10:54.0,,,0-0,,T. Ariza misses 2-pt shot from 4 ft
10:53.0,,,0-0,,Offensive rebound by C. Capela
10:41.0,,,0-0,,C. Capela misses 2-pt shot from 4 ft
10:40.0,,,0-0,,Offensive rebound by C. Capela
10:38.0,,,0-0,,C. Capela misses 2-pt shot from 1 ft
10:36.0,Defensive rebound by E. Ilyasova,,0-0,,
10:19.0,M. Morris makes 3-pt shot from 25 ft (assist by A. Drummond),3,3-0,,
10:00.0,,,3-0,,C. Capela misses 2-pt shot at rim
9:59.0,Defensive rebound by A. Drummond,,3-0,,
9:53.0,A. Drummond makes 2-pt shot at rim (assist by R. Jackson),2,5-0,,
9:38.0,,,5-2,2,T. Lawson makes 2-pt shot from 1 ft (assist by J. Harden)
9:17.0,E. Ilyasova misses 3-pt shot from 23 ft,,5-2,,
9:16.0,,,5-2,,Defensive rebound by J. Harden
9:04.0,,,5-2,,Turnover by J. Harden (bad pass; steal by R. Jackson)
8:58.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,5-2,,
8:55.0,,,5-2,,Defensive rebound by C. Capela
8:38.0,Personal foul by R. Jackson (drawn by J. Harden),,5-2,,
8:29.0,,,5-2,,Turnover by J. Harden (bad pass; steal by E. Ilyasova)
8:23.0,M. Morris makes 2-pt shot at rim (assist by E. Ilyasova),2,7-2,,
8:12.0,,,7-2,,Shooting foul by M. Morris (drawn by J. Harden)
8:12.0,,,7-3,1,J. Harden makes free throw 1 of 2
8:12.0,,,7-4,1,J. Harden makes free throw 2 of 2
8:00.0,Shooting foul by C. Capela (drawn by M. Morris),,7-4,,
8:00.0,M. Morris makes free throw 1 of 2,1,8-4,,
8:00.0,M. Morris makes free throw 2 of 2,1,9-4,,
7:47.0,,,9-4,,J. Harden misses 3-pt shot from 24 ft
7:46.0,Defensive rebound by A. Drummond,,9-4,,
7:39.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by R. Jackson),3,12-4,,
7:32.0,,,12-4,,Houston full timeout
7:22.0,,,12-4,,T. Lawson misses 2-pt shot from 7 ft
7:21.0,,,12-4,,Offensive rebound by Team
7:10.0,,,12-6,2,J. Harden makes 2-pt shot from 17 ft
6:47.0,K. Caldwell-Pope makes 2-pt shot from 12 ft (assist by M. Morris),2,14-6,,
6:32.0,,,14-8,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
6:10.0,A. Drummond makes 2-pt shot from 1 ft,2,16-8,,
5:58.0,,,16-8,,Turnover by T. Lawson (bad pass; steal by A. Drummond)
5:46.0,K. Caldwell-Pope misses 2-pt shot from 22 ft,,16-8,,
5:45.0,Offensive rebound by A. Drummond,,16-8,,
5:40.0,R. Jackson makes 2-pt shot at rim (assist by A. Drummond),2,18-8,,
5:25.0,,,18-8,,Offensive charge foul by T. Jones
5:25.0,,,18-8,,Turnover by T. Jones (offensive foul)
5:25.0,,,18-8,,M. Harrell enters the game for C. Capela
5:25.0,,,18-8,,J. Terry enters the game for T. Lawson
5:10.0,Turnover by A. Drummond (bad pass),,18-8,,
4:57.0,,,18-10,2,J. Harden makes 2-pt shot from 17 ft
4:39.0,Turnover by A. Drummond (lost ball; steal by J. Harden),,18-10,,
4:32.0,,,18-12,2,T. Jones makes 2-pt shot at rim (assist by J. Terry)
4:18.0,R. Jackson misses 2-pt shot from 17 ft,,18-12,,
4:16.0,,,18-12,,Defensive rebound by J. Harden
4:12.0,,,18-12,,Shooting foul by K. Caldwell-Pope (drawn by J. Harden)
4:12.0,,,18-13,1,J. Harden makes free throw 1 of 2
4:12.0,,,18-13,,C. Brewer enters the game for T. Ariza
4:12.0,,,18-14,1,J. Harden makes free throw 2 of 2
3:52.0,K. Caldwell-Pope makes 2-pt shot from 10 ft,2,20-14,,
3:36.0,,,20-16,2,J. Harden makes 2-pt shot from 12 ft
3:23.0,R. Jackson misses 2-pt shot from 11 ft,,20-16,,
3:23.0,Offensive rebound by A. Drummond,,20-16,,
3:22.0,A. Drummond misses 2-pt shot from 2 ft,,20-16,,
3:22.0,Offensive rebound by Team,,20-16,,
3:22.0,,,20-16,,Loose ball foul by C. Brewer (drawn by A. Drummond)
3:22.0,S. Johnson enters the game for M. Morris,,20-16,,
3:08.0,Jump ball: A. Drummond vs. J. Terry (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. J. Terry (R. Jackson gains possession)
2:56.0,R. Jackson makes 3-pt shot from 28 ft,3,23-16,,
2:43.0,,,23-19,3,J. Harden makes 3-pt shot from 24 ft
2:32.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,23-19,,
2:31.0,,,23-19,,Defensive rebound by J. Harden
2:17.0,,,23-19,,J. Harden misses 2-pt shot from 7 ft
2:17.0,Defensive rebound by A. Drummond,,23-19,,
2:11.0,K. Caldwell-Pope makes 2-pt shot from 6 ft (assist by R. Jackson),2,25-19,,
2:11.0,Shooting foul by M. Harrell (drawn by K. Caldwell-Pope),,25-19,,
2:11.0,Detroit full timeout,,25-19,,
2:11.0,,,25-19,,C. Capela enters the game for T. Jones
2:11.0,,,25-19,,T. Ariza enters the game for M. Harrell
2:11.0,B. Jennings enters the game for R. Jackson,,25-19,,
2:11.0,K. Caldwell-Pope makes free throw 1 of 1,1,26-19,,
1:57.0,,,26-19,,Turnover by J. Harden (bad pass)
