time,Toronto,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. J. Valanciunas (M. Harkless gains possession),,,,Jump ball: M. Plumlee vs. J. Valanciunas (M. Harkless gains possession)
11:41.0,Personal foul by J. Valanciunas (drawn by M. Plumlee),,0-0,,
11:37.0,,,0-0,,D. Lillard misses 3-pt shot from 24 ft
11:37.0,Defensive rebound by J. Valanciunas,,0-0,,
11:18.0,L. Scola misses 3-pt shot from 24 ft,,0-0,,
11:17.0,Offensive rebound by J. Valanciunas,,0-0,,
11:17.0,J. Valanciunas misses 2-pt shot from 1 ft,,0-0,,
11:15.0,Offensive rebound by J. Valanciunas,,0-0,,
11:15.0,J. Valanciunas misses 2-pt shot from 2 ft,,0-0,,
11:14.0,,,0-0,,Defensive rebound by C. McCollum
11:08.0,,,0-0,,Shooting foul by N. Powell (drawn by C. McCollum)
11:08.0,,,0-0,,C. McCollum misses free throw 1 of 2
11:08.0,,,0-0,,Offensive rebound by Team
11:08.0,B. Biyombo enters the game for J. Valanciunas,,0-0,,
11:08.0,,,0-1,1,C. McCollum makes free throw 2 of 2
10:57.0,B. Biyombo misses 2-pt shot at rim (block by M. Plumlee),,0-1,,
10:56.0,Offensive rebound by D. DeRozan,,0-1,,
10:50.0,D. DeRozan misses 2-pt shot from 2 ft,,0-1,,
10:48.0,Offensive rebound by B. Biyombo,,0-1,,
10:39.0,K. Lowry makes 3-pt shot from 25 ft,3,3-1,,
10:22.0,,,3-1,,C. McCollum misses 2-pt shot from 17 ft
10:22.0,Defensive rebound by B. Biyombo,,3-1,,
10:08.0,D. DeRozan makes 3-pt shot from 23 ft (assist by N. Powell),3,6-1,,
9:46.0,,,6-3,2,M. Plumlee makes 2-pt shot from 2 ft (assist by C. McCollum)
9:46.0,,,6-3,,Shooting foul by L. Scola (drawn by M. Plumlee)
9:46.0,,,6-3,,M. Plumlee misses free throw 1 of 1
9:45.0,Defensive rebound by L. Scola,,6-3,,
9:33.0,Shooting foul by C. McCollum (drawn by D. DeRozan),,6-3,,
9:33.0,D. DeRozan makes free throw 1 of 2,1,7-3,,
9:33.0,D. DeRozan makes free throw 2 of 2,1,8-3,,
9:19.0,,,8-6,3,C. McCollum makes 3-pt shot from 24 ft (assist by D. Lillard)
9:02.0,N. Powell misses 2-pt shot from 4 ft (block by M. Harkless),,8-6,,
9:01.0,Offensive rebound by D. DeRozan,,8-6,,
8:54.0,D. DeRozan misses 2-pt shot from 8 ft,,8-6,,
8:53.0,,,8-6,,Defensive rebound by M. Harkless
8:47.0,,,8-8,2,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard)
8:47.0,,,8-8,,Shooting foul by B. Biyombo (drawn by M. Plumlee)
8:47.0,,,8-8,,M. Plumlee misses free throw 1 of 1
8:46.0,Defensive rebound by L. Scola,,8-8,,
8:31.0,D. DeRozan makes 2-pt shot from 1 ft (assist by K. Lowry),2,10-8,,
8:31.0,Shooting foul by M. Plumlee (drawn by D. DeRozan),,10-8,,
8:31.0,D. DeRozan makes free throw 1 of 1,1,11-8,,
8:18.0,,,11-8,,D. Lillard misses 3-pt shot from 25 ft
8:17.0,Defensive rebound by B. Biyombo,,11-8,,
8:08.0,L. Scola misses 2-pt shot from 3 ft,,11-8,,
8:08.0,Offensive rebound by Team,,11-8,,
8:08.0,,,11-8,,Loose ball foul by M. Plumlee (drawn by B. Biyombo)
8:08.0,,,11-8,,E. Davis enters the game for M. Plumlee
7:53.0,Turnover by K. Lowry (lost ball; steal by C. McCollum),,11-8,,
7:46.0,,,11-8,,A. Aminu misses 2-pt shot at rim
7:46.0,Defensive rebound by K. Lowry,,11-8,,
7:37.0,D. DeRozan misses 2-pt shot from 4 ft,,11-8,,
7:36.0,,,11-8,,Defensive rebound by C. McCollum
7:28.0,,,11-8,,C. McCollum misses 2-pt shot from 2 ft (block by B. Biyombo)
7:27.0,,,11-8,,Offensive rebound by E. Davis
7:27.0,,,11-8,,E. Davis misses 2-pt shot from 1 ft (block by L. Scola)
7:25.0,,,11-8,,Offensive rebound by E. Davis
7:24.0,,,11-10,2,E. Davis makes 2-pt shot at rim
7:00.0,D. DeRozan makes 2-pt shot from 1 ft,2,13-10,,
6:42.0,,,13-10,,Turnover by M. Harkless (step out of bounds)
6:22.0,L. Scola misses 2-pt shot from 3 ft,,13-10,,
6:22.0,,,13-10,,Defensive rebound by D. Lillard
6:16.0,,,13-10,,Shooting foul by B. Biyombo (drawn by D. Lillard)
6:16.0,,,13-11,1,D. Lillard makes free throw 1 of 2
6:16.0,P. Patterson enters the game for B. Biyombo,,13-11,,
6:16.0,,,13-12,1,D. Lillard makes free throw 2 of 2
6:02.0,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan),3,16-12,,
5:49.0,,,16-12,,Portland full timeout
5:49.0,,,16-12,,M. Leonard enters the game for M. Harkless
5:49.0,,,16-12,,A. Crabbe enters the game for C. McCollum
5:35.0,,,16-12,,A. Aminu misses 2-pt shot from 4 ft (block by K. Lowry)
5:32.0,Defensive rebound by K. Lowry,,16-12,,
5:28.0,D. DeRozan makes 2-pt shot at rim (assist by K. Lowry),2,18-12,,
5:12.0,,,18-12,,Turnover by D. Lillard (lost ball)
4:49.0,L. Scola makes 3-pt shot from 24 ft (assist by K. Lowry),3,21-12,,
4:34.0,,,21-14,2,D. Lillard makes 2-pt shot from 1 ft
4:22.0,D. DeRozan misses 2-pt shot from 6 ft,,21-14,,
4:22.0,,,21-14,,Defensive rebound by M. Leonard
4:10.0,,,21-16,2,A. Aminu makes 2-pt shot at rim (assist by D. Lillard)
4:04.0,Toronto full timeout,,21-16,,
4:04.0,J. Valanciunas enters the game for N. Powell,,21-16,,
4:04.0,T. Ross enters the game for L. Scola,,21-16,,
4:04.0,,,21-16,,G. Henderson enters the game for A. Aminu
3:53.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,23-16,,
3:41.0,,,23-16,,M. Leonard misses 3-pt shot from 25 ft
3:40.0,Defensive rebound by J. Valanciunas,,23-16,,
3:29.0,T. Ross makes 2-pt shot from 15 ft,2,25-16,,
3:17.0,Personal foul by K. Lowry (drawn by A. Crabbe),,25-16,,
3:17.0,,,25-17,1,A. Crabbe makes free throw 1 of 2
3:17.0,C. Joseph enters the game for K. Lowry,,25-17,,
3:17.0,,,25-18,1,A. Crabbe makes free throw 2 of 2
3:00.0,Shooting foul by G. Henderson (drawn by T. Ross),,25-18,,
3:00.0,T. Ross makes free throw 1 of 3,1,26-18,,
3:00.0,T. Ross makes free throw 2 of 3,1,27-18,,
3:00.0,T. Ross misses free throw 3 of 3,,27-18,,
2:59.0,,,27-18,,Defensive rebound by E. Davis
2:43.0,,,27-21,3,M. Leonard makes 3-pt shot from 24 ft (assist by D. Lillard)
2:17.0,P. Patterson makes 3-pt shot from 24 ft (assist by D. DeRozan),3,30-21,,
2:04.0,,,30-21,,M. Leonard misses 2-pt shot from 19 ft
2:03.0,Defensive rebound by T. Ross,,30-21,,
1:54.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by T. Ross),2,32-21,,
1:37.0,,,32-21,,M. Leonard misses 3-pt shot from 24 ft
1:36.0,Defensive rebound by T. Ross,,32-21,,
1:17.0,J. Valanciunas makes 2-pt shot at rim (assist by P. Patterson),2,34-21,,
1:00.0,,,34-21,,D. Lillard misses 2-pt shot from 4 ft
1:00.0,,,34-21,,Offensive rebound by E. Davis
1:00.0,,,34-23,2,E. Davis makes 2-pt shot at rim
0:57.0,,,34-23,,Technical foul by D. Lillard
0:57.0,D. DeRozan misses technical free throw,,34-23,,
0:57.0,Offensive rebound by Team,,34-23,,
0:51.0,Turnover by C. Joseph (bad pass),,34-23,,
0:35.0,,,34-23,,D. Lillard misses 2-pt shot from 2 ft (block by J. Valanciunas)
0:34.0,Defensive rebound by D. DeRozan,,34-23,,
0:28.0,P. Patterson makes 3-pt shot from 23 ft (assist by D. DeRozan),3,37-23,,
0:11.0,,,37-25,2,A. Crabbe makes 2-pt shot from 10 ft (assist by D. Lillard)
0:00.0,D. DeRozan misses 2-pt shot from 22 ft,,37-25,,
0:00.0,Offensive rebound by Team,,37-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,C. Joseph makes 2-pt shot from 1 ft,2,39-25,,
11:25.0,,,39-25,,A. Crabbe misses 2-pt shot from 14 ft
11:24.0,Defensive rebound by K. Lowry,,39-25,,
11:19.0,,,39-25,,Personal foul by A. Crabbe (drawn by K. Lowry)
11:19.0,,,39-25,,M. Plumlee enters the game for E. Davis
11:19.0,,,39-25,,A. Aminu enters the game for M. Leonard
11:04.0,C. Joseph misses 2-pt shot from 1 ft,,39-25,,
11:04.0,Offensive rebound by J. Valanciunas,,39-25,,
11:04.0,J. Valanciunas misses 2-pt shot at rim,,39-25,,
11:03.0,Offensive rebound by J. Valanciunas,,39-25,,
11:03.0,J. Valanciunas misses 2-pt shot at rim,,39-25,,
11:01.0,,,39-25,,Defensive rebound by A. Aminu
10:41.0,,,39-25,,M. Plumlee misses 2-pt shot from 9 ft
10:41.0,Defensive rebound by Team,,39-25,,
10:21.0,T. Ross misses 2-pt shot from 19 ft,,39-25,,
10:18.0,Offensive rebound by J. Valanciunas,,39-25,,
10:18.0,J. Valanciunas makes 2-pt shot from 4 ft,2,41-25,,
10:05.0,,,41-25,,M. Plumlee misses 2-pt shot from 1 ft (block by J. Valanciunas)
10:04.0,Defensive rebound by C. Joseph,,41-25,,
9:41.0,K. Lowry misses 2-pt shot at rim,,41-25,,
9:40.0,,,41-25,,Defensive rebound by G. Henderson
