time,Atlanta,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. N. Noel (P. Millsap gains possession),,,,Jump ball: A. Horford vs. N. Noel (P. Millsap gains possession)
11:49.0,P. Millsap misses 2-pt shot from 2 ft (block by J. Okafor),,0-0,,
11:48.0,,,0-0,,Defensive rebound by N. Noel
11:28.0,,,0-2,2,I. Smith makes 2-pt shot from 1 ft (assist by J. Sampson)
11:15.0,J. Teague misses 2-pt shot from 5 ft,,0-2,,
11:14.0,,,0-2,,Defensive rebound by N. Noel
11:10.0,,,0-2,,N. Stauskas misses 2-pt shot from 11 ft (block by A. Horford)
11:09.0,Defensive rebound by K. Bazemore,,0-2,,
11:03.0,K. Bazemore makes 3-pt shot from 26 ft,3,3-2,,
10:38.0,,,3-4,2,J. Okafor makes 2-pt shot from 2 ft (assist by N. Stauskas)
10:12.0,,,3-4,,Personal foul by N. Stauskas (drawn by K. Bazemore)
10:04.0,A. Horford misses 2-pt shot from 17 ft,,3-4,,
10:03.0,,,3-4,,Defensive rebound by N. Noel
9:54.0,,,3-4,,J. Okafor misses 2-pt shot from 15 ft
9:52.0,,,3-4,,Offensive rebound by N. Noel
9:49.0,,,3-4,,N. Stauskas misses 2-pt shot at rim
9:47.0,Defensive rebound by K. Bazemore,,3-4,,
9:42.0,K. Bazemore makes 2-pt shot at rim,2,5-4,,
9:23.0,,,5-6,2,J. Okafor makes 2-pt shot from 10 ft (assist by I. Smith)
9:10.0,P. Millsap misses 2-pt shot from 13 ft,,5-6,,
9:09.0,,,5-6,,Defensive rebound by J. Sampson
8:56.0,,,5-6,,J. Okafor misses 2-pt shot from 12 ft
8:53.0,Defensive rebound by P. Millsap,,5-6,,
8:47.0,P. Millsap makes 2-pt shot at rim,2,7-6,,
8:47.0,,,7-6,,Philadelphia full timeout
8:34.0,,,7-6,,Turnover by N. Noel (lost ball; steal by K. Korver)
8:29.0,Turnover by K. Bazemore (step out of bounds),,7-6,,
8:17.0,,,7-6,,Turnover by J. Sampson (lost ball; steal by A. Horford)
8:01.0,K. Bazemore misses 3-pt shot from 25 ft,,7-6,,
7:58.0,Offensive rebound by A. Horford,,7-6,,
7:55.0,K. Korver misses 2-pt shot from 17 ft,,7-6,,
7:53.0,,,7-6,,Defensive rebound by N. Noel
7:49.0,Violation by A. Horford (def goaltending),,7-6,,
7:49.0,,,7-8,2,N. Stauskas makes 2-pt shot from 1 ft (assist by I. Smith)
7:34.0,A. Horford makes 2-pt shot from 19 ft (assist by J. Teague),2,9-8,,
7:15.0,Personal foul by K. Bazemore (drawn by N. Noel),,9-8,,
7:15.0,T. Sefolosha enters the game for K. Bazemore,,9-8,,
7:09.0,,,9-8,,I. Smith misses 2-pt shot from 17 ft
7:08.0,Defensive rebound by K. Korver,,9-8,,
7:03.0,Turnover by P. Millsap (bad pass; steal by J. Okafor),,9-8,,
6:58.0,,,9-10,2,N. Noel makes 2-pt shot at rim (assist by I. Smith)
6:43.0,J. Teague misses 2-pt shot from 3 ft,,9-10,,
6:42.0,,,9-10,,Defensive rebound by N. Stauskas
6:39.0,T. Splitter enters the game for A. Horford,,9-10,,
6:39.0,,,9-10,,R. Holmes enters the game for J. Okafor
6:24.0,,,9-12,2,I. Smith makes 2-pt shot from 17 ft
6:17.0,Shooting foul by R. Holmes (drawn by P. Millsap),,9-12,,
6:17.0,P. Millsap makes free throw 1 of 2,1,10-12,,
6:17.0,P. Millsap makes free throw 2 of 2,1,11-12,,
6:05.0,,,11-12,,Turnover by N. Noel (lost ball; steal by P. Millsap)
5:55.0,,,11-12,,Personal foul by J. Sampson (drawn by P. Millsap)
5:55.0,,,11-12,,Philadelphia full timeout
5:52.0,Turnover by J. Teague (bad pass; steal by R. Holmes),,11-12,,
5:42.0,,,11-12,,N. Noel misses 2-pt shot from 1 ft
5:39.0,Defensive rebound by P. Millsap,,11-12,,
5:35.0,K. Korver makes 2-pt shot from 5 ft (assist by P. Millsap),2,13-12,,
5:10.0,,,13-12,,J. Sampson misses 3-pt shot from 26 ft
5:09.0,Defensive rebound by J. Teague,,13-12,,
4:48.0,J. Teague misses 2-pt shot from 1 ft,,13-12,,
4:47.0,Offensive rebound by T. Splitter,,13-12,,
4:47.0,T. Splitter misses 2-pt shot from 2 ft,,13-12,,
4:46.0,,,13-12,,Defensive rebound by N. Noel
4:30.0,,,13-15,3,N. Stauskas makes 3-pt shot from 27 ft (assist by I. Smith)
4:13.0,,,13-15,,H. Thompson enters the game for J. Sampson
4:13.0,,,13-15,,J. Grant enters the game for N. Noel
4:13.0,K. Bazemore enters the game for K. Korver,,13-15,,
4:13.0,D. Schroder enters the game for J. Teague,,13-15,,
4:03.0,,,13-15,,T. McConnell enters the game for I. Smith
4:03.0,Shooting foul by R. Holmes (drawn by T. Splitter),,13-15,,
4:03.0,T. Splitter makes free throw 1 of 2,1,14-15,,
4:03.0,T. Splitter makes free throw 2 of 2,1,15-15,,
3:51.0,,,15-17,2,R. Holmes makes 2-pt shot from 1 ft (assist by T. McConnell)
3:23.0,K. Bazemore misses 3-pt shot from 25 ft,,15-17,,
3:23.0,,,15-17,,Defensive rebound by R. Holmes
3:14.0,Personal foul by T. Sefolosha (drawn by R. Holmes),,15-17,,
3:14.0,,,15-17,,I. Canaan enters the game for N. Stauskas
3:07.0,,,15-17,,Turnover by H. Thompson (bad pass; steal by T. Sefolosha)
2:53.0,D. Schroder misses 2-pt shot at rim,,15-17,,
2:52.0,Offensive rebound by D. Schroder,,15-17,,
2:43.0,Atlanta full timeout,,15-17,,
2:43.0,M. Scott enters the game for P. Millsap,,15-17,,
2:43.0,Turnover by K. Bazemore (bad pass; steal by T. McConnell),,15-17,,
2:38.0,,,15-17,,I. Canaan misses 3-pt shot from 26 ft
2:37.0,,,15-17,,Offensive rebound by Team
2:25.0,Personal foul by T. Splitter (drawn by R. Holmes),,15-17,,
2:09.0,,,15-19,2,H. Thompson makes 2-pt shot from 19 ft (assist by T. McConnell)
1:44.0,Turnover by K. Bazemore (lost ball; steal by I. Canaan),,15-19,,
1:39.0,,,15-21,2,I. Canaan makes 2-pt shot from 1 ft
1:20.0,T. Sefolosha misses 3-pt shot from 25 ft,,15-21,,
1:19.0,Offensive rebound by T. Splitter,,15-21,,
1:16.0,T. Splitter misses 2-pt shot from 2 ft,,15-21,,
1:14.0,Offensive rebound by T. Splitter,,15-21,,
1:07.0,D. Schroder misses 3-pt shot from 26 ft,,15-21,,
1:05.0,,,15-21,,Defensive rebound by J. Grant
0:55.0,A. Horford enters the game for T. Splitter,,15-21,,
0:54.0,,,15-21,,Turnover by H. Thompson (bad pass; steal by A. Horford)
0:51.0,K. Bazemore misses 2-pt shot from 2 ft,,15-21,,
0:46.0,Offensive rebound by A. Horford,,15-21,,
0:46.0,A. Horford makes 2-pt shot from 2 ft,2,17-21,,
0:38.0,,,17-21,,T. McConnell misses 2-pt shot from 11 ft
0:35.0,Defensive rebound by Team,,17-21,,
0:31.0,M. Scott makes 2-pt shot from 15 ft (assist by T. Sefolosha),2,19-21,,
0:08.0,,,19-21,,H. Thompson misses 3-pt shot from 25 ft
0:08.0,Defensive rebound by K. Bazemore,,19-21,,
0:00.0,M. Scott makes 3-pt shot from 26 ft (assist by T. Sefolosha),3,22-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,,,22-21,,R. Covington misses 3-pt shot from 25 ft
11:37.0,Defensive rebound by D. Schroder,,22-21,,
11:34.0,,,22-21,,Violation by J. Okafor (def goaltending)
11:34.0,D. Schroder makes 2-pt shot from 2 ft,2,24-21,,
11:21.0,,,24-21,,J. Grant misses 2-pt shot from 2 ft (block by A. Horford)
11:20.0,Defensive rebound by T. Hardaway,,24-21,,
11:17.0,A. Horford makes 3-pt shot from 25 ft (assist by T. Hardaway),3,27-21,,
11:02.0,,,27-21,,R. Covington misses 2-pt shot from 12 ft (block by T. Sefolosha)
11:00.0,Defensive rebound by T. Sefolosha,,27-21,,
10:57.0,M. Scott misses 2-pt shot from 2 ft (block by J. Grant),,27-21,,
10:54.0,,,27-21,,Defensive rebound by J. Okafor
10:37.0,,,27-21,,R. Covington misses 2-pt shot from 1 ft (block by M. Scott)
10:36.0,Defensive rebound by T. Sefolosha,,27-21,,
10:30.0,T. Hardaway makes 3-pt shot from 28 ft (assist by D. Schroder),3,30-21,,
10:17.0,,,30-21,,J. Grant misses 2-pt shot from 17 ft
10:16.0,Defensive rebound by D. Schroder,,30-21,,
10:08.0,M. Scott makes 2-pt shot from 1 ft (assist by D. Schroder),2,32-21,,
10:06.0,,,32-21,,Philadelphia full timeout
10:06.0,,,32-21,,I. Smith enters the game for T. McConnell
10:06.0,,,32-21,,N. Stauskas enters the game for R. Covington
9:46.0,,,32-21,,I. Canaan misses 3-pt shot from 27 ft
9:45.0,Defensive rebound by T. Sefolosha,,32-21,,
9:36.0,M. Scott misses 3-pt shot from 27 ft,,32-21,,
9:34.0,,,32-21,,Defensive rebound by I. Canaan
9:24.0,,,32-21,,Turnover by I. Smith (lost ball)
9:02.0,A. Horford makes 2-pt shot from 9 ft (assist by D. Schroder),2,34-21,,
8:49.0,,,34-21,,J. Grant misses 3-pt shot from 26 ft
8:48.0,Defensive rebound by T. Hardaway,,34-21,,
8:40.0,Turnover by D. Schroder (bad pass; steal by I. Smith),,34-21,,
8:32.0,Def 3 sec tech foul by A. Horford,,34-21,,
8:32.0,,,34-22,1,I. Canaan makes technical free throw
8:32.0,,,34-22,,N. Noel enters the game for J. Grant
8:23.0,,,34-22,,I. Smith misses 2-pt shot from 11 ft
8:23.0,Defensive rebound by A. Horford,,34-22,,
8:05.0,M. Scott makes 2-pt shot from 1 ft (assist by T. Sefolosha),2,36-22,,
7:43.0,,,36-24,2,J. Okafor makes 2-pt shot from 3 ft
7:32.0,,,36-24,,Shooting block foul by N. Noel (drawn by D. Schroder)
7:32.0,D. Schroder makes free throw 1 of 2,1,37-24,,
7:32.0,K. Korver enters the game for T. Sefolosha,,37-24,,
7:32.0,T. Splitter enters the game for A. Horford,,37-24,,
7:32.0,D. Schroder makes free throw 2 of 2,1,38-24,,
7:23.0,Personal foul by D. Schroder (drawn by I. Canaan),,38-24,,
