time,Utah,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. D. Favors (R. Neto gains possession),,,,Jump ball: A. Bogut vs. D. Favors (R. Neto gains possession)
11:45.0,G. Hayward misses 2-pt shot from 15 ft,,0-0,,
11:44.0,Offensive rebound by G. Hayward,,0-0,,
11:43.0,G. Hayward misses 2-pt shot from 4 ft (block by D. Green),,0-0,,
11:40.0,,,0-0,,Defensive rebound by K. Thompson
11:23.0,,,0-2,2,K. Thompson makes 2-pt shot from 11 ft
11:02.0,T. Lyles makes 2-pt shot from 1 ft (assist by R. Hood),2,2-2,,
10:48.0,,,2-5,3,S. Curry makes 3-pt shot from 24 ft
10:26.0,D. Favors makes 2-pt shot from 18 ft (assist by G. Hayward),2,4-5,,
10:13.0,,,4-5,,K. Thompson misses 2-pt shot from 1 ft
10:11.0,,,4-5,,Offensive rebound by A. Bogut
10:11.0,,,4-5,,A. Bogut misses 2-pt shot from 1 ft
10:09.0,,,4-5,,Offensive rebound by A. Bogut
10:04.0,,,4-5,,K. Thompson misses 3-pt shot from 22 ft
10:03.0,Defensive rebound by G. Hayward,,4-5,,
9:53.0,G. Hayward misses 2-pt shot from 5 ft,,4-5,,
9:53.0,Offensive rebound by Team,,4-5,,
9:53.0,Jump ball: D. Green vs. G. Hayward (R. Hood gains possession),,,,Jump ball: D. Green vs. G. Hayward (R. Hood gains possession)
9:43.0,R. Hood makes 3-pt shot from 25 ft,3,7-5,,
9:31.0,,,7-5,,S. Curry misses 2-pt shot from 20 ft
9:30.0,Defensive rebound by G. Hayward,,7-5,,
9:23.0,R. Neto misses 2-pt shot from 2 ft (block by B. Rush),,7-5,,
9:22.0,,,7-5,,Defensive rebound by B. Rush
9:18.0,,,7-8,3,B. Rush makes 3-pt shot from 25 ft (assist by D. Green)
8:56.0,G. Hayward misses 3-pt shot from 23 ft,,7-8,,
8:55.0,Offensive rebound by D. Favors,,7-8,,
8:44.0,R. Hood makes 2-pt shot from 7 ft,2,9-8,,
8:25.0,,,9-8,,Turnover by D. Green (bad pass; steal by R. Neto)
8:22.0,Turnover by R. Neto (bad pass; steal by D. Green),,9-8,,
8:14.0,,,9-11,3,K. Thompson makes 3-pt shot from 23 ft (assist by S. Curry)
7:49.0,Turnover by D. Favors (bad pass; steal by S. Curry),,9-11,,
7:43.0,,,9-13,2,S. Curry makes 2-pt shot from 1 ft
7:22.0,R. Hood misses 2-pt shot from 11 ft,,9-13,,
7:21.0,Offensive rebound by D. Favors,,9-13,,
7:20.0,D. Favors misses 2-pt shot from 2 ft (block by A. Bogut),,9-13,,
7:17.0,,,9-13,,Defensive rebound by A. Bogut
7:13.0,,,9-13,,S. Curry misses 3-pt shot from 25 ft
7:12.0,Defensive rebound by D. Favors,,9-13,,
6:49.0,D. Favors makes 2-pt shot at rim (assist by R. Hood),2,11-13,,
6:37.0,Personal foul by D. Favors (drawn by D. Green),,11-13,,
6:34.0,,,11-13,,Turnover by K. Thompson (bad pass)
6:19.0,R. Hood misses 3-pt shot from 25 ft,,11-13,,
6:18.0,,,11-13,,Defensive rebound by Team
6:00.0,,,11-13,,K. Thompson misses 2-pt shot from 10 ft
5:58.0,Defensive rebound by G. Hayward,,11-13,,
5:54.0,Turnover by R. Neto (step out of bounds),,11-13,,
5:54.0,,,11-13,,Golden State full timeout
5:54.0,T. Booker enters the game for R. Neto,,11-13,,
5:54.0,T. Burke enters the game for T. Lyles,,11-13,,
5:54.0,,,11-13,,A. Iguodala enters the game for B. Rush
5:39.0,,,11-13,,D. Green misses 3-pt shot from 26 ft
5:36.0,,,11-13,,Offensive rebound by D. Green
5:31.0,,,11-15,2,D. Green makes 2-pt shot at rim
5:12.0,G. Hayward misses 2-pt shot from 10 ft,,11-15,,
5:12.0,,,11-15,,Defensive rebound by Team
5:12.0,Loose ball foul by T. Booker (drawn by D. Green),,11-15,,
4:55.0,,,11-15,,S. Curry misses 3-pt shot from 23 ft
4:54.0,,,11-15,,Offensive rebound by A. Bogut
4:54.0,,,11-15,,A. Bogut misses 2-pt shot from 1 ft
4:52.0,Defensive rebound by R. Hood,,11-15,,
