time,Minnesota,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. J. Valanciunas (L. Scola gains possession),,,,Jump ball: K. Towns vs. J. Valanciunas (L. Scola gains possession)
11:33.0,,,0-0,,K. Lowry misses 2-pt shot from 1 ft
11:32.0,,,0-0,,Offensive rebound by J. Valanciunas
11:30.0,,,0-0,,J. Valanciunas misses 2-pt shot at rim
11:29.0,,,0-0,,Offensive rebound by J. Valanciunas
11:29.0,,,0-2,2,J. Valanciunas makes 2-pt shot at rim
11:17.0,Turnover by A. Wiggins (lost ball; steal by L. Scola),,0-2,,
11:12.0,,,0-4,2,L. Scola makes 2-pt shot from 1 ft
10:54.0,A. Wiggins makes 2-pt shot from 20 ft (assist by R. Rubio),2,2-4,,
10:29.0,,,2-6,2,J. Johnson makes 2-pt shot from 3 ft
10:16.0,A. Wiggins makes 2-pt shot from 2 ft,2,4-6,,
10:16.0,Shooting foul by J. Valanciunas (drawn by A. Wiggins),,4-6,,
10:16.0,A. Wiggins makes free throw 1 of 1,1,5-6,,
9:50.0,,,5-6,,L. Scola misses 3-pt shot from 23 ft
9:50.0,Defensive rebound by K. Towns,,5-6,,
9:39.0,G. Dieng makes 2-pt shot from 2 ft (assist by R. Rubio),2,7-6,,
9:26.0,Personal foul by A. Wiggins,,7-6,,
9:17.0,,,7-6,,Turnover by D. DeRozan (lost ball; steal by R. Rubio)
9:11.0,T. Prince makes 2-pt shot from 1 ft (assist by R. Rubio),2,9-6,,
8:52.0,,,9-8,2,L. Scola makes 2-pt shot from 3 ft (assist by K. Lowry)
8:31.0,A. Wiggins misses 2-pt shot from 19 ft,,9-8,,
8:30.0,Offensive rebound by G. Dieng,,9-8,,
8:26.0,A. Wiggins makes 3-pt shot from 26 ft (assist by G. Dieng),3,12-8,,
8:10.0,,,12-8,,J. Johnson misses 3-pt shot from 22 ft
8:10.0,Defensive rebound by Team,,12-8,,
7:56.0,K. Towns makes 2-pt shot from 16 ft (assist by R. Rubio),2,14-8,,
7:48.0,,,14-8,,Toronto full timeout
7:39.0,,,14-10,2,D. DeRozan makes 2-pt shot from 17 ft (assist by K. Lowry)
7:23.0,K. Towns misses 2-pt shot from 14 ft,,14-10,,
7:22.0,Offensive rebound by T. Prince,,14-10,,
7:16.0,R. Rubio makes 3-pt shot from 25 ft (assist by A. Wiggins),3,17-10,,
6:58.0,Violation by R. Rubio (kicked ball),,17-10,,
6:51.0,,,17-10,,J. Johnson misses 2-pt shot from 4 ft
6:50.0,Defensive rebound by R. Rubio,,17-10,,
6:42.0,K. Towns makes 2-pt shot from 3 ft (assist by R. Rubio),2,19-10,,
6:24.0,,,19-10,,Shooting foul by T. Prince (drawn by J. Valanciunas)
6:24.0,,,19-11,1,J. Valanciunas makes free throw 1 of 2
6:24.0,,,19-12,1,J. Valanciunas makes free throw 2 of 2
6:14.0,Offensive charge foul by A. Wiggins,,19-12,,
6:14.0,Turnover by A. Wiggins (offensive foul),,19-12,,
6:14.0,Z. LaVine enters the game for A. Wiggins,,19-12,,
5:59.0,,,19-14,2,D. DeRozan makes 2-pt shot from 14 ft
5:41.0,K. Towns misses 3-pt shot from 24 ft,,19-14,,
5:40.0,,,19-14,,Defensive rebound by J. Valanciunas
5:35.0,Shooting block foul by R. Rubio (drawn by K. Lowry),,19-14,,
5:35.0,,,19-15,1,K. Lowry makes free throw 1 of 2
5:35.0,,,19-15,,T. Ross enters the game for J. Johnson
5:35.0,,,19-15,,P. Patterson enters the game for L. Scola
5:35.0,S. Muhammad enters the game for T. Prince,,19-15,,
