time,Portland,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. M. Plumlee (M. Conley gains possession),,,,Jump ball: M. Gasol vs. M. Plumlee (M. Conley gains possession)
11:35.0,,,0-2,2,M. Gasol makes 2-pt shot from 6 ft
11:19.0,M. Leonard makes 3-pt shot from 25 ft (assist by D. Lillard),3,3-2,,
10:57.0,,,3-2,,M. Conley misses 2-pt shot from 18 ft
10:55.0,Defensive rebound by A. Aminu,,3-2,,
10:41.0,M. Plumlee makes 2-pt shot from 9 ft (assist by C. McCollum),2,5-2,,
10:20.0,,,5-5,3,T. Allen makes 3-pt shot from 25 ft (assist by M. Conley)
10:03.0,C. McCollum misses 2-pt shot from 15 ft,,5-5,,
10:01.0,,,5-5,,Defensive rebound by M. Gasol
9:54.0,,,5-7,2,T. Allen makes 2-pt shot from 1 ft (assist by Z. Randolph)
9:26.0,D. Lillard makes 3-pt shot from 25 ft (assist by C. McCollum),3,8-7,,
9:09.0,,,8-7,,Z. Randolph misses 2-pt shot from 20 ft
9:09.0,Defensive rebound by D. Lillard,,8-7,,
8:58.0,C. McCollum misses 3-pt shot from 25 ft,,8-7,,
8:57.0,,,8-7,,Defensive rebound by T. Allen
8:47.0,,,8-7,,Shooting foul by M. Plumlee (drawn by M. Gasol)
8:47.0,,,8-8,1,M. Gasol makes free throw 1 of 2
8:47.0,,,8-9,1,M. Gasol makes free throw 2 of 2
8:29.0,C. McCollum misses 3-pt shot from 25 ft,,8-9,,
8:29.0,,,8-9,,Defensive rebound by M. Gasol
8:13.0,,,8-11,2,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Gasol)
7:53.0,Shooting foul by M. Conley (drawn by D. Lillard),,8-11,,
7:53.0,D. Lillard makes free throw 1 of 3,1,9-11,,
7:53.0,D. Lillard misses free throw 2 of 3,,9-11,,
7:53.0,Offensive rebound by Team,,9-11,,
7:53.0,D. Lillard makes free throw 3 of 3,1,10-11,,
7:41.0,Personal foul by D. Lillard (drawn by M. Conley),,10-11,,
7:26.0,,,10-11,,Turnover by C. Lee (lost ball; steal by C. McCollum)
7:21.0,M. Plumlee makes 2-pt shot from 1 ft (assist by C. McCollum),2,12-11,,
7:00.0,,,12-13,2,T. Allen makes 2-pt shot from 2 ft (assist by M. Gasol)
6:40.0,M. Leonard misses 3-pt shot from 25 ft,,12-13,,
6:39.0,,,12-13,,Defensive rebound by M. Conley
6:27.0,,,12-16,3,C. Lee makes 3-pt shot from 25 ft (assist by Z. Randolph)
6:15.0,Turnover by D. Lillard (bad pass),,12-16,,
6:05.0,,,12-18,2,M. Gasol makes 2-pt shot from 21 ft (assist by M. Conley)
6:04.0,Portland full timeout,,12-18,,
5:43.0,D. Lillard makes 3-pt shot from 26 ft (assist by A. Aminu),3,15-18,,
5:26.0,,,15-18,,C. Lee misses 2-pt shot from 14 ft
5:25.0,Defensive rebound by M. Leonard,,15-18,,
