time,Memphis,pts.away,score,pts.home,Cleveland
5:16.0,Offensive charge foul by L. Stephenson,,95-90,,
5:16.0,J. Martin enters the game for J. Green,,95-90,,
5:16.0,M. Chalmers enters the game for P. Hairston,,95-90,,
5:03.0,,,95-92,2,K. Irving makes 2-pt shot from 10 ft
4:40.0,L. Stephenson makes 2-pt shot from 1 ft (assist by J. Martin),2,97-92,,
4:30.0,,,97-92,,K. Irving misses 3-pt shot from 24 ft
4:30.0,Defensive rebound by L. Stephenson,,97-92,,
4:11.0,M. Chalmers misses 3-pt shot from 27 ft,,97-92,,
4:10.0,,,97-92,,Defensive rebound by Team
4:08.0,Loose ball foul by J. Martin (drawn by K. Love),,97-92,,
3:59.0,,,97-92,,L. James misses 2-pt shot from 2 ft (block by L. Stephenson)
3:58.0,,,97-92,,Offensive rebound by Team
3:44.0,,,97-94,2,T. Thompson makes 2-pt shot from 1 ft (assist by L. James)
3:20.0,M. Chalmers misses 3-pt shot from 28 ft,,97-94,,
3:19.0,,,97-94,,Defensive rebound by L. James
3:04.0,,,97-94,,Shooting foul by M. Chalmers (drawn by K. Love)
3:04.0,,,97-95,1,K. Love makes free throw 1 of 2
3:04.0,J. Green enters the game for J. Martin,,97-95,,
3:04.0,,,97-96,1,K. Love makes free throw 2 of 2
2:46.0,Turnover by L. Stephenson (bad pass; steal by K. Irving),,97-96,,
2:43.0,,,97-98,2,K. Irving makes 2-pt shot from 2 ft
2:23.0,T. Allen misses 2-pt shot from 17 ft,,97-98,,
2:22.0,,,97-98,,Defensive rebound by T. Thompson
2:10.0,,,97-98,,L. James misses 3-pt shot from 25 ft
2:09.0,Defensive rebound by L. Stephenson,,97-98,,
1:54.0,L. Stephenson misses 2-pt shot from 16 ft,,97-98,,
1:54.0,,,97-98,,Defensive rebound by T. Thompson
1:47.0,,,97-98,,Cleveland full timeout
1:47.0,Official timeout,,97-98,,
1:47.0,V. Carter enters the game for R. Hollins,,97-98,,
1:34.0,,,97-98,,Turnover by T. Thompson (3 sec)
1:34.0,,,97-98,,I. Shumpert enters the game for K. Love
1:22.0,J. Green makes 2-pt shot from 18 ft (assist by T. Allen),2,99-98,,
1:08.0,,,99-98,,K. Irving misses 2-pt shot from 9 ft (block by V. Carter)
1:08.0,Defensive rebound by Team,,99-98,,
0:53.0,Turnover by M. Chalmers (lost ball; steal by I. Shumpert),,99-98,,
0:46.0,,,99-100,2,L. James makes 2-pt shot from 2 ft
0:25.0,M. Chalmers makes 2-pt shot from 6 ft (assist by L. Stephenson),2,101-100,,
0:25.0,,,101-100,,Cleveland full timeout
0:25.0,,,101-100,,K. Love enters the game for T. Thompson
0:25.0,,,101-100,,M. Dellavedova enters the game for I. Shumpert
0:25.0,P. Hairston enters the game for J. Green,,101-100,,
0:18.0,,,101-100,,Turnover by L. James (lost ball; steal by T. Allen)
0:18.0,Jump ball: T. Allen vs. L. James (L. Stephenson gains possession),,,,Jump ball: T. Allen vs. L. James (L. Stephenson gains possession)
0:16.0,Memphis full timeout,,101-100,,
0:16.0,,,101-100,,T. Thompson enters the game for K. Love
0:16.0,J. Green enters the game for T. Allen,,101-100,,
0:16.0,Memphis full timeout,,101-100,,
0:15.0,,,101-100,,Personal foul by T. Thompson (drawn by M. Chalmers)
0:15.0,,,101-100,,Away from play foul by M. Dellavedova (drawn by V. Carter)
0:15.0,M. Chalmers makes free throw 1 of 1,1,102-100,,
0:13.0,,,102-100,,Personal foul by K. Irving (drawn by V. Carter)
0:13.0,V. Carter makes free throw 1 of 2,1,103-100,,
0:13.0,T. Allen enters the game for J. Green,,103-100,,
0:13.0,,,103-100,,K. Love enters the game for T. Thompson
0:13.0,V. Carter makes free throw 2 of 2,1,104-100,,
0:07.0,,,104-100,,J. Smith misses 3-pt shot from 26 ft
0:06.0,,,104-100,,Offensive rebound by K. Love
0:03.0,,,104-103,3,L. James makes 3-pt shot from 24 ft (assist by K. Love)
0:02.0,,,104-103,,Personal foul by L. James (drawn by V. Carter)
0:02.0,V. Carter makes free throw 1 of 2,1,105-103,,
0:02.0,V. Carter makes free throw 2 of 2,1,106-103,,
0:02.0,,,106-103,,Cleveland full timeout
0:02.0,J. Green enters the game for L. Stephenson,,106-103,,
0:00.0,,,106-103,,K. Irving misses 3-pt shot from 25 ft
0:00.0,,,106-103,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
