time,Memphis,pts.away,score,pts.home,Cleveland
4:40.0,,,16-13,2,K. Love makes 2-pt shot at rim (assist by L. James)
4:16.0,R. Hollins makes 2-pt shot from 9 ft (assist by T. Allen),2,18-13,,
4:04.0,,,18-15,2,L. James makes 2-pt shot from 1 ft (assist by K. Irving)
3:48.0,Shooting foul by T. Mozgov (drawn by T. Allen),,18-15,,
3:48.0,T. Allen makes free throw 1 of 2,1,19-15,,
3:48.0,L. Stephenson enters the game for M. Chalmers,,19-15,,
3:48.0,,,19-15,,M. Dellavedova enters the game for K. Irving
3:48.0,,,19-15,,T. Thompson enters the game for T. Mozgov
3:48.0,T. Allen makes free throw 2 of 2,1,20-15,,
3:35.0,,,20-18,3,L. James makes 3-pt shot from 26 ft (assist by K. Love)
3:16.0,J. Martin misses 2-pt shot at rim,,20-18,,
3:12.0,Offensive rebound by J. Martin,,20-18,,
3:12.0,J. Martin makes 2-pt shot from 1 ft,2,22-18,,
3:05.0,,,22-18,,L. James misses 3-pt shot from 25 ft
3:04.0,,,22-18,,Offensive rebound by K. Love
3:00.0,,,22-18,,J. Smith misses 2-pt shot from 16 ft
2:59.0,Defensive rebound by J. Martin,,22-18,,
2:48.0,T. Allen misses 2-pt shot from 5 ft,,22-18,,
2:42.0,,,22-18,,Defensive rebound by K. Love
2:40.0,,,22-18,,Shooting foul by P. Hairston (drawn by J. Smith)
2:40.0,Memphis full timeout,,22-18,,
2:40.0,J. Green enters the game for R. Hollins,,22-18,,
2:40.0,V. Carter enters the game for T. Allen,,22-18,,
2:40.0,,,22-18,,J. Smith misses free throw 1 of 2
2:40.0,,,22-18,,Offensive rebound by Team
2:40.0,,,22-19,1,J. Smith makes free throw 2 of 2
2:22.0,L. Stephenson makes 2-pt shot from 13 ft,2,24-19,,
2:03.0,,,24-19,,K. Love misses 2-pt shot from 5 ft (block by J. Green)
2:03.0,Defensive rebound by Team,,24-19,,
2:03.0,,,24-19,,I. Shumpert enters the game for J. Smith
1:52.0,V. Carter makes 2-pt shot from 17 ft (assist by J. Green),2,26-19,,
1:26.0,,,26-21,2,I. Shumpert makes 2-pt shot from 7 ft
1:13.0,V. Carter makes 3-pt shot from 25 ft (assist by J. Martin),3,29-21,,
1:00.0,,,29-23,2,T. Thompson makes 2-pt shot from 7 ft
0:44.0,L. Stephenson misses 2-pt shot from 15 ft,,29-23,,
0:43.0,,,29-23,,Defensive rebound by L. James
0:34.0,,,29-23,,L. James misses 2-pt shot from 1 ft
0:32.0,Defensive rebound by V. Carter,,29-23,,
0:31.0,Shooting foul by M. Dellavedova (drawn by J. Green),,29-23,,
0:31.0,J. Green makes free throw 1 of 2,1,30-23,,
0:31.0,,,30-23,,C. Frye enters the game for K. Love
0:31.0,J. Green makes free throw 2 of 2,1,31-23,,
0:15.0,,,31-25,2,T. Thompson makes 2-pt shot from 12 ft (assist by C. Frye)
0:01.0,L. Stephenson makes 2-pt shot from 20 ft,2,33-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,33-25,,T. Thompson misses 2-pt shot from 2 ft (block by V. Carter)
11:46.0,Defensive rebound by J. Green,,33-25,,
11:35.0,Turnover by V. Carter (bad pass),,33-25,,
11:20.0,,,33-25,,M. Dellavedova misses 2-pt shot from 10 ft
11:18.0,Defensive rebound by L. Stephenson,,33-25,,
11:05.0,J. Green misses 3-pt shot from 25 ft,,33-25,,
11:05.0,,,33-25,,Defensive rebound by I. Shumpert
10:50.0,,,33-25,,I. Shumpert misses 2-pt shot from 14 ft
10:50.0,Defensive rebound by J. Green,,33-25,,
10:41.0,Turnover by J. Martin (lost ball; steal by I. Shumpert),,33-25,,
10:38.0,,,33-27,2,I. Shumpert makes 2-pt shot at rim
10:17.0,V. Carter misses 2-pt shot from 8 ft,,33-27,,
10:17.0,Offensive rebound by J. Green,,33-27,,
10:16.0,J. Green misses 2-pt shot from 3 ft (block by T. Thompson),,33-27,,
10:14.0,,,33-27,,Defensive rebound by M. Dellavedova
10:06.0,,,33-30,3,K. Irving makes 3-pt shot from 24 ft (assist by C. Frye)
9:58.0,Memphis full timeout,,33-30,,
9:58.0,R. Hollins enters the game for J. Martin,,33-30,,
9:50.0,L. Stephenson misses 2-pt shot from 17 ft,,33-30,,
9:49.0,,,33-30,,Defensive rebound by I. Shumpert
9:43.0,,,33-32,2,T. Thompson makes 2-pt shot at rim (assist by I. Shumpert)
9:43.0,,,33-32,,Shooting foul by R. Hollins (drawn by T. Thompson)
9:43.0,,,33-32,,T. Thompson misses free throw 1 of 1
9:42.0,Defensive rebound by J. Green,,33-32,,
9:32.0,M. Chalmers makes 2-pt shot from 12 ft (assist by J. Green),2,35-32,,
9:32.0,Shooting foul by K. Irving (drawn by M. Chalmers),,35-32,,
9:32.0,M. Chalmers makes free throw 1 of 1,1,36-32,,
9:13.0,Personal foul by M. Chalmers (drawn by T. Thompson),,36-32,,
8:59.0,,,36-32,,I. Shumpert misses 3-pt shot from 24 ft
8:59.0,,,36-32,,Offensive rebound by C. Frye
8:53.0,,,36-32,,C. Frye misses 3-pt shot from 24 ft
8:53.0,Defensive rebound by L. Stephenson,,36-32,,
8:47.0,J. Green misses 2-pt shot at rim (block by C. Frye),,36-32,,
8:46.0,,,36-32,,Defensive rebound by I. Shumpert
8:37.0,,,36-34,2,C. Frye makes 2-pt shot from 17 ft (assist by M. Dellavedova)
8:24.0,Offensive foul by R. Hollins,,36-34,,
8:24.0,Turnover by R. Hollins (offensive foul),,36-34,,
8:10.0,,,36-34,,Offensive foul by C. Frye
8:10.0,,,36-34,,Turnover by C. Frye (offensive foul)
7:56.0,L. Stephenson makes 2-pt shot from 2 ft (assist by M. Chalmers),2,38-34,,
7:45.0,,,38-34,,M. Dellavedova misses 2-pt shot from 6 ft
7:43.0,Defensive rebound by M. Chalmers,,38-34,,
7:39.0,L. Stephenson misses 2-pt shot from 1 ft,,38-34,,
7:37.0,,,38-34,,Defensive rebound by C. Frye
7:35.0,,,38-34,,Offensive charge foul by T. Thompson
7:35.0,,,38-34,,Turnover by T. Thompson (offensive foul)
7:35.0,,,38-34,,J. Smith enters the game for M. Dellavedova
7:35.0,T. Allen enters the game for V. Carter,,38-34,,
7:35.0,,,38-34,,K. Love enters the game for C. Frye
7:15.0,T. Allen misses 2-pt shot from 1 ft (block by T. Thompson),,38-34,,
7:13.0,,,38-34,,Defensive rebound by T. Thompson
7:04.0,,,38-34,,J. Smith misses 3-pt shot from 24 ft
7:02.0,,,38-34,,Offensive rebound by K. Love
7:01.0,,,38-34,,K. Love misses 2-pt shot from 1 ft (block by T. Allen)
7:00.0,,,38-34,,Offensive rebound by K. Love
7:00.0,,,38-34,,Shooting foul by R. Hollins (drawn by K. Love)
7:00.0,,,38-35,1,K. Love makes free throw 1 of 2
7:00.0,J. Martin enters the game for R. Hollins,,38-35,,
7:00.0,,,38-36,1,K. Love makes free throw 2 of 2
6:47.0,M. Chalmers misses 2-pt shot from 5 ft (block by K. Love),,38-36,,
6:46.0,,,38-36,,Defensive rebound by T. Thompson
6:40.0,,,38-38,2,K. Irving makes 2-pt shot at rim
6:22.0,J. Green misses 3-pt shot from 24 ft,,38-38,,
6:21.0,Offensive rebound by Team,,38-38,,
6:16.0,M. Chalmers makes 2-pt shot at rim (assist by T. Allen),2,40-38,,
6:16.0,Shooting foul by T. Thompson (drawn by M. Chalmers),,40-38,,
6:16.0,,,40-38,,L. James enters the game for T. Thompson
6:16.0,M. Chalmers misses free throw 1 of 1,,40-38,,
6:15.0,,,40-38,,Defensive rebound by L. James
5:58.0,,,40-38,,K. Love misses 2-pt shot from 13 ft
5:57.0,Defensive rebound by J. Green,,40-38,,
5:48.0,L. Stephenson misses 2-pt shot at rim,,40-38,,
5:45.0,,,40-38,,Defensive rebound by L. James
5:45.0,Official timeout,,40-38,,
5:45.0,Technical foul by L. Stephenson,,40-38,,
5:45.0,P. Hairston enters the game for L. Stephenson,,40-38,,
5:45.0,,,40-38,,K. Irving misses technical free throw
5:45.0,,,40-38,,Offensive rebound by Team
5:45.0,,,40-38,,Turnover by K. Love (bad pass; steal by J. Green)
5:42.0,J. Green misses 2-pt shot from 2 ft (block by K. Irving),,40-38,,
5:41.0,Offensive rebound by P. Hairston,,40-38,,
5:39.0,P. Hairston makes 2-pt shot from 1 ft,2,42-38,,
