time,Washington,pts.away,score,pts.home,Brooklyn
1:35.0,,,32-20,,Defensive rebound by W. Ellington
1:27.0,Personal foul by G. Temple (drawn by T. Young),,32-20,,
1:27.0,,,32-20,,T. Young misses free throw 1 of 2
1:27.0,,,32-20,,Offensive rebound by Team
1:27.0,,,32-20,,T. Young misses free throw 2 of 2
1:26.0,,,32-20,,Offensive rebound by T. Young
1:16.0,,,32-20,,T. Young misses 2-pt shot from 1 ft
1:15.0,,,32-20,,Offensive rebound by W. Reed
1:14.0,,,32-22,2,W. Reed makes 2-pt shot at rim
1:00.0,Turnover by R. Sessions (bad pass; steal by T. Young),,32-22,,
0:59.0,,,32-22,,Turnover by D. Sloan (bad pass)
0:42.0,D. Blair misses 2-pt shot from 13 ft,,32-22,,
0:41.0,,,32-22,,Defensive rebound by T. Young
0:23.0,,,32-24,2,T. Young makes 2-pt shot from 7 ft
0:08.0,,,32-24,,Personal foul by W. Reed (drawn by R. Sessions)
0:08.0,R. Sessions makes free throw 1 of 2,1,33-24,,
0:08.0,,,33-24,,A. Bargnani enters the game for W. Reed
0:08.0,J. Eddie enters the game for G. Temple,,33-24,,
0:08.0,R. Sessions makes free throw 2 of 2,1,34-24,,
0:02.0,,,34-26,2,A. Bargnani makes 2-pt shot from 20 ft (assist by D. Sloan)
0:00.0,K. Humphries misses 3-pt shot from 58 ft,,34-26,,
0:00.0,Offensive rebound by Team,,34-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,K. Humphries makes 2-pt shot from 21 ft (assist by R. Sessions),2,36-26,,
11:20.0,,,36-28,2,W. Ellington makes 2-pt shot from 21 ft (assist by A. Bargnani)
11:08.0,D. Blair misses 2-pt shot from 2 ft,,36-28,,
11:07.0,,,36-28,,Defensive rebound by Team
11:07.0,Loose ball foul by D. Blair (drawn by W. Reed),,36-28,,
11:07.0,,,36-28,,J. Johnson enters the game for B. Bogdanovic
10:41.0,,,36-30,2,W. Ellington makes 2-pt shot from 17 ft
