time,Minnesota,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. K. Towns (G. Dieng gains possession),,,,Jump ball: R. Gobert vs. K. Towns (G. Dieng gains possession)
11:40.0,R. Rubio misses 2-pt shot from 14 ft,,0-0,,
11:40.0,Offensive rebound by K. Towns,,0-0,,
11:33.0,K. Towns makes 2-pt shot from 17 ft,2,2-0,,
11:18.0,,,2-2,2,R. Gobert makes 2-pt shot at rim (assist by R. Neto)
11:05.0,K. Towns makes 2-pt shot from 22 ft (assist by G. Dieng),2,4-2,,
10:43.0,,,4-2,,R. Neto misses 2-pt shot from 10 ft
10:43.0,Defensive rebound by R. Rubio,,4-2,,
10:38.0,Shooting foul by R. Hood (drawn by A. Wiggins),,4-2,,
10:38.0,A. Wiggins makes free throw 1 of 2,1,5-2,,
10:38.0,A. Wiggins misses free throw 2 of 2,,5-2,,
10:38.0,,,5-2,,Defensive rebound by R. Gobert
10:22.0,,,5-2,,G. Hayward misses 3-pt shot from 24 ft
10:22.0,Defensive rebound by G. Dieng,,5-2,,
10:06.0,G. Dieng misses 2-pt shot from 2 ft (block by R. Gobert),,5-2,,
10:06.0,,,5-2,,Defensive rebound by R. Neto
9:52.0,,,5-4,2,R. Gobert makes 2-pt shot from 2 ft
9:32.0,R. Rubio misses 2-pt shot from 19 ft,,5-4,,
9:32.0,,,5-4,,Defensive rebound by R. Gobert
9:18.0,,,5-4,,Turnover by R. Gobert (lost ball; steal by G. Dieng)
9:13.0,G. Dieng makes 2-pt shot at rim (assist by T. Prince),2,7-4,,
8:51.0,,,7-7,3,R. Hood makes 3-pt shot from 24 ft (assist by G. Hayward)
8:23.0,K. Towns misses 3-pt shot from 25 ft,,7-7,,
8:22.0,Offensive rebound by Team,,7-7,,
8:22.0,Turnover by Team (shot clock),,7-7,,
7:59.0,,,7-9,2,R. Neto makes 2-pt shot from 9 ft
7:43.0,K. Towns makes 2-pt shot from 16 ft (assist by R. Rubio),2,9-9,,
7:30.0,,,9-9,,Turnover by R. Hood (bad pass; steal by G. Dieng)
7:26.0,G. Dieng makes 2-pt shot at rim,2,11-9,,
7:26.0,,,11-9,,Utah full timeout
7:10.0,,,11-9,,D. Favors misses 2-pt shot from 4 ft
7:09.0,Defensive rebound by G. Dieng,,11-9,,
6:53.0,Shooting foul by G. Hayward (drawn by G. Dieng),,11-9,,
6:53.0,G. Dieng makes free throw 1 of 2,1,12-9,,
6:53.0,G. Dieng misses free throw 2 of 2,,12-9,,
6:53.0,,,12-9,,Defensive rebound by G. Hayward
6:28.0,,,12-9,,Turnover by Team (shot clock)
6:14.0,K. Towns makes 2-pt shot from 3 ft,2,14-9,,
6:09.0,,,14-9,,Shooting foul by R. Rubio (drawn by R. Neto)
6:09.0,,,14-10,1,R. Neto makes free throw 1 of 2
6:09.0,,,14-11,1,R. Neto makes free throw 2 of 2
5:48.0,R. Rubio misses 2-pt shot from 2 ft (block by R. Gobert),,14-11,,
5:47.0,,,14-11,,Defensive rebound by D. Favors
5:42.0,,,14-13,2,D. Favors makes 2-pt shot at rim (assist by R. Neto)
5:25.0,T. Prince misses 2-pt shot from 21 ft,,14-13,,
5:23.0,Offensive rebound by G. Dieng,,14-13,,
5:11.0,T. Prince misses 3-pt shot from 23 ft,,14-13,,
5:10.0,Offensive rebound by G. Dieng,,14-13,,
5:05.0,A. Wiggins misses 2-pt shot from 15 ft,,14-13,,
5:04.0,,,14-13,,Defensive rebound by Team
5:04.0,S. Muhammad enters the game for T. Prince,,14-13,,
4:49.0,,,14-13,,D. Favors misses 2-pt shot from 3 ft
4:49.0,,,14-13,,Offensive rebound by R. Gobert
4:46.0,,,14-15,2,D. Favors makes 2-pt shot from 12 ft (assist by R. Gobert)
4:31.0,A. Wiggins misses 2-pt shot from 2 ft,,14-15,,
4:30.0,Offensive rebound by K. Towns,,14-15,,
4:30.0,K. Towns makes 2-pt shot from 2 ft,2,16-15,,
4:03.0,,,16-17,2,G. Hayward makes 2-pt shot from 1 ft (assist by R. Neto)
3:50.0,S. Muhammad makes 3-pt shot from 23 ft (assist by R. Rubio),3,19-17,,
3:42.0,,,19-19,2,R. Hood makes 2-pt shot from 1 ft (assist by R. Neto)
3:30.0,Minnesota full timeout,,19-19,,
3:30.0,Z. LaVine enters the game for R. Rubio,,19-19,,
3:30.0,,,19-19,,C. Johnson enters the game for R. Hood
3:30.0,,,19-19,,T. Booker enters the game for D. Favors
3:26.0,S. Muhammad makes 2-pt shot from 3 ft (assist by Z. LaVine),2,21-19,,
3:08.0,,,21-21,2,R. Gobert makes 2-pt shot at rim (assist by G. Hayward)
2:46.0,Shooting foul by G. Hayward (drawn by G. Dieng),,21-21,,
2:46.0,G. Dieng misses free throw 1 of 2,,21-21,,
2:46.0,Offensive rebound by Team,,21-21,,
2:46.0,,,21-21,,T. Burke enters the game for R. Neto
2:46.0,,,21-21,,R. Hood enters the game for G. Hayward
2:46.0,G. Dieng makes free throw 2 of 2,1,22-21,,
2:29.0,,,22-23,2,T. Booker makes 2-pt shot from 18 ft (assist by C. Johnson)
2:17.0,S. Muhammad misses 3-pt shot from 24 ft,,22-23,,
2:17.0,Offensive rebound by G. Dieng,,22-23,,
2:02.0,G. Dieng makes 2-pt shot at rim,2,24-23,,
1:37.0,,,24-23,,T. Burke misses 3-pt shot from 22 ft
1:36.0,,,24-23,,Offensive rebound by R. Gobert
1:34.0,,,24-25,2,R. Gobert makes 2-pt shot at rim
1:21.0,G. Dieng makes 2-pt shot from 2 ft,2,26-25,,
1:21.0,Shooting foul by R. Gobert (drawn by G. Dieng),,26-25,,
1:21.0,N. Bjelica enters the game for K. Towns,,26-25,,
1:21.0,,,26-25,,J. Withey enters the game for R. Gobert
1:21.0,G. Dieng makes free throw 1 of 1,1,27-25,,
1:01.0,,,27-27,2,T. Booker makes 2-pt shot from 2 ft (assist by J. Withey)
0:47.0,Turnover by Z. LaVine (lost ball),,27-27,,
0:47.0,N. Pekovic enters the game for G. Dieng,,27-27,,
0:47.0,T. Prince enters the game for A. Wiggins,,27-27,,
0:26.0,,,27-27,,Turnover by C. Johnson (lost ball)
0:05.0,Z. LaVine makes 2-pt shot from 15 ft,2,29-27,,
0:02.0,Personal foul by Z. LaVine (drawn by T. Burke),,29-27,,
0:00.0,,,29-27,,J. Withey misses 3-pt shot from 24 ft
0:00.0,,,29-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,29-27,,R. Hood misses 2-pt shot from 9 ft
11:39.0,Defensive rebound by N. Bjelica,,29-27,,
11:22.0,Turnover by N. Pekovic (3 sec),,29-27,,
11:07.0,,,29-27,,Shooting foul by T. Prince (drawn by R. Hood)
11:07.0,,,29-28,1,R. Hood makes free throw 1 of 2
11:07.0,,,29-29,1,R. Hood makes free throw 2 of 2
10:55.0,N. Pekovic misses 2-pt shot from 6 ft,,29-29,,
10:54.0,,,29-29,,Defensive rebound by T. Burke
10:31.0,,,29-31,2,R. Hood makes 2-pt shot from 1 ft
10:19.0,S. Muhammad misses 2-pt shot from 5 ft,,29-31,,
10:19.0,Offensive rebound by S. Muhammad,,29-31,,
10:19.0,Shooting foul by J. Withey (drawn by S. Muhammad),,29-31,,
10:19.0,S. Muhammad makes free throw 1 of 2,1,30-31,,
10:19.0,,,30-31,,J. Ingles enters the game for C. Johnson
10:19.0,,,30-31,,D. Favors enters the game for J. Withey
10:19.0,S. Muhammad makes free throw 2 of 2,1,31-31,,
10:03.0,,,31-31,,D. Favors misses 2-pt shot from 19 ft
10:03.0,Defensive rebound by Z. LaVine,,31-31,,
9:51.0,,,31-31,,Personal foul by D. Favors (drawn by N. Pekovic)
9:46.0,S. Muhammad makes 2-pt shot at rim (assist by Z. LaVine),2,33-31,,
9:30.0,,,33-31,,T. Burke misses 3-pt shot from 23 ft
9:30.0,Defensive rebound by S. Muhammad,,33-31,,
9:16.0,Turnover by S. Muhammad (bad pass; steal by T. Burke),,33-31,,
9:10.0,,,33-31,,T. Burke misses 2-pt shot from 2 ft (block by T. Prince)
9:10.0,,,33-31,,Offensive rebound by T. Booker
9:04.0,,,33-34,3,T. Burke makes 3-pt shot from 23 ft (assist by T. Booker)
8:58.0,Minnesota full timeout,,33-34,,
8:50.0,Z. LaVine makes 2-pt shot from 22 ft (assist by N. Pekovic),2,35-34,,
8:22.0,,,35-36,2,R. Hood makes 2-pt shot from 1 ft
7:58.0,N. Bjelica misses 2-pt shot from 22 ft (block by T. Booker),,35-36,,
7:57.0,,,35-36,,Defensive rebound by R. Hood
7:36.0,,,35-36,,T. Burke misses 3-pt shot from 25 ft
7:36.0,Defensive rebound by T. Prince,,35-36,,
7:31.0,Turnover by T. Prince (bad pass; steal by J. Ingles),,35-36,,
7:28.0,,,35-36,,Shooting foul by T. Prince (drawn by D. Favors)
7:28.0,,,35-37,1,D. Favors makes free throw 1 of 2
7:28.0,,,35-37,,G. Hayward enters the game for R. Hood
7:28.0,,,35-37,,R. Neto enters the game for T. Burke
7:28.0,A. Wiggins enters the game for T. Prince,,35-37,,
7:28.0,G. Dieng enters the game for N. Pekovic,,35-37,,
7:28.0,,,35-38,1,D. Favors makes free throw 2 of 2
7:07.0,A. Wiggins misses 2-pt shot from 1 ft,,35-38,,
7:07.0,,,35-38,,Defensive rebound by G. Hayward
6:52.0,,,35-38,,Turnover by T. Booker (bad pass; steal by S. Muhammad)
