time,Houston,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. D. Jordan (C. Capela gains possession),,,,Jump ball: D. Howard vs. D. Jordan (C. Capela gains possession)
11:32.0,J. Harden misses 2-pt shot from 16 ft,,0-0,,
11:31.0,,,0-0,,Defensive rebound by D. Jordan
11:10.0,,,0-0,,P. Pierce misses 2-pt shot from 18 ft
11:08.0,Defensive rebound by D. Howard,,0-0,,
10:44.0,P. Beverley misses 3-pt shot from 24 ft,,0-0,,
10:43.0,Offensive rebound by D. Howard,,0-0,,
10:43.0,D. Howard misses 2-pt shot at rim,,0-0,,
10:39.0,,,0-0,,Defensive rebound by D. Jordan
10:30.0,,,0-0,,D. Jordan misses 2-pt shot from 2 ft (block by C. Capela)
10:28.0,,,0-0,,Offensive rebound by D. Jordan
10:27.0,,,0-2,2,D. Jordan makes 2-pt shot at rim
10:15.0,C. Capela misses 2-pt shot from 1 ft,,0-2,,
10:12.0,,,0-2,,Defensive rebound by C. Paul
10:07.0,,,0-2,,J. Redick misses 2-pt shot from 21 ft
10:04.0,Defensive rebound by C. Capela,,0-2,,
9:56.0,Shooting foul by L. Mbah a Moute (drawn by T. Ariza),,0-2,,
9:56.0,T. Ariza makes free throw 1 of 2,1,1-2,,
9:56.0,T. Ariza makes free throw 2 of 2,1,2-2,,
9:45.0,,,2-5,3,J. Redick makes 3-pt shot from 26 ft (assist by L. Mbah a Moute)
9:30.0,P. Beverley misses 2-pt shot from 7 ft,,2-5,,
9:28.0,Offensive rebound by P. Beverley,,2-5,,
9:23.0,Turnover by P. Beverley (lost ball; steal by C. Paul),,2-5,,
9:23.0,Personal foul by P. Beverley (drawn by C. Paul),,2-5,,
9:07.0,,,2-5,,P. Pierce misses 3-pt shot from 26 ft
9:06.0,Defensive rebound by D. Howard,,2-5,,
8:56.0,J. Harden makes 2-pt shot from 14 ft (assist by T. Ariza),2,4-5,,
8:48.0,,,4-5,,P. Pierce misses 2-pt shot from 1 ft (block by D. Howard)
8:46.0,Defensive rebound by D. Howard,,4-5,,
8:42.0,J. Harden makes 3-pt shot from 27 ft,3,7-5,,
8:18.0,,,7-5,,Turnover by C. Paul (bad pass; steal by T. Ariza)
8:12.0,T. Ariza makes 3-pt shot from 24 ft,3,10-5,,
7:54.0,,,10-7,2,L. Mbah a Moute makes 2-pt shot at rim (assist by J. Redick)
7:32.0,,,10-7,,Violation by L. Mbah a Moute (kicked ball)
7:32.0,T. Jones enters the game for C. Capela,,10-7,,
7:24.0,T. Ariza misses 2-pt shot from 1 ft,,10-7,,
7:23.0,,,10-7,,Defensive rebound by L. Mbah a Moute
7:17.0,,,10-10,3,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul)
6:59.0,T. Jones makes 2-pt shot from 5 ft (assist by J. Harden),2,12-10,,
6:46.0,,,12-13,3,J. Redick makes 3-pt shot from 26 ft (assist by P. Pierce)
6:32.0,Shooting foul by L. Mbah a Moute (drawn by J. Harden),,12-13,,
6:32.0,J. Harden makes free throw 1 of 2,1,13-13,,
6:32.0,,,13-13,,C. Aldrich enters the game for D. Jordan
6:32.0,J. Harden makes free throw 2 of 2,1,14-13,,
6:15.0,,,14-13,,P. Pierce misses 2-pt shot from 13 ft
6:14.0,,,14-13,,Offensive rebound by C. Aldrich
6:14.0,,,14-13,,Shooting foul by T. Ariza (drawn by C. Aldrich)
6:14.0,,,14-14,1,C. Aldrich makes free throw 1 of 2
6:14.0,,,14-14,,J. Crawford enters the game for L. Mbah a Moute
6:14.0,,,14-15,1,C. Aldrich makes free throw 2 of 2
5:55.0,T. Jones misses 2-pt shot from 7 ft,,14-15,,
5:53.0,Offensive rebound by D. Howard,,14-15,,
5:52.0,Turnover by D. Howard (lost ball; steal by C. Paul),,14-15,,
5:52.0,Personal foul by D. Howard (drawn by C. Paul),,14-15,,
5:52.0,,,14-15,,LA Clippers full timeout
5:31.0,,,14-17,2,C. Aldrich makes 2-pt shot from 2 ft (assist by J. Crawford)
5:18.0,,,14-17,,Personal foul by C. Aldrich (drawn by D. Howard)
5:09.0,D. Howard misses 2-pt shot from 4 ft,,14-17,,
5:07.0,,,14-17,,Defensive rebound by P. Pierce
4:59.0,,,14-17,,Turnover by C. Paul (bad pass)
4:47.0,T. Jones misses 2-pt shot at rim (block by C. Aldrich),,14-17,,
4:43.0,,,14-17,,Defensive rebound by P. Pierce
4:36.0,,,14-17,,J. Redick misses 2-pt shot from 3 ft
4:33.0,Defensive rebound by J. Harden,,14-17,,
4:31.0,T. Ariza misses 3-pt shot from 25 ft,,14-17,,
4:27.0,Offensive rebound by D. Howard,,14-17,,
4:24.0,J. Harden misses 3-pt shot from 25 ft,,14-17,,
4:24.0,Offensive rebound by T. Jones,,14-17,,
4:24.0,T. Jones makes 2-pt shot from 2 ft,2,16-17,,
4:24.0,,,16-17,,Away from play foul by P. Pierce (drawn by D. Howard)
4:24.0,T. Lawson enters the game for P. Beverley,,16-17,,
4:24.0,,,16-17,,W. Johnson enters the game for P. Pierce
4:24.0,D. Howard makes free throw 1 of 1,1,17-17,,
4:08.0,,,17-17,,J. Crawford misses 3-pt shot from 24 ft
4:07.0,Defensive rebound by D. Howard,,17-17,,
3:57.0,Turnover by J. Harden (bad pass; steal by J. Crawford),,17-17,,
3:51.0,,,17-19,2,J. Redick makes 2-pt shot from 2 ft (assist by C. Paul)
3:33.0,D. Howard makes 2-pt shot from 3 ft,2,19-19,,
3:27.0,,,19-22,3,C. Paul makes 3-pt shot from 27 ft
3:10.0,Turnover by T. Jones (lost ball; steal by C. Paul),,19-22,,
3:04.0,,,19-22,,W. Johnson misses 2-pt shot at rim
3:02.0,,,19-22,,Offensive rebound by W. Johnson
3:01.0,,,19-22,,W. Johnson misses 2-pt shot from 1 ft (block by T. Jones)
3:00.0,,,19-22,,Offensive rebound by W. Johnson
3:00.0,,,19-25,3,J. Redick makes 3-pt shot from 25 ft (assist by W. Johnson)
3:00.0,,,19-25,,Shooting foul by J. Harden (drawn by J. Redick)
3:00.0,C. Capela enters the game for D. Howard,,19-25,,
3:00.0,C. Brewer enters the game for T. Ariza,,19-25,,
3:00.0,,,19-26,1,J. Redick makes free throw 1 of 1
2:50.0,T. Jones misses 2-pt shot from 6 ft,,19-26,,
2:48.0,Offensive rebound by T. Lawson,,19-26,,
2:44.0,C. Brewer misses 3-pt shot from 23 ft,,19-26,,
2:42.0,,,19-26,,Defensive rebound by C. Aldrich
2:36.0,,,19-29,3,C. Paul makes 3-pt shot from 26 ft
2:35.0,Houston full timeout,,19-29,,
2:19.0,C. Capela makes 2-pt shot at rim (assist by T. Lawson),2,21-29,,
1:59.0,,,21-29,,J. Crawford misses 3-pt shot from 24 ft
1:58.0,Defensive rebound by C. Capela,,21-29,,
1:39.0,T. Jones misses 3-pt shot from 23 ft,,21-29,,
1:38.0,,,21-29,,Defensive rebound by C. Paul
1:27.0,,,21-29,,C. Aldrich misses 2-pt shot from 2 ft
1:25.0,Defensive rebound by C. Capela,,21-29,,
1:16.0,Turnover by J. Harden (lost ball; steal by C. Aldrich),,21-29,,
1:11.0,,,21-29,,Shooting foul by C. Brewer (drawn by C. Paul)
1:11.0,,,21-29,,C. Paul misses free throw 1 of 2
1:11.0,,,21-29,,Offensive rebound by Team
1:11.0,,,21-29,,A. Rivers enters the game for J. Redick
1:11.0,M. Thornton enters the game for J. Harden,,21-29,,
1:11.0,,,21-30,1,C. Paul makes free throw 2 of 2
0:50.0,Shooting foul by C. Aldrich (drawn by T. Jones),,21-30,,
0:50.0,T. Jones misses free throw 1 of 2,,21-30,,
0:50.0,Offensive rebound by Team,,21-30,,
0:50.0,,,21-30,,P. Prigioni enters the game for C. Paul
0:50.0,,,21-30,,D. Jordan enters the game for C. Aldrich
0:50.0,T. Jones misses free throw 2 of 2,,21-30,,
0:50.0,,,21-30,,Defensive rebound by D. Jordan
0:28.0,,,21-33,3,A. Rivers makes 3-pt shot from 27 ft (assist by P. Prigioni)
0:05.0,T. Lawson misses 2-pt shot from 12 ft,,21-33,,
0:02.0,,,21-33,,Defensive rebound by W. Johnson
0:01.0,,,21-33,,Turnover by P. Prigioni (bad pass)
0:01.0,T. Jones misses 3-pt shot from 27 ft,,21-33,,
0:00.0,Offensive rebound by Team,,21-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,21-35,2,J. Crawford makes 2-pt shot from 11 ft (assist by W. Johnson)
