time,Milwaukee,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. G. Monroe (K. Porzingis gains possession),,,,Jump ball: R. Lopez vs. G. Monroe (K. Porzingis gains possession)
11:34.0,,,0-0,,Turnover by Team (shot clock)
11:25.0,G. Monroe makes 2-pt shot from 8 ft (assist by T. Ennis),2,2-0,,
11:12.0,,,2-0,,Turnover by C. Anthony (step out of bounds)
11:01.0,G. Monroe makes 2-pt shot from 12 ft (assist by T. Ennis),2,4-0,,
10:46.0,,,4-2,2,R. Lopez makes 2-pt shot from 3 ft (assist by C. Anthony)
10:23.0,K. Middleton makes 2-pt shot from 15 ft (assist by G. Monroe),2,6-2,,
10:05.0,,,6-2,,J. Calderon misses 3-pt shot from 24 ft
10:03.0,Defensive rebound by G. Antetokounmpo,,6-2,,
9:50.0,G. Monroe makes 2-pt shot from 4 ft,2,8-2,,
9:41.0,,,8-2,,Turnover by S. Vujacic (bad pass; steal by G. Antetokounmpo)
9:37.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,10-2,,
9:15.0,,,10-4,2,R. Lopez makes 2-pt shot from 1 ft (assist by C. Anthony)
9:07.0,Turnover by T. Ennis (dbl dribble),,10-4,,
8:50.0,,,10-4,,J. Calderon misses 3-pt shot from 25 ft
8:48.0,,,10-4,,Offensive rebound by K. Porzingis
8:47.0,Personal foul by G. Monroe (drawn by K. Porzingis),,10-4,,
8:42.0,,,10-4,,C. Anthony misses 3-pt shot from 25 ft
8:40.0,Defensive rebound by K. Middleton,,10-4,,
8:30.0,G. Monroe misses 2-pt shot from 12 ft,,10-4,,
8:28.0,,,10-4,,Defensive rebound by S. Vujacic
8:19.0,Personal foul by T. Ennis (drawn by K. Porzingis),,10-4,,
8:07.0,,,10-4,,Turnover by S. Vujacic (offensive foul)
8:07.0,,,10-4,,Offensive foul by S. Vujacic
7:57.0,J. Parker makes 2-pt shot from 5 ft (assist by T. Ennis),2,12-4,,
7:39.0,,,12-4,,K. Porzingis misses 2-pt shot from 11 ft
7:37.0,Defensive rebound by G. Monroe,,12-4,,
7:24.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,12-4,,
7:23.0,,,12-4,,Defensive rebound by R. Lopez
7:17.0,,,12-4,,C. Anthony misses 2-pt shot from 15 ft
7:16.0,,,12-4,,Offensive rebound by K. Porzingis
7:16.0,Personal foul by T. Ennis (drawn by K. Porzingis),,12-4,,
7:16.0,G. Vasquez enters the game for T. Ennis,,12-4,,
7:11.0,Personal foul by G. Monroe (drawn by R. Lopez),,12-4,,
7:11.0,J. Henson enters the game for G. Monroe,,12-4,,
7:06.0,,,12-6,2,K. Porzingis makes 2-pt shot from 18 ft (assist by J. Calderon)
6:47.0,J. Henson misses 2-pt shot from 2 ft,,12-6,,
6:45.0,Offensive rebound by G. Antetokounmpo,,12-6,,
6:43.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,14-6,,
6:34.0,,,14-6,,J. Calderon misses 3-pt shot from 25 ft
6:32.0,,,14-6,,Offensive rebound by K. Porzingis
6:32.0,,,14-6,,K. Porzingis misses 2-pt shot at rim
6:30.0,Defensive rebound by G. Antetokounmpo,,14-6,,
6:26.0,J. Parker makes 2-pt shot at rim (assist by K. Middleton),2,16-6,,
6:25.0,,,16-6,,New York full timeout
6:08.0,,,16-6,,S. Vujacic misses 3-pt shot from 25 ft
6:06.0,Defensive rebound by G. Vasquez,,16-6,,
5:57.0,G. Antetokounmpo misses 2-pt shot from 2 ft (block by R. Lopez),,16-6,,
5:55.0,,,16-6,,Defensive rebound by Team
5:38.0,,,16-8,2,C. Anthony makes 2-pt shot from 3 ft (assist by J. Calderon)
5:24.0,G. Antetokounmpo makes 2-pt shot at rim,2,18-8,,
5:00.0,,,18-10,2,C. Anthony makes 2-pt shot from 20 ft (assist by S. Vujacic)
4:47.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,20-10,,
4:33.0,,,20-10,,C. Anthony misses 2-pt shot from 17 ft
4:32.0,,,20-10,,Offensive rebound by Team
4:32.0,,,20-10,,J. Grant enters the game for J. Calderon
4:32.0,,,20-10,,L. Galloway enters the game for S. Vujacic
4:32.0,,,20-10,,D. Williams enters the game for R. Lopez
4:32.0,J. Bayless enters the game for K. Middleton,,20-10,,
4:32.0,J. O'Bryant enters the game for J. Parker,,20-10,,
