time,Dallas,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. M. Plumlee (D. Williams gains possession),,,,Jump ball: Z. Pachulia vs. M. Plumlee (D. Williams gains possession)
11:41.0,D. Nowitzki makes 2-pt shot from 14 ft,2,2-0,,
11:25.0,,,2-0,,C. McCollum misses 2-pt shot from 5 ft
11:24.0,Defensive rebound by W. Matthews,,2-0,,
11:15.0,Turnover by D. Nowitzki (bad pass; steal by M. Plumlee),,2-0,,
11:05.0,,,2-0,,N. Vonleh misses 2-pt shot from 6 ft
11:04.0,Defensive rebound by Z. Pachulia,,2-0,,
10:42.0,D. Nowitzki misses 2-pt shot from 13 ft,,2-0,,
10:39.0,,,2-0,,Defensive rebound by Team
10:25.0,,,2-2,2,D. Lillard makes 2-pt shot from 2 ft
10:18.0,Z. Pachulia makes 2-pt shot from 2 ft (assist by D. Williams),2,4-2,,
10:18.0,Shooting foul by M. Plumlee (drawn by Z. Pachulia),,4-2,,
10:18.0,Z. Pachulia misses free throw 1 of 1,,4-2,,
10:17.0,,,4-2,,Defensive rebound by N. Vonleh
10:13.0,,,4-2,,Turnover by D. Lillard (bad pass)
10:02.0,W. Matthews makes 2-pt shot from 17 ft,2,6-2,,
9:48.0,,,6-2,,M. Plumlee misses 2-pt shot from 2 ft (block by D. Nowitzki)
9:48.0,,,6-2,,Offensive rebound by Team
9:41.0,,,6-5,3,D. Lillard makes 3-pt shot from 23 ft
9:28.0,Z. Pachulia makes 2-pt shot at rim (assist by D. Nowitzki),2,8-5,,
9:16.0,,,8-5,,C. McCollum misses 2-pt shot from 11 ft
9:16.0,Defensive rebound by Team,,8-5,,
9:16.0,,,8-5,,Loose ball foul by N. Vonleh (drawn by D. Nowitzki)
9:05.0,D. Nowitzki misses 3-pt shot from 24 ft,,8-5,,
9:04.0,,,8-5,,Defensive rebound by C. McCollum
8:54.0,,,8-5,,A. Aminu misses 3-pt shot from 22 ft
8:53.0,Defensive rebound by Z. Pachulia,,8-5,,
8:44.0,R. Felton makes 2-pt shot from 19 ft,2,10-5,,
8:25.0,,,10-5,,M. Plumlee misses 2-pt shot from 3 ft
8:24.0,Defensive rebound by Z. Pachulia,,10-5,,
8:16.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Williams),3,13-5,,
8:16.0,,,13-5,,Portland full timeout
8:02.0,,,13-5,,C. McCollum misses 2-pt shot from 15 ft
8:00.0,Defensive rebound by Z. Pachulia,,13-5,,
7:46.0,Shooting foul by D. Lillard (drawn by D. Nowitzki),,13-5,,
7:46.0,D. Nowitzki makes free throw 1 of 2,1,14-5,,
7:46.0,D. Nowitzki makes free throw 2 of 2,1,15-5,,
7:34.0,,,15-5,,D. Lillard misses 3-pt shot from 26 ft
7:33.0,Defensive rebound by D. Williams,,15-5,,
7:21.0,D. Williams makes 3-pt shot from 23 ft (assist by D. Nowitzki),3,18-5,,
7:04.0,,,18-5,,Turnover by A. Aminu (traveling)
7:04.0,D. Powell enters the game for D. Nowitzki,,18-5,,
7:04.0,,,18-5,,M. Harkless enters the game for A. Aminu
6:41.0,D. Powell makes 2-pt shot from 19 ft (assist by D. Williams),2,20-5,,
6:20.0,,,20-5,,D. Lillard misses 2-pt shot from 13 ft
6:19.0,Defensive rebound by Z. Pachulia,,20-5,,
6:15.0,,,20-5,,Personal foul by D. Lillard (drawn by D. Williams)
6:15.0,,,20-5,,A. Crabbe enters the game for D. Lillard
6:15.0,D. Harris enters the game for R. Felton,,20-5,,
6:15.0,,,20-5,,M. Leonard enters the game for N. Vonleh
6:02.0,W. Matthews misses 3-pt shot from 23 ft,,20-5,,
6:01.0,,,20-5,,Defensive rebound by M. Plumlee
5:40.0,,,20-5,,C. McCollum misses 2-pt shot from 9 ft
5:39.0,Defensive rebound by Z. Pachulia,,20-5,,
5:16.0,W. Matthews misses 3-pt shot from 24 ft,,20-5,,
