time,Brooklyn,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. J. Valanciunas (T. Young gains possession),,,,Jump ball: B. Lopez vs. J. Valanciunas (T. Young gains possession)
11:39.0,D. Sloan misses 2-pt shot from 2 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by J. Valanciunas
11:22.0,,,0-3,3,K. Lowry makes 3-pt shot from 26 ft (assist by D. DeRozan)
11:02.0,J. Johnson makes 3-pt shot from 26 ft (assist by W. Ellington),3,3-3,,
10:49.0,,,3-5,2,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan)
10:35.0,B. Lopez misses 2-pt shot from 16 ft,,3-5,,
10:35.0,,,3-5,,Defensive rebound by J. Johnson
10:25.0,,,3-5,,L. Scola misses 2-pt shot from 17 ft
10:24.0,Defensive rebound by D. Sloan,,3-5,,
10:14.0,W. Ellington misses 2-pt shot from 18 ft,,3-5,,
10:14.0,,,3-5,,Defensive rebound by J. Valanciunas
10:05.0,,,3-5,,K. Lowry misses 2-pt shot from 4 ft
10:05.0,Defensive rebound by B. Lopez,,3-5,,
9:57.0,T. Young misses 2-pt shot from 2 ft,,3-5,,
9:57.0,,,3-5,,Defensive rebound by L. Scola
9:35.0,,,3-7,2,L. Scola makes 2-pt shot from 11 ft
9:20.0,Offensive charge foul by T. Young,,3-7,,
9:20.0,Turnover by T. Young (offensive foul),,3-7,,
9:07.0,,,3-10,3,J. Johnson makes 3-pt shot from 25 ft (assist by K. Lowry)
8:51.0,B. Lopez misses 2-pt shot from 21 ft,,3-10,,
8:51.0,,,3-10,,Defensive rebound by L. Scola
8:38.0,,,3-10,,L. Scola misses 2-pt shot from 6 ft
8:37.0,Defensive rebound by B. Lopez,,3-10,,
8:31.0,Shooting foul by L. Scola (drawn by T. Young),,3-10,,
8:31.0,T. Young makes free throw 1 of 2,1,4-10,,
8:31.0,T. Young makes free throw 2 of 2,1,5-10,,
8:15.0,,,5-10,,J. Valanciunas misses 2-pt shot from 12 ft
8:15.0,,,5-10,,Offensive rebound by L. Scola
8:13.0,,,5-10,,L. Scola misses 2-pt shot from 2 ft (block by T. Young)
8:11.0,Defensive rebound by D. Sloan,,5-10,,
7:50.0,D. Sloan makes 3-pt shot from 25 ft (assist by W. Ellington),3,8-10,,
7:28.0,,,8-10,,J. Johnson misses 2-pt shot from 2 ft
7:28.0,Defensive rebound by Team,,8-10,,
7:18.0,B. Lopez makes 2-pt shot from 10 ft (assist by D. Sloan),2,10-10,,
7:03.0,Personal foul by W. Ellington (drawn by D. DeRozan),,10-10,,
6:53.0,,,10-12,2,D. DeRozan makes 2-pt shot from 13 ft
6:40.0,B. Lopez makes 2-pt shot from 20 ft (assist by D. Sloan),2,12-12,,
6:24.0,,,12-12,,Shooting foul by W. Ellington (drawn by D. DeRozan)
6:24.0,,,12-13,1,D. DeRozan makes free throw 1 of 2
6:24.0,,,12-14,1,D. DeRozan makes free throw 2 of 2
6:15.0,,,12-14,,Personal foul by L. Scola (drawn by T. Young)
6:15.0,,,12-14,,P. Patterson enters the game for L. Scola
6:03.0,J. Johnson makes 2-pt shot from 17 ft,2,14-14,,
6:03.0,,,14-14,,Toronto full timeout
6:03.0,B. Bogdanovic enters the game for W. Ellington,,14-14,,
5:48.0,,,14-17,3,J. Johnson makes 3-pt shot from 25 ft (assist by D. DeRozan)
5:33.0,B. Lopez makes 2-pt shot from 2 ft (assist by D. Sloan),2,16-17,,
5:09.0,,,16-17,,J. Valanciunas misses 2-pt shot from 13 ft
5:08.0,Defensive rebound by T. Young,,16-17,,
4:55.0,T. Young misses 2-pt shot from 17 ft,,16-17,,
4:55.0,,,16-17,,Defensive rebound by J. Valanciunas
4:37.0,,,16-17,,D. DeRozan misses 2-pt shot from 21 ft
4:37.0,Defensive rebound by J. Johnson,,16-17,,
4:22.0,Turnover by B. Bogdanovic (traveling),,16-17,,
4:08.0,,,16-17,,P. Patterson misses 3-pt shot from 22 ft
4:07.0,Defensive rebound by B. Lopez,,16-17,,
3:47.0,J. Johnson makes 3-pt shot from 24 ft (assist by B. Lopez),3,19-17,,
3:23.0,,,19-17,,D. DeRozan misses 2-pt shot from 3 ft (block by B. Lopez)
3:22.0,Defensive rebound by B. Lopez,,19-17,,
3:18.0,D. Sloan makes 2-pt shot at rim,2,21-17,,
2:59.0,,,21-17,,Turnover by J. Johnson (lost ball)
2:59.0,Brooklyn full timeout,,21-17,,
2:59.0,,,21-17,,C. Joseph enters the game for J. Johnson
2:59.0,,,21-17,,T. Ross enters the game for J. Valanciunas
2:59.0,,,21-17,,B. Biyombo enters the game for K. Lowry
2:39.0,J. Johnson makes 2-pt shot from 10 ft (assist by B. Bogdanovic),2,23-17,,
2:23.0,,,23-17,,Shooting foul by B. Lopez (drawn by D. DeRozan)
2:23.0,,,23-18,1,D. DeRozan makes free throw 1 of 2
2:23.0,S. Larkin enters the game for D. Sloan,,23-18,,
2:23.0,W. Reed enters the game for B. Lopez,,23-18,,
2:23.0,,,23-18,,D. DeRozan misses free throw 2 of 2
2:22.0,Defensive rebound by T. Young,,23-18,,
2:07.0,J. Johnson makes 2-pt shot from 5 ft,2,25-18,,
2:07.0,Shooting foul by D. DeRozan (drawn by J. Johnson),,25-18,,
2:07.0,J. Johnson makes free throw 1 of 1,1,26-18,,
1:46.0,,,26-18,,Shooting foul by T. Young (drawn by D. DeRozan)
1:46.0,,,26-19,1,D. DeRozan makes free throw 1 of 2
1:46.0,T. Robinson enters the game for T. Young,,26-19,,
1:46.0,,,26-19,,D. DeRozan misses free throw 2 of 2
1:44.0,Defensive rebound by T. Robinson,,26-19,,
1:32.0,B. Bogdanovic makes 3-pt shot from 23 ft (assist by J. Johnson),3,29-19,,
1:07.0,,,29-19,,D. DeRozan misses 3-pt shot from 24 ft
1:06.0,Defensive rebound by Team,,29-19,,
0:50.0,J. Johnson misses 2-pt shot from 11 ft,,29-19,,
0:49.0,,,29-19,,Defensive rebound by P. Patterson
0:38.0,,,29-19,,Turnover by B. Biyombo (kicked ball)
0:18.0,B. Bogdanovic misses 3-pt shot from 23 ft,,29-19,,
0:18.0,,,29-19,,Defensive rebound by C. Joseph
0:01.0,,,29-19,,P. Patterson misses 3-pt shot from 22 ft
0:00.0,Defensive rebound by B. Bogdanovic,,29-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,29-21,2,K. Lowry makes 2-pt shot from 22 ft (assist by P. Patterson)
11:28.0,B. Bogdanovic makes 2-pt shot from 2 ft,2,31-21,,
11:08.0,,,31-24,3,K. Lowry makes 3-pt shot from 24 ft (assist by T. Ross)
10:42.0,S. Larkin misses 2-pt shot from 6 ft,,31-24,,
10:41.0,Offensive rebound by B. Bogdanovic,,31-24,,
10:26.0,B. Bogdanovic misses 2-pt shot from 4 ft (block by B. Biyombo),,31-24,,
10:25.0,Offensive rebound by T. Robinson,,31-24,,
10:20.0,W. Reed misses 2-pt shot from 17 ft,,31-24,,
10:19.0,Offensive rebound by T. Robinson,,31-24,,
10:13.0,Shooting foul by B. Biyombo (drawn by M. Brown),,31-24,,
10:13.0,M. Brown makes free throw 1 of 2,1,32-24,,
10:13.0,M. Brown makes free throw 2 of 2,1,33-24,,
9:57.0,,,33-24,,Shooting foul by M. Brown (drawn by K. Lowry)
9:57.0,,,33-25,1,K. Lowry makes free throw 1 of 2
9:57.0,,,33-25,,K. Lowry misses free throw 2 of 2
9:56.0,Defensive rebound by T. Robinson,,33-25,,
9:41.0,Turnover by B. Bogdanovic (traveling),,33-25,,
9:18.0,,,33-27,2,C. Joseph makes 2-pt shot from 4 ft
9:02.0,Turnover by S. Larkin (bad pass; steal by T. Ross),,33-27,,
9:00.0,Personal foul by B. Bogdanovic (drawn by T. Ross),,33-27,,
8:54.0,,,33-27,,K. Lowry misses 3-pt shot from 25 ft
8:54.0,Defensive rebound by W. Reed,,33-27,,
8:49.0,Brooklyn full timeout,,33-27,,
8:31.0,T. Robinson misses 2-pt shot from 19 ft,,33-27,,
8:31.0,,,33-27,,Defensive rebound by C. Joseph
8:23.0,B. Lopez enters the game for W. Reed,,33-27,,
8:10.0,,,33-30,3,T. Ross makes 3-pt shot from 25 ft (assist by C. Joseph)
7:51.0,B. Lopez misses 2-pt shot from 8 ft,,33-30,,
7:50.0,,,33-30,,Defensive rebound by B. Biyombo
7:35.0,,,33-32,2,P. Patterson makes 2-pt shot from 4 ft (assist by C. Joseph)
7:19.0,M. Brown misses 3-pt shot from 26 ft,,33-32,,
7:18.0,Offensive rebound by B. Lopez,,33-32,,
7:18.0,,,33-32,,Personal foul by K. Lowry (drawn by B. Lopez)
7:18.0,W. Ellington enters the game for M. Brown,,33-32,,
7:08.0,B. Lopez makes 2-pt shot from 8 ft,2,35-32,,
6:46.0,Personal foul by W. Ellington (drawn by K. Lowry),,35-32,,
6:46.0,D. Sloan enters the game for W. Ellington,,35-32,,
6:34.0,,,35-34,2,B. Biyombo makes 2-pt shot at rim (assist by K. Lowry)
6:23.0,Turnover by B. Bogdanovic (lost ball; steal by C. Joseph),,35-34,,
6:18.0,,,35-36,2,T. Ross makes 2-pt shot at rim (assist by C. Joseph)
6:18.0,Brooklyn full timeout,,35-36,,
6:18.0,J. Johnson enters the game for B. Bogdanovic,,35-36,,
6:18.0,T. Young enters the game for T. Robinson,,35-36,,
5:58.0,T. Young misses 2-pt shot from 16 ft,,35-36,,
5:58.0,,,35-36,,Defensive rebound by B. Biyombo
5:42.0,,,35-38,2,B. Biyombo makes 2-pt shot from 16 ft (assist by P. Patterson)
5:28.0,B. Lopez makes 2-pt shot from 12 ft (assist by D. Sloan),2,37-38,,
5:05.0,,,37-38,,Turnover by C. Joseph (lost ball; steal by S. Larkin)
4:59.0,T. Young misses 2-pt shot from 2 ft,,37-38,,
4:59.0,Offensive rebound by T. Young,,37-38,,
4:57.0,T. Young misses 2-pt shot from 2 ft (block by B. Biyombo),,37-38,,
4:56.0,Offensive rebound by T. Young,,37-38,,
4:55.0,T. Young makes 2-pt shot from 2 ft,2,39-38,,
4:53.0,,,39-38,,Toronto full timeout
4:53.0,,,39-38,,D. DeRozan enters the game for P. Patterson
