time,Utah,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. Z. Pachulia (D. Favors gains possession),,,,Jump ball: R. Gobert vs. Z. Pachulia (D. Favors gains possession)
11:43.0,Turnover by R. Neto (bad pass; steal by C. Parsons),,0-0,,
11:28.0,,,0-0,,C. Parsons misses 2-pt shot from 14 ft
11:27.0,Defensive rebound by G. Hayward,,0-0,,
11:13.0,Turnover by R. Gobert (bad pass; steal by D. Nowitzki),,0-0,,
11:09.0,Shooting block foul by G. Hayward (drawn by W. Matthews),,0-0,,
11:09.0,,,0-1,1,W. Matthews makes free throw 1 of 2
11:09.0,,,0-2,1,W. Matthews makes free throw 2 of 2
10:53.0,R. Neto makes 3-pt shot from 24 ft (assist by R. Hood),3,3-2,,
10:40.0,,,3-2,,Turnover by Z. Pachulia (bad pass; steal by R. Neto)
10:29.0,R. Hood misses 3-pt shot from 24 ft,,3-2,,
10:28.0,,,3-2,,Defensive rebound by Z. Pachulia
10:17.0,,,3-2,,Shooting foul by R. Neto (drawn by D. Nowitzki)
10:17.0,,,3-3,1,D. Nowitzki makes free throw 1 of 2
10:17.0,,,3-4,1,D. Nowitzki makes free throw 2 of 2
10:00.0,R. Gobert makes 2-pt shot from 1 ft (assist by R. Hood),2,5-4,,
9:45.0,,,5-7,3,D. Williams makes 3-pt shot from 24 ft (assist by W. Matthews)
9:30.0,D. Favors misses 2-pt shot from 7 ft,,5-7,,
9:29.0,,,5-7,,Defensive rebound by D. Nowitzki
9:29.0,Loose ball foul by R. Gobert (drawn by D. Nowitzki),,5-7,,
9:20.0,,,5-7,,Turnover by D. Williams (bad pass)
9:00.0,Turnover by D. Favors (bad pass),,5-7,,
8:52.0,,,5-10,3,D. Williams makes 3-pt shot from 24 ft (assist by Z. Pachulia)
8:30.0,R. Neto makes 2-pt shot from 7 ft,2,7-10,,
8:19.0,,,7-10,,D. Nowitzki misses 3-pt shot from 23 ft
8:19.0,Defensive rebound by R. Gobert,,7-10,,
8:04.0,G. Hayward misses 2-pt shot from 3 ft,,7-10,,
8:03.0,Offensive rebound by R. Gobert,,7-10,,
8:03.0,Shooting foul by D. Williams (drawn by R. Gobert),,7-10,,
8:03.0,R. Gobert misses free throw 1 of 2,,7-10,,
8:03.0,Offensive rebound by Team,,7-10,,
8:03.0,R. Gobert makes free throw 2 of 2,1,8-10,,
7:41.0,,,8-13,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by Z. Pachulia)
7:27.0,,,8-13,,Def 3 sec tech foul by D. Nowitzki
7:27.0,G. Hayward makes technical free throw,1,9-13,,
7:17.0,G. Hayward misses 3-pt shot from 24 ft,,9-13,,
7:16.0,,,9-13,,Defensive rebound by Z. Pachulia
7:05.0,,,9-16,3,C. Parsons makes 3-pt shot from 24 ft (assist by W. Matthews)
6:50.0,D. Favors misses 2-pt shot from 18 ft,,9-16,,
6:49.0,Offensive rebound by R. Gobert,,9-16,,
6:43.0,R. Hood makes 2-pt shot from 8 ft (assist by R. Gobert),2,11-16,,
6:32.0,,,11-16,,Offensive foul by C. Parsons
6:32.0,,,11-16,,Turnover by C. Parsons (offensive foul)
6:32.0,,,11-16,,R. Felton enters the game for D. Nowitzki
6:15.0,R. Hood makes 3-pt shot from 26 ft (assist by G. Hayward),3,14-16,,
6:02.0,Personal block foul by R. Neto (drawn by W. Matthews),,14-16,,
6:02.0,,,14-16,,Dallas full timeout
6:02.0,J. Ingles enters the game for R. Neto,,14-16,,
5:58.0,Loose ball foul by D. Favors (drawn by Z. Pachulia),,14-16,,
5:58.0,,,14-17,1,Z. Pachulia makes free throw 1 of 2
5:58.0,,,14-18,1,Z. Pachulia makes free throw 2 of 2
5:38.0,G. Hayward misses 2-pt shot from 12 ft,,14-18,,
5:37.0,Offensive rebound by D. Favors,,14-18,,
5:37.0,D. Favors misses 2-pt shot from 1 ft,,14-18,,
5:35.0,,,14-18,,Defensive rebound by D. Williams
5:29.0,,,14-21,3,C. Parsons makes 3-pt shot from 24 ft (assist by D. Williams)
5:06.0,R. Gobert makes 2-pt shot at rim (assist by D. Favors),2,16-21,,
4:48.0,,,16-21,,W. Matthews misses 3-pt shot from 24 ft
4:47.0,Defensive rebound by R. Gobert,,16-21,,
4:24.0,R. Hood misses 3-pt shot from 24 ft,,16-21,,
4:23.0,,,16-21,,Defensive rebound by Z. Pachulia
4:17.0,Shooting block foul by D. Favors (drawn by C. Parsons),,16-21,,
4:17.0,,,16-22,1,C. Parsons makes free throw 1 of 3
4:17.0,,,16-23,1,C. Parsons makes free throw 2 of 3
4:17.0,C. Johnson enters the game for R. Hood,,16-23,,
4:17.0,T. Booker enters the game for D. Favors,,16-23,,
4:17.0,,,16-24,1,C. Parsons makes free throw 3 of 3
