time,Brooklyn,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. B. Lopez (N. Cole gains possession),,,,Jump ball: A. Davis vs. B. Lopez (N. Cole gains possession)
11:42.0,,,0-0,,A. Davis misses 2-pt shot from 15 ft
11:40.0,Defensive rebound by T. Young,,0-0,,
11:18.0,B. Lopez misses 2-pt shot from 21 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by A. Davis
11:00.0,,,0-2,2,B. Dejean-Jones makes 2-pt shot from 2 ft (assist by A. Davis)
11:00.0,,,0-2,,Shooting foul by B. Lopez (drawn by B. Dejean-Jones)
11:00.0,,,0-3,1,B. Dejean-Jones makes free throw 1 of 1
10:44.0,T. Young makes 2-pt shot from 17 ft (assist by W. Ellington),2,2-3,,
10:25.0,,,2-5,2,O. Asik makes 2-pt shot at rim (assist by A. Gee)
10:08.0,W. Ellington makes 3-pt shot from 25 ft (assist by J. Johnson),3,5-5,,
9:57.0,,,5-5,,N. Cole misses 2-pt shot from 17 ft
9:56.0,Defensive rebound by T. Young,,5-5,,
9:39.0,B. Lopez misses 2-pt shot from 8 ft,,5-5,,
9:38.0,Offensive rebound by D. Sloan,,5-5,,
9:37.0,D. Sloan misses 2-pt shot from 1 ft (block by O. Asik),,5-5,,
9:36.0,,,5-5,,Defensive rebound by A. Davis
9:33.0,,,5-5,,A. Davis misses 2-pt shot from 17 ft
9:32.0,Defensive rebound by B. Lopez,,5-5,,
9:13.0,J. Johnson misses 2-pt shot from 9 ft,,5-5,,
9:12.0,,,5-5,,Defensive rebound by O. Asik
8:52.0,,,5-5,,Turnover by N. Cole (bad pass; steal by B. Lopez)
8:52.0,,,5-5,,Personal foul by N. Cole (drawn by D. Sloan)
8:26.0,B. Lopez misses 2-pt shot from 6 ft,,5-5,,
8:25.0,,,5-5,,Defensive rebound by N. Cole
8:14.0,,,5-5,,A. Davis misses 2-pt shot from 5 ft
8:14.0,Defensive rebound by B. Lopez,,5-5,,
7:54.0,W. Ellington misses 2-pt shot from 16 ft,,5-5,,
7:54.0,,,5-5,,Defensive rebound by A. Gee
7:36.0,,,5-7,2,N. Cole makes 2-pt shot from 20 ft (assist by A. Davis)
7:10.0,W. Ellington misses 2-pt shot from 1 ft,,5-7,,
7:09.0,Offensive rebound by B. Lopez,,5-7,,
7:09.0,B. Lopez makes 2-pt shot from 1 ft,2,7-7,,
6:47.0,,,7-7,,A. Davis misses 2-pt shot from 14 ft
6:46.0,,,7-7,,Offensive rebound by O. Asik
6:30.0,,,7-7,,A. Gee misses 3-pt shot from 23 ft
6:29.0,Defensive rebound by J. Johnson,,7-7,,
6:24.0,D. Sloan misses 2-pt shot from 1 ft (block by O. Asik),,7-7,,
6:22.0,Offensive rebound by D. Sloan,,7-7,,
6:20.0,T. Young misses 2-pt shot from 1 ft (block by O. Asik),,7-7,,
6:19.0,,,7-7,,Defensive rebound by B. Dejean-Jones
6:01.0,,,7-7,,A. Davis misses 2-pt shot at rim (block by B. Lopez)
5:59.0,Defensive rebound by D. Sloan,,7-7,,
5:56.0,Offensive foul by T. Young,,7-7,,
5:56.0,Turnover by T. Young (offensive foul),,7-7,,
5:56.0,,,7-7,,New Orleans full timeout
5:56.0,,,7-7,,R. Anderson enters the game for O. Asik
5:36.0,,,7-7,,N. Cole misses 3-pt shot from 25 ft
5:35.0,Defensive rebound by J. Johnson,,7-7,,
5:11.0,J. Johnson misses 2-pt shot from 5 ft (block by A. Davis),,7-7,,
5:10.0,,,7-7,,Defensive rebound by N. Cole
4:58.0,,,7-7,,R. Anderson misses 3-pt shot from 25 ft
4:58.0,Defensive rebound by B. Lopez,,7-7,,
4:46.0,B. Lopez makes 2-pt shot from 14 ft (assist by J. Johnson),2,9-7,,
4:27.0,,,9-9,2,R. Anderson makes 2-pt shot from 16 ft
4:06.0,W. Ellington makes 3-pt shot from 25 ft (assist by J. Johnson),3,12-9,,
3:54.0,,,12-9,,A. Davis misses 3-pt shot from 25 ft
3:53.0,Defensive rebound by T. Young,,12-9,,
3:38.0,B. Lopez makes 2-pt shot from 2 ft,2,14-9,,
3:22.0,,,14-11,2,R. Anderson makes 2-pt shot from 20 ft
3:06.0,W. Ellington makes 3-pt shot from 25 ft (assist by T. Young),3,17-11,,
2:47.0,Brooklyn full timeout,,17-11,,
2:47.0,T. Robinson enters the game for J. Johnson,,17-11,,
2:47.0,B. Bogdanovic enters the game for B. Lopez,,17-11,,
2:47.0,S. Larkin enters the game for D. Sloan,,17-11,,
2:47.0,,,17-11,,T. Douglas enters the game for B. Dejean-Jones
2:47.0,,,17-11,,J. Holiday enters the game for N. Cole
2:40.0,,,17-11,,Turnover by Team (shot clock)
2:17.0,W. Ellington makes 3-pt shot from 25 ft (assist by B. Bogdanovic),3,20-11,,
2:02.0,,,20-11,,R. Anderson misses 2-pt shot from 14 ft
2:01.0,,,20-11,,Offensive rebound by A. Davis
1:44.0,,,20-13,2,A. Gee makes 2-pt shot from 2 ft (assist by R. Anderson)
1:23.0,T. Young makes 2-pt shot from 19 ft (assist by S. Larkin),2,22-13,,
1:17.0,,,22-13,,Turnover by J. Holiday (lost ball; steal by B. Bogdanovic)
1:04.0,W. Ellington misses 3-pt shot from 24 ft,,22-13,,
1:04.0,,,22-13,,Defensive rebound by R. Anderson
0:57.0,,,22-16,3,R. Anderson makes 3-pt shot from 27 ft (assist by J. Holiday)
0:42.0,T. Robinson misses 2-pt shot from 2 ft,,22-16,,
0:41.0,,,22-16,,Defensive rebound by A. Davis
0:32.0,,,22-16,,R. Anderson misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by T. Robinson,,22-16,,
0:07.0,W. Ellington misses 3-pt shot from 23 ft,,22-16,,
0:07.0,,,22-16,,Defensive rebound by R. Anderson
0:04.0,Personal foul by B. Bogdanovic (drawn by T. Douglas),,22-16,,
0:04.0,A. Bargnani enters the game for T. Young,,22-16,,
0:04.0,M. Brown enters the game for W. Ellington,,22-16,,
0:04.0,,,22-16,,D. Cunningham enters the game for A. Davis
0:00.0,,,22-16,,J. Holiday misses 3-pt shot from 32 ft
0:00.0,,,22-16,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,B. Bogdanovic misses 2-pt shot at rim,,22-16,,
11:45.0,Offensive rebound by T. Robinson,,22-16,,
11:45.0,T. Robinson makes 2-pt shot from 1 ft,2,24-16,,
11:33.0,,,24-18,2,J. Holiday makes 2-pt shot from 5 ft
11:33.0,,,24-18,,Shooting foul by M. Brown (drawn by J. Holiday)
11:33.0,,,24-19,1,J. Holiday makes free throw 1 of 1
11:19.0,T. Robinson makes 2-pt shot from 2 ft (assist by S. Larkin),2,26-19,,
10:58.0,,,26-22,3,B. Dejean-Jones makes 3-pt shot from 24 ft (assist by J. Holiday)
10:40.0,S. Larkin misses 3-pt shot from 24 ft,,26-22,,
10:39.0,,,26-22,,Defensive rebound by R. Anderson
10:33.0,,,26-22,,J. Holiday misses 2-pt shot from 4 ft
10:32.0,,,26-22,,Offensive rebound by D. Cunningham
10:32.0,,,26-22,,D. Cunningham misses 2-pt shot from 1 ft
10:31.0,Defensive rebound by T. Robinson,,26-22,,
10:17.0,T. Robinson makes 2-pt shot at rim (assist by S. Larkin),2,28-22,,
10:05.0,,,28-22,,Shooting foul by A. Bargnani (drawn by R. Anderson)
10:05.0,,,28-22,,R. Anderson misses free throw 1 of 2
10:05.0,,,28-22,,Offensive rebound by Team
10:05.0,,,28-23,1,R. Anderson makes free throw 2 of 2
9:52.0,,,28-23,,Personal foul by J. Holiday (drawn by A. Bargnani)
9:46.0,S. Larkin makes 3-pt shot from 25 ft,3,31-23,,
9:32.0,,,31-26,3,J. Holiday makes 3-pt shot from 23 ft
9:17.0,M. Brown misses 2-pt shot from 19 ft,,31-26,,
9:16.0,,,31-26,,Defensive rebound by B. Dejean-Jones
9:15.0,Personal foul by T. Robinson (drawn by D. Cunningham),,31-26,,
9:05.0,,,31-29,3,T. Douglas makes 3-pt shot from 26 ft (assist by R. Anderson)
8:46.0,M. Brown misses 2-pt shot from 1 ft,,31-29,,
8:45.0,Offensive rebound by T. Robinson,,31-29,,
8:45.0,T. Robinson misses 2-pt shot from 2 ft (block by R. Anderson),,31-29,,
8:44.0,,,31-29,,Defensive rebound by D. Cunningham
8:36.0,,,31-29,,B. Dejean-Jones misses 2-pt shot from 2 ft (block by T. Robinson)
8:34.0,,,31-29,,Offensive rebound by R. Anderson
8:31.0,,,31-29,,R. Anderson misses 3-pt shot from 26 ft
8:30.0,,,31-29,,Offensive rebound by B. Dejean-Jones
8:30.0,,,31-31,2,B. Dejean-Jones makes 2-pt shot at rim
8:25.0,Brooklyn full timeout,,31-31,,
8:13.0,Shooting foul by J. Holiday (drawn by M. Brown),,31-31,,
8:13.0,M. Brown misses free throw 1 of 2,,31-31,,
8:13.0,Offensive rebound by Team,,31-31,,
8:13.0,M. Brown misses free throw 2 of 2,,31-31,,
8:12.0,,,31-31,,Defensive rebound by B. Dejean-Jones
8:08.0,,,31-33,2,D. Cunningham makes 2-pt shot at rim (assist by J. Holiday)
7:57.0,T. Robinson makes 2-pt shot at rim,2,33-33,,
7:57.0,Shooting foul by D. Cunningham (drawn by T. Robinson),,33-33,,
7:57.0,J. Johnson enters the game for M. Brown,,33-33,,
