time,Sacramento,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. J. Grant (R. Gay gains possession),,,,Jump ball: W. Cauley-Stein vs. J. Grant (R. Gay gains possession)
11:38.0,M. Belinelli misses 2-pt shot from 2 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by J. Grant
11:29.0,,,0-0,,N. Stauskas misses 2-pt shot from 8 ft
11:27.0,Defensive rebound by W. Cauley-Stein,,0-0,,
11:19.0,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Cousins),2,2-0,,
11:02.0,,,2-2,2,J. Okafor makes 2-pt shot from 7 ft
10:53.0,Turnover by M. Belinelli (bad pass; steal by N. Stauskas),,2-2,,
10:48.0,,,2-2,,N. Stauskas misses 2-pt shot from 2 ft
10:46.0,,,2-2,,Offensive rebound by R. Covington
10:46.0,,,2-4,2,R. Covington makes 2-pt shot from 1 ft
10:28.0,W. Cauley-Stein misses 2-pt shot from 3 ft (block by J. Grant),,2-4,,
10:26.0,Offensive rebound by W. Cauley-Stein,,2-4,,
10:24.0,R. Gay makes 3-pt shot from 25 ft (assist by D. Cousins),3,5-4,,
10:02.0,,,5-6,2,J. Okafor makes 2-pt shot from 1 ft (assist by J. Grant)
9:53.0,Turnover by R. Gay (bad pass; steal by R. Covington),,5-6,,
9:45.0,,,5-6,,Turnover by R. Covington (bad pass; steal by R. Rondo)
9:41.0,R. Gay misses 2-pt shot from 2 ft,,5-6,,
9:38.0,Offensive rebound by R. Rondo,,5-6,,
9:34.0,R. Rondo makes 2-pt shot from 2 ft,2,7-6,,
9:26.0,,,7-8,2,J. Okafor makes 2-pt shot at rim (assist by J. Grant)
9:15.0,R. Gay misses 3-pt shot from 25 ft,,7-8,,
9:13.0,,,7-8,,Defensive rebound by J. Okafor
9:07.0,,,7-8,,R. Covington misses 3-pt shot from 26 ft
9:05.0,Defensive rebound by D. Cousins,,7-8,,
8:57.0,W. Cauley-Stein misses 2-pt shot from 2 ft,,7-8,,
8:55.0,,,7-8,,Defensive rebound by R. Covington
8:53.0,,,7-8,,Turnover by R. Covington (bad pass; steal by R. Rondo)
8:50.0,R. Rondo misses 2-pt shot from 2 ft (block by J. Grant),,7-8,,
8:48.0,,,7-8,,Defensive rebound by I. Smith
8:39.0,,,7-11,3,N. Stauskas makes 3-pt shot from 25 ft (assist by I. Smith)
8:20.0,,,7-11,,Personal foul by I. Smith (drawn by R. Gay)
8:07.0,Turnover by Team (shot clock),,7-11,,
7:52.0,,,7-11,,J. Okafor misses 2-pt shot from 8 ft
7:50.0,Defensive rebound by R. Rondo,,7-11,,
7:39.0,R. Gay misses 3-pt shot from 23 ft,,7-11,,
7:38.0,,,7-11,,Defensive rebound by N. Stauskas
7:29.0,,,7-11,,J. Grant misses 2-pt shot from 1 ft (block by R. Gay)
7:29.0,,,7-11,,Offensive rebound by Team
7:25.0,,,7-14,3,R. Covington makes 3-pt shot from 23 ft (assist by I. Smith)
7:02.0,Turnover by D. Cousins (bad pass; steal by R. Covington),,7-14,,
6:57.0,,,7-16,2,J. Grant makes 2-pt shot at rim (assist by I. Smith)
6:55.0,,,7-16,,R. Holmes enters the game for J. Grant
6:55.0,Sacramento full timeout,,7-16,,
6:31.0,R. Rondo makes 2-pt shot from 18 ft,2,9-16,,
6:13.0,,,9-16,,Turnover by I. Smith (lost ball; steal by R. Rondo)
6:07.0,R. Gay makes 2-pt shot at rim (assist by R. Rondo),2,11-16,,
5:50.0,,,11-18,2,J. Okafor makes 2-pt shot from 9 ft
5:33.0,M. Belinelli makes 2-pt shot from 18 ft (assist by R. Rondo),2,13-18,,
5:23.0,,,13-20,2,I. Smith makes 2-pt shot from 1 ft (assist by J. Okafor)
5:09.0,M. Belinelli makes 2-pt shot from 17 ft (assist by R. Rondo),2,15-20,,
4:53.0,,,15-20,,J. Okafor misses 2-pt shot from 20 ft
4:52.0,Defensive rebound by M. Belinelli,,15-20,,
4:47.0,Shooting foul by R. Covington (drawn by D. Cousins),,15-20,,
4:47.0,D. Cousins makes free throw 1 of 2,1,16-20,,
4:47.0,,,16-20,,H. Thompson enters the game for R. Covington
4:47.0,O. Casspi enters the game for W. Cauley-Stein,,16-20,,
4:47.0,D. Cousins makes free throw 2 of 2,1,17-20,,
4:33.0,,,17-20,,H. Thompson misses 2-pt shot from 20 ft
4:31.0,Defensive rebound by D. Cousins,,17-20,,
4:25.0,D. Cousins misses 3-pt shot from 26 ft,,17-20,,
4:23.0,Offensive rebound by R. Rondo,,17-20,,
4:21.0,R. Gay makes 2-pt shot from 7 ft (assist by R. Rondo),2,19-20,,
4:21.0,,,19-20,,Philadelphia full timeout
4:21.0,D. Collison enters the game for M. Belinelli,,19-20,,
4:21.0,,,19-20,,J. Grant enters the game for J. Okafor
3:58.0,,,19-20,,N. Stauskas misses 3-pt shot from 23 ft
3:57.0,,,19-20,,Offensive rebound by R. Holmes
3:47.0,,,19-20,,H. Thompson misses 3-pt shot from 25 ft
3:46.0,Defensive rebound by O. Casspi,,19-20,,
3:36.0,R. Gay misses 2-pt shot from 7 ft,,19-20,,
3:34.0,Offensive rebound by R. Gay,,19-20,,
3:34.0,R. Gay misses 2-pt shot from 1 ft,,19-20,,
3:32.0,,,19-20,,Defensive rebound by H. Thompson
3:22.0,,,19-20,,R. Holmes misses 2-pt shot from 1 ft
3:20.0,Defensive rebound by D. Cousins,,19-20,,
3:16.0,D. Collison misses 2-pt shot from 3 ft,,19-20,,
3:13.0,,,19-20,,Defensive rebound by J. Grant
3:07.0,,,19-22,2,R. Holmes makes 2-pt shot from 1 ft (assist by J. Grant)
3:07.0,,,19-22,,Shooting foul by D. Cousins (drawn by R. Holmes)
3:07.0,,,19-22,,T. McConnell enters the game for N. Stauskas
3:07.0,K. Koufos enters the game for D. Cousins,,19-22,,
3:07.0,,,19-22,,I. Canaan enters the game for I. Smith
3:07.0,,,19-22,,R. Holmes misses free throw 1 of 1
3:03.0,Defensive rebound by O. Casspi,,19-22,,
2:49.0,R. Rondo misses 2-pt shot from 2 ft (block by J. Grant),,19-22,,
2:48.0,,,19-22,,Defensive rebound by Team
2:28.0,,,19-22,,R. Holmes misses 2-pt shot from 1 ft (block by K. Koufos)
2:26.0,,,19-22,,Offensive rebound by R. Holmes
2:24.0,,,19-24,2,R. Holmes makes 2-pt shot from 1 ft
2:15.0,Shooting foul by R. Holmes (drawn by R. Gay),,19-24,,
2:15.0,R. Gay makes free throw 1 of 2,1,20-24,,
2:15.0,R. Gay makes free throw 2 of 2,1,21-24,,
2:02.0,,,21-24,,R. Holmes misses 3-pt shot from 25 ft
2:01.0,,,21-24,,Offensive rebound by T. McConnell
1:56.0,,,21-24,,I. Canaan misses 2-pt shot at rim
1:54.0,,,21-24,,Offensive rebound by H. Thompson
1:53.0,,,21-24,,H. Thompson misses 2-pt shot from 5 ft
1:50.0,,,21-24,,Offensive rebound by H. Thompson
1:32.0,,,21-26,2,R. Holmes makes 2-pt shot from 2 ft (assist by J. Grant)
1:32.0,,,21-26,,Shooting foul by O. Casspi (drawn by R. Holmes)
1:32.0,W. Cauley-Stein enters the game for R. Gay,,21-26,,
1:32.0,,,21-26,,R. Holmes misses free throw 1 of 1
1:31.0,,,21-26,,Offensive rebound by H. Thompson
1:24.0,,,21-26,,I. Canaan misses 3-pt shot from 25 ft
1:22.0,Defensive rebound by R. Rondo,,21-26,,
1:15.0,O. Casspi misses 2-pt shot from 4 ft (block by R. Holmes),,21-26,,
1:13.0,,,21-26,,Defensive rebound by H. Thompson
1:10.0,,,21-28,2,H. Thompson makes 2-pt shot from 2 ft (assist by T. McConnell)
0:58.0,,,21-28,,Flagrant foul type 1 by R. Holmes (drawn by W. Cauley-Stein)
0:58.0,W. Cauley-Stein misses flagrant free throw 1 of 2,,21-28,,
0:58.0,Offensive rebound by Team,,21-28,,
0:58.0,W. Cauley-Stein makes flagrant free throw 2 of 2,1,22-28,,
0:42.0,K. Koufos makes 2-pt shot at rim (assist by W. Cauley-Stein),2,24-28,,
0:22.0,,,24-30,2,T. McConnell makes 2-pt shot from 18 ft
0:02.0,R. Rondo misses 2-pt shot from 7 ft,,24-30,,
0:00.0,,,24-30,,Defensive rebound by J. Grant
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,24-33,3,J. Grant makes 3-pt shot from 25 ft (assist by J. Okafor)
11:23.0,K. Koufos makes 2-pt shot from 4 ft (assist by O. Casspi),2,26-33,,
11:02.0,Personal foul by O. Casspi (drawn by H. Thompson),,26-33,,
10:52.0,,,26-33,,H. Thompson misses 3-pt shot from 24 ft
10:51.0,Defensive rebound by K. Koufos,,26-33,,
10:43.0,K. Koufos misses 2-pt shot from 6 ft,,26-33,,
10:43.0,,,26-33,,Defensive rebound by Team
10:35.0,,,26-35,2,H. Thompson makes 2-pt shot from 1 ft (assist by J. Okafor)
10:20.0,,,26-35,,Personal foul by I. Canaan (drawn by M. Belinelli)
10:20.0,R. Gay enters the game for O. Casspi,,26-35,,
10:08.0,M. Belinelli misses 3-pt shot from 26 ft,,26-35,,
10:06.0,,,26-35,,Defensive rebound by T. McConnell
9:55.0,,,26-35,,Shooting foul by K. Koufos (drawn by J. Okafor)
9:55.0,,,26-35,,J. Okafor misses free throw 1 of 2
9:55.0,,,26-35,,Offensive rebound by Team
9:55.0,,,26-36,1,J. Okafor makes free throw 2 of 2
9:31.0,M. Belinelli misses 2-pt shot from 17 ft,,26-36,,
9:29.0,,,26-36,,Defensive rebound by H. Thompson
9:24.0,,,26-36,,Turnover by T. McConnell (lost ball)
9:11.0,K. Koufos makes 2-pt shot from 10 ft (assist by D. Collison),2,28-36,,
9:06.0,,,28-36,,Philadelphia full timeout
