time,Atlanta,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. G. Monroe (P. Millsap gains possession),,,,Jump ball: A. Horford vs. G. Monroe (P. Millsap gains possession)
11:39.0,K. Korver makes 2-pt shot from 17 ft (assist by A. Horford),2,2-0,,
11:18.0,,,2-2,2,M. Carter-Williams makes 2-pt shot from 20 ft (assist by G. Monroe)
11:02.0,P. Millsap makes 2-pt shot from 5 ft (assist by A. Horford),2,4-2,,
10:53.0,Personal block foul by K. Bazemore (drawn by G. Antetokounmpo),,4-2,,
10:48.0,,,4-2,,Turnover by J. Parker (bad pass)
10:36.0,K. Bazemore misses 2-pt shot from 3 ft (block by J. Parker),,4-2,,
10:33.0,,,4-2,,Defensive rebound by G. Antetokounmpo
10:29.0,,,4-4,2,G. Antetokounmpo makes 2-pt shot at rim
10:13.0,P. Millsap makes 2-pt shot at rim (assist by K. Korver),2,6-4,,
10:01.0,,,6-4,,K. Middleton misses 2-pt shot from 13 ft
10:00.0,Defensive rebound by A. Horford,,6-4,,
9:47.0,K. Bazemore makes 3-pt shot from 23 ft (assist by J. Teague),3,9-4,,
9:29.0,,,9-6,2,J. Parker makes 2-pt shot from 2 ft
9:02.0,Turnover by Team (shot clock),,9-6,,
8:52.0,,,9-6,,G. Antetokounmpo misses 2-pt shot at rim (block by P. Millsap)
8:50.0,,,9-6,,Offensive rebound by G. Monroe
8:49.0,,,9-8,2,G. Monroe makes 2-pt shot at rim
8:32.0,Turnover by A. Horford (step out of bounds),,9-8,,
8:20.0,,,9-8,,J. Parker misses 2-pt shot from 14 ft
8:19.0,Defensive rebound by K. Korver,,9-8,,
8:14.0,K. Korver makes 2-pt shot from 19 ft (assist by J. Teague),2,11-8,,
8:00.0,,,11-8,,G. Monroe misses 2-pt shot from 2 ft (block by P. Millsap)
7:57.0,,,11-8,,Offensive rebound by J. Parker
7:56.0,,,11-10,2,J. Parker makes 2-pt shot from 1 ft
7:47.0,,,11-10,,Personal block foul by M. Carter-Williams (drawn by J. Teague)
