time,Houston,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. D. Howard (C. Capela gains possession),,,,Jump ball: R. Hibbert vs. D. Howard (C. Capela gains possession)
11:42.0,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden),3,3-0,,
11:21.0,,,3-2,2,R. Hibbert makes 2-pt shot from 4 ft (assist by K. Bryant)
11:07.0,J. Harden makes 2-pt shot from 1 ft,2,5-2,,
10:54.0,,,5-2,,Turnover by J. Randle (bad pass; steal by T. Ariza)
10:44.0,J. Harden misses 2-pt shot from 13 ft,,5-2,,
10:41.0,,,5-2,,Defensive rebound by J. Randle
10:32.0,,,5-2,,J. Clarkson misses 2-pt shot at rim
10:32.0,Defensive rebound by C. Capela,,5-2,,
10:18.0,D. Howard makes 2-pt shot from 2 ft (assist by J. Terry),2,7-2,,
10:06.0,,,7-2,,Shooting foul by C. Capela (drawn by R. Hibbert)
10:06.0,,,7-3,1,R. Hibbert makes free throw 1 of 2
10:06.0,,,7-4,1,R. Hibbert makes free throw 2 of 2
9:45.0,J. Harden makes 2-pt shot from 14 ft,2,9-4,,
9:29.0,,,9-6,2,J. Clarkson makes 2-pt shot from 8 ft
9:18.0,C. Capela misses 2-pt shot from 3 ft (block by R. Hibbert),,9-6,,
9:15.0,Offensive rebound by C. Capela,,9-6,,
9:06.0,J. Terry misses 3-pt shot from 24 ft,,9-6,,
9:05.0,,,9-6,,Defensive rebound by J. Clarkson
8:57.0,,,9-6,,Shooting foul by J. Terry (drawn by L. Williams)
8:57.0,,,9-7,1,L. Williams makes free throw 1 of 2
8:57.0,,,9-8,1,L. Williams makes free throw 2 of 2
8:42.0,D. Howard makes 2-pt shot from 1 ft (assist by J. Harden),2,11-8,,
8:42.0,Shooting foul by R. Hibbert (drawn by D. Howard),,11-8,,
8:42.0,D. Howard makes free throw 1 of 1,1,12-8,,
