time,Utah,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. T. Mozgov (K. Love gains possession),,,,Jump ball: R. Gobert vs. T. Mozgov (K. Love gains possession)
11:41.0,,,0-3,3,M. Williams makes 3-pt shot from 23 ft (assist by J. Smith)
11:24.0,G. Hayward makes 3-pt shot from 25 ft (assist by D. Favors),3,3-3,,
11:05.0,,,3-3,,K. Love misses 2-pt shot from 3 ft
11:04.0,,,3-3,,Offensive rebound by T. Mozgov
10:50.0,,,3-3,,J. Smith misses 3-pt shot from 26 ft
10:50.0,Defensive rebound by D. Favors,,3-3,,
10:38.0,D. Favors makes 2-pt shot from 12 ft (assist by R. Hood),2,5-3,,
10:19.0,,,5-5,2,K. Love makes 2-pt shot from 17 ft (assist by M. Williams)
10:13.0,,,5-5,,Personal foul by J. Smith (drawn by G. Hayward)
10:03.0,R. Gobert misses 2-pt shot at rim,,5-5,,
10:02.0,,,5-5,,Defensive rebound by Team
9:49.0,,,5-5,,Turnover by L. James (bad pass; steal by R. Hood)
9:38.0,R. Hood misses 3-pt shot from 26 ft,,5-5,,
9:38.0,,,5-5,,Defensive rebound by K. Love
9:26.0,,,5-5,,L. James misses 2-pt shot from 20 ft
9:25.0,Defensive rebound by R. Hood,,5-5,,
9:15.0,Turnover by G. Hayward (bad pass; steal by K. Love),,5-5,,
9:10.0,,,5-7,2,J. Smith makes 2-pt shot at rim (assist by L. James)
8:53.0,R. Neto misses 3-pt shot from 24 ft,,5-7,,
8:52.0,Offensive rebound by Team,,5-7,,
8:44.0,R. Hood misses 3-pt shot from 24 ft,,5-7,,
8:43.0,,,5-7,,Defensive rebound by M. Williams
8:39.0,,,5-7,,Turnover by L. James (step out of bounds)
8:22.0,D. Favors misses 2-pt shot from 17 ft,,5-7,,
8:21.0,,,5-7,,Defensive rebound by M. Williams
8:13.0,,,5-9,2,M. Williams makes 2-pt shot from 17 ft
7:51.0,D. Favors makes 2-pt shot at rim (assist by R. Neto),2,7-9,,
7:35.0,,,7-11,2,M. Williams makes 2-pt shot from 18 ft (assist by J. Smith)
7:17.0,,,7-11,,Shooting block foul by T. Mozgov (drawn by R. Gobert)
7:17.0,R. Gobert makes free throw 1 of 2,1,8-11,,
7:17.0,R. Gobert makes free throw 2 of 2,1,9-11,,
7:04.0,,,9-13,2,L. James makes 2-pt shot at rim (assist by K. Love)
6:43.0,D. Favors misses 2-pt shot from 5 ft,,9-13,,
6:43.0,,,9-13,,Defensive rebound by K. Love
6:40.0,,,9-13,,Turnover by L. James (bad pass; steal by R. Neto)
6:35.0,R. Gobert makes 2-pt shot at rim (assist by R. Neto),2,11-13,,
6:18.0,,,11-13,,Turnover by T. Mozgov (offensive goaltending)
6:04.0,G. Hayward misses 2-pt shot from 17 ft,,11-13,,
6:02.0,Offensive rebound by R. Gobert,,11-13,,
6:02.0,R. Gobert misses 2-pt shot from 1 ft,,11-13,,
5:58.0,Offensive rebound by D. Favors,,11-13,,
5:54.0,G. Hayward makes 2-pt shot at rim (assist by D. Favors),2,13-13,,
5:45.0,,,13-16,3,L. James makes 3-pt shot from 25 ft (assist by M. Williams)
5:27.0,R. Hood makes 2-pt shot from 15 ft (assist by R. Neto),2,15-16,,
5:24.0,,,15-16,,Cleveland full timeout
5:24.0,,,15-16,,T. Thompson enters the game for T. Mozgov
5:07.0,,,15-19,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
4:47.0,R. Hood misses 3-pt shot from 24 ft,,15-19,,
4:47.0,,,15-19,,Defensive rebound by K. Love
4:46.0,Personal foul by R. Neto (drawn by L. James),,15-19,,
4:46.0,T. Burke enters the game for R. Neto,,15-19,,
4:46.0,A. Burks enters the game for R. Hood,,15-19,,
4:34.0,,,15-21,2,K. Love makes 2-pt shot from 16 ft (assist by M. Williams)
4:20.0,Shooting foul by T. Thompson (drawn by D. Favors),,15-21,,
4:20.0,D. Favors makes free throw 1 of 2,1,16-21,,
4:20.0,,,16-21,,M. Dellavedova enters the game for J. Smith
4:20.0,D. Favors makes free throw 2 of 2,1,17-21,,
4:06.0,,,17-21,,Turnover by M. Williams (bad pass; steal by T. Burke)
3:59.0,T. Burke makes 2-pt shot from 1 ft,2,19-21,,
3:36.0,,,19-23,2,M. Dellavedova makes 2-pt shot from 5 ft
3:27.0,Turnover by T. Burke (lost ball),,19-23,,
3:04.0,,,19-23,,K. Love misses 3-pt shot from 22 ft
3:03.0,,,19-23,,Offensive rebound by L. James
3:02.0,,,19-23,,Turnover by Team (shot clock)
3:02.0,Utah full timeout,,19-23,,
3:02.0,T. Booker enters the game for D. Favors,,19-23,,
3:02.0,,,19-23,,R. Jefferson enters the game for L. James
2:48.0,A. Burks misses 2-pt shot from 13 ft,,19-23,,
2:47.0,Offensive rebound by R. Gobert,,19-23,,
2:37.0,G. Hayward misses 3-pt shot from 25 ft,,19-23,,
2:36.0,Offensive rebound by T. Booker,,19-23,,
2:29.0,Turnover by A. Burks (bad pass),,19-23,,
2:29.0,J. Ingles enters the game for G. Hayward,,19-23,,
2:07.0,,,19-23,,R. Jefferson misses 2-pt shot from 5 ft
2:06.0,,,19-23,,Offensive rebound by K. Love
2:06.0,,,19-23,,K. Love misses 2-pt shot from 2 ft
2:05.0,,,19-23,,Offensive rebound by T. Thompson
2:05.0,,,19-23,,T. Thompson misses 2-pt shot at rim
2:04.0,Defensive rebound by R. Gobert,,19-23,,
1:47.0,J. Ingles makes 2-pt shot from 21 ft (assist by R. Gobert),2,21-23,,
1:29.0,,,21-25,2,M. Williams makes 2-pt shot from 17 ft
1:06.0,T. Booker misses 2-pt shot at rim,,21-25,,
1:06.0,Offensive rebound by R. Gobert,,21-25,,
1:06.0,Shooting foul by R. Jefferson (drawn by R. Gobert),,21-25,,
1:06.0,R. Gobert misses free throw 1 of 2,,21-25,,
1:06.0,Offensive rebound by Team,,21-25,,
1:06.0,,,21-25,,J. Smith enters the game for M. Williams
1:06.0,,,21-25,,A. Varejao enters the game for K. Love
1:06.0,R. Gobert makes free throw 2 of 2,1,22-25,,
0:59.0,Personal foul by A. Burks (drawn by J. Smith),,22-25,,
0:59.0,T. Lyles enters the game for R. Gobert,,22-25,,
0:48.0,,,22-27,2,A. Varejao makes 2-pt shot from 15 ft (assist by M. Dellavedova)
0:27.0,T. Burke misses 2-pt shot from 6 ft (block by A. Varejao),,22-27,,
0:26.0,Offensive rebound by T. Lyles,,22-27,,
0:25.0,T. Lyles misses 2-pt shot from 1 ft,,22-27,,
0:24.0,Offensive rebound by T. Lyles,,22-27,,
0:12.0,A. Burks misses 2-pt shot from 2 ft,,22-27,,
0:10.0,,,22-27,,Defensive rebound by T. Thompson
0:01.0,,,22-27,,A. Varejao misses 2-pt shot from 17 ft
0:00.0,,,22-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,T. Burke misses 2-pt shot from 1 ft,,22-27,,
11:40.0,,,22-27,,Defensive rebound by M. Dellavedova
11:37.0,,,22-27,,Shooting foul by J. Ingles (drawn by R. Jefferson)
11:37.0,,,22-28,1,R. Jefferson makes free throw 1 of 2
11:37.0,,,22-28,,R. Jefferson misses free throw 2 of 2
11:36.0,Defensive rebound by T. Booker,,22-28,,
11:18.0,Turnover by T. Booker (offensive foul),,22-28,,
11:18.0,Offensive foul by T. Booker,,22-28,,
11:00.0,Personal foul by T. Booker (drawn by J. Smith),,22-28,,
10:53.0,,,22-30,2,T. Thompson makes 2-pt shot at rim (assist by J. Smith)
10:32.0,A. Burks makes 2-pt shot at rim (assist by T. Burke),2,24-30,,
10:09.0,,,24-30,,A. Varejao misses 2-pt shot from 6 ft
10:07.0,Defensive rebound by T. Booker,,24-30,,
9:57.0,J. Ingles misses 3-pt shot from 23 ft,,24-30,,
9:57.0,,,24-30,,Defensive rebound by Team
9:43.0,,,24-30,,R. Jefferson misses 3-pt shot from 22 ft
9:42.0,Defensive rebound by T. Burke,,24-30,,
9:32.0,T. Booker misses 3-pt shot from 26 ft,,24-30,,
9:32.0,,,24-30,,Defensive rebound by R. Jefferson
9:17.0,,,24-33,3,M. Dellavedova makes 3-pt shot from 24 ft (assist by R. Jefferson)
9:01.0,Turnover by T. Lyles (lost ball; steal by M. Dellavedova),,24-33,,
8:55.0,,,24-35,2,J. Smith makes 2-pt shot at rim (assist by M. Dellavedova)
8:55.0,Utah full timeout,,24-35,,
8:55.0,G. Hayward enters the game for J. Ingles,,24-35,,
8:55.0,D. Favors enters the game for T. Lyles,,24-35,,
8:55.0,,,24-35,,K. Love enters the game for T. Thompson
8:55.0,,,24-35,,L. James enters the game for R. Jefferson
8:33.0,D. Favors misses 2-pt shot from 1 ft,,24-35,,
8:32.0,,,24-35,,Defensive rebound by A. Varejao
