time,Toronto,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. C. Zeller (L. Scola gains possession),,,,Jump ball: B. Biyombo vs. C. Zeller (L. Scola gains possession)
11:39.0,L. Scola misses 3-pt shot from 22 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by C. Zeller
11:24.0,,,0-3,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
11:00.0,Shooting foul by P. Hairston (drawn by D. DeRozan),,0-3,,
11:00.0,D. DeRozan makes free throw 1 of 2,1,1-3,,
11:00.0,D. DeRozan makes free throw 2 of 2,1,2-3,,
10:42.0,,,2-6,3,P. Hairston makes 3-pt shot from 23 ft (assist by C. Zeller)
10:26.0,T. Ross makes 3-pt shot from 22 ft (assist by K. Lowry),3,5-6,,
10:13.0,,,5-6,,M. Williams misses 3-pt shot from 24 ft
10:12.0,Defensive rebound by L. Scola,,5-6,,
10:00.0,L. Scola misses 2-pt shot from 7 ft,,5-6,,
9:57.0,,,5-6,,Defensive rebound by P. Hairston
9:50.0,,,5-9,3,P. Hairston makes 3-pt shot from 26 ft (assist by K. Walker)
9:35.0,Turnover by L. Scola (bad pass),,5-9,,
9:23.0,,,5-11,2,J. Lin makes 2-pt shot from 18 ft
9:00.0,L. Scola misses 2-pt shot from 10 ft,,5-11,,
8:59.0,,,5-11,,Defensive rebound by C. Zeller
8:46.0,,,5-11,,J. Lin misses 2-pt shot from 2 ft (block by B. Biyombo)
8:44.0,Defensive rebound by D. DeRozan,,5-11,,
8:35.0,K. Lowry misses 3-pt shot from 26 ft,,5-11,,
8:34.0,,,5-11,,Defensive rebound by C. Zeller
8:20.0,,,5-13,2,C. Zeller makes 2-pt shot at rim (assist by J. Lin)
8:16.0,Toronto full timeout,,5-13,,
8:06.0,D. DeRozan makes 2-pt shot from 2 ft,2,7-13,,
7:44.0,,,7-13,,Shooting foul by B. Biyombo (drawn by C. Zeller)
7:44.0,,,7-14,1,C. Zeller makes free throw 1 of 2
7:44.0,,,7-14,,C. Zeller misses free throw 2 of 2
7:43.0,Defensive rebound by B. Biyombo,,7-14,,
7:19.0,B. Biyombo makes 2-pt shot from 1 ft (assist by L. Scola),2,9-14,,
6:58.0,,,9-16,2,K. Walker makes 2-pt shot from 7 ft (assist by J. Lin)
6:42.0,B. Biyombo makes 2-pt shot at rim (assist by K. Lowry),2,11-16,,
6:23.0,Personal foul by L. Scola (drawn by K. Walker),,11-16,,
6:08.0,,,11-16,,K. Walker misses 2-pt shot from 19 ft
6:06.0,Defensive rebound by T. Ross,,11-16,,
5:59.0,D. DeRozan misses 2-pt shot from 19 ft,,11-16,,
5:58.0,,,11-16,,Defensive rebound by M. Williams
5:46.0,,,11-16,,C. Zeller misses 2-pt shot from 1 ft (block by L. Scola)
5:46.0,,,11-16,,Offensive rebound by Team
5:35.0,,,11-16,,K. Walker misses 2-pt shot from 21 ft
5:33.0,Defensive rebound by D. DeRozan,,11-16,,
5:25.0,,,11-16,,Personal block foul by C. Zeller (drawn by K. Lowry)
5:13.0,D. DeRozan makes 2-pt shot from 1 ft,2,13-16,,
5:02.0,,,13-19,3,J. Lin makes 3-pt shot from 25 ft (assist by M. Williams)
4:49.0,L. Scola misses 2-pt shot from 18 ft,,13-19,,
4:49.0,Offensive rebound by Team,,13-19,,
4:49.0,,,13-19,,Loose ball foul by C. Zeller (drawn by B. Biyombo)
4:49.0,P. Patterson enters the game for L. Scola,,13-19,,
4:49.0,,,13-19,,S. Hawes enters the game for C. Zeller
4:49.0,,,13-19,,F. Kaminsky enters the game for M. Williams
4:40.0,D. DeRozan misses 2-pt shot from 17 ft,,13-19,,
4:39.0,,,13-19,,Defensive rebound by J. Lin
4:21.0,,,13-19,,K. Walker misses 2-pt shot from 8 ft
4:19.0,,,13-19,,Offensive rebound by K. Walker
4:17.0,,,13-19,,Turnover by P. Hairston (lost ball)
3:56.0,K. Lowry misses 2-pt shot from 9 ft,,13-19,,
3:54.0,,,13-19,,Defensive rebound by F. Kaminsky
3:44.0,,,13-19,,F. Kaminsky misses 3-pt shot from 27 ft
3:42.0,Defensive rebound by B. Biyombo,,13-19,,
3:29.0,D. DeRozan makes 2-pt shot from 1 ft,2,15-19,,
3:17.0,,,15-19,,P. Hairston misses 3-pt shot from 27 ft
3:16.0,Defensive rebound by B. Biyombo,,15-19,,
3:10.0,K. Lowry misses 3-pt shot from 26 ft,,15-19,,
3:09.0,,,15-19,,Defensive rebound by S. Hawes
3:04.0,,,15-21,2,J. Lin makes 2-pt shot from 1 ft (assist by K. Walker)
2:42.0,T. Ross misses 3-pt shot from 25 ft,,15-21,,
2:41.0,,,15-21,,Defensive rebound by S. Hawes
2:35.0,,,15-21,,Charlotte full timeout
2:35.0,C. Joseph enters the game for K. Lowry,,15-21,,
2:35.0,,,15-21,,T. Daniels enters the game for P. Hairston
2:35.0,,,15-21,,J. Lamb enters the game for J. Lin
2:25.0,,,15-21,,T. Daniels misses 3-pt shot from 26 ft
2:23.0,,,15-21,,Offensive rebound by Team
2:21.0,,,15-21,,Turnover by T. Daniels (bad pass; steal by B. Biyombo)
2:02.0,P. Patterson misses 3-pt shot from 24 ft,,15-21,,
2:01.0,Offensive rebound by B. Biyombo,,15-21,,
2:01.0,Shooting foul by S. Hawes (drawn by B. Biyombo),,15-21,,
2:01.0,B. Biyombo misses free throw 1 of 2,,15-21,,
2:01.0,Offensive rebound by Team,,15-21,,
2:01.0,B. Biyombo makes free throw 2 of 2,1,16-21,,
1:45.0,,,16-21,,T. Daniels misses 2-pt shot from 1 ft (block by B. Biyombo)
1:43.0,Defensive rebound by C. Joseph,,16-21,,
1:38.0,P. Patterson misses 3-pt shot from 22 ft,,16-21,,
1:35.0,,,16-21,,Defensive rebound by S. Hawes
