time,Milwaukee,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. G. Monroe (S. Curry gains possession),,,,Jump ball: A. Bogut vs. G. Monroe (S. Curry gains possession)
11:46.0,,,0-0,,K. Thompson misses 2-pt shot from 22 ft
11:46.0,Defensive rebound by M. Carter-Williams,,0-0,,
11:33.0,K. Middleton misses 3-pt shot from 24 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by A. Bogut
11:20.0,,,0-3,3,S. Curry makes 3-pt shot from 24 ft (assist by D. Green)
10:58.0,J. Parker makes 2-pt shot from 10 ft (assist by G. Monroe),2,2-3,,
10:51.0,,,2-5,2,K. Thompson makes 2-pt shot at rim (assist by S. Curry)
10:35.0,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton),2,4-5,,
10:20.0,,,4-5,,Turnover by A. Bogut (bad pass; steal by G. Monroe)
10:16.0,G. Antetokounmpo makes 2-pt shot at rim (assist by G. Monroe),2,6-5,,
10:00.0,,,6-5,,Shooting foul by J. Parker (drawn by K. Thompson)
10:00.0,,,6-5,,K. Thompson misses free throw 1 of 2
10:00.0,,,6-5,,Offensive rebound by Team
10:00.0,,,6-6,1,K. Thompson makes free throw 2 of 2
9:51.0,J. Parker misses 2-pt shot from 15 ft,,6-6,,
9:49.0,,,6-6,,Defensive rebound by D. Green
9:42.0,,,6-6,,D. Green misses 3-pt shot from 25 ft
9:41.0,Defensive rebound by G. Monroe,,6-6,,
9:32.0,M. Carter-Williams misses 2-pt shot from 4 ft,,6-6,,
9:31.0,,,6-6,,Defensive rebound by B. Rush
9:23.0,,,6-8,2,K. Thompson makes 2-pt shot from 1 ft (assist by A. Bogut)
9:03.0,,,6-8,,Def 3 sec tech foul by B. Rush
9:03.0,K. Middleton makes technical free throw,1,7-8,,
9:00.0,Offensive foul by M. Carter-Williams,,7-8,,
9:00.0,Turnover by M. Carter-Williams (offensive foul),,7-8,,
8:52.0,,,7-10,2,S. Curry makes 2-pt shot from 2 ft
8:40.0,,,7-10,,Flagrant foul type 1 by A. Bogut (drawn by M. Carter-Williams)
8:40.0,M. Carter-Williams makes flagrant free throw 1 of 2,1,8-10,,
8:40.0,M. Carter-Williams makes flagrant free throw 2 of 2,1,9-10,,
8:33.0,Offensive foul by G. Monroe,,9-10,,
8:33.0,Turnover by G. Monroe (offensive foul),,9-10,,
8:23.0,,,9-10,,S. Curry misses 2-pt shot from 8 ft (block by M. Carter-Williams)
8:22.0,Defensive rebound by G. Antetokounmpo,,9-10,,
8:14.0,M. Carter-Williams makes 2-pt shot from 2 ft (assist by G. Monroe),2,11-10,,
8:11.0,,,11-10,,Turnover by S. Curry (bad pass; steal by K. Middleton)
8:06.0,K. Middleton makes 2-pt shot from 11 ft,2,13-10,,
7:45.0,,,13-12,2,B. Rush makes 2-pt shot from 2 ft
7:30.0,Turnover by K. Middleton (traveling),,13-12,,
7:21.0,,,13-14,2,D. Green makes 2-pt shot at rim (assist by K. Thompson)
7:05.0,M. Carter-Williams makes 2-pt shot from 21 ft (assist by J. Parker),2,15-14,,
