time,Utah,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. J. Withey (R. Hood gains possession),,,,Jump ball: T. Duncan vs. J. Withey (R. Hood gains possession)
11:40.0,T. Lyles makes 2-pt shot from 17 ft (assist by G. Hayward),2,2-0,,
11:25.0,,,2-2,2,T. Duncan makes 2-pt shot from 4 ft (assist by P. Mills)
11:16.0,Turnover by G. Hayward (lost ball; steal by K. Leonard),,2-2,,
11:08.0,,,2-2,,Turnover by K. Leonard (lost ball)
10:54.0,Turnover by R. Hood (bad pass; steal by D. West),,2-2,,
10:48.0,,,2-4,2,K. Leonard makes 2-pt shot at rim (assist by D. West)
10:24.0,G. Hayward misses 2-pt shot at rim,,2-4,,
10:23.0,,,2-4,,Defensive rebound by T. Duncan
10:10.0,,,2-6,2,D. West makes 2-pt shot from 2 ft (assist by T. Duncan)
10:10.0,Utah full timeout,,2-6,,
9:56.0,G. Hayward makes 3-pt shot from 24 ft (assist by J. Withey),3,5-6,,
9:38.0,,,5-9,3,D. Green makes 3-pt shot from 22 ft (assist by K. Leonard)
9:21.0,R. Neto misses 2-pt shot from 9 ft,,5-9,,
9:20.0,Offensive rebound by J. Withey,,5-9,,
9:10.0,R. Hood misses 2-pt shot from 9 ft,,5-9,,
9:09.0,,,5-9,,Defensive rebound by D. West
9:00.0,,,5-11,2,T. Duncan makes 2-pt shot from 1 ft (assist by D. Green)
8:49.0,Turnover by R. Hood (bad pass; steal by P. Mills),,5-11,,
8:48.0,Personal foul by R. Neto (drawn by P. Mills),,5-11,,
8:35.0,,,5-13,2,K. Leonard makes 2-pt shot from 15 ft
8:18.0,G. Hayward makes 2-pt shot from 1 ft,2,7-13,,
8:18.0,Shooting foul by D. West (drawn by G. Hayward),,7-13,,
8:18.0,G. Hayward makes free throw 1 of 1,1,8-13,,
7:54.0,,,8-13,,K. Leonard misses 2-pt shot from 6 ft
7:51.0,,,8-13,,Offensive rebound by T. Duncan
7:47.0,,,8-15,2,K. Leonard makes 2-pt shot from 1 ft (assist by T. Duncan)
7:32.0,G. Hayward misses 2-pt shot from 2 ft,,8-15,,
7:31.0,,,8-15,,Defensive rebound by D. West
7:26.0,,,8-15,,D. Green misses 2-pt shot from 20 ft
7:24.0,Defensive rebound by T. Lyles,,8-15,,
7:15.0,T. Lyles misses 2-pt shot from 5 ft,,8-15,,
7:14.0,Offensive rebound by Team,,8-15,,
7:14.0,,,8-15,,R. McCallum enters the game for P. Mills
7:02.0,R. Hood misses 2-pt shot from 10 ft,,8-15,,
7:01.0,Offensive rebound by J. Withey,,8-15,,
6:58.0,J. Withey makes 2-pt shot at rim,2,10-15,,
6:47.0,,,10-17,2,T. Duncan makes 2-pt shot from 7 ft
6:32.0,Turnover by R. Hood (bad pass; steal by T. Duncan),,10-17,,
6:22.0,,,10-17,,Turnover by D. West (bad pass; steal by J. Withey)
6:17.0,Shooting foul by D. Green (drawn by R. Hood),,10-17,,
6:17.0,R. Hood makes free throw 1 of 2,1,11-17,,
6:17.0,T. Pleiss enters the game for J. Withey,,11-17,,
6:17.0,R. Hood makes free throw 2 of 2,1,12-17,,
6:06.0,,,12-17,,Shooting foul by T. Pleiss (drawn by T. Duncan)
6:06.0,,,12-18,1,T. Duncan makes free throw 1 of 2
6:06.0,,,12-18,,M. Ginobili enters the game for D. Green
6:06.0,T. Burke enters the game for R. Neto,,12-18,,
6:06.0,,,12-19,1,T. Duncan makes free throw 2 of 2
5:49.0,,,12-19,,Violation by T. Duncan (kicked ball)
5:43.0,T. Lyles makes 2-pt shot from 10 ft (assist by T. Burke),2,14-19,,
5:25.0,,,14-21,2,R. McCallum makes 2-pt shot at rim (assist by T. Duncan)
5:08.0,G. Hayward misses 3-pt shot from 24 ft,,14-21,,
