time,LA Lakers,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. R. Hibbert (K. Bryant gains possession),,,,Jump ball: D. Cousins vs. R. Hibbert (K. Bryant gains possession)
11:46.0,,,0-0,,Personal foul by R. Gay (drawn by R. Hibbert)
11:36.0,Turnover by K. Bryant (lost ball; steal by D. Cousins),,0-0,,
11:27.0,,,0-0,,D. Cousins misses 2-pt shot at rim
11:26.0,Defensive rebound by R. Hibbert,,0-0,,
11:12.0,R. Hibbert misses 2-pt shot from 13 ft,,0-0,,
11:12.0,,,0-0,,Defensive rebound by B. McLemore
10:58.0,,,0-0,,B. McLemore misses 2-pt shot from 21 ft
10:57.0,Defensive rebound by J. Clarkson,,0-0,,
10:48.0,L. Nance makes 2-pt shot from 16 ft (assist by K. Bryant),2,2-0,,
10:36.0,,,2-2,2,B. McLemore makes 2-pt shot from 3 ft (assist by D. Cousins)
10:27.0,Turnover by R. Hibbert (3 sec),,2-2,,
10:16.0,,,2-4,2,R. Gay makes 2-pt shot from 20 ft (assist by D. Cousins)
10:04.0,L. Williams misses 2-pt shot from 4 ft (block by R. Gay),,2-4,,
10:02.0,,,2-4,,Defensive rebound by R. Rondo
10:00.0,,,2-6,2,B. McLemore makes 2-pt shot at rim (assist by R. Rondo)
9:38.0,K. Bryant misses 2-pt shot from 22 ft,,2-6,,
9:37.0,,,2-6,,Defensive rebound by D. Cousins
9:32.0,,,2-8,2,Q. Acy makes 2-pt shot at rim (assist by D. Cousins)
9:32.0,,,2-8,,Shooting foul by K. Bryant (drawn by Q. Acy)
9:32.0,,,2-9,1,Q. Acy makes free throw 1 of 1
9:26.0,,,2-9,,Personal foul by B. McLemore (drawn by J. Clarkson)
9:17.0,L. Williams makes 2-pt shot from 2 ft (assist by R. Hibbert),2,4-9,,
9:02.0,,,4-12,3,R. Gay makes 3-pt shot from 23 ft (assist by R. Rondo)
8:46.0,J. Clarkson misses 2-pt shot from 17 ft,,4-12,,
8:45.0,,,4-12,,Defensive rebound by R. Rondo
8:42.0,Clear path foul by R. Hibbert,,4-12,,
8:42.0,,,4-13,1,D. Cousins makes clear path free throw 1 of 2
8:42.0,,,4-14,1,D. Cousins makes clear path free throw 2 of 2
8:35.0,,,4-14,,D. Cousins misses 2-pt shot from 1 ft
8:34.0,,,4-14,,Offensive rebound by Q. Acy
8:33.0,,,4-16,2,Q. Acy makes 2-pt shot at rim
8:12.0,Turnover by L. Nance (lost ball; steal by R. Rondo),,4-16,,
8:03.0,,,4-19,3,D. Cousins makes 3-pt shot from 25 ft (assist by R. Rondo)
7:52.0,LA Lakers full timeout,,4-19,,
7:43.0,L. Williams misses 3-pt shot from 25 ft,,4-19,,
7:42.0,,,4-19,,Defensive rebound by R. Rondo
7:38.0,,,4-21,2,B. McLemore makes 2-pt shot from 10 ft
7:38.0,,,4-21,,Shooting foul by J. Clarkson (drawn by B. McLemore)
7:38.0,,,4-21,,B. McLemore misses free throw 1 of 1
7:37.0,Defensive rebound by R. Hibbert,,4-21,,
7:25.0,K. Bryant misses 3-pt shot from 24 ft,,4-21,,
7:24.0,,,4-21,,Defensive rebound by B. McLemore
7:17.0,,,4-23,2,Q. Acy makes 2-pt shot at rim (assist by R. Gay)
7:01.0,L. Nance misses 2-pt shot from 19 ft,,4-23,,
7:00.0,,,4-23,,Defensive rebound by D. Cousins
6:55.0,,,4-23,,Shooting foul by L. Nance (drawn by D. Cousins)
6:55.0,,,4-24,1,D. Cousins makes free throw 1 of 2
6:55.0,D. Russell enters the game for L. Nance,,4-24,,
6:55.0,J. Randle enters the game for J. Clarkson,,4-24,,
6:55.0,,,4-25,1,D. Cousins makes free throw 2 of 2
6:43.0,Shooting foul by R. Gay (drawn by K. Bryant),,4-25,,
6:43.0,K. Bryant misses free throw 1 of 2,,4-25,,
6:43.0,Offensive rebound by Team,,4-25,,
6:43.0,,,4-25,,J. Anderson enters the game for R. Gay
6:43.0,K. Bryant makes free throw 2 of 2,1,5-25,,
6:28.0,,,5-25,,B. McLemore misses 3-pt shot from 24 ft
6:27.0,Defensive rebound by J. Randle,,5-25,,
6:17.0,D. Russell misses 2-pt shot from 1 ft (block by R. Rondo),,5-25,,
6:15.0,,,5-25,,Defensive rebound by J. Anderson
6:04.0,,,5-25,,R. Rondo misses 3-pt shot from 22 ft
6:04.0,Defensive rebound by D. Russell,,5-25,,
5:53.0,L. Williams makes 3-pt shot from 23 ft (assist by D. Russell),3,8-25,,
5:39.0,,,8-25,,R. Rondo misses 2-pt shot from 4 ft
5:37.0,,,8-25,,Offensive rebound by J. Anderson
5:34.0,,,8-27,2,B. McLemore makes 2-pt shot from 2 ft
5:11.0,K. Bryant makes 2-pt shot from 12 ft,2,10-27,,
4:59.0,,,10-30,3,D. Cousins makes 3-pt shot from 24 ft (assist by J. Anderson)
4:43.0,Shooting foul by J. Anderson (drawn by K. Bryant),,10-30,,
4:43.0,K. Bryant makes free throw 1 of 2,1,11-30,,
4:43.0,B. Bass enters the game for R. Hibbert,,11-30,,
4:43.0,,,11-30,,K. Koufos enters the game for Q. Acy
4:43.0,K. Bryant makes free throw 2 of 2,1,12-30,,
4:25.0,,,12-30,,Turnover by D. Cousins (traveling)
4:08.0,L. Williams misses 3-pt shot from 24 ft,,12-30,,
4:07.0,,,12-30,,Defensive rebound by D. Cousins
3:59.0,,,12-30,,B. McLemore misses 3-pt shot from 22 ft
3:58.0,Defensive rebound by B. Bass,,12-30,,
3:49.0,K. Bryant makes 2-pt shot from 7 ft,2,14-30,,
3:34.0,,,14-30,,Turnover by D. Cousins (lost ball; steal by D. Russell)
3:32.0,D. Russell makes 2-pt shot from 2 ft,2,16-30,,
3:13.0,,,16-30,,B. McLemore misses 2-pt shot from 1 ft
3:12.0,Defensive rebound by D. Russell,,16-30,,
2:59.0,K. Bryant misses 3-pt shot from 26 ft,,16-30,,
2:59.0,,,16-30,,Defensive rebound by D. Cousins
2:45.0,,,16-30,,K. Koufos misses 2-pt shot from 5 ft (block by K. Bryant)
2:43.0,,,16-30,,Offensive rebound by B. McLemore
2:36.0,,,16-32,2,K. Koufos makes 2-pt shot from 7 ft
2:13.0,J. Randle misses 2-pt shot from 21 ft,,16-32,,
2:13.0,,,16-32,,Defensive rebound by D. Cousins
2:08.0,,,16-32,,Sacramento full timeout
2:08.0,A. Brown enters the game for K. Bryant,,16-32,,
2:08.0,,,16-32,,M. Belinelli enters the game for B. McLemore
1:52.0,,,16-34,2,D. Cousins makes 2-pt shot from 9 ft (assist by R. Rondo)
1:33.0,L. Williams makes 3-pt shot from 24 ft (assist by B. Bass),3,19-34,,
1:21.0,,,19-36,2,M. Belinelli makes 2-pt shot from 21 ft (assist by R. Rondo)
1:04.0,L. Williams makes 2-pt shot from 15 ft (assist by D. Russell),2,21-36,,
0:42.0,,,21-38,2,K. Koufos makes 2-pt shot at rim (assist by M. Belinelli)
0:22.0,D. Russell misses 3-pt shot from 24 ft,,21-38,,
0:22.0,Offensive rebound by A. Brown,,21-38,,
0:03.0,Turnover by A. Brown (traveling),,21-38,,
0:03.0,,,21-38,,D. Collison enters the game for K. Koufos
0:00.0,,,21-38,,D. Cousins misses 3-pt shot from 23 ft
0:00.0,,,21-38,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,21-38,,M. Belinelli misses 3-pt shot from 24 ft
11:37.0,Defensive rebound by J. Randle,,21-38,,
11:15.0,Turnover by J. Randle (lost ball),,21-38,,
11:15.0,,,21-38,,S. Curry enters the game for J. Anderson
11:03.0,,,21-38,,D. Collison misses 2-pt shot from 9 ft
11:03.0,Defensive rebound by B. Bass,,21-38,,
10:51.0,J. Clarkson misses 2-pt shot from 8 ft,,21-38,,
10:50.0,,,21-38,,Defensive rebound by D. Collison
10:50.0,,,21-38,,Turnover by D. Collison (traveling)
10:34.0,,,21-38,,Def 3 sec tech foul by K. Koufos
10:34.0,J. Clarkson makes technical free throw,1,22-38,,
10:30.0,,,22-38,,Violation by D. Collison (kicked ball)
10:21.0,J. Clarkson misses 3-pt shot from 24 ft,,22-38,,
10:21.0,Offensive rebound by Team,,22-38,,
10:01.0,Offensive charge foul by J. Randle,,22-38,,
10:01.0,Turnover by J. Randle (offensive foul),,22-38,,
9:44.0,,,22-38,,Turnover by M. Belinelli (bad pass; steal by B. Bass)
9:40.0,D. Russell makes 2-pt shot from 2 ft,2,24-38,,
9:28.0,,,24-40,2,K. Koufos makes 2-pt shot from 2 ft (assist by R. Gay)
9:13.0,D. Russell makes 2-pt shot from 12 ft,2,26-40,,
9:04.0,,,26-43,3,M. Belinelli makes 3-pt shot from 25 ft (assist by R. Gay)
9:04.0,,,26-43,,Shooting foul by J. Clarkson (drawn by M. Belinelli)
9:04.0,,,26-43,,Sacramento full timeout
9:04.0,K. Bryant enters the game for A. Brown,,26-43,,
9:04.0,,,26-44,1,M. Belinelli makes free throw 1 of 1
8:43.0,Turnover by D. Russell (bad pass; steal by M. Belinelli),,26-44,,
8:40.0,,,26-46,2,M. Belinelli makes 2-pt shot at rim
8:15.0,J. Clarkson makes 2-pt shot from 18 ft,2,28-46,,
8:07.0,,,28-46,,R. Gay misses 3-pt shot from 24 ft
8:06.0,Defensive rebound by K. Bryant,,28-46,,
7:57.0,D. Russell makes 2-pt shot from 1 ft (assist by K. Bryant),2,30-46,,
7:40.0,,,30-48,2,K. Koufos makes 2-pt shot from 11 ft (assist by R. Gay)
7:28.0,K. Bryant makes 2-pt shot from 12 ft,2,32-48,,
7:28.0,Shooting foul by K. Koufos (drawn by K. Bryant),,32-48,,
7:28.0,K. Bryant makes free throw 1 of 1,1,33-48,,
7:09.0,,,33-50,2,K. Koufos makes 2-pt shot at rim (assist by M. Belinelli)
6:56.0,Turnover by K. Bryant (lost ball; steal by M. Belinelli),,33-50,,
6:47.0,,,33-50,,S. Curry misses 3-pt shot from 25 ft
6:47.0,Defensive rebound by J. Randle,,33-50,,
6:37.0,D. Russell misses 3-pt shot from 23 ft,,33-50,,
6:36.0,,,33-50,,Defensive rebound by R. Gay
6:19.0,,,33-50,,R. Gay misses 2-pt shot from 6 ft
6:19.0,Defensive rebound by Team,,33-50,,
6:19.0,,,33-50,,Loose ball foul by K. Koufos (drawn by J. Randle)
6:18.0,R. Hibbert enters the game for D. Russell,,33-50,,
6:18.0,L. Williams enters the game for B. Bass,,33-50,,
6:05.0,K. Bryant makes 2-pt shot from 1 ft,2,35-50,,
5:45.0,,,35-53,3,D. Collison makes 3-pt shot from 24 ft (assist by M. Belinelli)
5:31.0,K. Bryant misses 2-pt shot from 7 ft (block by K. Koufos),,35-53,,
5:29.0,Offensive rebound by K. Bryant,,35-53,,
5:22.0,Shooting foul by K. Koufos (drawn by J. Randle),,35-53,,
5:22.0,Official timeout,,35-53,,
5:22.0,,,35-53,,R. Rondo enters the game for K. Koufos
5:22.0,,,35-53,,D. Cousins enters the game for S. Curry
5:22.0,J. Randle makes free throw 1 of 2,1,36-53,,
5:22.0,J. Randle makes free throw 2 of 2,1,37-53,,
5:08.0,,,37-55,2,D. Cousins makes 2-pt shot from 3 ft
5:08.0,,,37-55,,Shooting foul by R. Hibbert (drawn by D. Cousins)
5:08.0,L. Nance enters the game for J. Randle,,37-55,,
5:08.0,,,37-55,,D. Cousins misses free throw 1 of 1
5:07.0,Defensive rebound by L. Nance,,37-55,,
4:54.0,K. Bryant misses 3-pt shot from 24 ft,,37-55,,
4:53.0,,,37-55,,Defensive rebound by R. Gay
4:48.0,,,37-55,,Shooting foul by R. Hibbert (drawn by D. Cousins)
4:48.0,,,37-56,1,D. Cousins makes free throw 1 of 2
4:48.0,B. Bass enters the game for R. Hibbert,,37-56,,
4:48.0,,,37-57,1,D. Cousins makes free throw 2 of 2
4:36.0,K. Bryant makes 2-pt shot at rim (assist by J. Clarkson),2,39-57,,
4:15.0,,,39-59,2,R. Gay makes 2-pt shot from 18 ft (assist by D. Collison)
4:15.0,,,39-59,,Shooting foul by L. Nance (drawn by R. Gay)
4:15.0,,,39-59,,B. McLemore enters the game for M. Belinelli
4:15.0,,,39-60,1,R. Gay makes free throw 1 of 1
3:48.0,K. Bryant makes 2-pt shot from 21 ft (assist by B. Bass),2,41-60,,
3:26.0,Personal foul by B. Bass (drawn by D. Cousins),,41-60,,
3:26.0,,,41-61,1,D. Cousins makes free throw 1 of 2
3:26.0,,,41-62,1,D. Cousins makes free throw 2 of 2
3:13.0,Turnover by J. Clarkson (bad pass),,41-62,,
3:04.0,Personal foul by L. Williams,,41-62,,
3:04.0,,,41-62,,B. McLemore misses free throw 1 of 2
3:04.0,,,41-62,,Offensive rebound by Team
3:04.0,,,41-63,1,B. McLemore makes free throw 2 of 2
2:49.0,Shooting foul by D. Cousins (drawn by B. Bass),,41-63,,
2:49.0,LA Lakers full timeout,,41-63,,
2:49.0,B. Bass makes free throw 1 of 2,1,42-63,,
2:49.0,B. Bass makes free throw 2 of 2,1,43-63,,
2:34.0,,,43-65,2,D. Cousins makes 2-pt shot at rim (assist by R. Gay)
2:11.0,L. Williams misses 3-pt shot from 24 ft,,43-65,,
2:11.0,,,43-65,,Defensive rebound by D. Cousins
2:02.0,,,43-65,,B. McLemore misses 3-pt shot from 25 ft
2:02.0,,,43-65,,Offensive rebound by R. Rondo
2:00.0,,,43-67,2,R. Rondo makes 2-pt shot from 5 ft
1:54.0,,,43-67,,Personal foul by D. Cousins (drawn by L. Nance)
1:54.0,L. Nance makes free throw 1 of 2,1,44-67,,
1:54.0,,,44-67,,Q. Acy enters the game for R. Gay
1:54.0,L. Nance makes free throw 2 of 2,1,45-67,,
1:35.0,,,45-67,,Turnover by B. McLemore (traveling)
1:22.0,,,45-67,,Def 3 sec tech foul by Q. Acy
1:22.0,K. Bryant misses technical free throw,,45-67,,
1:22.0,Offensive rebound by Team,,45-67,,
1:10.0,K. Bryant makes 2-pt shot from 9 ft,2,47-67,,
1:00.0,,,47-69,2,D. Cousins makes 2-pt shot from 2 ft
0:55.0,Shooting foul by D. Cousins (drawn by L. Williams),,47-69,,
0:55.0,L. Williams makes free throw 1 of 2,1,48-69,,
0:55.0,,,48-69,,R. Gay enters the game for D. Cousins
0:55.0,L. Williams misses free throw 2 of 2,,48-69,,
0:53.0,,,48-69,,Defensive rebound by R. Gay
0:45.0,,,48-69,,R. Gay misses 2-pt shot from 15 ft
0:44.0,Defensive rebound by L. Nance,,48-69,,
0:36.0,L. Nance misses 2-pt shot from 3 ft (block by Q. Acy),,48-69,,
0:34.0,,,48-69,,Defensive rebound by D. Collison
0:23.0,,,48-69,,R. Gay misses 3-pt shot from 25 ft
0:22.0,Defensive rebound by J. Clarkson,,48-69,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,48-69,,Turnover by R. Rondo (bad pass)
11:40.0,L. Nance makes 2-pt shot from 2 ft (assist by K. Bryant),2,50-69,,
11:40.0,Shooting foul by Q. Acy (drawn by L. Nance),,50-69,,
11:40.0,L. Nance makes free throw 1 of 1,1,51-69,,
11:20.0,,,51-71,2,R. Gay makes 2-pt shot from 10 ft
11:01.0,J. Clarkson misses 3-pt shot from 24 ft,,51-71,,
11:00.0,,,51-71,,Defensive rebound by R. Gay
10:53.0,,,51-71,,R. Rondo misses 2-pt shot from 17 ft
10:52.0,Defensive rebound by L. Nance,,51-71,,
10:44.0,Turnover by K. Bryant (lost ball; steal by R. Rondo),,51-71,,
10:38.0,,,51-73,2,B. McLemore makes 2-pt shot at rim (assist by R. Gay)
10:22.0,Turnover by J. Clarkson (lost ball; steal by B. McLemore),,51-73,,
10:20.0,,,51-75,2,R. Gay makes 2-pt shot at rim (assist by R. Rondo)
10:05.0,K. Bryant makes 3-pt shot from 24 ft (assist by L. Williams),3,54-75,,
9:52.0,,,54-77,2,D. Cousins makes 2-pt shot from 8 ft
9:35.0,K. Bryant makes 3-pt shot from 27 ft (assist by J. Clarkson),3,57-77,,
9:25.0,,,57-79,2,Q. Acy makes 2-pt shot at rim (assist by R. Rondo)
