time,LA Clippers,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. J. Withey (C. Paul gains possession),,,,Jump ball: D. Jordan vs. J. Withey (C. Paul gains possession)
11:42.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,2-0,,
11:20.0,,,2-0,,R. Hood misses 2-pt shot from 18 ft
11:20.0,Defensive rebound by D. Jordan,,2-0,,
11:10.0,Turnover by J. Smith (bad pass; steal by J. Withey),,2-0,,
10:49.0,,,2-0,,R. Neto misses 2-pt shot from 8 ft
10:48.0,Defensive rebound by J. Smith,,2-0,,
10:27.0,C. Paul misses 2-pt shot from 21 ft,,2-0,,
10:26.0,,,2-0,,Defensive rebound by T. Lyles
10:07.0,,,2-3,3,T. Lyles makes 3-pt shot from 23 ft (assist by G. Hayward)
9:51.0,,,2-3,,Personal foul by R. Neto (drawn by C. Paul)
9:36.0,J. Smith misses 2-pt shot from 18 ft,,2-3,,
9:35.0,,,2-3,,Defensive rebound by G. Hayward
9:24.0,,,2-3,,R. Hood misses 2-pt shot from 7 ft
9:23.0,Defensive rebound by D. Jordan,,2-3,,
9:21.0,Turnover by D. Jordan (bad pass; steal by R. Neto),,2-3,,
9:15.0,,,2-3,,R. Neto misses 2-pt shot from 2 ft
9:15.0,Defensive rebound by J. Smith,,2-3,,
9:01.0,J. Redick makes 2-pt shot from 21 ft (assist by C. Paul),2,4-3,,
8:47.0,,,4-3,,J. Withey misses 2-pt shot from 5 ft
8:46.0,Defensive rebound by D. Jordan,,4-3,,
8:38.0,J. Smith misses 2-pt shot at rim (block by J. Withey),,4-3,,
8:36.0,,,4-3,,Defensive rebound by J. Withey
8:27.0,Violation by D. Jordan (kicked ball),,4-3,,
8:27.0,,,4-3,,T. Booker enters the game for J. Withey
8:20.0,,,4-5,2,G. Hayward makes 2-pt shot from 2 ft
8:16.0,Turnover by D. Jordan (bad pass),,4-5,,
8:13.0,,,4-8,3,R. Neto makes 3-pt shot from 24 ft (assist by G. Hayward)
7:58.0,J. Redick misses 2-pt shot from 20 ft,,4-8,,
7:57.0,,,4-8,,Defensive rebound by T. Booker
7:38.0,,,4-10,2,R. Neto makes 2-pt shot from 2 ft
7:16.0,D. Jordan misses 2-pt shot from 3 ft,,4-10,,
7:15.0,,,4-10,,Defensive rebound by G. Hayward
7:07.0,,,4-10,,R. Neto misses 3-pt shot from 23 ft
7:07.0,Defensive rebound by Team,,4-10,,
7:05.0,P. Pierce enters the game for J. Smith,,4-10,,
6:49.0,P. Pierce misses 3-pt shot from 25 ft,,4-10,,
6:48.0,Offensive rebound by D. Jordan,,4-10,,
6:48.0,,,4-10,,Personal foul by G. Hayward (drawn by D. Jordan)
6:48.0,,,4-10,,A. Burks enters the game for R. Hood
6:36.0,J. Redick misses 3-pt shot from 24 ft,,4-10,,
6:34.0,,,4-10,,Defensive rebound by T. Lyles
6:22.0,,,4-12,2,G. Hayward makes 2-pt shot from 2 ft (assist by T. Lyles)
6:19.0,LA Clippers full timeout,,4-12,,
6:10.0,L. Mbah a Moute makes 2-pt shot from 21 ft (assist by C. Paul),2,6-12,,
5:54.0,,,6-14,2,T. Booker makes 2-pt shot from 2 ft (assist by G. Hayward)
5:30.0,P. Pierce misses 2-pt shot from 8 ft,,6-14,,
5:30.0,Offensive rebound by D. Jordan,,6-14,,
5:24.0,C. Paul makes 3-pt shot from 23 ft (assist by D. Jordan),3,9-14,,
5:01.0,,,9-16,2,A. Burks makes 2-pt shot at rim (assist by R. Neto)
4:38.0,C. Paul misses 2-pt shot from 16 ft,,9-16,,
4:35.0,,,9-16,,Defensive rebound by A. Burks
4:21.0,,,9-19,3,A. Burks makes 3-pt shot from 23 ft
4:01.0,W. Johnson enters the game for L. Mbah a Moute,,9-19,,
4:01.0,J. Crawford enters the game for J. Redick,,9-19,,
4:01.0,,,9-19,,T. Burke enters the game for R. Neto
3:56.0,P. Pierce makes 2-pt shot at rim,2,11-19,,
3:32.0,,,11-19,,T. Burke misses 2-pt shot from 10 ft
3:31.0,,,11-19,,Offensive rebound by T. Burke
3:21.0,,,11-19,,Turnover by A. Burks (step out of bounds)
3:21.0,,,11-19,,J. Ingles enters the game for T. Lyles
2:59.0,C. Paul misses 2-pt shot from 18 ft,,11-19,,
2:58.0,,,11-19,,Defensive rebound by J. Ingles
2:42.0,,,11-19,,Shooting foul by D. Jordan (drawn by G. Hayward)
2:42.0,,,11-19,,Utah full timeout
2:42.0,C. Aldrich enters the game for D. Jordan,,11-19,,
2:42.0,,,11-20,1,G. Hayward makes free throw 1 of 2
2:42.0,,,11-21,1,G. Hayward makes free throw 2 of 2
2:30.0,W. Johnson misses 2-pt shot from 22 ft,,11-21,,
2:30.0,,,11-21,,Defensive rebound by A. Burks
2:14.0,,,11-21,,T. Burke misses 3-pt shot from 23 ft
2:14.0,Defensive rebound by P. Pierce,,11-21,,
2:06.0,Turnover by J. Crawford (bad pass),,11-21,,
2:06.0,,,11-21,,J. Withey enters the game for T. Booker
2:06.0,P. Prigioni enters the game for C. Paul,,11-21,,
1:50.0,,,11-21,,Turnover by G. Hayward (lost ball; steal by W. Johnson)
1:48.0,Turnover by W. Johnson (lost ball; steal by G. Hayward),,11-21,,
1:41.0,,,11-21,,G. Hayward misses 2-pt shot from 7 ft
1:41.0,Defensive rebound by C. Aldrich,,11-21,,
1:24.0,W. Johnson makes 3-pt shot from 22 ft (assist by C. Aldrich),3,14-21,,
1:03.0,Personal foul by C. Aldrich (drawn by J. Ingles),,14-21,,
1:03.0,,,14-21,,E. Millsap enters the game for G. Hayward
0:57.0,,,14-24,3,J. Ingles makes 3-pt shot from 24 ft
0:42.0,W. Johnson makes 2-pt shot from 17 ft,2,16-24,,
