time,Miami,pts.away,score,pts.home,Houston
0:12.0,,,31-31,3,M. Thornton makes 3-pt shot from 24 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,31-31,,M. Thornton misses 3-pt shot from 25 ft
11:47.0,Defensive rebound by G. Dragic,,31-31,,
11:36.0,Shooting foul by C. Brewer (drawn by G. Green),,31-31,,
11:36.0,G. Green makes free throw 1 of 2,1,32-31,,
11:36.0,G. Green makes free throw 2 of 2,1,33-31,,
11:16.0,,,33-31,,T. Jones misses 2-pt shot from 2 ft (block by C. Bosh)
11:15.0,Defensive rebound by G. Green,,33-31,,
11:05.0,C. Bosh misses 2-pt shot from 1 ft,,33-31,,
11:04.0,Offensive rebound by J. Winslow,,33-31,,
10:59.0,C. Bosh makes 2-pt shot from 19 ft (assist by J. Winslow),2,35-31,,
10:45.0,,,35-31,,J. Terry misses 3-pt shot from 26 ft
10:44.0,Defensive rebound by J. Winslow,,35-31,,
10:36.0,,,35-31,,Shooting block foul by T. Jones (drawn by G. Dragic)
10:36.0,G. Dragic misses free throw 1 of 2,,35-31,,
10:36.0,Offensive rebound by Team,,35-31,,
10:36.0,,,35-31,,T. Ariza enters the game for M. Thornton
10:36.0,,,35-31,,J. Smith enters the game for T. Jones
10:36.0,G. Dragic misses free throw 2 of 2,,35-31,,
10:36.0,,,35-31,,Defensive rebound by J. Smith
10:24.0,,,35-34,3,C. Brewer makes 3-pt shot from 25 ft (assist by T. Lawson)
10:10.0,Shooting foul by J. Smith (drawn by C. Bosh),,35-34,,
10:10.0,C. Bosh makes free throw 1 of 2,1,36-34,,
10:10.0,C. Bosh makes free throw 2 of 2,1,37-34,,
9:47.0,,,37-34,,J. Smith misses 3-pt shot from 24 ft
9:46.0,Defensive rebound by B. Udrih,,37-34,,
9:37.0,Turnover by B. Udrih (bad pass; steal by C. Brewer),,37-34,,
9:23.0,,,37-34,,T. Lawson misses 3-pt shot from 24 ft
9:22.0,Defensive rebound by G. Green,,37-34,,
9:18.0,Turnover by G. Dragic (bad pass; steal by J. Smith),,37-34,,
9:07.0,,,37-34,,Turnover by J. Terry (bad pass; steal by J. Winslow)
9:07.0,,,37-34,,Personal foul by J. Smith (drawn by J. Winslow)
9:07.0,,,37-34,,J. Harden enters the game for C. Brewer
9:07.0,,,37-34,,P. Beverley enters the game for J. Terry
8:55.0,G. Green makes 2-pt shot from 21 ft (assist by B. Udrih),2,39-34,,
8:37.0,,,39-34,,T. Ariza misses 2-pt shot from 1 ft
8:36.0,,,39-34,,Offensive rebound by T. Ariza
8:31.0,,,39-34,,J. Smith misses 2-pt shot from 4 ft
8:31.0,,,39-34,,Offensive rebound by Team
8:31.0,Loose ball foul by B. Udrih (drawn by T. Lawson),,39-34,,
8:31.0,Official timeout,,39-34,,
8:21.0,,,39-36,2,T. Lawson makes 2-pt shot from 1 ft (assist by J. Harden)
7:54.0,G. Green misses 3-pt shot from 22 ft,,39-36,,
7:54.0,,,39-36,,Defensive rebound by J. Smith
7:46.0,,,39-36,,Shooting foul by B. Udrih (drawn by T. Lawson)
7:46.0,,,39-37,1,T. Lawson makes free throw 1 of 2
7:46.0,D. Wade enters the game for C. Bosh,,39-37,,
7:46.0,L. Deng enters the game for G. Dragic,,39-37,,
7:46.0,A. Stoudemire enters the game for J. Winslow,,39-37,,
7:46.0,,,39-37,,T. Lawson misses free throw 2 of 2
7:46.0,Defensive rebound by A. Stoudemire,,39-37,,
7:32.0,Turnover by A. Stoudemire (bad pass),,39-37,,
7:32.0,Violation by Team (jump ball),,39-37,,
7:25.0,,,39-37,,J. Harden misses 3-pt shot from 25 ft
7:24.0,Defensive rebound by G. Green,,39-37,,
7:16.0,Offensive charge foul by A. Stoudemire,,39-37,,
7:16.0,Turnover by A. Stoudemire (offensive foul),,39-37,,
7:05.0,,,39-39,2,P. Beverley makes 2-pt shot at rim
6:56.0,Turnover by D. Wade (bad pass),,39-39,,
6:54.0,,,39-39,,Offensive foul by J. Smith
6:54.0,,,39-39,,Turnover by J. Smith (offensive foul)
6:54.0,Miami full timeout,,39-39,,
6:54.0,,,39-39,,T. Jones enters the game for J. Smith
6:45.0,,,39-39,,Violation by P. Beverley (kicked ball)
6:33.0,D. Wade misses 2-pt shot from 2 ft,,39-39,,
6:32.0,Offensive rebound by A. Stoudemire,,39-39,,
6:30.0,A. Stoudemire makes 2-pt shot at rim,2,41-39,,
6:19.0,,,41-39,,T. Jones misses 2-pt shot from 2 ft
6:18.0,Defensive rebound by L. Deng,,41-39,,
6:13.0,B. Udrih misses 2-pt shot from 1 ft,,41-39,,
6:12.0,Offensive rebound by A. Stoudemire,,41-39,,
6:12.0,A. Stoudemire makes 2-pt shot from 1 ft,2,43-39,,
5:59.0,,,43-42,3,P. Beverley makes 3-pt shot from 23 ft (assist by J. Harden)
5:42.0,G. Green misses 3-pt shot from 25 ft,,43-42,,
5:42.0,,,43-42,,Defensive rebound by J. Harden
5:36.0,,,43-44,2,J. Harden makes 2-pt shot from 2 ft
5:22.0,L. Deng misses 2-pt shot from 18 ft,,43-44,,
5:21.0,,,43-44,,Defensive rebound by T. Ariza
5:13.0,,,43-46,2,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden)
4:49.0,L. Deng misses 2-pt shot from 2 ft (block by J. Harden),,43-46,,
4:49.0,Offensive rebound by Team,,43-46,,
4:49.0,,,43-46,,C. Brewer enters the game for T. Lawson
4:49.0,G. Dragic enters the game for A. Stoudemire,,43-46,,
4:49.0,J. Winslow enters the game for B. Udrih,,43-46,,
4:49.0,C. Bosh enters the game for G. Green,,43-46,,
4:45.0,G. Dragic makes 2-pt shot from 20 ft (assist by D. Wade),2,45-46,,
4:32.0,,,45-46,,Turnover by J. Harden (lost ball; steal by D. Wade)
4:28.0,Offensive charge foul by J. Winslow,,45-46,,
4:28.0,Turnover by J. Winslow (offensive foul),,45-46,,
4:16.0,,,45-46,,J. Harden misses 3-pt shot from 24 ft
4:16.0,Defensive rebound by C. Bosh,,45-46,,
4:03.0,L. Deng misses 3-pt shot from 23 ft,,45-46,,
4:02.0,,,45-46,,Defensive rebound by T. Jones
3:58.0,,,45-48,2,T. Ariza makes 2-pt shot at rim (assist by J. Harden)
3:35.0,L. Deng misses 2-pt shot from 5 ft,,45-48,,
3:34.0,,,45-48,,Defensive rebound by T. Jones
3:23.0,,,45-48,,J. Harden misses 3-pt shot from 24 ft
3:22.0,Defensive rebound by C. Bosh,,45-48,,
3:14.0,,,45-48,,Personal foul by P. Beverley (drawn by D. Wade)
3:14.0,D. Wade makes free throw 1 of 2,1,46-48,,
3:14.0,D. Wade makes free throw 2 of 2,1,47-48,,
2:56.0,,,47-51,3,C. Brewer makes 3-pt shot from 22 ft (assist by P. Beverley)
2:30.0,Shooting foul by T. Jones (drawn by D. Wade),,47-51,,
2:30.0,,,47-51,,Houston full timeout
2:30.0,,,47-51,,T. Lawson enters the game for P. Beverley
2:30.0,D. Wade makes free throw 1 of 2,1,48-51,,
2:30.0,D. Wade misses free throw 2 of 2,,48-51,,
2:30.0,,,48-51,,Defensive rebound by J. Harden
2:10.0,,,48-53,2,T. Jones makes 2-pt shot from 15 ft (assist by T. Lawson)
1:51.0,G. Dragic makes 3-pt shot from 25 ft (assist by C. Bosh),3,51-53,,
1:37.0,,,51-55,2,J. Harden makes 2-pt shot from 6 ft
1:20.0,C. Bosh misses 2-pt shot from 8 ft,,51-55,,
1:19.0,,,51-55,,Defensive rebound by T. Ariza
1:11.0,,,51-55,,Turnover by J. Harden (lost ball; steal by J. Winslow)
1:06.0,D. Wade makes 2-pt shot from 2 ft (assist by J. Winslow),2,53-55,,
0:55.0,,,53-55,,Turnover by T. Lawson (bad pass; steal by L. Deng)
0:52.0,L. Deng makes 2-pt shot at rim,2,55-55,,
0:34.0,,,55-57,2,J. Harden makes 2-pt shot from 16 ft
0:30.0,Miami full timeout,,55-57,,
0:30.0,G. Green enters the game for J. Winslow,,55-57,,
0:11.0,G. Dragic misses 3-pt shot from 23 ft,,55-57,,
0:10.0,,,55-57,,Defensive rebound by T. Jones
0:09.0,Personal foul by C. Bosh (drawn by T. Jones),,55-57,,
0:09.0,J. Winslow enters the game for G. Dragic,,55-57,,
0:01.0,,,55-60,3,J. Harden makes 3-pt shot from 26 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,55-63,3,T. Ariza makes 3-pt shot from 26 ft (assist by J. Harden)
11:24.0,D. Wade misses 2-pt shot from 19 ft,,55-63,,
11:23.0,,,55-63,,Defensive rebound by J. Smith
11:17.0,,,55-63,,T. Ariza misses 3-pt shot from 24 ft
11:16.0,,,55-63,,Offensive rebound by P. Beverley
11:15.0,Personal foul by L. Deng (drawn by P. Beverley),,55-63,,
11:02.0,,,55-66,3,J. Smith makes 3-pt shot from 24 ft (assist by J. Harden)
10:45.0,L. Deng misses 3-pt shot from 23 ft,,55-66,,
10:43.0,Offensive rebound by D. Wade,,55-66,,
10:41.0,D. Wade misses 2-pt shot from 5 ft,,55-66,,
10:40.0,Offensive rebound by C. Bosh,,55-66,,
10:40.0,C. Bosh misses 2-pt shot from 1 ft (block by J. Smith),,55-66,,
10:39.0,,,55-66,,Defensive rebound by T. Ariza
10:37.0,Loose ball foul by A. Stoudemire (drawn by T. Ariza),,55-66,,
10:28.0,,,55-66,,J. Harden misses 3-pt shot from 25 ft
10:27.0,Defensive rebound by D. Wade,,55-66,,
10:11.0,L. Deng misses 2-pt shot from 19 ft,,55-66,,
10:11.0,,,55-66,,Defensive rebound by J. Harden
9:59.0,,,55-68,2,J. Smith makes 2-pt shot from 1 ft (assist by T. Ariza)
9:53.0,Miami full timeout,,55-68,,
9:40.0,D. Wade misses 2-pt shot from 12 ft,,55-68,,
9:39.0,Offensive rebound by L. Deng,,55-68,,
9:39.0,L. Deng makes 2-pt shot at rim,2,57-68,,
9:27.0,,,57-68,,J. Smith misses 2-pt shot from 4 ft
9:26.0,Defensive rebound by G. Dragic,,57-68,,
9:05.0,Turnover by L. Deng (bad pass; steal by J. Harden),,57-68,,
8:54.0,,,57-71,3,J. Smith makes 3-pt shot from 24 ft (assist by P. Beverley)
8:32.0,A. Stoudemire makes 2-pt shot at rim (assist by L. Deng),2,59-71,,
8:19.0,,,59-71,,C. Brewer misses 3-pt shot from 23 ft
8:18.0,Defensive rebound by L. Deng,,59-71,,
8:10.0,G. Dragic misses 3-pt shot from 24 ft,,59-71,,
8:09.0,Offensive rebound by D. Wade,,59-71,,
7:52.0,D. Wade makes 2-pt shot from 4 ft (assist by L. Deng),2,61-71,,
7:52.0,,,61-71,,Houston full timeout
7:52.0,J. Winslow enters the game for C. Bosh,,61-71,,
7:41.0,,,61-71,,T. Ariza misses 2-pt shot at rim
7:40.0,Defensive rebound by J. Winslow,,61-71,,
7:31.0,D. Wade makes 2-pt shot from 8 ft,2,63-71,,
7:18.0,,,63-73,2,J. Harden makes 2-pt shot from 16 ft
7:00.0,L. Deng makes 3-pt shot from 23 ft (assist by G. Dragic),3,66-73,,
6:52.0,,,66-73,,Turnover by J. Smith (bad pass)
6:52.0,,,66-73,,T. Jones enters the game for J. Smith
6:29.0,A. Stoudemire misses 2-pt shot from 2 ft,,66-73,,
6:28.0,Offensive rebound by A. Stoudemire,,66-73,,
6:25.0,A. Stoudemire misses 2-pt shot from 2 ft,,66-73,,
6:24.0,,,66-73,,Defensive rebound by C. Brewer
6:20.0,,,66-73,,T. Jones misses 2-pt shot from 1 ft (block by D. Wade)
6:18.0,Defensive rebound by G. Dragic,,66-73,,
6:06.0,L. Deng makes 3-pt shot from 22 ft (assist by D. Wade),3,69-73,,
5:51.0,,,69-73,,Shooting foul by L. Deng (drawn by J. Harden)
5:51.0,,,69-74,1,J. Harden makes free throw 1 of 2
5:51.0,,,69-74,,J. Harden misses free throw 2 of 2
5:51.0,Defensive rebound by L. Deng,,69-74,,
5:34.0,J. Winslow makes 3-pt shot from 23 ft (assist by D. Wade),3,72-74,,
5:23.0,,,72-74,,T. Ariza misses 3-pt shot from 25 ft
5:23.0,Defensive rebound by A. Stoudemire,,72-74,,
5:13.0,D. Wade misses 2-pt shot from 6 ft,,72-74,,
5:12.0,,,72-74,,Defensive rebound by C. Brewer
5:08.0,,,72-74,,Turnover by T. Ariza (bad pass)
4:56.0,Turnover by G. Dragic (bad pass; steal by T. Jones),,72-74,,
4:54.0,,,72-74,,Shooting foul by J. Winslow (drawn by P. Beverley)
4:54.0,,,72-74,,P. Beverley misses free throw 1 of 2
4:54.0,,,72-74,,Offensive rebound by Team
4:54.0,,,72-74,,M. Thornton enters the game for C. Brewer
4:54.0,B. Udrih enters the game for G. Dragic,,72-74,,
4:54.0,,,72-75,1,P. Beverley makes free throw 2 of 2
4:36.0,D. Wade misses 2-pt shot from 20 ft,,72-75,,
4:35.0,Offensive rebound by A. Stoudemire,,72-75,,
4:33.0,A. Stoudemire misses 2-pt shot from 1 ft,,72-75,,
4:31.0,Offensive rebound by L. Deng,,72-75,,
4:23.0,D. Wade misses 2-pt shot from 8 ft,,72-75,,
4:21.0,,,72-75,,Defensive rebound by T. Jones
4:12.0,,,72-78,3,P. Beverley makes 3-pt shot from 23 ft (assist by M. Thornton)
3:49.0,B. Udrih makes 2-pt shot from 11 ft (assist by L. Deng),2,74-78,,
