time,Miami,pts.away,score,pts.home,Houston
3:16.0,U. Haslem enters the game for L. Deng,,93-110,,
3:16.0,J. Stokes enters the game for C. Bosh,,93-110,,
3:16.0,J. Richardson enters the game for D. Wade,,93-110,,
3:16.0,B. Udrih enters the game for J. Winslow,,93-110,,
3:07.0,Turnover by G. Green (bad pass; steal by T. Ariza),,93-110,,
3:07.0,Personal foul by U. Haslem (drawn by T. Ariza),,93-110,,
3:07.0,,,93-110,,K. McDaniels enters the game for T. Ariza
3:07.0,,,93-110,,C. Brewer enters the game for J. Harden
2:58.0,,,93-110,,T. Jones misses 2-pt shot from 3 ft
2:57.0,Defensive rebound by U. Haslem,,93-110,,
2:47.0,G. Green makes 2-pt shot from 19 ft (assist by B. Udrih),2,95-110,,
2:21.0,,,95-110,,M. Thornton misses 3-pt shot from 25 ft
2:20.0,Defensive rebound by B. Udrih,,95-110,,
2:06.0,,,95-110,,Personal block foul by C. Brewer (drawn by G. Green)
2:06.0,G. Green makes free throw 1 of 2,1,96-110,,
2:06.0,G. Green makes free throw 2 of 2,1,97-110,,
1:54.0,,,97-110,,P. Beverley misses 3-pt shot from 25 ft
1:53.0,Defensive rebound by G. Green,,97-110,,
1:43.0,B. Udrih makes 2-pt shot from 13 ft (assist by G. Green),2,99-110,,
1:25.0,,,99-110,,Shooting foul by U. Haslem (drawn by K. McDaniels)
1:25.0,,,99-111,1,K. McDaniels makes free throw 1 of 2
1:25.0,,,99-112,1,K. McDaniels makes free throw 2 of 2
1:12.0,J. Richardson misses 3-pt shot from 24 ft,,99-112,,
1:11.0,,,99-112,,Defensive rebound by T. Jones
1:05.0,,,99-114,2,P. Beverley makes 2-pt shot from 2 ft (assist by T. Jones)
0:46.0,G. Green makes 3-pt shot from 24 ft (assist by J. Stokes),3,102-114,,
0:35.0,,,102-114,,Shooting foul by J. Richardson (drawn by K. McDaniels)
0:35.0,,,102-115,1,K. McDaniels makes free throw 1 of 2
0:35.0,,,102-115,,K. McDaniels misses free throw 2 of 2
0:33.0,,,102-115,,Offensive rebound by Team
0:20.0,,,102-115,,K. McDaniels misses 2-pt shot from 2 ft
0:20.0,Defensive rebound by J. Richardson,,102-115,,
0:04.0,U. Haslem misses 3-pt shot from 24 ft,,102-115,,
0:03.0,,,102-115,,Defensive rebound by P. Beverley
0:00.0,End of 4th quarter,,,,End of 4th quarter
