time,Utah,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. R. Gobert (N. Cole gains possession),,,,Jump ball: A. Davis vs. R. Gobert (N. Cole gains possession)
11:45.0,,,0-2,2,O. Asik makes 2-pt shot at rim (assist by N. Cole)
11:28.0,G. Hayward misses 3-pt shot from 24 ft,,0-2,,
11:28.0,,,0-2,,Defensive rebound by O. Asik
11:16.0,,,0-2,,A. Davis misses 2-pt shot from 19 ft
11:16.0,Defensive rebound by R. Gobert,,0-2,,
10:52.0,R. Neto misses 2-pt shot from 2 ft,,0-2,,
10:51.0,,,0-2,,Defensive rebound by B. Dejean-Jones
10:39.0,,,0-4,2,B. Dejean-Jones makes 2-pt shot from 1 ft (assist by A. Davis)
10:13.0,D. Favors makes 2-pt shot from 14 ft,2,2-4,,
10:00.0,,,2-4,,Turnover by N. Cole (bad pass)
9:36.0,D. Favors makes 2-pt shot from 6 ft,2,4-4,,
9:15.0,,,4-4,,A. Davis misses 2-pt shot from 11 ft
9:14.0,Defensive rebound by R. Hood,,4-4,,
8:53.0,R. Gobert misses 2-pt shot from 1 ft (block by A. Davis),,4-4,,
8:51.0,,,4-4,,Defensive rebound by N. Cole
8:45.0,,,4-4,,N. Cole misses 2-pt shot from 3 ft
8:44.0,Defensive rebound by G. Hayward,,4-4,,
8:30.0,R. Hood makes 3-pt shot from 25 ft (assist by G. Hayward),3,7-4,,
8:10.0,,,7-4,,N. Cole misses 2-pt shot from 14 ft
8:09.0,Defensive rebound by R. Hood,,7-4,,
7:54.0,D. Favors makes 2-pt shot from 13 ft (assist by R. Gobert),2,9-4,,
7:53.0,,,9-4,,New Orleans full timeout
7:38.0,,,9-4,,A. Davis misses 2-pt shot from 7 ft
7:38.0,Defensive rebound by D. Favors,,9-4,,
7:21.0,R. Hood makes 3-pt shot from 24 ft (assist by R. Neto),3,12-4,,
7:11.0,,,12-6,2,N. Cole makes 2-pt shot from 12 ft
6:55.0,D. Favors makes 2-pt shot from 1 ft (assist by R. Hood),2,14-6,,
6:45.0,,,14-8,2,A. Davis makes 2-pt shot from 14 ft (assist by N. Cole)
6:32.0,Offensive foul by R. Gobert,,14-8,,
6:32.0,Turnover by R. Gobert (offensive foul),,14-8,,
6:21.0,,,14-8,,A. Davis misses 2-pt shot from 16 ft
6:20.0,Defensive rebound by R. Neto,,14-8,,
6:03.0,D. Favors makes 2-pt shot from 15 ft (assist by R. Hood),2,16-8,,
5:49.0,,,16-8,,N. Cole misses 2-pt shot from 19 ft
5:49.0,Defensive rebound by R. Gobert,,16-8,,
5:43.0,Turnover by R. Neto (lost ball),,16-8,,
5:17.0,,,16-8,,B. Dejean-Jones misses 2-pt shot from 22 ft
5:17.0,,,16-8,,Offensive rebound by O. Asik
5:17.0,,,16-10,2,O. Asik makes 2-pt shot from 1 ft
5:17.0,Loose ball foul by R. Gobert (drawn by O. Asik),,16-10,,
5:17.0,,,16-10,,J. Holiday enters the game for N. Cole
5:17.0,T. Booker enters the game for R. Gobert,,16-10,,
5:17.0,,,16-10,,O. Asik misses free throw 1 of 1
5:16.0,Defensive rebound by D. Favors,,16-10,,
4:51.0,T. Booker misses 2-pt shot from 19 ft,,16-10,,
4:50.0,,,16-10,,Defensive rebound by B. Dejean-Jones
4:41.0,,,16-10,,Turnover by O. Asik (lost ball; steal by G. Hayward)
4:30.0,,,16-10,,Personal foul by J. Holiday (drawn by R. Hood)
4:17.0,Turnover by R. Hood (lost ball; steal by B. Dejean-Jones),,16-10,,
4:14.0,C. Johnson enters the game for R. Hood,,16-10,,
4:10.0,Personal foul by R. Neto (drawn by A. Davis),,16-10,,
4:06.0,,,16-10,,J. Holiday misses 2-pt shot from 1 ft
4:05.0,,,16-10,,Offensive rebound by O. Asik
4:05.0,,,16-10,,O. Asik misses 2-pt shot at rim
4:04.0,,,16-10,,Offensive rebound by O. Asik
4:03.0,,,16-10,,Shooting foul by D. Favors (drawn by O. Asik)
4:03.0,,,16-10,,O. Asik misses free throw 1 of 2
4:03.0,,,16-10,,Offensive rebound by Team
4:03.0,,,16-10,,O. Asik misses free throw 2 of 2
4:02.0,Defensive rebound by D. Favors,,16-10,,
3:46.0,G. Hayward makes 3-pt shot from 26 ft (assist by T. Booker),3,19-10,,
3:35.0,,,19-13,3,B. Dejean-Jones makes 3-pt shot from 24 ft (assist by J. Holiday)
3:11.0,T. Booker misses 2-pt shot from 1 ft,,19-13,,
3:10.0,,,19-13,,Defensive rebound by A. Davis
3:01.0,,,19-13,,D. Cunningham misses 3-pt shot from 23 ft
3:00.0,Defensive rebound by D. Favors,,19-13,,
2:56.0,Utah full timeout,,19-13,,
2:43.0,G. Hayward misses 3-pt shot from 25 ft,,19-13,,
2:43.0,,,19-13,,Defensive rebound by O. Asik
2:26.0,,,19-13,,Shooting foul by C. Johnson (drawn by B. Dejean-Jones)
2:26.0,,,19-14,1,B. Dejean-Jones makes free throw 1 of 2
2:26.0,,,19-14,,R. Anderson enters the game for O. Asik
