time,Orlando,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. N. Vucevic (E. Payton gains possession),,,,Jump ball: T. Thompson vs. N. Vucevic (E. Payton gains possession)
11:43.0,V. Oladipo misses 3-pt shot from 25 ft,,0-0,,
11:43.0,Offensive rebound by N. Vucevic,,0-0,,
11:38.0,V. Oladipo makes 2-pt shot at rim (assist by N. Vucevic),2,2-0,,
11:15.0,,,2-3,3,M. Dellavedova makes 3-pt shot from 23 ft (assist by L. James)
11:03.0,Turnover by E. Fournier (bad pass; steal by J. Smith),,2-3,,
10:50.0,,,2-3,,K. Love misses 3-pt shot from 24 ft
10:50.0,,,2-3,,Offensive rebound by T. Thompson
10:38.0,,,2-6,3,K. Love makes 3-pt shot from 24 ft (assist by M. Dellavedova)
10:17.0,E. Payton misses 2-pt shot from 18 ft,,2-6,,
10:16.0,,,2-6,,Defensive rebound by K. Love
9:58.0,,,2-9,3,J. Smith makes 3-pt shot from 23 ft (assist by M. Dellavedova)
9:31.0,N. Vucevic misses 2-pt shot from 10 ft,,2-9,,
9:27.0,,,2-9,,Defensive rebound by L. James
9:21.0,,,2-11,2,L. James makes 2-pt shot at rim
9:06.0,T. Harris makes 2-pt shot from 17 ft (assist by E. Payton),2,4-11,,
8:44.0,,,4-11,,K. Love misses 2-pt shot from 8 ft
8:41.0,Defensive rebound by N. Vucevic,,4-11,,
8:38.0,T. Harris misses 2-pt shot at rim,,4-11,,
8:37.0,Offensive rebound by V. Oladipo,,4-11,,
8:37.0,V. Oladipo misses 2-pt shot at rim,,4-11,,
8:36.0,,,4-11,,Defensive rebound by K. Love
8:14.0,,,4-11,,K. Love misses 2-pt shot from 10 ft
8:14.0,,,4-11,,Offensive rebound by T. Thompson
8:14.0,Personal foul by E. Fournier (drawn by T. Thompson),,4-11,,
8:02.0,,,4-13,2,L. James makes 2-pt shot from 12 ft (assist by M. Dellavedova)
7:44.0,Turnover by V. Oladipo (bad pass; steal by M. Dellavedova),,4-13,,
7:38.0,,,4-13,,M. Dellavedova misses 2-pt shot from 1 ft
7:34.0,,,4-13,,Offensive rebound by T. Thompson
7:34.0,,,4-15,2,T. Thompson makes 2-pt shot at rim
7:16.0,N. Vucevic makes 2-pt shot from 16 ft,2,6-15,,
7:13.0,Def 3 sec tech foul by N. Vucevic,,6-15,,
7:13.0,,,6-16,1,M. Dellavedova makes technical free throw
7:04.0,,,6-16,,Turnover by K. Love (bad pass; steal by E. Payton)
6:58.0,V. Oladipo makes 2-pt shot at rim (assist by E. Payton),2,8-16,,
6:32.0,,,8-16,,L. James misses 2-pt shot from 18 ft
6:32.0,Defensive rebound by T. Harris,,8-16,,
6:20.0,N. Vucevic makes 2-pt shot from 1 ft,2,10-16,,
6:16.0,Personal foul by E. Payton (drawn by L. James),,10-16,,
6:07.0,,,10-19,3,M. Dellavedova makes 3-pt shot from 26 ft (assist by L. James)
