time,Detroit,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. R. Hibbert (J. Randle gains possession),,,,Jump ball: A. Drummond vs. R. Hibbert (J. Randle gains possession)
11:48.0,,,0-0,,K. Bryant misses 2-pt shot from 16 ft
11:48.0,Defensive rebound by A. Drummond,,0-0,,
11:40.0,R. Jackson misses 2-pt shot from 1 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by R. Hibbert
11:33.0,,,0-0,,Turnover by D. Russell (lost ball)
11:03.0,K. Caldwell-Pope makes 2-pt shot from 2 ft,2,2-0,,
10:47.0,,,2-2,2,K. Bryant makes 2-pt shot from 10 ft (assist by J. Clarkson)
10:28.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,2-2,,
10:26.0,,,2-2,,Defensive rebound by R. Hibbert
10:19.0,,,2-4,2,R. Hibbert makes 2-pt shot from 1 ft (assist by J. Clarkson)
10:02.0,A. Drummond misses 2-pt shot from 6 ft,,2-4,,
10:02.0,,,2-4,,Defensive rebound by J. Clarkson
9:51.0,,,2-4,,Turnover by R. Hibbert (bad pass; steal by M. Morris)
9:44.0,R. Jackson misses 3-pt shot from 23 ft,,2-4,,
9:44.0,,,2-4,,Defensive rebound by J. Randle
9:25.0,,,2-4,,K. Bryant misses 2-pt shot from 14 ft
9:24.0,Defensive rebound by R. Jackson,,2-4,,
9:12.0,K. Caldwell-Pope misses 2-pt shot from 18 ft,,2-4,,
9:11.0,,,2-4,,Defensive rebound by K. Bryant
9:04.0,,,2-7,3,J. Clarkson makes 3-pt shot from 25 ft (assist by K. Bryant)
8:37.0,M. Morris makes 2-pt shot from 19 ft,2,4-7,,
8:26.0,,,4-7,,R. Hibbert misses 2-pt shot from 12 ft
8:26.0,Defensive rebound by A. Drummond,,4-7,,
8:16.0,R. Jackson makes 2-pt shot at rim,2,6-7,,
8:07.0,,,6-7,,R. Hibbert misses 2-pt shot from 4 ft
8:06.0,,,6-7,,Offensive rebound by J. Randle
7:41.0,,,6-7,,Turnover by J. Clarkson (lost ball)
7:41.0,,,6-7,,Violation by J. Clarkson (kicked ball)
7:41.0,R. Jackson makes 2-pt shot from 6 ft,2,8-7,,
7:33.0,,,8-10,3,J. Clarkson makes 3-pt shot from 26 ft (assist by D. Russell)
7:08.0,K. Caldwell-Pope misses 2-pt shot from 18 ft,,8-10,,
7:08.0,,,8-10,,Defensive rebound by D. Russell
