time,Utah,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. M. Plumlee (R. Neto gains possession),,,,Jump ball: R. Gobert vs. M. Plumlee (R. Neto gains possession)
11:46.0,Shooting foul by D. Lillard (drawn by R. Gobert),,0-0,,
11:46.0,R. Gobert makes free throw 1 of 2,1,1-0,,
11:46.0,R. Gobert misses free throw 2 of 2,,1-0,,
11:45.0,,,1-0,,Defensive rebound by N. Vonleh
11:26.0,,,1-0,,N. Vonleh misses 2-pt shot from 2 ft (block by R. Gobert)
11:25.0,,,1-0,,Offensive rebound by D. Lillard
11:20.0,,,1-3,3,D. Lillard makes 3-pt shot from 26 ft
11:00.0,T. Lyles makes 2-pt shot from 2 ft (assist by G. Hayward),2,3-3,,
10:38.0,,,3-3,,N. Vonleh misses 3-pt shot from 22 ft
10:38.0,Defensive rebound by R. Gobert,,3-3,,
10:24.0,Turnover by R. Gobert (bad pass; steal by A. Aminu),,3-3,,
10:10.0,,,3-3,,A. Aminu misses 3-pt shot from 23 ft
10:09.0,Defensive rebound by R. Gobert,,3-3,,
9:51.0,R. Neto misses 2-pt shot from 16 ft,,3-3,,
9:50.0,Offensive rebound by Team,,3-3,,
9:40.0,R. Hood makes 2-pt shot from 2 ft (assist by R. Gobert),2,5-3,,
9:22.0,,,5-3,,D. Lillard misses 2-pt shot from 15 ft
9:22.0,Defensive rebound by R. Gobert,,5-3,,
9:09.0,G. Hayward misses 3-pt shot from 24 ft,,5-3,,
9:09.0,,,5-3,,Defensive rebound by M. Plumlee
8:56.0,,,5-3,,Turnover by M. Plumlee (lost ball; steal by R. Hood)
8:40.0,R. Hood makes 3-pt shot from 24 ft (assist by G. Hayward),3,8-3,,
8:21.0,,,8-3,,C. McCollum misses 3-pt shot from 22 ft
8:21.0,,,8-3,,Offensive rebound by Team
8:21.0,Loose ball foul by R. Gobert (drawn by M. Plumlee),,8-3,,
8:03.0,,,8-3,,A. Aminu misses 3-pt shot from 22 ft
8:02.0,Defensive rebound by G. Hayward,,8-3,,
7:48.0,R. Gobert misses 2-pt shot from 1 ft,,8-3,,
7:47.0,Offensive rebound by R. Gobert,,8-3,,
7:46.0,R. Gobert misses 2-pt shot at rim (block by A. Aminu),,8-3,,
7:44.0,,,8-3,,Defensive rebound by C. McCollum
7:35.0,,,8-3,,M. Plumlee misses 2-pt shot from 15 ft
7:34.0,,,8-3,,Offensive rebound by M. Plumlee
7:32.0,,,8-3,,M. Plumlee misses 2-pt shot from 6 ft
7:31.0,Defensive rebound by R. Gobert,,8-3,,
7:25.0,Utah full timeout,,8-3,,
7:25.0,J. Ingles enters the game for G. Hayward,,8-3,,
7:20.0,R. Gobert misses 2-pt shot at rim (block by M. Plumlee),,8-3,,
7:20.0,Offensive rebound by Team,,8-3,,
7:10.0,R. Gobert misses 2-pt shot from 1 ft,,8-3,,
7:10.0,,,8-3,,Defensive rebound by M. Plumlee
