time,New Orleans,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. J. Withey (E. Gordon gains possession),,,,Jump ball: A. Davis vs. J. Withey (E. Gordon gains possession)
11:38.0,E. Gordon makes 3-pt shot from 25 ft (assist by T. Evans),3,3-0,,
11:13.0,,,3-2,2,D. Favors makes 2-pt shot from 16 ft (assist by G. Hayward)
10:51.0,Turnover by T. Evans (step out of bounds),,3-2,,
10:30.0,,,3-5,3,G. Hayward makes 3-pt shot from 24 ft (assist by D. Favors)
10:05.0,Turnover by E. Gordon (bad pass; steal by D. Favors),,3-5,,
10:00.0,,,3-7,2,R. Hood makes 2-pt shot at rim (assist by D. Favors)
9:44.0,,,3-7,,Personal foul by G. Hayward (drawn by A. Davis)
9:38.0,T. Evans misses 2-pt shot from 2 ft,,3-7,,
9:37.0,,,3-7,,Defensive rebound by J. Withey
9:28.0,,,3-7,,Turnover by A. Burks (bad pass; steal by A. Gee)
9:23.0,A. Gee makes 2-pt shot at rim,2,5-7,,
9:03.0,,,5-7,,J. Withey misses 2-pt shot from 9 ft
9:03.0,,,5-7,,Offensive rebound by D. Favors
8:58.0,Personal block foul by A. Gee (drawn by G. Hayward),,5-7,,
8:50.0,,,5-7,,Shooting foul by O. Asik (drawn by J. Withey)
8:50.0,,,5-8,1,J. Withey makes free throw 1 of 2
8:50.0,,,5-9,1,J. Withey makes free throw 2 of 2
8:42.0,,,5-9,,Def 3 sec tech foul by J. Withey
8:42.0,A. Davis makes technical free throw,1,6-9,,
8:37.0,E. Gordon misses 3-pt shot from 24 ft,,6-9,,
8:36.0,,,6-9,,Defensive rebound by G. Hayward
8:31.0,,,6-9,,Utah full timeout
8:31.0,,,6-9,,T. Burke enters the game for R. Hood
8:19.0,,,6-9,,D. Favors misses 2-pt shot from 12 ft
8:18.0,Defensive rebound by O. Asik,,6-9,,
8:04.0,E. Gordon makes 3-pt shot from 24 ft,3,9-9,,
7:49.0,,,9-9,,Shooting foul by A. Davis (drawn by G. Hayward)
7:49.0,,,9-10,1,G. Hayward makes free throw 1 of 2
7:49.0,,,9-11,1,G. Hayward makes free throw 2 of 2
7:38.0,E. Gordon misses 2-pt shot from 2 ft,,9-11,,
7:38.0,Offensive rebound by O. Asik,,9-11,,
7:33.0,A. Davis misses 2-pt shot from 15 ft,,9-11,,
7:33.0,,,9-11,,Defensive rebound by A. Burks
7:20.0,,,9-11,,J. Withey misses 2-pt shot from 3 ft
7:20.0,Defensive rebound by Team,,9-11,,
7:04.0,A. Davis makes 2-pt shot from 21 ft (assist by A. Gee),2,11-11,,
6:44.0,,,11-11,,T. Burke misses 3-pt shot from 26 ft
6:44.0,Defensive rebound by O. Asik,,11-11,,
6:29.0,A. Davis makes 2-pt shot from 9 ft,2,13-11,,
6:14.0,Violation by T. Evans (kicked ball),,13-11,,
6:08.0,,,13-14,3,G. Hayward makes 3-pt shot from 25 ft (assist by T. Burke)
5:52.0,Shooting foul by J. Withey (drawn by A. Gee),,13-14,,
5:52.0,,,13-14,,Utah full timeout
5:52.0,A. Ajinca enters the game for O. Asik,,13-14,,
5:52.0,A. Gee misses free throw 1 of 2,,13-14,,
5:52.0,Offensive rebound by Team,,13-14,,
5:52.0,A. Gee makes free throw 2 of 2,1,14-14,,
5:32.0,,,14-14,,G. Hayward misses 3-pt shot from 24 ft
5:32.0,Defensive rebound by A. Davis,,14-14,,
5:24.0,A. Gee makes 3-pt shot from 22 ft (assist by T. Evans),3,17-14,,
5:05.0,,,17-14,,D. Favors misses 2-pt shot from 16 ft
5:04.0,Defensive rebound by T. Evans,,17-14,,
4:46.0,T. Evans misses 3-pt shot from 24 ft,,17-14,,
4:45.0,Offensive rebound by A. Davis,,17-14,,
4:35.0,A. Ajinca misses 2-pt shot from 4 ft,,17-14,,
4:35.0,,,17-14,,Defensive rebound by J. Withey
4:35.0,Personal foul by A. Ajinca (drawn by J. Withey),,17-14,,
4:35.0,,,17-14,,T. Booker enters the game for J. Withey
4:35.0,J. Holiday enters the game for T. Evans,,17-14,,
4:18.0,,,17-16,2,D. Favors makes 2-pt shot from 3 ft
4:04.0,J. Holiday misses 2-pt shot from 12 ft,,17-16,,
4:03.0,,,17-16,,Defensive rebound by D. Favors
3:57.0,Shooting block foul by J. Holiday (drawn by A. Burks),,17-16,,
3:57.0,,,17-16,,A. Burks misses free throw 1 of 2
3:57.0,,,17-16,,Offensive rebound by Team
3:57.0,,,17-17,1,A. Burks makes free throw 2 of 2
3:40.0,A. Ajinca misses 2-pt shot from 16 ft,,17-17,,
3:39.0,,,17-17,,Defensive rebound by A. Burks
3:35.0,Personal foul by A. Gee (drawn by A. Burks),,17-17,,
3:35.0,,,17-17,,A. Burks misses free throw 1 of 2
3:35.0,,,17-17,,Offensive rebound by Team
3:35.0,D. Cunningham enters the game for A. Gee,,17-17,,
3:35.0,R. Anderson enters the game for A. Davis,,17-17,,
3:35.0,,,17-18,1,A. Burks makes free throw 2 of 2
3:27.0,E. Gordon makes 3-pt shot from 24 ft (assist by J. Holiday),3,20-18,,
3:06.0,,,20-18,,G. Hayward misses 2-pt shot from 2 ft
3:03.0,Defensive rebound by A. Ajinca,,20-18,,
2:56.0,D. Cunningham misses 2-pt shot from 19 ft,,20-18,,
2:56.0,,,20-18,,Defensive rebound by T. Burke
2:48.0,,,20-20,2,T. Burke makes 2-pt shot from 8 ft
2:32.0,R. Anderson misses 2-pt shot from 2 ft,,20-20,,
2:32.0,,,20-20,,Defensive rebound by A. Burks
2:15.0,,,20-22,2,A. Burks makes 2-pt shot from 1 ft
2:09.0,,,20-22,,Personal foul by A. Burks (drawn by E. Gordon)
2:09.0,New Orleans full timeout,,20-22,,
2:09.0,A. Davis enters the game for A. Ajinca,,20-22,,
2:09.0,,,20-22,,E. Millsap enters the game for A. Burks
2:09.0,,,20-22,,R. Hood enters the game for G. Hayward
2:09.0,,,20-22,,T. Lyles enters the game for D. Favors
2:01.0,E. Gordon makes 3-pt shot from 23 ft (assist by J. Holiday),3,23-22,,
1:39.0,,,23-22,,Turnover by E. Millsap (traveling)
1:30.0,E. Gordon misses 3-pt shot from 23 ft,,23-22,,
1:29.0,,,23-22,,Defensive rebound by E. Millsap
1:10.0,,,23-22,,T. Burke misses 3-pt shot from 24 ft
1:09.0,Defensive rebound by A. Davis,,23-22,,
0:51.0,Shooting foul by R. Hood (drawn by D. Cunningham),,23-22,,
0:51.0,D. Cunningham misses free throw 1 of 2,,23-22,,
0:51.0,Offensive rebound by Team,,23-22,,
0:51.0,N. Cole enters the game for E. Gordon,,23-22,,
0:51.0,D. Cunningham makes free throw 2 of 2,1,24-22,,
0:40.0,,,24-24,2,R. Hood makes 2-pt shot from 2 ft
0:30.0,,,24-24,,Def 3 sec tech foul by T. Booker
0:30.0,A. Davis makes technical free throw,1,25-24,,
0:24.0,J. Holiday misses 2-pt shot from 1 ft,,25-24,,
0:23.0,Offensive rebound by J. Holiday,,25-24,,
0:17.0,R. Anderson makes 2-pt shot from 20 ft,2,27-24,,
0:01.0,,,27-24,,Turnover by R. Hood (lost ball; steal by J. Holiday)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Personal foul by D. Cunningham (drawn by R. Hood),,27-24,,
11:32.0,,,27-26,2,T. Lyles makes 2-pt shot from 9 ft
11:19.0,R. Anderson makes 3-pt shot from 24 ft (assist by J. Holiday),3,30-26,,
10:51.0,,,30-26,,T. Booker misses 2-pt shot from 16 ft (block by A. Davis)
10:50.0,Defensive rebound by A. Davis,,30-26,,
10:43.0,A. Davis makes 2-pt shot from 6 ft,2,32-26,,
10:38.0,,,32-26,,Utah full timeout
10:38.0,,,32-26,,J. Withey enters the game for T. Lyles
10:27.0,,,32-28,2,R. Hood makes 2-pt shot from 19 ft
10:17.0,A. Davis misses 2-pt shot at rim,,32-28,,
10:16.0,Offensive rebound by J. Holiday,,32-28,,
10:13.0,,,32-28,,Personal foul by R. Hood (drawn by R. Anderson)
10:13.0,,,32-28,,T. Lyles enters the game for J. Withey
10:13.0,,,32-28,,C. Johnson enters the game for R. Hood
10:04.0,D. Cunningham misses 3-pt shot from 24 ft,,32-28,,
10:03.0,,,32-28,,Defensive rebound by T. Lyles
9:42.0,,,32-28,,A. Burks misses 2-pt shot from 20 ft
9:40.0,,,32-28,,Offensive rebound by T. Booker
9:40.0,,,32-30,2,T. Booker makes 2-pt shot from 2 ft
9:29.0,,,32-30,,Personal foul by A. Burks (drawn by A. Davis)
9:29.0,T. Evans enters the game for D. Cunningham,,32-30,,
9:20.0,A. Davis misses 2-pt shot at rim,,32-30,,
9:19.0,Offensive rebound by R. Anderson,,32-30,,
9:11.0,N. Cole misses 2-pt shot from 21 ft,,32-30,,
9:11.0,,,32-30,,Defensive rebound by A. Burks
8:59.0,,,32-32,2,T. Burke makes 2-pt shot from 5 ft (assist by T. Lyles)
8:59.0,,,32-32,,Shooting foul by N. Cole (drawn by T. Burke)
