time,LA Lakers,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. R. Hibbert (J. Randle gains possession),,,,Jump ball: M. Gortat vs. R. Hibbert (J. Randle gains possession)
11:42.0,Turnover by K. Bryant (bad pass),,0-0,,
11:33.0,,,0-2,2,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall)
11:18.0,J. Clarkson makes 2-pt shot from 10 ft (assist by J. Randle),2,2-2,,
11:11.0,,,2-2,,Turnover by J. Wall (bad pass; steal by J. Randle)
11:10.0,,,2-2,,Personal foul by J. Dudley (drawn by J. Randle)
11:05.0,Turnover by R. Hibbert (bad pass; steal by J. Wall),,2-2,,
11:01.0,,,2-4,2,J. Wall makes 2-pt shot at rim
10:44.0,R. Hibbert misses 2-pt shot from 13 ft,,2-4,,
10:43.0,,,2-4,,Defensive rebound by J. Dudley
10:36.0,,,2-4,,M. Gortat misses 2-pt shot from 8 ft
10:35.0,Defensive rebound by J. Randle,,2-4,,
10:28.0,J. Randle makes 2-pt shot from 6 ft,2,4-4,,
10:16.0,,,4-6,2,J. Dudley makes 2-pt shot from 17 ft (assist by J. Wall)
9:53.0,J. Randle misses 2-pt shot from 20 ft,,4-6,,
9:51.0,,,4-6,,Defensive rebound by M. Gortat
9:39.0,,,4-6,,J. Wall misses 3-pt shot from 24 ft
9:38.0,,,4-6,,Offensive rebound by M. Gortat
9:34.0,,,4-8,2,O. Porter makes 2-pt shot from 14 ft (assist by M. Gortat)
9:21.0,D. Russell makes 2-pt shot from 17 ft,2,6-8,,
9:10.0,,,6-10,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
8:51.0,Turnover by K. Bryant (bad pass; steal by B. Beal),,6-10,,
8:48.0,,,6-10,,Shooting foul by J. Clarkson (drawn by B. Beal)
8:48.0,,,6-11,1,B. Beal makes free throw 1 of 2
8:48.0,,,6-12,1,B. Beal makes free throw 2 of 2
8:33.0,Shooting foul by O. Porter (drawn by K. Bryant),,6-12,,
8:33.0,K. Bryant misses free throw 1 of 2,,6-12,,
8:33.0,Offensive rebound by Team,,6-12,,
8:33.0,K. Bryant makes free throw 2 of 2,1,7-12,,
8:13.0,,,7-12,,Turnover by B. Beal (back court)
7:59.0,J. Randle misses 2-pt shot from 4 ft,,7-12,,
7:57.0,,,7-12,,Defensive rebound by B. Beal
7:52.0,,,7-14,2,J. Wall makes 2-pt shot at rim (assist by B. Beal)
7:37.0,K. Bryant makes 2-pt shot from 19 ft,2,9-14,,
7:33.0,,,9-14,,Turnover by J. Wall (bad pass)
7:20.0,J. Clarkson makes 2-pt shot from 18 ft,2,11-14,,
