time,Charlotte,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:35.0,,,0-0,,M. Turner misses 2-pt shot from 19 ft
12:00.0,Jump ball: I. Mahinmi vs. C. Zeller (M. Turner gains possession),,,,Jump ball: I. Mahinmi vs. C. Zeller (M. Turner gains possession)
11:35.0,Defensive rebound by M. Williams,,0-0,,
11:21.0,C. Zeller makes 2-pt shot from 2 ft (assist by N. Batum),2,2-0,,
11:03.0,,,2-0,,P. George misses 2-pt shot from 18 ft
11:02.0,Defensive rebound by C. Zeller,,2-0,,
10:50.0,K. Walker makes 2-pt shot from 10 ft,2,4-0,,
10:33.0,,,4-2,2,M. Turner makes 2-pt shot from 2 ft (assist by G. Hill)
10:19.0,Turnover by C. Lee (lost ball; steal by I. Mahinmi),,4-2,,
10:03.0,,,4-2,,Shooting foul by M. Williams (drawn by I. Mahinmi)
10:03.0,,,4-2,,I. Mahinmi misses free throw 1 of 2
10:03.0,,,4-2,,Offensive rebound by Team
10:03.0,,,4-3,1,I. Mahinmi makes free throw 2 of 2
9:48.0,K. Walker misses 2-pt shot from 4 ft,,4-3,,
9:48.0,,,4-3,,Defensive rebound by Team
9:38.0,,,4-3,,M. Ellis misses 3-pt shot from 26 ft
9:37.0,Defensive rebound by M. Williams,,4-3,,
9:28.0,N. Batum makes 2-pt shot from 3 ft,2,6-3,,
9:15.0,,,6-3,,M. Turner misses 2-pt shot from 18 ft (block by M. Williams)
9:14.0,,,6-3,,Offensive rebound by I. Mahinmi
9:11.0,,,6-5,2,M. Turner makes 2-pt shot from 2 ft (assist by I. Mahinmi)
8:48.0,M. Williams misses 3-pt shot from 25 ft,,6-5,,
8:47.0,,,6-5,,Defensive rebound by I. Mahinmi
8:38.0,,,6-7,2,M. Turner makes 2-pt shot from 2 ft (assist by P. George)
8:24.0,Turnover by N. Batum (bad pass; steal by I. Mahinmi),,6-7,,
8:20.0,,,6-7,,Shooting foul by K. Walker (drawn by M. Ellis)
8:20.0,,,6-8,1,M. Ellis makes free throw 1 of 2
8:20.0,,,6-9,1,M. Ellis makes free throw 2 of 2
8:08.0,,,6-9,,Shooting block foul by P. George (drawn by N. Batum)
8:08.0,N. Batum makes free throw 1 of 2,1,7-9,,
8:08.0,N. Batum makes free throw 2 of 2,1,8-9,,
7:57.0,,,8-11,2,M. Turner makes 2-pt shot from 11 ft
7:42.0,C. Lee makes 3-pt shot from 25 ft (assist by K. Walker),3,11-11,,
7:29.0,,,11-13,2,P. George makes 2-pt shot from 18 ft (assist by G. Hill)
7:15.0,M. Williams makes 3-pt shot from 26 ft (assist by K. Walker),3,14-13,,
6:56.0,,,14-15,2,M. Ellis makes 2-pt shot from 16 ft
6:41.0,M. Williams misses 3-pt shot from 25 ft,,14-15,,
6:41.0,,,14-15,,Defensive rebound by G. Hill
6:31.0,,,14-15,,Turnover by I. Mahinmi (bad pass; steal by C. Lee)
6:24.0,K. Walker makes 3-pt shot from 24 ft (assist by N. Batum),3,17-15,,
6:24.0,,,17-15,,Indiana full timeout
6:11.0,,,17-15,,Turnover by M. Ellis (bad pass; steal by N. Batum)
6:04.0,C. Lee misses 3-pt shot from 26 ft,,17-15,,
6:03.0,,,17-15,,Defensive rebound by M. Turner
5:55.0,,,17-15,,G. Hill misses 2-pt shot from 19 ft
5:54.0,Defensive rebound by C. Zeller,,17-15,,
5:38.0,,,17-15,,Shooting block foul by I. Mahinmi (drawn by C. Zeller)
5:38.0,C. Zeller makes 2-pt shot from 3 ft (assist by N. Batum),2,19-15,,
5:38.0,C. Zeller makes free throw 1 of 1,1,20-15,,
5:23.0,,,20-15,,P. George misses 2-pt shot from 15 ft
5:23.0,Defensive rebound by M. Williams,,20-15,,
5:07.0,C. Lee misses 3-pt shot from 24 ft,,20-15,,
5:07.0,,,20-15,,Defensive rebound by P. George
4:57.0,,,20-17,2,I. Mahinmi makes 2-pt shot from 5 ft (assist by P. George)
4:44.0,C. Zeller makes 2-pt shot from 3 ft (assist by K. Walker),2,22-17,,
4:31.0,,,22-20,3,G. Hill makes 3-pt shot from 25 ft (assist by I. Mahinmi)
4:17.0,K. Walker makes 2-pt shot from 19 ft,2,24-20,,
4:10.0,Personal foul by C. Zeller (drawn by I. Mahinmi),,24-20,,
4:10.0,,,24-20,,R. Stuckey enters the game for M. Ellis
4:10.0,A. Jefferson enters the game for C. Zeller,,24-20,,
4:10.0,J. Lin enters the game for C. Lee,,24-20,,
