time,Chicago,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. C. Zeller (N. Batum gains possession),,,,Jump ball: P. Gasol vs. C. Zeller (N. Batum gains possession)
11:39.0,,,0-3,3,M. Williams makes 3-pt shot from 24 ft (assist by C. Zeller)
11:27.0,,,0-3,,Personal foul by C. Zeller (drawn by P. Gasol)
11:22.0,M. Dunleavy misses 2-pt shot from 1 ft,,0-3,,
11:20.0,,,0-3,,Defensive rebound by N. Batum
11:12.0,,,0-3,,M. Kidd-Gilchrist misses 2-pt shot from 15 ft
11:11.0,Defensive rebound by E. Moore,,0-3,,
10:55.0,M. Dunleavy misses 3-pt shot from 22 ft,,0-3,,
10:54.0,,,0-3,,Defensive rebound by N. Batum
10:36.0,,,0-5,2,C. Zeller makes 2-pt shot at rim (assist by K. Walker)
10:22.0,P. Gasol makes 2-pt shot from 18 ft (assist by M. Dunleavy),2,2-5,,
10:00.0,,,2-7,2,N. Batum makes 2-pt shot from 15 ft
9:41.0,T. Gibson makes 2-pt shot from 2 ft (assist by P. Gasol),2,4-7,,
9:23.0,,,4-9,2,K. Walker makes 2-pt shot from 18 ft
8:57.0,P. Gasol misses 3-pt shot from 24 ft,,4-9,,
8:56.0,,,4-9,,Defensive rebound by C. Zeller
8:45.0,,,4-11,2,M. Kidd-Gilchrist makes 2-pt shot from 10 ft
8:29.0,K. Hinrich misses 2-pt shot from 10 ft,,4-11,,
8:26.0,,,4-11,,Defensive rebound by M. Kidd-Gilchrist
8:16.0,,,4-11,,Turnover by N. Batum (bad pass; steal by E. Moore)
8:00.0,M. Dunleavy misses 2-pt shot at rim,,4-11,,
7:59.0,,,4-11,,Defensive rebound by N. Batum
7:47.0,,,4-13,2,M. Kidd-Gilchrist makes 2-pt shot from 7 ft
7:47.0,,,4-13,,Shooting foul by E. Moore (drawn by M. Kidd-Gilchrist)
7:47.0,,,4-14,1,M. Kidd-Gilchrist makes free throw 1 of 1
7:38.0,,,4-14,,Personal foul by C. Zeller (drawn by P. Gasol)
7:38.0,,,4-14,,S. Hawes enters the game for C. Zeller
7:27.0,P. Gasol makes 2-pt shot from 12 ft,2,6-14,,
7:12.0,,,6-14,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by P. Gasol)
7:10.0,,,6-14,,Offensive rebound by M. Kidd-Gilchrist
7:07.0,,,6-17,3,N. Batum makes 3-pt shot from 24 ft (assist by K. Walker)
7:07.0,Chicago full timeout,,6-17,,
7:07.0,D. McDermott enters the game for M. Dunleavy,,6-17,,
6:59.0,,,6-17,,Personal foul by S. Hawes (drawn by P. Gasol)
6:48.0,P. Gasol misses 2-pt shot from 17 ft,,6-17,,
6:46.0,,,6-17,,Defensive rebound by K. Walker
6:37.0,,,6-17,,M. Kidd-Gilchrist misses 2-pt shot at rim
6:36.0,Defensive rebound by P. Gasol,,6-17,,
6:31.0,E. Moore misses 3-pt shot from 22 ft,,6-17,,
6:28.0,,,6-17,,Defensive rebound by N. Batum
6:11.0,,,6-17,,N. Batum misses 3-pt shot from 24 ft
6:10.0,Defensive rebound by T. Gibson,,6-17,,
6:04.0,E. Moore makes 3-pt shot from 25 ft (assist by K. Hinrich),3,9-17,,
5:44.0,,,9-20,3,S. Hawes makes 3-pt shot from 25 ft (assist by N. Batum)
5:23.0,Offensive foul by T. Gibson,,9-20,,
5:23.0,Turnover by T. Gibson (offensive foul),,9-20,,
5:23.0,A. Brooks enters the game for K. Hinrich,,9-20,,
5:15.0,,,9-20,,Shooting foul by A. Brooks (drawn by K. Walker)
5:15.0,,,9-21,1,K. Walker makes free throw 1 of 2
5:15.0,,,9-21,,K. Walker misses free throw 2 of 2
5:14.0,Defensive rebound by T. Gibson,,9-21,,
4:57.0,T. Gibson makes 2-pt shot from 1 ft (assist by P. Gasol),2,11-21,,
4:36.0,,,11-23,2,M. Kidd-Gilchrist makes 2-pt shot from 2 ft
4:21.0,Turnover by E. Moore (bad pass; steal by N. Batum),,11-23,,
4:17.0,,,11-23,,Shooting foul by D. McDermott (drawn by M. Kidd-Gilchrist)
4:17.0,,,11-24,1,M. Kidd-Gilchrist makes free throw 1 of 2
4:17.0,B. Portis enters the game for T. Gibson,,11-24,,
4:17.0,,,11-24,,F. Kaminsky enters the game for M. Williams
4:17.0,,,11-24,,M. Kidd-Gilchrist misses free throw 2 of 2
4:16.0,Defensive rebound by B. Portis,,11-24,,
4:05.0,E. Moore makes 2-pt shot from 9 ft (assist by A. Brooks),2,13-24,,
3:52.0,,,13-24,,K. Walker misses 2-pt shot from 18 ft
3:51.0,Defensive rebound by B. Portis,,13-24,,
3:43.0,A. Brooks misses 2-pt shot from 8 ft,,13-24,,
3:41.0,,,13-24,,Defensive rebound by M. Kidd-Gilchrist
3:31.0,,,13-26,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by N. Batum)
3:15.0,A. Brooks makes 2-pt shot from 1 ft,2,15-26,,
3:07.0,,,15-26,,Charlotte full timeout
3:07.0,,,15-26,,J. Lamb enters the game for M. Kidd-Gilchrist
3:07.0,,,15-26,,J. Lin enters the game for N. Batum
2:49.0,,,15-26,,J. Lin misses 3-pt shot from 24 ft
2:48.0,Defensive rebound by P. Gasol,,15-26,,
2:35.0,D. McDermott misses 3-pt shot from 22 ft,,15-26,,
2:34.0,,,15-26,,Defensive rebound by J. Lin
2:20.0,,,15-28,2,S. Hawes makes 2-pt shot from 16 ft
2:06.0,D. McDermott misses 2-pt shot from 17 ft,,15-28,,
2:05.0,,,15-28,,Defensive rebound by F. Kaminsky
1:53.0,,,15-30,2,S. Hawes makes 2-pt shot from 15 ft (assist by J. Lamb)
1:39.0,A. Brooks misses 2-pt shot from 18 ft,,15-30,,
1:39.0,,,15-30,,Defensive rebound by Team
1:39.0,Loose ball foul by B. Portis (drawn by J. Lin),,15-30,,
1:29.0,,,15-30,,J. Lin misses 2-pt shot from 1 ft (block by P. Gasol)
1:26.0,Defensive rebound by D. McDermott,,15-30,,
1:21.0,A. Brooks misses 3-pt shot from 27 ft,,15-30,,
1:20.0,,,15-30,,Defensive rebound by K. Walker
1:11.0,,,15-30,,J. Lamb misses 3-pt shot from 25 ft
1:10.0,,,15-30,,Offensive rebound by S. Hawes
1:05.0,,,15-30,,S. Hawes misses 2-pt shot at rim
1:04.0,Defensive rebound by P. Gasol,,15-30,,
1:00.0,E. Moore makes 2-pt shot from 20 ft (assist by A. Brooks),2,17-30,,
0:47.0,,,17-30,,K. Walker misses 3-pt shot from 25 ft
0:46.0,,,17-30,,Offensive rebound by Team
0:46.0,Loose ball foul by B. Portis (drawn by F. Kaminsky),,17-30,,
0:46.0,,,17-31,1,F. Kaminsky makes free throw 1 of 2
0:46.0,,,17-32,1,F. Kaminsky makes free throw 2 of 2
0:37.0,P. Gasol makes 3-pt shot from 24 ft (assist by A. Brooks),3,20-32,,
0:29.0,,,20-35,3,K. Walker makes 3-pt shot from 24 ft
0:08.0,Turnover by E. Moore (lost ball; steal by K. Walker),,20-35,,
0:01.0,,,20-38,3,J. Lamb makes 3-pt shot from 22 ft (assist by K. Walker)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,C. Bairstow misses 2-pt shot from 17 ft,,20-38,,
11:45.0,,,20-38,,Defensive rebound by J. Lin
11:32.0,,,20-38,,Shooting foul by D. McDermott (drawn by J. Lamb)
11:32.0,,,20-39,1,J. Lamb makes free throw 1 of 2
11:32.0,,,20-40,1,J. Lamb makes free throw 2 of 2
11:19.0,A. Brooks misses 2-pt shot from 1 ft,,20-40,,
11:17.0,Offensive rebound by B. Portis,,20-40,,
11:17.0,B. Portis misses 2-pt shot at rim,,20-40,,
11:15.0,,,20-40,,Defensive rebound by S. Hawes
11:06.0,,,20-40,,S. Hawes misses 3-pt shot from 25 ft
11:05.0,Defensive rebound by D. McDermott,,20-40,,
10:44.0,Shooting foul by F. Kaminsky (drawn by T. Snell),,20-40,,
10:44.0,T. Snell makes free throw 1 of 2,1,21-40,,
10:44.0,T. Snell misses free throw 2 of 2,,21-40,,
10:41.0,,,21-40,,Defensive rebound by S. Hawes
10:22.0,,,21-40,,F. Kaminsky misses 3-pt shot from 24 ft
10:21.0,Defensive rebound by Team,,21-40,,
10:06.0,B. Portis misses 2-pt shot from 20 ft,,21-40,,
10:05.0,,,21-40,,Defensive rebound by N. Batum
9:48.0,,,21-40,,S. Hawes misses 2-pt shot from 1 ft (block by C. Bairstow)
9:46.0,Defensive rebound by A. Brooks,,21-40,,
9:42.0,D. McDermott misses 3-pt shot from 24 ft,,21-40,,
9:40.0,Offensive rebound by B. Portis,,21-40,,
9:40.0,B. Portis misses 2-pt shot at rim,,21-40,,
9:38.0,,,21-40,,Defensive rebound by S. Hawes
9:30.0,,,21-40,,J. Lin misses 3-pt shot from 25 ft
9:29.0,Defensive rebound by C. Bairstow,,21-40,,
9:21.0,A. Brooks misses 2-pt shot from 20 ft,,21-40,,
9:19.0,,,21-40,,Defensive rebound by F. Kaminsky
9:11.0,,,21-40,,J. Lamb misses 2-pt shot from 3 ft (block by B. Portis)
9:09.0,Defensive rebound by T. Snell,,21-40,,
8:56.0,A. Brooks misses 2-pt shot from 1 ft,,21-40,,
8:55.0,,,21-40,,Defensive rebound by S. Hawes
8:50.0,,,21-42,2,N. Batum makes 2-pt shot at rim (assist by J. Lin)
8:50.0,Chicago full timeout,,21-42,,
8:50.0,T. Gibson enters the game for A. Brooks,,21-42,,
8:50.0,K. Hinrich enters the game for C. Bairstow,,21-42,,
8:37.0,Shooting foul by S. Hawes (drawn by B. Portis),,21-42,,
8:37.0,B. Portis misses free throw 1 of 2,,21-42,,
8:37.0,Offensive rebound by Team,,21-42,,
8:37.0,B. Portis makes free throw 2 of 2,1,22-42,,
8:12.0,,,22-42,,J. Lin misses 2-pt shot from 20 ft
8:10.0,Defensive rebound by T. Gibson,,22-42,,
8:02.0,T. Snell misses 3-pt shot from 25 ft,,22-42,,
7:59.0,,,22-42,,Defensive rebound by N. Batum
7:54.0,,,22-44,2,J. Lin makes 2-pt shot from 1 ft (assist by N. Batum)
7:34.0,T. Gibson makes 2-pt shot from 14 ft (assist by T. Snell),2,24-44,,
7:17.0,,,24-44,,F. Kaminsky misses 2-pt shot from 2 ft
7:16.0,Defensive rebound by K. Hinrich,,24-44,,
7:07.0,Turnover by K. Hinrich (bad pass; steal by N. Batum),,24-44,,
7:04.0,,,24-44,,Shooting foul by D. McDermott (drawn by S. Hawes)
7:04.0,,,24-45,1,S. Hawes makes free throw 1 of 2
7:04.0,M. Dunleavy enters the game for D. McDermott,,24-45,,
7:04.0,P. Gasol enters the game for B. Portis,,24-45,,
7:04.0,,,24-45,,M. Williams enters the game for F. Kaminsky
7:04.0,,,24-46,1,S. Hawes makes free throw 2 of 2
6:46.0,K. Hinrich misses 3-pt shot from 25 ft,,24-46,,
6:45.0,,,24-46,,Defensive rebound by S. Hawes
6:34.0,,,24-46,,J. Lin misses 3-pt shot from 25 ft
6:32.0,Defensive rebound by K. Hinrich,,24-46,,
6:22.0,M. Dunleavy makes 3-pt shot from 25 ft (assist by P. Gasol),3,27-46,,
6:00.0,,,27-48,2,N. Batum makes 2-pt shot from 14 ft
5:44.0,T. Gibson misses 2-pt shot from 6 ft,,27-48,,
5:44.0,Offensive rebound by T. Gibson,,27-48,,
5:44.0,Shooting foul by J. Lamb (drawn by T. Gibson),,27-48,,
5:44.0,Official timeout,,27-48,,
5:44.0,,,27-48,,C. Zeller enters the game for S. Hawes
5:44.0,T. Gibson makes free throw 1 of 2,1,28-48,,
5:44.0,T. Gibson misses free throw 2 of 2,,28-48,,
5:42.0,,,28-48,,Defensive rebound by J. Lamb
5:27.0,,,28-48,,J. Lamb misses 3-pt shot from 25 ft
5:25.0,Defensive rebound by T. Snell,,28-48,,
5:16.0,P. Gasol misses 2-pt shot from 19 ft,,28-48,,
