time,San Antonio,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. T. Duncan (A. Roberson gains possession),,,,Jump ball: S. Adams vs. T. Duncan (A. Roberson gains possession)
12:00.0,,,0-0,,Violation by Team (jump ball)
11:57.0,,,0-2,2,A. Roberson makes 2-pt shot at rim
11:31.0,K. Leonard makes 3-pt shot from 25 ft (assist by D. Green),3,3-2,,
11:14.0,,,3-4,2,K. Durant makes 2-pt shot from 15 ft (assist by R. Westbrook)
11:04.0,T. Parker misses 2-pt shot at rim,,3-4,,
11:02.0,Offensive rebound by K. Leonard,,3-4,,
10:56.0,K. Leonard misses 2-pt shot from 6 ft,,3-4,,
10:55.0,Offensive rebound by Team,,3-4,,
10:48.0,D. Green makes 2-pt shot from 5 ft,2,5-4,,
10:35.0,,,5-4,,K. Durant misses 2-pt shot from 8 ft
10:35.0,Defensive rebound by T. Duncan,,5-4,,
10:26.0,T. Parker makes 2-pt shot from 5 ft,2,7-4,,
10:10.0,,,7-4,,R. Westbrook misses 3-pt shot from 25 ft
10:09.0,Defensive rebound by D. Green,,7-4,,
10:01.0,T. Duncan misses 2-pt shot from 5 ft,,7-4,,
9:59.0,Offensive rebound by T. Duncan,,7-4,,
9:59.0,T. Duncan makes 2-pt shot from 3 ft (assist by T. Parker),2,9-4,,
9:45.0,,,9-6,2,R. Westbrook makes 2-pt shot from 11 ft
9:30.0,L. Aldridge misses 2-pt shot from 14 ft,,9-6,,
9:29.0,,,9-6,,Defensive rebound by K. Durant
9:17.0,,,9-6,,R. Westbrook misses 3-pt shot from 24 ft
9:17.0,Defensive rebound by D. Green,,9-6,,
9:02.0,T. Parker misses 2-pt shot from 6 ft (block by S. Ibaka),,9-6,,
9:00.0,,,9-6,,Defensive rebound by K. Durant
8:43.0,,,9-6,,S. Ibaka misses 2-pt shot from 20 ft
8:41.0,Defensive rebound by D. Green,,9-6,,
8:31.0,L. Aldridge makes 2-pt shot from 17 ft (assist by T. Parker),2,11-6,,
8:15.0,,,11-6,,Turnover by S. Adams (bad pass; steal by T. Duncan)
8:11.0,K. Leonard makes 2-pt shot from 2 ft,2,13-6,,
8:11.0,Shooting foul by S. Adams (drawn by K. Leonard),,13-6,,
8:11.0,K. Leonard makes free throw 1 of 1,1,14-6,,
8:01.0,,,14-8,2,K. Durant makes 2-pt shot from 15 ft (assist by R. Westbrook)
7:48.0,K. Leonard misses 2-pt shot from 20 ft,,14-8,,
7:48.0,,,14-8,,Defensive rebound by A. Roberson
7:30.0,,,14-8,,Turnover by S. Ibaka (lost ball; steal by K. Leonard)
7:22.0,Turnover by T. Parker (bad pass; steal by A. Roberson),,14-8,,
7:13.0,,,14-8,,S. Ibaka misses 3-pt shot from 24 ft
7:12.0,,,14-8,,Offensive rebound by Team
7:04.0,,,14-8,,S. Ibaka misses 2-pt shot from 19 ft
7:01.0,Defensive rebound by T. Parker,,14-8,,
6:49.0,Shooting foul by S. Ibaka (drawn by L. Aldridge),,14-8,,
6:49.0,L. Aldridge misses free throw 1 of 2,,14-8,,
6:49.0,Offensive rebound by Team,,14-8,,
6:49.0,P. Mills enters the game for T. Parker,,14-8,,
6:49.0,L. Aldridge makes free throw 2 of 2,1,15-8,,
6:37.0,,,15-8,,R. Westbrook misses 2-pt shot from 2 ft (block by T. Duncan)
6:37.0,,,15-8,,Offensive rebound by Team
6:29.0,,,15-11,3,R. Westbrook makes 3-pt shot from 25 ft
6:28.0,San Antonio full timeout,,15-11,,
6:12.0,L. Aldridge makes 2-pt shot at rim,2,17-11,,
6:02.0,,,17-13,2,R. Westbrook makes 2-pt shot from 1 ft
6:02.0,,,17-13,,Shooting foul by L. Aldridge (drawn by R. Westbrook)
6:02.0,,,17-13,,A. Morrow enters the game for A. Roberson
6:02.0,,,17-14,1,R. Westbrook makes free throw 1 of 1
5:50.0,P. Mills misses 3-pt shot from 24 ft,,17-14,,
5:50.0,,,17-14,,Defensive rebound by K. Durant
5:42.0,,,17-16,2,K. Durant makes 2-pt shot from 17 ft
5:24.0,T. Duncan misses 2-pt shot from 9 ft,,17-16,,
5:24.0,,,17-16,,Defensive rebound by S. Ibaka
5:21.0,Personal block foul by P. Mills (drawn by R. Westbrook),,17-16,,
5:21.0,B. Diaw enters the game for T. Duncan,,17-16,,
5:21.0,M. Ginobili enters the game for D. Green,,17-16,,
5:15.0,,,17-18,2,R. Westbrook makes 2-pt shot from 14 ft
4:57.0,K. Leonard misses 3-pt shot from 24 ft,,17-18,,
4:56.0,,,17-18,,Defensive rebound by S. Adams
4:47.0,,,17-18,,Turnover by S. Ibaka (lost ball)
4:29.0,L. Aldridge misses 2-pt shot from 12 ft,,17-18,,
4:29.0,,,17-18,,Defensive rebound by S. Ibaka
4:12.0,,,17-18,,Turnover by R. Westbrook (lost ball; steal by B. Diaw)
4:05.0,M. Ginobili makes 3-pt shot from 24 ft (assist by B. Diaw),3,20-18,,
3:46.0,,,20-18,,E. Kanter enters the game for S. Ibaka
3:46.0,,,20-18,,Oklahoma City full timeout
3:40.0,,,20-20,2,R. Westbrook makes 2-pt shot from 2 ft
3:22.0,B. Diaw makes 3-pt shot from 23 ft (assist by M. Ginobili),3,23-20,,
3:01.0,,,23-20,,E. Kanter misses 2-pt shot from 1 ft (block by B. Diaw)
3:00.0,,,23-20,,Offensive rebound by E. Kanter
2:59.0,,,23-22,2,E. Kanter makes 2-pt shot from 2 ft
2:45.0,P. Mills misses 2-pt shot at rim,,23-22,,
2:44.0,,,23-22,,Defensive rebound by E. Kanter
2:37.0,,,23-22,,K. Durant misses 3-pt shot from 24 ft
2:36.0,Defensive rebound by K. Leonard,,23-22,,
2:27.0,K. Leonard makes 2-pt shot from 1 ft (assist by M. Ginobili),2,25-22,,
2:16.0,Personal foul by P. Mills (drawn by A. Morrow),,25-22,,
2:16.0,,,25-22,,D. Waiters enters the game for K. Durant
