time,Memphis,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. M. Plumlee (M. Leonard gains possession),,,,Jump ball: M. Gasol vs. M. Plumlee (M. Leonard gains possession)
11:44.0,,,0-0,,C. McCollum misses 2-pt shot from 16 ft
11:43.0,,,0-0,,Offensive rebound by A. Aminu
11:40.0,,,0-2,2,A. Aminu makes 2-pt shot from 2 ft
11:15.0,C. Lee misses 2-pt shot from 7 ft,,0-2,,
11:14.0,,,0-2,,Defensive rebound by C. McCollum
11:03.0,,,0-2,,Shooting foul by T. Allen (drawn by M. Plumlee)
11:03.0,,,0-2,,M. Plumlee misses free throw 1 of 2
11:03.0,,,0-2,,Offensive rebound by Team
11:03.0,,,0-2,,M. Plumlee misses free throw 2 of 2
11:02.0,Defensive rebound by M. Gasol,,0-2,,
10:50.0,T. Allen misses 2-pt shot from 21 ft,,0-2,,
10:49.0,,,0-2,,Defensive rebound by M. Plumlee
10:35.0,,,0-2,,D. Lillard misses 2-pt shot from 18 ft
10:35.0,,,0-2,,Offensive rebound by D. Lillard
10:32.0,,,0-2,,D. Lillard misses 2-pt shot from 8 ft
10:29.0,,,0-2,,Offensive rebound by M. Plumlee
10:23.0,,,0-2,,C. McCollum misses 2-pt shot from 18 ft
10:23.0,Defensive rebound by Z. Randolph,,0-2,,
10:13.0,Shooting foul by M. Leonard (drawn by M. Gasol),,0-2,,
10:13.0,M. Gasol makes free throw 1 of 2,1,1-2,,
10:13.0,M. Gasol makes free throw 2 of 2,1,2-2,,
9:55.0,,,2-2,,D. Lillard misses 3-pt shot from 25 ft
9:54.0,Defensive rebound by M. Gasol,,2-2,,
9:45.0,C. Lee makes 3-pt shot from 24 ft (assist by M. Gasol),3,5-2,,
9:19.0,,,5-4,2,M. Plumlee makes 2-pt shot from 1 ft (assist by C. McCollum)
8:59.0,M. Conley misses 2-pt shot from 12 ft,,5-4,,
8:58.0,,,5-4,,Defensive rebound by M. Plumlee
8:47.0,,,5-4,,D. Lillard misses 3-pt shot from 25 ft
8:47.0,Defensive rebound by M. Conley,,5-4,,
8:43.0,Turnover by M. Conley (traveling),,5-4,,
8:28.0,,,5-4,,A. Aminu misses 2-pt shot from 2 ft
8:27.0,,,5-4,,Offensive rebound by M. Plumlee
8:27.0,,,5-6,2,M. Plumlee makes 2-pt shot at rim
8:07.0,M. Gasol misses 2-pt shot from 21 ft,,5-6,,
8:07.0,,,5-6,,Defensive rebound by M. Leonard
8:01.0,,,5-6,,Turnover by A. Aminu (lost ball; steal by C. Lee)
7:52.0,,,5-6,,Personal foul by M. Plumlee (drawn by M. Gasol)
7:41.0,Z. Randolph makes 2-pt shot from 19 ft,2,7-6,,
7:23.0,,,7-6,,A. Aminu misses 3-pt shot from 25 ft
7:23.0,Defensive rebound by Z. Randolph,,7-6,,
7:15.0,Turnover by M. Gasol (bad pass; steal by M. Plumlee),,7-6,,
7:07.0,,,7-8,2,M. Leonard makes 2-pt shot from 1 ft (assist by M. Plumlee)
6:51.0,M. Conley misses 2-pt shot from 3 ft,,7-8,,
6:51.0,,,7-8,,Defensive rebound by M. Plumlee
6:47.0,,,7-8,,Shooting foul by M. Gasol (drawn by A. Aminu)
6:47.0,,,7-8,,A. Aminu misses free throw 1 of 2
6:47.0,,,7-8,,Offensive rebound by Team
6:47.0,,,7-8,,A. Aminu misses free throw 2 of 2
6:46.0,Defensive rebound by Z. Randolph,,7-8,,
6:29.0,M. Conley misses 2-pt shot from 19 ft,,7-8,,
6:27.0,Offensive rebound by Team,,7-8,,
6:19.0,M. Gasol makes 2-pt shot at rim (assist by M. Conley),2,9-8,,
6:07.0,,,9-10,2,D. Lillard makes 2-pt shot from 2 ft (assist by C. McCollum)
5:53.0,M. Conley misses 2-pt shot from 5 ft,,9-10,,
5:53.0,,,9-10,,Defensive rebound by M. Plumlee
5:47.0,,,9-12,2,M. Leonard makes 2-pt shot from 6 ft (assist by C. McCollum)
5:27.0,Shooting foul by M. Leonard (drawn by M. Gasol),,9-12,,
5:27.0,,,9-12,,Portland full timeout
5:27.0,,,9-12,,N. Vonleh enters the game for M. Leonard
5:27.0,,,9-12,,A. Crabbe enters the game for C. McCollum
5:27.0,M. Gasol makes free throw 1 of 2,1,10-12,,
5:27.0,M. Gasol misses free throw 2 of 2,,10-12,,
5:26.0,,,10-12,,Defensive rebound by N. Vonleh
5:12.0,,,10-12,,A. Crabbe misses 2-pt shot from 19 ft
5:12.0,Defensive rebound by T. Allen,,10-12,,
4:51.0,Z. Randolph makes 2-pt shot from 9 ft,2,12-12,,
4:30.0,,,12-14,2,N. Vonleh makes 2-pt shot from 14 ft (assist by D. Lillard)
4:13.0,C. Lee makes 3-pt shot from 23 ft (assist by Z. Randolph),3,15-14,,
3:59.0,,,15-14,,M. Plumlee misses 2-pt shot from 2 ft (block by M. Gasol)
3:58.0,Defensive rebound by C. Lee,,15-14,,
3:50.0,T. Allen misses 2-pt shot from 18 ft,,15-14,,
3:49.0,,,15-14,,Defensive rebound by M. Plumlee
3:37.0,,,15-14,,N. Vonleh misses 3-pt shot from 24 ft
3:37.0,Defensive rebound by M. Conley,,15-14,,
3:24.0,M. Gasol misses 2-pt shot from 3 ft,,15-14,,
3:24.0,Offensive rebound by Z. Randolph,,15-14,,
3:23.0,Turnover by Z. Randolph (traveling),,15-14,,
3:23.0,B. Udrih enters the game for T. Allen,,15-14,,
3:23.0,J. Green enters the game for M. Conley,,15-14,,
3:23.0,,,15-14,,E. Davis enters the game for A. Aminu
3:23.0,,,15-14,,M. Harkless enters the game for M. Plumlee
3:07.0,,,15-16,2,A. Crabbe makes 2-pt shot from 20 ft
2:41.0,M. Gasol makes 2-pt shot from 2 ft,2,17-16,,
2:30.0,,,17-16,,D. Lillard misses 2-pt shot from 15 ft
2:29.0,Defensive rebound by M. Gasol,,17-16,,
2:20.0,B. Udrih misses 2-pt shot from 13 ft (block by D. Lillard),,17-16,,
2:19.0,,,17-16,,Defensive rebound by E. Davis
2:05.0,,,17-18,2,E. Davis makes 2-pt shot from 9 ft
1:59.0,Memphis full timeout,,17-18,,
1:59.0,J. Green enters the game for M. Gasol,,17-18,,
1:59.0,M. Barnes enters the game for C. Lee,,17-18,,
1:59.0,,,17-18,,C. McCollum enters the game for D. Lillard
1:48.0,J. Green makes 2-pt shot from 19 ft (assist by B. Udrih),2,19-18,,
1:31.0,,,19-18,,Turnover by A. Crabbe (bad pass; steal by Z. Randolph)
1:20.0,Z. Randolph misses 2-pt shot from 4 ft (block by N. Vonleh),,19-18,,
1:19.0,,,19-18,,Defensive rebound by C. McCollum
1:15.0,,,19-18,,Turnover by N. Vonleh (lost ball)
1:00.0,J. Green makes 2-pt shot from 17 ft,2,21-18,,
0:48.0,,,21-18,,A. Crabbe misses 2-pt shot from 19 ft
0:47.0,Defensive rebound by J. Green,,21-18,,
0:38.0,Z. Randolph makes 2-pt shot from 18 ft (assist by B. Udrih),2,23-18,,
0:13.0,,,23-18,,C. McCollum misses 2-pt shot from 10 ft
0:12.0,Defensive rebound by J. Green,,23-18,,
0:06.0,Turnover by J. Green (lost ball; steal by A. Crabbe),,23-18,,
0:00.0,,,23-18,,Turnover by E. Davis (lost ball; steal by J. Green)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,J. Green misses 2-pt shot from 3 ft (block by N. Vonleh),,23-18,,
11:36.0,Offensive rebound by Team,,23-18,,
11:35.0,Turnover by Team (shot clock),,23-18,,
11:21.0,,,23-20,2,E. Davis makes 2-pt shot from 2 ft (assist by A. Crabbe)
11:06.0,J. Green misses 3-pt shot from 23 ft,,23-20,,
11:06.0,,,23-20,,Defensive rebound by E. Davis
10:59.0,,,23-20,,C. McCollum misses 2-pt shot from 21 ft
10:58.0,Defensive rebound by J. Green,,23-20,,
10:43.0,J. Green misses 2-pt shot from 17 ft,,23-20,,
10:43.0,,,23-20,,Defensive rebound by E. Davis
10:30.0,,,23-22,2,A. Crabbe makes 2-pt shot from 22 ft (assist by C. McCollum)
10:05.0,B. Udrih makes 3-pt shot from 23 ft (assist by M. Barnes),3,26-22,,
9:55.0,,,26-22,,M. Leonard enters the game for N. Vonleh
9:49.0,,,26-22,,C. McCollum misses 3-pt shot from 25 ft
9:48.0,,,26-22,,Offensive rebound by M. Leonard
9:47.0,,,26-24,2,M. Leonard makes 2-pt shot at rim
9:28.0,J. Green makes 2-pt shot from 17 ft,2,28-24,,
9:07.0,,,28-24,,Shooting foul by B. Udrih (drawn by C. McCollum)
9:07.0,,,28-25,1,C. McCollum makes free throw 1 of 2
9:07.0,,,28-25,,C. McCollum misses free throw 2 of 2
9:05.0,Defensive rebound by B. Wright,,28-25,,
8:51.0,J. Green misses 3-pt shot from 24 ft,,28-25,,
8:50.0,,,28-25,,Defensive rebound by M. Leonard
8:37.0,,,28-28,3,C. McCollum makes 3-pt shot from 23 ft (assist by M. Harkless)
8:22.0,M. Barnes misses 3-pt shot from 25 ft,,28-28,,
8:21.0,,,28-28,,Defensive rebound by M. Leonard
8:04.0,,,28-30,2,M. Harkless makes 2-pt shot at rim (assist by C. McCollum)
8:04.0,,,28-30,,Shooting foul by J. Green (drawn by M. Harkless)
8:04.0,Official timeout,,28-30,,
8:04.0,,,28-30,,A. Aminu enters the game for A. Crabbe
8:04.0,,,28-31,1,M. Harkless makes free throw 1 of 1
7:55.0,,,28-31,,Personal foul by A. Aminu (drawn by J. Green)
7:39.0,B. Wright makes 2-pt shot from 20 ft (assist by B. Udrih),2,30-31,,
7:16.0,,,30-31,,C. McCollum misses 3-pt shot from 25 ft
7:14.0,,,30-31,,Offensive rebound by A. Aminu
7:09.0,,,30-31,,Shooting foul by B. Wright (drawn by M. Harkless)
7:09.0,,,30-32,1,M. Harkless makes free throw 1 of 2
7:09.0,,,30-32,,M. Plumlee enters the game for E. Davis
7:09.0,,,30-32,,D. Lillard enters the game for C. McCollum
7:09.0,C. Lee enters the game for J. Green,,30-32,,
7:09.0,,,30-32,,M. Harkless misses free throw 2 of 2
7:08.0,Defensive rebound by M. Barnes,,30-32,,
6:54.0,B. Udrih makes 2-pt shot from 14 ft,2,32-32,,
6:31.0,,,32-32,,A. Aminu misses 3-pt shot from 24 ft
6:30.0,,,32-32,,Offensive rebound by M. Plumlee
6:20.0,,,32-32,,D. Lillard misses 2-pt shot from 2 ft
6:19.0,Defensive rebound by M. Barnes,,32-32,,
6:11.0,C. Lee makes 3-pt shot from 22 ft (assist by B. Udrih),3,35-32,,
5:52.0,,,35-35,3,M. Leonard makes 3-pt shot from 25 ft (assist by D. Lillard)
5:27.0,J. Green makes 2-pt shot from 3 ft,2,37-35,,
5:04.0,,,37-35,,M. Harkless misses 3-pt shot from 25 ft
5:01.0,Defensive rebound by B. Wright,,37-35,,
4:43.0,C. Lee makes 2-pt shot from 1 ft (assist by B. Udrih),2,39-35,,
4:35.0,,,39-35,,Portland full timeout
4:35.0,,,39-35,,C. McCollum enters the game for M. Leonard
4:35.0,M. Conley enters the game for B. Udrih,,39-35,,
4:35.0,M. Gasol enters the game for B. Wright,,39-35,,
4:22.0,,,39-37,2,D. Lillard makes 2-pt shot from 1 ft (assist by M. Plumlee)
3:55.0,M. Gasol misses 2-pt shot from 17 ft,,39-37,,
3:54.0,,,39-37,,Defensive rebound by A. Aminu
3:46.0,,,39-37,,M. Harkless misses 2-pt shot from 5 ft (block by M. Barnes)
3:44.0,,,39-37,,Offensive rebound by M. Plumlee
3:38.0,Z. Randolph enters the game for M. Barnes,,39-37,,
3:32.0,,,39-39,2,A. Aminu makes 2-pt shot from 7 ft (assist by M. Harkless)
3:14.0,Shooting foul by C. McCollum (drawn by C. Lee),,39-39,,
3:14.0,C. Lee makes free throw 1 of 2,1,40-39,,
3:14.0,,,40-39,,M. Leonard enters the game for M. Harkless
3:14.0,C. Lee misses free throw 2 of 2,,40-39,,
3:13.0,,,40-39,,Defensive rebound by M. Leonard
2:56.0,,,40-42,3,C. McCollum makes 3-pt shot from 23 ft (assist by A. Aminu)
2:36.0,J. Green misses 2-pt shot from 7 ft,,40-42,,
2:34.0,Offensive rebound by Z. Randolph,,40-42,,
2:34.0,Z. Randolph makes 2-pt shot from 2 ft,2,42-42,,
2:05.0,,,42-42,,A. Aminu misses 2-pt shot from 11 ft
2:03.0,Defensive rebound by Z. Randolph,,42-42,,
1:55.0,Memphis full timeout,,42-42,,
1:46.0,M. Conley makes 2-pt shot from 10 ft,2,44-42,,
1:27.0,,,44-45,3,D. Lillard makes 3-pt shot from 24 ft (assist by M. Plumlee)
1:10.0,M. Conley misses 3-pt shot from 24 ft,,44-45,,
1:09.0,,,44-45,,Defensive rebound by A. Aminu
1:00.0,,,44-45,,C. McCollum misses 2-pt shot from 18 ft
1:00.0,Defensive rebound by Team,,44-45,,
1:00.0,,,44-45,,Loose ball foul by M. Plumlee (drawn by J. Green)
0:45.0,Turnover by Z. Randolph (traveling),,44-45,,
0:33.0,,,44-48,3,C. McCollum makes 3-pt shot from 25 ft (assist by M. Leonard)
0:27.0,M. Gasol misses 2-pt shot from 2 ft,,44-48,,
0:25.0,,,44-48,,Defensive rebound by A. Aminu
0:20.0,,,44-48,,A. Aminu misses 2-pt shot from 1 ft
0:20.0,,,44-48,,Offensive rebound by M. Plumlee
