time,Memphis,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. M. Gortat (J. Green gains possession),,,,Jump ball: M. Gasol vs. M. Gortat (J. Green gains possession)
11:38.0,M. Conley makes 2-pt shot from 16 ft,2,2-0,,
11:19.0,,,2-0,,K. Oubre misses 2-pt shot from 18 ft
11:18.0,Defensive rebound by J. Green,,2-0,,
11:00.0,C. Lee makes 2-pt shot from 19 ft,2,4-0,,
10:42.0,,,4-0,,J. Wall misses 2-pt shot from 19 ft
10:41.0,Defensive rebound by M. Gasol,,4-0,,
10:25.0,M. Conley makes 2-pt shot from 2 ft,2,6-0,,
10:19.0,,,6-2,2,G. Temple makes 2-pt shot from 1 ft (assist by J. Wall)
9:59.0,J. Green makes 2-pt shot from 13 ft,2,8-2,,
9:39.0,,,8-2,,K. Oubre misses 2-pt shot from 6 ft
9:37.0,,,8-2,,Offensive rebound by M. Gortat
9:36.0,,,8-2,,M. Gortat misses 2-pt shot from 4 ft
9:35.0,,,8-2,,Offensive rebound by K. Oubre
9:34.0,,,8-2,,K. Oubre misses 2-pt shot from 4 ft (block by M. Gasol)
9:33.0,,,8-2,,Offensive rebound by K. Oubre
9:30.0,,,8-4,2,J. Dudley makes 2-pt shot from 14 ft (assist by M. Gortat)
9:06.0,M. Conley misses 2-pt shot from 8 ft,,8-4,,
9:05.0,,,8-4,,Defensive rebound by J. Dudley
9:01.0,,,8-6,2,J. Wall makes 2-pt shot at rim (assist by J. Dudley)
8:42.0,C. Lee misses 2-pt shot from 11 ft,,8-6,,
8:41.0,,,8-6,,Defensive rebound by K. Oubre
8:35.0,,,8-9,3,G. Temple makes 3-pt shot from 22 ft (assist by J. Wall)
8:09.0,J. Green misses 3-pt shot from 23 ft,,8-9,,
8:08.0,,,8-9,,Defensive rebound by M. Gortat
7:50.0,,,8-12,3,J. Dudley makes 3-pt shot from 25 ft (assist by J. Wall)
7:42.0,Memphis full timeout,,8-12,,
7:28.0,M. Gasol makes 2-pt shot from 13 ft (assist by J. Green),2,10-12,,
7:11.0,,,10-12,,J. Wall misses 2-pt shot from 19 ft
7:10.0,Defensive rebound by J. Green,,10-12,,
6:54.0,M. Gasol misses 2-pt shot from 4 ft,,10-12,,
6:53.0,,,10-12,,Defensive rebound by K. Oubre
6:45.0,,,10-12,,Shooting foul by M. Barnes (drawn by K. Oubre)
6:45.0,,,10-13,1,K. Oubre makes free throw 1 of 2
6:45.0,,,10-14,1,K. Oubre makes free throw 2 of 2
6:34.0,M. Conley makes 2-pt shot from 19 ft,2,12-14,,
6:18.0,,,12-14,,G. Temple misses 3-pt shot from 26 ft
6:18.0,,,12-14,,Offensive rebound by Team
6:16.0,,,12-14,,Turnover by J. Dudley (bad pass; steal by J. Green)
6:09.0,C. Lee misses 2-pt shot from 16 ft,,12-14,,
6:07.0,,,12-14,,Defensive rebound by M. Gortat
6:01.0,,,12-16,2,G. Temple makes 2-pt shot at rim (assist by J. Wall)
5:41.0,M. Conley misses 2-pt shot from 18 ft,,12-16,,
5:40.0,Offensive rebound by M. Gasol,,12-16,,
5:39.0,M. Gasol makes 2-pt shot from 1 ft,2,14-16,,
5:34.0,,,14-16,,Turnover by J. Wall (bad pass; steal by M. Barnes)
5:29.0,,,14-16,,Personal take foul by J. Dudley (drawn by M. Barnes)
5:16.0,M. Gasol misses 2-pt shot from 12 ft,,14-16,,
5:15.0,,,14-16,,Defensive rebound by J. Wall
5:09.0,,,14-16,,G. Temple misses 3-pt shot from 24 ft
5:07.0,,,14-16,,Offensive rebound by J. Dudley
5:06.0,,,14-18,2,J. Dudley makes 2-pt shot at rim
4:50.0,C. Lee makes 2-pt shot from 19 ft (assist by M. Gasol),2,16-18,,
4:27.0,,,16-18,,G. Temple misses 3-pt shot from 23 ft
4:26.0,Defensive rebound by J. Green,,16-18,,
4:17.0,M. Barnes misses 3-pt shot from 24 ft,,16-18,,
4:16.0,,,16-18,,Defensive rebound by G. Temple
4:09.0,,,16-18,,G. Temple misses 2-pt shot from 4 ft
4:08.0,Defensive rebound by M. Gasol,,16-18,,
3:59.0,M. Gasol misses 2-pt shot from 1 ft,,16-18,,
3:59.0,,,16-18,,Defensive rebound by M. Gortat
3:51.0,,,16-21,3,K. Oubre makes 3-pt shot from 26 ft (assist by J. Wall)
3:31.0,M. Conley misses 2-pt shot from 2 ft,,16-21,,
3:30.0,,,16-21,,Defensive rebound by J. Dudley
