time,Denver,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. J. Lauvergne,,,,Jump ball: S. Adams vs. J. Lauvergne
11:39.0,K. Faried makes 2-pt shot from 3 ft (assist by J. Lauvergne),2,2-0,,
11:19.0,,,2-0,,Turnover by R. Westbrook (bad pass; steal by K. Papanikolaou)
11:05.0,J. Lauvergne misses 2-pt shot at rim (block by S. Ibaka),,2-0,,
11:03.0,Offensive rebound by K. Faried,,2-0,,
11:03.0,K. Faried misses 2-pt shot from 1 ft,,2-0,,
11:02.0,Offensive rebound by K. Faried,,2-0,,
11:01.0,K. Faried misses 2-pt shot from 3 ft,,2-0,,
10:59.0,,,2-0,,Defensive rebound by S. Ibaka
10:45.0,,,2-2,2,R. Westbrook makes 2-pt shot at rim
10:24.0,G. Harris makes 2-pt shot from 3 ft (assist by K. Papanikolaou),2,4-2,,
10:00.0,,,4-2,,R. Westbrook misses 2-pt shot from 17 ft
9:59.0,Defensive rebound by G. Harris,,4-2,,
9:38.0,K. Faried makes 2-pt shot from 3 ft,2,6-2,,
9:14.0,,,6-2,,Turnover by R. Westbrook (bad pass; steal by K. Papanikolaou)
9:10.0,G. Harris makes 2-pt shot from 1 ft (assist by K. Papanikolaou),2,8-2,,
9:09.0,,,8-2,,Oklahoma City full timeout
8:57.0,,,8-2,,R. Westbrook misses 2-pt shot from 1 ft (block by K. Faried)
8:56.0,,,8-2,,Offensive rebound by R. Westbrook
8:55.0,,,8-2,,R. Westbrook misses 2-pt shot from 4 ft
8:53.0,,,8-2,,Offensive rebound by K. Durant
8:47.0,,,8-5,3,K. Durant makes 3-pt shot from 24 ft
8:30.0,K. Faried makes 2-pt shot at rim (assist by G. Harris),2,10-5,,
8:17.0,,,10-7,2,K. Durant makes 2-pt shot from 15 ft (assist by R. Westbrook)
7:54.0,J. Lauvergne misses 2-pt shot from 17 ft,,10-7,,
7:53.0,,,10-7,,Defensive rebound by A. Roberson
7:47.0,,,10-7,,R. Westbrook misses 2-pt shot from 1 ft
7:46.0,Defensive rebound by J. Lauvergne,,10-7,,
7:40.0,J. Nelson makes 3-pt shot from 24 ft,3,13-7,,
7:17.0,,,13-9,2,S. Ibaka makes 2-pt shot from 11 ft (assist by R. Westbrook)
7:10.0,,,13-9,,Personal foul by K. Durant (drawn by K. Papanikolaou)
6:58.0,J. Lauvergne makes 2-pt shot from 1 ft (assist by K. Papanikolaou),2,15-9,,
6:36.0,,,15-11,2,R. Westbrook makes 2-pt shot from 7 ft (assist by K. Durant)
6:20.0,K. Faried makes 2-pt shot at rim,2,17-11,,
6:07.0,,,17-13,2,S. Ibaka makes 2-pt shot from 5 ft (assist by R. Westbrook)
5:52.0,J. Lauvergne misses 2-pt shot from 1 ft,,17-13,,
5:51.0,Offensive rebound by K. Faried,,17-13,,
5:51.0,K. Faried makes 2-pt shot at rim,2,19-13,,
5:39.0,,,19-15,2,R. Westbrook makes 2-pt shot from 1 ft
5:36.0,Denver full timeout,,19-15,,
5:24.0,Turnover by K. Papanikolaou (bad pass),,19-15,,
5:00.0,,,19-15,,A. Roberson misses 2-pt shot from 4 ft
5:00.0,Defensive rebound by J. Nelson,,19-15,,
4:49.0,J. Lauvergne misses 2-pt shot at rim (block by S. Ibaka),,19-15,,
4:48.0,,,19-15,,Defensive rebound by S. Adams
4:35.0,,,19-17,2,K. Durant makes 2-pt shot from 17 ft
4:18.0,Turnover by K. Papanikolaou (bad pass; steal by R. Westbrook),,19-17,,
4:15.0,,,19-17,,Shooting foul by G. Harris (drawn by R. Westbrook)
4:15.0,,,19-18,1,R. Westbrook makes free throw 1 of 2
4:15.0,,,19-18,,D. Waiters enters the game for A. Roberson
4:15.0,W. Barton enters the game for K. Papanikolaou,,19-18,,
4:15.0,,,19-19,1,R. Westbrook makes free throw 2 of 2
3:56.0,G. Harris misses 3-pt shot from 24 ft,,19-19,,
3:56.0,Offensive rebound by K. Faried,,19-19,,
3:47.0,J. Nelson makes 3-pt shot from 25 ft (assist by G. Harris),3,22-19,,
3:23.0,,,22-19,,Shooting foul by J. Nelson (drawn by R. Westbrook)
3:23.0,,,22-20,1,R. Westbrook makes free throw 1 of 2
3:23.0,,,22-21,1,R. Westbrook makes free throw 2 of 2
3:09.0,J. Nelson misses 3-pt shot from 25 ft,,22-21,,
3:09.0,Offensive rebound by W. Barton,,22-21,,
