time,New Orleans,pts.away,score,pts.home,Minnesota
1:33.0,,,26-22,,S. Muhammad misses 3-pt shot from 25 ft
1:31.0,Defensive rebound by D. Cunningham,,26-22,,
1:19.0,R. Anderson misses 3-pt shot from 26 ft,,26-22,,
1:18.0,,,26-22,,Defensive rebound by G. Dieng
1:08.0,Violation by J. Holiday (kicked ball),,26-22,,
1:05.0,Personal foul by N. Cole (drawn by Z. LaVine),,26-22,,
1:05.0,A. Ajinca enters the game for A. Davis,,26-22,,
0:56.0,,,26-22,,Turnover by D. Rudez (lost ball)
0:47.0,N. Cole makes 2-pt shot from 1 ft,2,28-22,,
0:35.0,,,28-22,,Z. LaVine misses 2-pt shot from 6 ft (block by A. Ajinca)
0:33.0,Defensive rebound by N. Cole,,28-22,,
0:29.0,J. Holiday misses 2-pt shot from 1 ft,,28-22,,
0:28.0,,,28-22,,Defensive rebound by G. Dieng
0:16.0,,,28-22,,S. Muhammad misses 2-pt shot from 5 ft
0:13.0,,,28-22,,Offensive rebound by G. Dieng
0:06.0,Violation by A. Ajinca (kicked ball),,28-22,,
0:02.0,,,28-22,,Z. LaVine misses 2-pt shot from 22 ft
0:01.0,Defensive rebound by R. Anderson,,28-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,28-22,,G. Dieng misses 2-pt shot from 14 ft
11:41.0,,,28-22,,Offensive rebound by S. Muhammad
11:41.0,,,28-22,,Shooting foul by A. Gee (drawn by S. Muhammad)
11:41.0,,,28-24,2,S. Muhammad makes 2-pt shot at rim
11:41.0,,,28-25,1,S. Muhammad makes free throw 1 of 1
11:29.0,J. Holiday misses 2-pt shot from 5 ft (block by G. Dieng),,28-25,,
11:29.0,,,28-25,,Defensive rebound by Team
11:16.0,,,28-25,,Z. LaVine misses 2-pt shot from 19 ft
11:13.0,,,28-25,,Offensive rebound by G. Dieng
11:13.0,,,28-25,,Shooting foul by A. Gee (drawn by G. Dieng)
11:13.0,,,28-26,1,S. Muhammad makes free throw 1 of 2
11:13.0,,,28-26,,A. Payne enters the game for G. Dieng
11:13.0,L. Babbitt enters the game for A. Gee,,28-26,,
11:13.0,,,28-27,1,S. Muhammad makes free throw 2 of 2
10:59.0,R. Anderson makes 2-pt shot from 14 ft,2,30-27,,
10:38.0,,,30-27,,S. Muhammad misses 2-pt shot from 8 ft
10:37.0,Defensive rebound by A. Ajinca,,30-27,,
10:27.0,L. Babbitt makes 3-pt shot from 25 ft (assist by J. Holiday),3,33-27,,
10:09.0,,,33-27,,D. Rudez misses 3-pt shot from 24 ft
10:08.0,Defensive rebound by Team,,33-27,,
9:57.0,J. Holiday makes 2-pt shot from 8 ft,2,35-27,,
9:57.0,Shooting foul by Z. LaVine (drawn by J. Holiday),,35-27,,
9:57.0,J. Holiday makes free throw 1 of 1,1,36-27,,
9:43.0,,,36-27,,Turnover by A. Payne (bad pass; steal by R. Anderson)
9:32.0,J. Holiday makes 2-pt shot at rim,2,38-27,,
9:32.0,Shooting foul by D. Rudez (drawn by J. Holiday),,38-27,,
9:32.0,J. Holiday makes free throw 1 of 1,1,39-27,,
9:27.0,,,39-27,,Minnesota full timeout
9:27.0,,,39-27,,A. Wiggins enters the game for A. Miller
9:16.0,,,39-27,,Z. LaVine misses 2-pt shot from 18 ft
9:14.0,Defensive rebound by J. Holiday,,39-27,,
8:59.0,L. Babbitt makes 3-pt shot from 24 ft (assist by J. Holiday),3,42-27,,
8:48.0,,,42-27,,Shooting foul by A. Ajinca (drawn by S. Muhammad)
8:48.0,,,42-27,,S. Muhammad misses free throw 1 of 2
8:48.0,,,42-27,,Offensive rebound by Team
8:48.0,,,42-27,,K. Towns enters the game for A. Payne
8:48.0,,,42-28,1,S. Muhammad makes free throw 2 of 2
8:40.0,T. Douglas misses 3-pt shot from 24 ft,,42-28,,
8:39.0,,,42-28,,Defensive rebound by Team
8:39.0,A. Davis enters the game for A. Ajinca,,42-28,,
8:20.0,,,42-28,,Offensive charge foul by A. Wiggins
8:20.0,,,42-28,,Turnover by A. Wiggins (offensive foul)
8:20.0,D. Cunningham enters the game for T. Douglas,,42-28,,
8:06.0,J. Holiday makes 2-pt shot at rim,2,44-28,,
7:51.0,,,44-28,,Shooting foul by L. Babbitt (drawn by K. Towns)
7:51.0,,,44-29,1,K. Towns makes free throw 1 of 2
7:51.0,,,44-30,1,K. Towns makes free throw 2 of 2
7:41.0,J. Holiday makes 2-pt shot at rim,2,46-30,,
7:32.0,,,46-30,,Minnesota full timeout
7:32.0,,,46-30,,R. Rubio enters the game for Z. LaVine
7:24.0,,,46-30,,Turnover by A. Wiggins (traveling)
7:09.0,D. Cunningham misses 3-pt shot from 24 ft,,46-30,,
7:08.0,,,46-30,,Defensive rebound by K. Towns
7:02.0,,,46-30,,Turnover by K. Towns (bad pass; steal by J. Holiday)
6:54.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,48-30,,
6:36.0,,,48-30,,Turnover by R. Rubio (bad pass; steal by J. Holiday)
6:31.0,Turnover by R. Anderson (dbl dribble),,48-30,,
6:31.0,,,48-30,,T. Prince enters the game for S. Muhammad
6:31.0,,,48-30,,G. Dieng enters the game for D. Rudez
6:20.0,,,48-30,,K. Towns misses 2-pt shot from 18 ft
6:19.0,Defensive rebound by J. Holiday,,48-30,,
6:05.0,D. Cunningham makes 2-pt shot from 22 ft (assist by J. Holiday),2,50-30,,
5:48.0,,,50-30,,Shooting foul by D. Cunningham (drawn by A. Wiggins)
5:48.0,,,50-30,,Minnesota full timeout
5:48.0,,,50-31,1,A. Wiggins makes free throw 1 of 2
5:48.0,,,50-32,1,A. Wiggins makes free throw 2 of 2
5:37.0,J. Holiday makes 2-pt shot from 14 ft,2,52-32,,
5:20.0,,,52-32,,T. Prince misses 2-pt shot from 19 ft
5:19.0,,,52-32,,Offensive rebound by G. Dieng
5:02.0,,,52-32,,R. Rubio misses 3-pt shot from 25 ft
5:01.0,Defensive rebound by A. Davis,,52-32,,
4:42.0,A. Davis makes 3-pt shot from 23 ft (assist by J. Holiday),3,55-32,,
4:24.0,Personal foul by R. Anderson (drawn by G. Dieng),,55-32,,
4:24.0,,,55-32,,G. Dieng misses free throw 1 of 2
4:24.0,,,55-32,,Offensive rebound by Team
4:24.0,N. Cole enters the game for J. Holiday,,55-32,,
4:24.0,,,55-33,1,G. Dieng makes free throw 2 of 2
4:12.0,,,55-33,,Personal foul by T. Prince (drawn by N. Cole)
3:56.0,L. Babbitt misses 3-pt shot from 24 ft,,55-33,,
3:55.0,,,55-33,,Defensive rebound by R. Rubio
3:49.0,,,55-35,2,G. Dieng makes 2-pt shot at rim (assist by R. Rubio)
3:49.0,,,55-35,,Shooting foul by A. Davis (drawn by G. Dieng)
3:49.0,,,55-35,,G. Dieng misses free throw 1 of 1
3:49.0,Defensive rebound by A. Davis,,55-35,,
3:38.0,L. Babbitt misses 3-pt shot from 25 ft,,55-35,,
3:37.0,,,55-35,,Defensive rebound by R. Rubio
3:22.0,,,55-37,2,K. Towns makes 2-pt shot from 14 ft
3:05.0,R. Anderson misses 2-pt shot from 18 ft,,55-37,,
3:04.0,,,55-37,,Defensive rebound by K. Towns
2:55.0,,,55-37,,Turnover by R. Rubio (bad pass; steal by A. Davis)
2:49.0,L. Babbitt makes 2-pt shot from 5 ft,2,57-37,,
2:27.0,,,57-39,2,A. Wiggins makes 2-pt shot from 2 ft
2:16.0,D. Cunningham makes 2-pt shot from 1 ft (assist by A. Davis),2,59-39,,
1:58.0,,,59-41,2,A. Wiggins makes 2-pt shot at rim
1:40.0,A. Davis makes 2-pt shot from 7 ft (assist by N. Cole),2,61-41,,
1:32.0,,,61-43,2,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio)
1:11.0,A. Davis misses 2-pt shot from 19 ft,,61-43,,
1:10.0,,,61-43,,Defensive rebound by K. Towns
0:56.0,,,61-45,2,R. Rubio makes 2-pt shot from 17 ft
0:49.0,New Orleans full timeout,,61-45,,
0:49.0,,,61-45,,D. Rudez enters the game for K. Towns
0:38.0,R. Anderson misses 2-pt shot from 20 ft (block by T. Prince),,61-45,,
0:38.0,Offensive rebound by Team,,61-45,,
0:36.0,A. Davis makes 2-pt shot from 11 ft,2,63-45,,
0:36.0,Shooting foul by G. Dieng (drawn by A. Davis),,63-45,,
0:36.0,,,63-45,,Z. LaVine enters the game for D. Rudez
0:36.0,O. Asik enters the game for R. Anderson,,63-45,,
0:36.0,A. Davis misses free throw 1 of 1,,63-45,,
0:35.0,,,63-45,,Defensive rebound by G. Dieng
0:21.0,,,63-45,,A. Wiggins misses 2-pt shot from 21 ft
0:20.0,Defensive rebound by O. Asik,,63-45,,
0:03.0,N. Cole misses 2-pt shot from 16 ft,,63-45,,
0:01.0,,,63-45,,Defensive rebound by R. Rubio
0:01.0,,,63-45,,Shooting foul by N. Cole (drawn by R. Rubio)
0:01.0,,,63-45,,R. Rubio misses free throw 1 of 3
0:01.0,,,63-45,,Offensive rebound by Team
0:01.0,,,63-45,,R. Rubio misses free throw 2 of 3
0:01.0,,,63-45,,Offensive rebound by Team
0:01.0,,,63-46,1,R. Rubio makes free throw 3 of 3
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,63-46,,A. Wiggins misses 2-pt shot from 14 ft
11:39.0,Defensive rebound by A. Davis,,63-46,,
11:23.0,,,63-46,,Personal foul by G. Dieng (drawn by A. Davis)
11:13.0,A. Davis misses 2-pt shot from 19 ft,,63-46,,
11:12.0,Offensive rebound by O. Asik,,63-46,,
11:12.0,O. Asik misses 2-pt shot from 1 ft,,63-46,,
11:11.0,,,63-46,,Defensive rebound by K. Towns
10:58.0,,,63-46,,Shooting foul by O. Asik (drawn by K. Towns)
10:58.0,,,63-47,1,K. Towns makes free throw 1 of 2
10:58.0,,,63-48,1,K. Towns makes free throw 2 of 2
10:36.0,B. Dejean-Jones misses 2-pt shot from 2 ft (block by K. Towns),,63-48,,
10:34.0,,,63-48,,Defensive rebound by G. Dieng
10:31.0,,,63-48,,Turnover by R. Rubio (bad pass)
10:09.0,B. Dejean-Jones misses 3-pt shot from 24 ft,,63-48,,
10:08.0,,,63-48,,Defensive rebound by R. Rubio
10:05.0,Personal foul by B. Dejean-Jones (drawn by A. Wiggins),,63-48,,
9:59.0,,,63-50,2,K. Towns makes 2-pt shot at rim
9:44.0,N. Cole makes 2-pt shot from 20 ft,2,65-50,,
9:27.0,,,65-53,3,G. Dieng makes 3-pt shot from 23 ft (assist by A. Wiggins)
9:18.0,N. Cole makes 2-pt shot from 1 ft,2,67-53,,
8:55.0,,,67-53,,R. Rubio misses 2-pt shot from 17 ft
8:54.0,Defensive rebound by B. Dejean-Jones,,67-53,,
8:48.0,D. Cunningham makes 2-pt shot at rim (assist by N. Cole),2,69-53,,
8:48.0,,,69-53,,Minnesota full timeout
8:48.0,J. Holiday enters the game for B. Dejean-Jones,,69-53,,
