time,Cleveland,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. T. Mozgov (C. Anthony gains possession),,,,Jump ball: R. Lopez vs. T. Mozgov (C. Anthony gains possession)
11:39.0,,,0-0,,R. Lopez misses 2-pt shot from 6 ft
11:38.0,Defensive rebound by T. Mozgov,,0-0,,
11:17.0,K. Love makes 3-pt shot from 23 ft (assist by L. James),3,3-0,,
10:54.0,,,3-0,,S. Vujacic misses 2-pt shot from 19 ft
10:53.0,Defensive rebound by K. Love,,3-0,,
10:43.0,K. Love misses 3-pt shot from 26 ft,,3-0,,
10:42.0,,,3-0,,Defensive rebound by C. Anthony
10:23.0,,,3-2,2,K. Porzingis makes 2-pt shot from 15 ft (assist by J. Calderon)
10:06.0,Turnover by L. James (lost ball; steal by J. Calderon),,3-2,,
9:53.0,,,3-2,,C. Anthony misses 2-pt shot from 13 ft
9:52.0,Defensive rebound by M. Dellavedova,,3-2,,
9:45.0,J. Smith misses 3-pt shot from 26 ft,,3-2,,
9:44.0,,,3-2,,Defensive rebound by R. Lopez
9:34.0,,,3-2,,C. Anthony misses 3-pt shot from 24 ft
9:33.0,Defensive rebound by K. Love,,3-2,,
9:24.0,L. James makes 3-pt shot from 25 ft (assist by K. Love),3,6-2,,
9:04.0,,,6-4,2,S. Vujacic makes 2-pt shot from 20 ft (assist by C. Anthony)
8:53.0,K. Love misses 2-pt shot at rim,,6-4,,
8:52.0,Offensive rebound by K. Love,,6-4,,
8:51.0,K. Love misses 2-pt shot from 1 ft,,6-4,,
8:50.0,,,6-4,,Defensive rebound by Team
8:37.0,,,6-4,,K. Porzingis misses 2-pt shot from 20 ft
8:36.0,Defensive rebound by M. Dellavedova,,6-4,,
8:23.0,K. Love makes 2-pt shot from 1 ft,2,8-4,,
8:10.0,,,8-4,,K. Porzingis misses 3-pt shot from 25 ft
8:09.0,Defensive rebound by T. Mozgov,,8-4,,
8:02.0,L. James misses 2-pt shot from 1 ft,,8-4,,
8:01.0,,,8-4,,Defensive rebound by S. Vujacic
7:56.0,,,8-4,,C. Anthony misses 3-pt shot from 23 ft
7:55.0,,,8-4,,Offensive rebound by S. Vujacic
7:39.0,,,8-4,,Turnover by K. Porzingis (lost ball; steal by L. James)
7:35.0,Shooting foul by J. Calderon (drawn by L. James),,8-4,,
7:35.0,L. James makes 2-pt shot at rim,2,10-4,,
7:35.0,L. James makes free throw 1 of 1,1,11-4,,
7:25.0,,,11-4,,J. Calderon misses 2-pt shot from 15 ft
7:24.0,Defensive rebound by K. Love,,11-4,,
7:17.0,Shooting foul by K. Porzingis (drawn by K. Love),,11-4,,
7:17.0,K. Love makes free throw 1 of 2,1,12-4,,
7:17.0,K. Love misses free throw 2 of 2,,12-4,,
7:16.0,,,12-4,,Defensive rebound by K. Porzingis
6:53.0,,,12-4,,C. Anthony misses 2-pt shot from 2 ft
6:52.0,Defensive rebound by K. Love,,12-4,,
6:46.0,Turnover by M. Dellavedova (lost ball; steal by C. Anthony),,12-4,,
6:42.0,Personal foul by M. Dellavedova,,12-4,,
6:36.0,,,12-6,2,J. Calderon makes 2-pt shot from 19 ft
6:18.0,K. Love misses 3-pt shot from 23 ft,,12-6,,
6:17.0,,,12-6,,Defensive rebound by C. Anthony
6:01.0,,,12-6,,R. Lopez misses 2-pt shot from 10 ft
6:00.0,Defensive rebound by T. Mozgov,,12-6,,
5:52.0,K. Love misses 2-pt shot from 4 ft,,12-6,,
5:51.0,,,12-6,,Defensive rebound by S. Vujacic
5:28.0,,,12-9,3,K. Porzingis makes 3-pt shot from 23 ft (assist by J. Calderon)
5:27.0,Cleveland full timeout,,12-9,,
5:13.0,J. Smith makes 3-pt shot from 23 ft (assist by L. James),3,15-9,,
4:46.0,,,15-11,2,K. Porzingis makes 2-pt shot from 7 ft
4:33.0,,,15-11,,Personal foul by C. Anthony
4:33.0,M. Williams enters the game for M. Dellavedova,,15-11,,
4:33.0,,,15-11,,J. Grant enters the game for J. Calderon
4:24.0,T. Mozgov makes 2-pt shot at rim (assist by L. James),2,17-11,,
4:15.0,Personal foul by K. Love,,17-11,,
4:05.0,,,17-11,,C. Anthony misses 2-pt shot from 13 ft
4:04.0,,,17-11,,Offensive rebound by R. Lopez
4:04.0,,,17-13,2,R. Lopez makes 2-pt shot from 1 ft
3:41.0,T. Mozgov misses 2-pt shot from 10 ft,,17-13,,
3:40.0,Offensive rebound by L. James,,17-13,,
3:36.0,J. Smith makes 3-pt shot from 25 ft (assist by L. James),3,20-13,,
3:17.0,Violation by J. Smith (kicked ball),,20-13,,
3:17.0,T. Thompson enters the game for T. Mozgov,,20-13,,
3:17.0,,,20-13,,K. Seraphin enters the game for R. Lopez
3:04.0,,,20-15,2,C. Anthony makes 2-pt shot from 8 ft (assist by K. Seraphin)
2:38.0,M. Williams makes 3-pt shot from 24 ft (assist by L. James),3,23-15,,
2:23.0,,,23-15,,S. Vujacic misses 3-pt shot from 25 ft
