time,Charlotte,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. C. Zeller (M. Williams gains possession),,,,Jump ball: T. Mozgov vs. C. Zeller (M. Williams gains possession)
11:44.0,M. Williams misses 3-pt shot from 25 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by J. Smith
11:37.0,,,0-0,,Turnover by L. James (lost ball; steal by C. Zeller)
11:29.0,C. Zeller makes 2-pt shot at rim (assist by N. Batum),2,2-0,,
11:15.0,,,2-2,2,K. Love makes 2-pt shot from 8 ft (assist by L. James)
10:59.0,C. Zeller makes 2-pt shot from 18 ft (assist by N. Batum),2,4-2,,
10:42.0,,,4-2,,Turnover by T. Mozgov (lost ball; steal by C. Zeller)
10:25.0,N. Batum misses 2-pt shot from 13 ft,,4-2,,
10:25.0,Offensive rebound by Team,,4-2,,
10:19.0,C. Zeller misses 2-pt shot from 2 ft (block by K. Love),,4-2,,
10:18.0,Offensive rebound by C. Zeller,,4-2,,
10:18.0,C. Zeller misses 2-pt shot from 2 ft,,4-2,,
10:17.0,Offensive rebound by C. Zeller,,4-2,,
10:16.0,C. Zeller misses 2-pt shot from 2 ft,,4-2,,
10:15.0,,,4-2,,Defensive rebound by T. Mozgov
10:06.0,,,4-2,,Turnover by L. James (lost ball; steal by C. Zeller)
9:49.0,M. Williams makes 2-pt shot from 8 ft (assist by N. Batum),2,6-2,,
9:24.0,,,6-4,2,K. Love makes 2-pt shot from 14 ft (assist by M. Dellavedova)
9:11.0,K. Walker misses 2-pt shot from 8 ft,,6-4,,
9:07.0,,,6-4,,Defensive rebound by J. Smith
9:02.0,,,6-6,2,J. Smith makes 2-pt shot at rim
8:41.0,M. Williams makes 3-pt shot from 25 ft (assist by C. Lee),3,9-6,,
8:23.0,,,9-6,,M. Dellavedova misses 2-pt shot from 6 ft
8:20.0,Defensive rebound by C. Zeller,,9-6,,
8:14.0,K. Walker makes 2-pt shot from 16 ft,2,11-6,,
7:54.0,,,11-6,,J. Smith misses 2-pt shot at rim
7:51.0,,,11-6,,Offensive rebound by J. Smith
7:51.0,,,11-6,,J. Smith misses 2-pt shot at rim
7:48.0,Defensive rebound by M. Williams,,11-6,,
7:45.0,C. Lee misses 2-pt shot from 17 ft,,11-6,,
7:42.0,,,11-6,,Defensive rebound by T. Mozgov
7:38.0,,,11-8,2,L. James makes 2-pt shot at rim
7:19.0,,,11-8,,Loose ball foul by M. Dellavedova
7:11.0,N. Batum misses 3-pt shot from 25 ft,,11-8,,
7:11.0,,,11-8,,Defensive rebound by K. Love
6:50.0,,,11-10,2,L. James makes 2-pt shot at rim
6:37.0,K. Walker misses 2-pt shot from 16 ft,,11-10,,
6:37.0,,,11-10,,Defensive rebound by K. Love
6:23.0,,,11-12,2,J. Smith makes 2-pt shot from 7 ft (assist by K. Love)
6:06.0,M. Williams makes 3-pt shot from 23 ft (assist by C. Zeller),3,14-12,,
5:47.0,,,14-15,3,K. Love makes 3-pt shot from 23 ft (assist by T. Mozgov)
5:42.0,Charlotte full timeout,,14-15,,
5:27.0,M. Williams misses 3-pt shot from 26 ft,,14-15,,
5:26.0,,,14-15,,Defensive rebound by J. Smith
5:15.0,,,14-15,,Turnover by K. Love (lost ball; steal by K. Walker)
5:09.0,Offensive foul by M. Williams,,14-15,,
5:09.0,Turnover by M. Williams (offensive foul),,14-15,,
5:09.0,,,14-15,,T. Thompson enters the game for T. Mozgov
4:50.0,,,14-17,2,L. James makes 2-pt shot at rim (assist by M. Dellavedova)
4:41.0,M. Williams misses 2-pt shot at rim,,14-17,,
4:39.0,,,14-17,,Defensive rebound by K. Love
4:20.0,,,14-20,3,M. Dellavedova makes 3-pt shot from 24 ft (assist by L. James)
4:00.0,K. Walker misses 2-pt shot from 2 ft,,14-20,,
3:56.0,Offensive rebound by M. Williams,,14-20,,
3:56.0,M. Williams makes 2-pt shot from 1 ft,2,16-20,,
3:36.0,,,16-20,,Shooting foul by N. Batum (drawn by T. Thompson)
3:36.0,,,16-20,,T. Thompson misses free throw 1 of 2
3:36.0,,,16-20,,Offensive rebound by Team
3:36.0,S. Hawes enters the game for C. Zeller,,16-20,,
3:36.0,J. Lin enters the game for C. Lee,,16-20,,
3:36.0,,,16-20,,M. Williams enters the game for M. Dellavedova
3:36.0,,,16-20,,I. Shumpert enters the game for L. James
3:36.0,,,16-20,,T. Thompson misses free throw 2 of 2
3:34.0,Defensive rebound by S. Hawes,,16-20,,
3:23.0,Shooting foul by T. Thompson (drawn by S. Hawes),,16-20,,
3:23.0,S. Hawes makes free throw 1 of 2,1,17-20,,
3:23.0,J. Lamb enters the game for N. Batum,,17-20,,
3:23.0,S. Hawes makes free throw 2 of 2,1,18-20,,
3:06.0,,,18-22,2,I. Shumpert makes 2-pt shot from 14 ft (assist by J. Smith)
2:45.0,Turnover by S. Hawes (lost ball),,18-22,,
2:45.0,,,18-22,,Cleveland full timeout
2:27.0,,,18-22,,J. Smith misses 2-pt shot from 14 ft
2:27.0,,,18-22,,Offensive rebound by J. Smith
2:27.0,,,18-22,,Cleveland full timeout
2:20.0,,,18-25,3,K. Love makes 3-pt shot from 24 ft (assist by J. Smith)
1:56.0,Turnover by J. Lin (lost ball; steal by T. Thompson),,18-25,,
1:37.0,,,18-25,,M. Williams misses 3-pt shot from 22 ft
1:36.0,Defensive rebound by J. Lin,,18-25,,
1:27.0,,,18-25,,Personal foul by K. Love
1:27.0,F. Kaminsky enters the game for M. Williams,,18-25,,
1:27.0,,,18-25,,C. Frye enters the game for K. Love
1:27.0,,,18-25,,L. James enters the game for J. Smith
1:27.0,N. Batum enters the game for J. Lamb,,18-25,,
1:15.0,Turnover by J. Lin (lost ball; steal by M. Williams),,18-25,,
1:09.0,,,18-27,2,L. James makes 2-pt shot at rim (assist by M. Williams)
0:52.0,N. Batum misses 3-pt shot from 23 ft,,18-27,,
0:52.0,,,18-27,,Defensive rebound by C. Frye
0:39.0,,,18-29,2,I. Shumpert makes 2-pt shot from 18 ft (assist by L. James)
0:28.0,,,18-29,,Def 3 sec tech foul by T. Thompson
0:28.0,N. Batum makes technical free throw,1,19-29,,
0:15.0,J. Lin misses 3-pt shot from 30 ft,,19-29,,
0:15.0,,,19-29,,Defensive rebound by M. Williams
0:01.0,,,19-29,,C. Frye misses 3-pt shot from 23 ft
0:00.0,,,19-29,,Offensive rebound by T. Thompson
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,19-31,2,I. Shumpert makes 2-pt shot at rim (assist by L. James)
11:19.0,Shooting foul by C. Frye (drawn by J. Lin),,19-31,,
11:19.0,J. Lin makes free throw 1 of 2,1,20-31,,
11:19.0,J. Lin makes free throw 2 of 2,1,21-31,,
11:10.0,,,21-31,,Turnover by C. Frye (lost ball; steal by C. Lee)
11:02.0,N. Batum makes 2-pt shot from 15 ft (assist by C. Lee),2,23-31,,
10:36.0,,,23-33,2,L. James makes 2-pt shot from 6 ft (assist by I. Shumpert)
10:29.0,Turnover by J. Lin (bad pass),,23-33,,
10:19.0,,,23-33,,Cleveland full timeout
10:12.0,,,23-36,3,M. Williams makes 3-pt shot from 24 ft (assist by C. Frye)
9:46.0,S. Hawes misses 2-pt shot from 8 ft,,23-36,,
9:45.0,,,23-36,,Defensive rebound by I. Shumpert
9:40.0,,,23-36,,Turnover by T. Thompson (lost ball)
