time,New York,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. R. Lopez (T. Jones gains possession),,,,Jump ball: C. Capela vs. R. Lopez (T. Jones gains possession)
11:42.0,,,0-0,,J. Harden misses 2-pt shot from 16 ft
11:41.0,Defensive rebound by K. Porzingis,,0-0,,
11:26.0,K. Porzingis makes 2-pt shot from 16 ft (assist by J. Calderon),2,2-0,,
11:12.0,,,2-0,,T. Jones misses 2-pt shot from 2 ft
11:11.0,Defensive rebound by K. Porzingis,,2-0,,
10:48.0,A. Afflalo misses 2-pt shot from 20 ft,,2-0,,
10:48.0,Offensive rebound by Team,,2-0,,
10:48.0,Turnover by Team (shot clock),,2-0,,
10:38.0,,,2-2,2,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden)
10:17.0,Turnover by K. Porzingis (bad pass; steal by J. Terry),,2-2,,
10:13.0,,,2-4,2,T. Jones makes 2-pt shot at rim (assist by J. Harden)
9:50.0,R. Lopez makes 2-pt shot from 8 ft,2,4-4,,
9:36.0,,,4-4,,T. Jones misses 2-pt shot from 1 ft (block by K. Porzingis)
9:36.0,,,4-4,,Offensive rebound by Team
9:26.0,,,4-4,,J. Terry misses 2-pt shot from 12 ft
9:25.0,Defensive rebound by C. Anthony,,4-4,,
9:12.0,R. Lopez misses 2-pt shot from 7 ft,,4-4,,
9:11.0,,,4-4,,Defensive rebound by J. Harden
8:54.0,,,4-4,,T. Ariza misses 2-pt shot from 1 ft (block by K. Porzingis)
8:53.0,Defensive rebound by K. Porzingis,,4-4,,
8:43.0,A. Afflalo misses 2-pt shot from 16 ft,,4-4,,
8:42.0,Offensive rebound by R. Lopez,,4-4,,
8:42.0,R. Lopez makes 2-pt shot at rim,2,6-4,,
8:18.0,,,6-6,2,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden)
8:01.0,K. Porzingis misses 2-pt shot from 7 ft,,6-6,,
8:00.0,,,6-6,,Defensive rebound by C. Capela
7:37.0,,,6-6,,Turnover by C. Capela (bad pass; steal by J. Calderon)
7:35.0,Shooting foul by J. Terry (drawn by J. Calderon),,6-6,,
7:35.0,J. Calderon makes free throw 1 of 2,1,7-6,,
